Year,UNIT_MEASURE,SERIES,Area,Sex,Age,Value
2019,Percent,Not safe,,Female,,7.0
2019,Percent,совсем не безопасно,,Female,,1.0
2019,Percent,затруднились ответить,,Female,,1.4
2019,Percent,,,,15-19,100.0
2019,Percent,Total security,,,15-19,52.4
2019,Percent,Relatively safe,,,15-19,41.6
2019,Percent,Not safe,,,15-19,4.3
2019,Percent,совсем не безопасно,,,15-19,1.2
2019,Percent,затруднились ответить,,,15-19,0.5
2019,Percent,,,,20-24,100.0
2019,Percent,Total security,,,20-24,55.7
2019,Percent,Relatively safe,,,20-24,38.7
2019,Percent,Not safe,,,20-24,4.3
2019,Percent,совсем не безопасно,,,20-24,0.6
2019,Percent,затруднились ответить,,,20-24,0.6
2019,Percent,,,,25-29,100.0
2019,Percent,Total security,,,25-29,52.9
2019,Percent,Relatively safe,,,25-29,40.8
2019,Percent,Not safe,,,25-29,4.5
2019,Percent,совсем не безопасно,,,25-29,0.6
2019,Percent,затруднились ответить,,,25-29,1.2
2019,Percent,,,,30-34,100.0
2019,Percent,Total security,,,30-34,51.6
2019,Percent,Relatively safe,,,30-34,42.0
2019,Percent,Not safe,,,30-34,4.4
2019,Percent,совсем не безопасно,,,30-34,0.7
2019,Percent,затруднились ответить,,,30-34,1.2
2019,Percent,,,,35-39,100.0
2019,Percent,Total security,,,35-39,50.2
2019,Percent,Relatively safe,,,35-39,43.4
2019,Percent,Not safe,,,35-39,4.6
2019,Percent,совсем не безопасно,,,35-39,0.9
2019,Percent,затруднились ответить,,,35-39,1.0
2019,Percent,,,,40-44,100.0
2019,Percent,Total security,,,40-44,51.3
2019,Percent,Relatively safe,,,40-44,41.6
2019,Percent,Not safe,,,40-44,5.2
2019,Percent,совсем не безопасно,,,40-44,0.7
2019,Percent,затруднились ответить,,,40-44,1.1
2019,Percent,,,,45-49,100.0
2019,Percent,Total security,,,45-49,49.8
2019,Percent,Relatively safe,,,45-49,43.4
2019,Percent,Not safe,,,45-49,5.3
2019,Percent,совсем не безопасно,,,45-49,0.7
2019,Percent,затруднились ответить,,,45-49,0.8
2019,Percent,,,,50-54,100.0
2019,Percent,Total security,,,50-54,49.3
2019,Percent,Relatively safe,,,50-54,42.3
2019,Percent,Not safe,,,50-54,5.6
2019,Percent,совсем не безопасно,,,50-54,1.3
2019,Percent,затруднились ответить,,,50-54,1.5
2019,Percent,,,,55-59,100.0
2019,Percent,Total security,,,55-59,45.2
2019,Percent,Relatively safe,,,55-59,46.2
2019,Percent,Not safe,,,55-59,5.8
2019,Percent,совсем не безопасно,,,55-59,1.2
2019,Percent,затруднились ответить,,,55-59,1.6
2019,Percent,,,,60+,100.0
2019,Percent,Total security,,,60+,41.4
2019,Percent,Relatively safe,,,60+,46.7
2019,Percent,Not safe,,,60+,8.5
2019,Percent,совсем не безопасно,,,60+,1.2
2019,Percent,затруднились ответить,,,60+,2.1
