Year,UNIT_MEASURE,Regions,Area,Sex,Age,Value
2010,Percent,Shygys Kazakhstan,Population of rural areas,,,4.7
2010,Percent,,,,Y15,6.8
2010,Percent,,,,16-24,5.2
2010,Percent,,,,25-28,8.4
2010,Percent,,,,29-34,5.8
2010,Percent,,,,35-44,5.3
2010,Percent,,,,45-54,5.2
2010,Percent,,,,55-64,6.0
2010,Percent,Akmola,,,16-24,6.0
2010,Percent,Akmola,,,25-28,5.2
2010,Percent,Akmola,,,29-34,4.9
2010,Percent,Akmola,,,35-44,6.4
2010,Percent,Akmola,,,45-54,6.1
2010,Percent,Akmola,,,55-64,6.3
2010,Percent,Aktobe,,,16-24,2.2
2010,Percent,Aktobe,,,25-28,7.6
2010,Percent,Aktobe,,,29-34,7.5
2010,Percent,Aktobe,,,35-44,6.8
2010,Percent,Aktobe,,,45-54,4.2
2010,Percent,Aktobe,,,55-64,1.2
2010,Percent,Almaty,,,Y15,53.1
2010,Percent,Almaty,,,16-24,3.3
2010,Percent,Almaty,,,25-28,5.0
2010,Percent,Almaty,,,29-34,5.1
2010,Percent,Almaty,,,35-44,4.4
2010,Percent,Almaty,,,45-54,5.6
2010,Percent,Almaty,,,55-64,13.3
2010,Percent,Atyrau,,,16-24,1.5
2010,Percent,Atyrau,,,25-28,15.4
2010,Percent,Atyrau,,,29-34,6.2
2010,Percent,Atyrau,,,35-44,3.7
2010,Percent,Atyrau,,,45-54,3.5
2010,Percent,Atyrau,,,55-64,5.4
2010,Percent,Batys Kazakhstan,,,16-24,6.5
2010,Percent,Batys Kazakhstan,,,25-28,6.4
2010,Percent,Batys Kazakhstan,,,29-34,6.9
2010,Percent,Batys Kazakhstan,,,35-44,5.9
2010,Percent,Batys Kazakhstan,,,45-54,5.1
2010,Percent,Batys Kazakhstan,,,55-64,1.9
2010,Percent,Zhambyl,,,16-24,6.0
2010,Percent,Zhambyl,,,25-28,1.9
2010,Percent,Zhambyl,,,29-34,9.7
2010,Percent,Zhambyl,,,35-44,7.7
2010,Percent,Zhambyl,,,45-54,4.3
2010,Percent,Zhambyl,,,55-64,1.2
2010,Percent,Karagandy,,,16-24,5.9
2010,Percent,Karagandy,,,25-28,9.9
2010,Percent,Karagandy,,,29-34,5.5
2010,Percent,Karagandy,,,35-44,4.8
2010,Percent,Karagandy,,,45-54,4.6
2010,Percent,Karagandy,,,55-64,4.2
2010,Percent,Kostanay,,,16-24,5.3
2010,Percent,Kostanay,,,25-28,13.3
2010,Percent,Kostanay,,,29-34,5.1
2010,Percent,Kostanay,,,35-44,3.6
2010,Percent,Kostanay,,,45-54,4.4
2010,Percent,Kostanay,,,55-64,8.4
2010,Percent,Kyzylorda,,,16-24,6.5
2010,Percent,Kyzylorda,,,25-28,8.6
2010,Percent,Kyzylorda,,,29-34,4.1
2010,Percent,Kyzylorda,,,35-44,4.0
2010,Percent,Kyzylorda,,,45-54,6.1
2010,Percent,Kyzylorda,,,55-64,10.8
2010,Percent,Mangistau,,,16-24,7.0
2010,Percent,Mangistau,,,25-28,11.7
2010,Percent,Mangistau,,,29-34,2.7
2010,Percent,Mangistau,,,35-44,3.9
2010,Percent,Mangistau,,,45-54,10.4
2010,Percent,Mangistau,,,55-64,8.4
2010,Percent,Ontustik Kazakhstan,,,16-24,2.1
2010,Percent,Ontustik Kazakhstan,,,25-28,11.3
2010,Percent,Ontustik Kazakhstan,,,29-34,6.1
2010,Percent,Ontustik Kazakhstan,,,35-44,6.0
2010,Percent,Ontustik Kazakhstan,,,45-54,5.3
2010,Percent,Ontustik Kazakhstan,,,55-64,2.9
2010,Percent,Pavlodar,,,Y15,3.1
2010,Percent,Pavlodar,,,16-24,5.5
2010,Percent,Pavlodar,,,25-28,8.8
2010,Percent,Pavlodar,,,29-34,4.3
2010,Percent,Pavlodar,,,35-44,4.6
2010,Percent,Pavlodar,,,45-54,6.4
2010,Percent,Pavlodar,,,55-64,4.9
2010,Percent,Soltustik Kazakhstan,,,16-24,5.9
2010,Percent,Soltustik Kazakhstan,,,25-28,9.8
2010,Percent,Soltustik Kazakhstan,,,29-34,7.6
2010,Percent,Soltustik Kazakhstan,,,35-44,4.7
2010,Percent,Soltustik Kazakhstan,,,45-54,4.2
2010,Percent,Soltustik Kazakhstan,,,55-64,5.8
2010,Percent,Shygys Kazakhstan,,,16-24,7.0
2010,Percent,Shygys Kazakhstan,,,25-28,6.7
2010,Percent,Shygys Kazakhstan,,,29-34,4.4
2010,Percent,Shygys Kazakhstan,,,35-44,5.0
2010,Percent,Shygys Kazakhstan,,,45-54,4.9
2010,Percent,Shygys Kazakhstan,,,55-64,8.8
2010,Percent,Nur-Sultan city,,,16-24,11.2
2010,Percent,Nur-Sultan city,,,25-28,4.7
2010,Percent,Nur-Sultan city,,,29-34,6.6
2010,Percent,Nur-Sultan city,,,35-44,6.4
2010,Percent,Nur-Sultan city,,,45-54,5.6
2010,Percent,Nur-Sultan city,,,55-64,2.9
2010,Percent,Almaty city,,,16-24,9.0
2010,Percent,Almaty city,,,25-28,8.5
2010,Percent,Almaty city,,,29-34,5.7
2010,Percent,Almaty city,,,35-44,5.6
2010,Percent,Almaty city,,,45-54,5.5
2010,Percent,Almaty city,,,55-64,4.2
2011,Percent,,,,,5.4
2011,Percent,Akmola,,,,5.5
2011,Percent,Aktobe,,,,4.9
2011,Percent,Almaty,,,,5.1
2011,Percent,Atyrau,,,,5.0
2011,Percent,Batys Kazakhstan,,,,5.3
2011,Percent,Zhambyl,,,,5.5
2011,Percent,Karagandy,,,,5.3
2011,Percent,Kostanay,,,,5.4
2011,Percent,Kyzylorda,,,,5.5
2011,Percent,Mangistau,,,,5.8
2011,Percent,Ontustik Kazakhstan,,,,5.7
2011,Percent,Pavlodar,,,,5.2
2011,Percent,Soltustik Kazakhstan,,,,5.4
2011,Percent,Shygys Kazakhstan,,,,5.2
2011,Percent,Nur-Sultan city,,,,5.8
2011,Percent,Almaty city,,,,5.6
2011,Percent,,,Male,,4.6
2011,Percent,Akmola,,Male,,5.3
2011,Percent,Aktobe,,Male,,3.5
2011,Percent,Almaty,,Male,,5.1
2011,Percent,Atyrau,,Male,,4.2
2011,Percent,Batys Kazakhstan,,Male,,4.9
2011,Percent,Zhambyl,,Male,,4.9
2011,Percent,Karagandy,,Male,,3.7
2011,Percent,Kostanay,,Male,,4.8
2011,Percent,Kyzylorda,,Male,,5.2
2011,Percent,Mangistau,,Male,,5.4
2011,Percent,Ontustik Kazakhstan,,Male,,5.1
2011,Percent,Pavlodar,,Male,,4.4
2011,Percent,Soltustik Kazakhstan,,Male,,5.3
2011,Percent,Shygys Kazakhstan,,Male,,3.7
2011,Percent,Nur-Sultan city,,Male,,4.0
2011,Percent,Almaty city,,Male,,4.4
2011,Percent,,,Female,,6.2
2011,Percent,Akmola,,Female,,5.6
2011,Percent,Aktobe,,Female,,6.2
2011,Percent,Almaty,,Female,,5.0
2011,Percent,Atyrau,,Female,,5.9
2011,Percent,Batys Kazakhstan,,Female,,5.8
2011,Percent,Zhambyl,,Female,,6.1
2011,Percent,Karagandy,,Female,,6.8
2011,Percent,Kostanay,,Female,,5.9
2011,Percent,Kyzylorda,,Female,,5.8
2011,Percent,Mangistau,,Female,,6.3
2011,Percent,Ontustik Kazakhstan,,Female,,6.4
2011,Percent,Pavlodar,,Female,,6.0
2011,Percent,Soltustik Kazakhstan,,Female,,5.6
2011,Percent,Shygys Kazakhstan,,Female,,6.8
2011,Percent,Nur-Sultan city,,Female,,7.8
2011,Percent,Almaty city,,Female,,6.7
2011,Percent,,Population of urban areas,,,5.8
2011,Percent,Akmola,Population of urban areas,,,5.2
2011,Percent,Aktobe,Population of urban areas,,,4.7
2011,Percent,Almaty,Population of urban areas,,,6.0
2011,Percent,Atyrau,Population of urban areas,,,5.2
2011,Percent,Batys Kazakhstan,Population of urban areas,,,4.9
2011,Percent,Zhambyl,Population of urban areas,,,6.8
2011,Percent,Karagandy,Population of urban areas,,,5.3
2011,Percent,Kostanay,Population of urban areas,,,7.4
2011,Percent,Kyzylorda,Population of urban areas,,,5.1
2011,Percent,Mangistau,Population of urban areas,,,4.9
2011,Percent,Ontustik Kazakhstan,Population of urban areas,,,6.7
2011,Percent,Pavlodar,Population of urban areas,,,5.8
2011,Percent,Soltustik Kazakhstan,Population of urban areas,,,5.8
2011,Percent,Shygys Kazakhstan,Population of urban areas,,,5.7
2011,Percent,Nur-Sultan city,Population of urban areas,,,5.8
2011,Percent,Almaty city,Population of urban areas,,,5.6
2011,Percent,,Population of rural areas,,,4.9
2011,Percent,Akmola,Population of rural areas,,,5.7
2011,Percent,Aktobe,Population of rural areas,,,5.0
2011,Percent,Almaty,Population of rural areas,,,4.8
2011,Percent,Atyrau,Population of rural areas,,,4.9
2011,Percent,Batys Kazakhstan,Population of rural areas,,,5.6
2011,Percent,Zhambyl,Population of rural areas,,,4.6
2011,Percent,Karagandy,Population of rural areas,,,5.1
2011,Percent,Kostanay,Population of rural areas,,,3.5
2011,Percent,Kyzylorda,Population of rural areas,,,5.8
2011,Percent,Mangistau,Population of rural areas,,,7.2
2011,Percent,Ontustik Kazakhstan,Population of rural areas,,,5.1
2011,Percent,Pavlodar,Population of rural areas,,,4.1
2011,Percent,Soltustik Kazakhstan,Population of rural areas,,,5.2
2011,Percent,Shygys Kazakhstan,Population of rural areas,,,4.6
2011,Percent,,,,16-24,4.6
2011,Percent,,,,25-28,7.8
2011,Percent,,,,29-34,6.6
2011,Percent,,,,35-44,4.7
2011,Percent,,,,45-54,4.5
2011,Percent,,,,55-64,5.3
2011,Percent,Akmola,,,16-24,4.8
2011,Percent,Akmola,,,25-28,6.0
2011,Percent,Akmola,,,29-34,5.2
2011,Percent,Akmola,,,35-44,5.8
2011,Percent,Akmola,,,45-54,5.5
2011,Percent,Akmola,,,55-64,6.0
2011,Percent,Aktobe,,,16-24,2.1
2011,Percent,Aktobe,,,25-28,7.5
2011,Percent,Aktobe,,,29-34,6.7
2011,Percent,Aktobe,,,35-44,5.4
2011,Percent,Aktobe,,,45-54,3.2
2011,Percent,Aktobe,,,55-64,3.4
2011,Percent,Almaty,,,16-24,2.1
2011,Percent,Almaty,,,25-28,6.2
2011,Percent,Almaty,,,29-34,8.0
2011,Percent,Almaty,,,35-44,3.4
2011,Percent,Almaty,,,45-54,4.0
2011,Percent,Almaty,,,55-64,10.2
2011,Percent,Atyrau,,,16-24,0.8
2011,Percent,Atyrau,,,25-28,9.2
2011,Percent,Atyrau,,,29-34,8.1
2011,Percent,Atyrau,,,35-44,3.1
2011,Percent,Atyrau,,,45-54,4.2
2011,Percent,Atyrau,,,55-64,7.8
2011,Percent,Batys Kazakhstan,,,16-24,5.5
2011,Percent,Batys Kazakhstan,,,25-28,4.4
2011,Percent,Batys Kazakhstan,,,29-34,6.4
2011,Percent,Batys Kazakhstan,,,35-44,5.9
2011,Percent,Batys Kazakhstan,,,45-54,5.2
2011,Percent,Batys Kazakhstan,,,55-64,2.7
2011,Percent,Zhambyl,,,16-24,5.6
2011,Percent,Zhambyl,,,25-28,7.8
2011,Percent,Zhambyl,,,29-34,6.6
2011,Percent,Zhambyl,,,35-44,5.1
2011,Percent,Zhambyl,,,45-54,3.7
2011,Percent,Zhambyl,,,55-64,5.4
2011,Percent,Karagandy,,,16-24,5.0
2011,Percent,Karagandy,,,25-28,7.7
2011,Percent,Karagandy,,,29-34,5.2
2011,Percent,Karagandy,,,35-44,4.4
2011,Percent,Karagandy,,,45-54,6.0
2011,Percent,Karagandy,,,55-64,3.6
2011,Percent,Kostanay,,,16-24,5.0
2011,Percent,Kostanay,,,25-28,11.0
2011,Percent,Kostanay,,,29-34,6.7
2011,Percent,Kostanay,,,35-44,4.7
2011,Percent,Kostanay,,,45-54,4.1
2011,Percent,Kostanay,,,55-64,3.5
2011,Percent,Kyzylorda,,,16-24,6.8
2011,Percent,Kyzylorda,,,25-28,6.4
2011,Percent,Kyzylorda,,,29-34,4.9
2011,Percent,Kyzylorda,,,35-44,5.2
2011,Percent,Kyzylorda,,,45-54,4.3
2011,Percent,Kyzylorda,,,55-64,7.3
2011,Percent,Mangistau,,,16-24,6.2
2011,Percent,Mangistau,,,25-28,9.2
2011,Percent,Mangistau,,,29-34,6.1
2011,Percent,Mangistau,,,35-44,4.0
2011,Percent,Mangistau,,,45-54,5.3
2011,Percent,Mangistau,,,55-64,7.4
2011,Percent,Ontustik Kazakhstan,,,16-24,1.8
2011,Percent,Ontustik Kazakhstan,,,25-28,9.3
2011,Percent,Ontustik Kazakhstan,,,29-34,9.8
2011,Percent,Ontustik Kazakhstan,,,35-44,4.7
2011,Percent,Ontustik Kazakhstan,,,45-54,4.0
2011,Percent,Ontustik Kazakhstan,,,55-64,3.6
2011,Percent,Pavlodar,,,16-24,4.6
2011,Percent,Pavlodar,,,25-28,9.0
2011,Percent,Pavlodar,,,29-34,4.5
2011,Percent,Pavlodar,,,35-44,4.0
2011,Percent,Pavlodar,,,45-54,5.3
2011,Percent,Pavlodar,,,55-64,5.5
2011,Percent,Soltustik Kazakhstan,,,16-24,5.8
2011,Percent,Soltustik Kazakhstan,,,25-28,9.0
2011,Percent,Soltustik Kazakhstan,,,29-34,6.4
2011,Percent,Soltustik Kazakhstan,,,35-44,4.0
2011,Percent,Soltustik Kazakhstan,,,45-54,5.1
2011,Percent,Soltustik Kazakhstan,,,55-64,4.9
2011,Percent,Shygys Kazakhstan,,,16-24,9.2
2011,Percent,Shygys Kazakhstan,,,25-28,5.0
2011,Percent,Shygys Kazakhstan,,,29-34,5.9
2011,Percent,Shygys Kazakhstan,,,35-44,4.1
2011,Percent,Shygys Kazakhstan,,,45-54,4.0
2011,Percent,Shygys Kazakhstan,,,55-64,4.4
2011,Percent,Nur-Sultan city,,,16-24,9.0
2011,Percent,Nur-Sultan city,,,25-28,8.2
2011,Percent,Nur-Sultan city,,,29-34,4.5
2011,Percent,Nur-Sultan city,,,35-44,6.2
2011,Percent,Nur-Sultan city,,,45-54,4.6
2011,Percent,Nur-Sultan city,,,55-64,3.3
2011,Percent,Almaty city,,,16-24,6.6
2011,Percent,Almaty city,,,25-28,7.3
2011,Percent,Almaty city,,,29-34,5.6
2011,Percent,Almaty city,,,35-44,5.4
2011,Percent,Almaty city,,,45-54,4.9
2011,Percent,Almaty city,,,55-64,4.1
2012,Percent,,,,,5.3
2012,Percent,Akmola,,,,5.3
2012,Percent,Aktobe,,,,5.0
2012,Percent,Almaty,,,,5.0
2012,Percent,Atyrau,,,,5.0
2012,Percent,Batys Kazakhstan,,,,5.1
2012,Percent,Zhambyl,,,,5.4
2012,Percent,Karagandy,,,,5.1
2012,Percent,Kostanay,,,,5.2
2012,Percent,Kyzylorda,,,,5.3
2012,Percent,Mangistau,,,,5.7
2012,Percent,Ontustik Kazakhstan,,,,5.6
2012,Percent,Pavlodar,,,,4.9
2012,Percent,Soltustik Kazakhstan,,,,5.2
2012,Percent,Shygys Kazakhstan,,,,5.1
2012,Percent,Nur-Sultan city,,,,5.7
2012,Percent,Almaty city,,,,5.6
2012,Percent,,,Male,,4.1
2012,Percent,Akmola,,Male,,4.0
2012,Percent,Aktobe,,Male,,2.9
2012,Percent,Almaty,,Male,,3.6
2012,Percent,Atyrau,,Male,,3.9
2012,Percent,Batys Kazakhstan,,Male,,5.2
2012,Percent,Zhambyl,,Male,,5.3
2012,Percent,Karagandy,,Male,,3.7
2012,Percent,Kostanay,,Male,,4.2
2012,Percent,Kyzylorda,,Male,,4.0
2012,Percent,Mangistau,,Male,,5.0
2012,Percent,Ontustik Kazakhstan,,Male,,4.4
2012,Percent,Pavlodar,,Male,,4.1
2012,Percent,Soltustik Kazakhstan,,Male,,4.1
2012,Percent,Shygys Kazakhstan,,Male,,4.5
2012,Percent,Nur-Sultan city,,Male,,5.5
2012,Percent,Almaty city,,Male,,3.0
2012,Percent,,,Female,,6.5
2012,Percent,Akmola,,Female,,6.6
2012,Percent,Aktobe,,Female,,6.9
2012,Percent,Almaty,,Female,,6.5
2012,Percent,Atyrau,,Female,,6.1
2012,Percent,Batys Kazakhstan,,Female,,5.1
2012,Percent,Zhambyl,,Female,,5.6
2012,Percent,Karagandy,,Female,,6.6
2012,Percent,Kostanay,,Female,,6.3
2012,Percent,Kyzylorda,,Female,,6.8
2012,Percent,Mangistau,,Female,,6.5
2012,Percent,Ontustik Kazakhstan,,Female,,7.0
2012,Percent,Pavlodar,,Female,,5.8
2012,Percent,Soltustik Kazakhstan,,Female,,6.3
2012,Percent,Shygys Kazakhstan,,Female,,5.7
2012,Percent,Nur-Sultan city,,Female,,5.9
2012,Percent,Almaty city,,Female,,8.0
2012,Percent,,Population of urban areas,,,5.6
2012,Percent,Akmola,Population of urban areas,,,4.8
2012,Percent,Aktobe,Population of urban areas,,,5.4
2012,Percent,Almaty,Population of urban areas,,,4.4
2012,Percent,Atyrau,Population of urban areas,,,4.4
2012,Percent,Batys Kazakhstan,Population of urban areas,,,5.0
2012,Percent,Zhambyl,Population of urban areas,,,6.8
2012,Percent,Karagandy,Population of urban areas,,,5.1
2012,Percent,Kostanay,Population of urban areas,,,7.1
2012,Percent,Kyzylorda,Population of urban areas,,,5.0
2012,Percent,Mangistau,Population of urban areas,,,4.8
2012,Percent,Ontustik Kazakhstan,Population of urban areas,,,6.5
2012,Percent,Pavlodar,Population of urban areas,,,5.5
2012,Percent,Soltustik Kazakhstan,Population of urban areas,,,5.6
2012,Percent,Shygys Kazakhstan,Population of urban areas,,,5.5
2012,Percent,Nur-Sultan city,Population of urban areas,,,5.7
2012,Percent,Almaty city,Population of urban areas,,,5.6
2012,Percent,,Population of rural areas,,,5.0
2012,Percent,Akmola,Population of rural areas,,,5.8
2012,Percent,Aktobe,Population of rural areas,,,4.2
2012,Percent,Almaty,Population of rural areas,,,5.2
2012,Percent,Atyrau,Population of rural areas,,,5.5
2012,Percent,Batys Kazakhstan,Population of rural areas,,,5.2
2012,Percent,Zhambyl,Population of rural areas,,,4.6
2012,Percent,Karagandy,Population of rural areas,,,5.3
2012,Percent,Kostanay,Population of rural areas,,,3.5
2012,Percent,Kyzylorda,Population of rural areas,,,5.6
2012,Percent,Mangistau,Population of rural areas,,,6.7
2012,Percent,Ontustik Kazakhstan,Population of rural areas,,,5.1
2012,Percent,Pavlodar,Population of rural areas,,,3.9
2012,Percent,Soltustik Kazakhstan,Population of rural areas,,,5.0
2012,Percent,Shygys Kazakhstan,Population of rural areas,,,4.5
2012,Percent,,,,16-24,4.0
2012,Percent,,,,25-28,7.0
2012,Percent,,,,29-34,6.0
2012,Percent,,,,35-44,5.1
2012,Percent,,,,45-54,4.9
2012,Percent,,,,55-64,5.1
2012,Percent,Akmola,,,16-24,3.7
2012,Percent,Akmola,,,25-28,7.0
2012,Percent,Akmola,,,29-34,7.4
2012,Percent,Akmola,,,35-44,4.8
2012,Percent,Akmola,,,45-54,4.3
2012,Percent,Akmola,,,55-64,6.0
2012,Percent,Aktobe,,,16-24,2.3
2012,Percent,Aktobe,,,25-28,6.8
2012,Percent,Aktobe,,,29-34,7.2
2012,Percent,Aktobe,,,35-44,4.0
2012,Percent,Aktobe,,,45-54,4.1
2012,Percent,Aktobe,,,55-64,3.8
2012,Percent,Almaty,,,16-24,1.9
2012,Percent,Almaty,,,25-28,6.0
2012,Percent,Almaty,,,29-34,4.7
2012,Percent,Almaty,,,35-44,6.3
2012,Percent,Almaty,,,45-54,5.4
2012,Percent,Almaty,,,55-64,6.5
2012,Percent,Atyrau,,,16-24,1.0
2012,Percent,Atyrau,,,25-28,6.8
2012,Percent,Atyrau,,,29-34,5.9
2012,Percent,Atyrau,,,35-44,3.5
2012,Percent,Atyrau,,,45-54,5.8
2012,Percent,Atyrau,,,55-64,10.3
2012,Percent,Batys Kazakhstan,,,16-24,5.0
2012,Percent,Batys Kazakhstan,,,25-28,9.2
2012,Percent,Batys Kazakhstan,,,29-34,6.7
2012,Percent,Batys Kazakhstan,,,35-44,4.5
2012,Percent,Batys Kazakhstan,,,45-54,3.9
2012,Percent,Batys Kazakhstan,,,55-64,4.8
2012,Percent,Zhambyl,,,16-24,5.6
2012,Percent,Zhambyl,,,25-28,10.9
2012,Percent,Zhambyl,,,29-34,2.8
2012,Percent,Zhambyl,,,35-44,3.7
2012,Percent,Zhambyl,,,45-54,3.8
2012,Percent,Zhambyl,,,55-64,9.6
2012,Percent,Karagandy,,,16-24,4.8
2012,Percent,Karagandy,,,25-28,5.4
2012,Percent,Karagandy,,,29-34,6.2
2012,Percent,Karagandy,,,35-44,5.6
2012,Percent,Karagandy,,,45-54,5.6
2012,Percent,Karagandy,,,55-64,2.1
2012,Percent,Kostanay,,,16-24,5.2
2012,Percent,Kostanay,,,25-28,7.3
2012,Percent,Kostanay,,,29-34,5.7
2012,Percent,Kostanay,,,35-44,6.8
2012,Percent,Kostanay,,,45-54,4.5
2012,Percent,Kostanay,,,55-64,2.5
2012,Percent,Kyzylorda,,,16-24,6.9
2012,Percent,Kyzylorda,,,25-28,5.9
2012,Percent,Kyzylorda,,,29-34,5.5
2012,Percent,Kyzylorda,,,35-44,4.9
2012,Percent,Kyzylorda,,,45-54,3.9
2012,Percent,Kyzylorda,,,55-64,7.2
2012,Percent,Mangistau,,,16-24,4.3
2012,Percent,Mangistau,,,25-28,4.8
2012,Percent,Mangistau,,,29-34,9.5
2012,Percent,Mangistau,,,35-44,4.5
2012,Percent,Mangistau,,,45-54,4.5
2012,Percent,Mangistau,,,55-64,4.4
2012,Percent,Ontustik Kazakhstan,,,16-24,0.9
2012,Percent,Ontustik Kazakhstan,,,25-28,9.3
2012,Percent,Ontustik Kazakhstan,,,29-34,8.2
2012,Percent,Ontustik Kazakhstan,,,35-44,4.8
2012,Percent,Ontustik Kazakhstan,,,45-54,5.8
2012,Percent,Ontustik Kazakhstan,,,55-64,3.6
2012,Percent,Pavlodar,,,16-24,4.1
2012,Percent,Pavlodar,,,25-28,6.2
2012,Percent,Pavlodar,,,29-34,2.9
2012,Percent,Pavlodar,,,35-44,4.6
2012,Percent,Pavlodar,,,45-54,5.4
2012,Percent,Pavlodar,,,55-64,7.6
2012,Percent,Soltustik Kazakhstan,,,16-24,4.3
2012,Percent,Soltustik Kazakhstan,,,25-28,8.9
2012,Percent,Soltustik Kazakhstan,,,29-34,3.9
2012,Percent,Soltustik Kazakhstan,,,35-44,5.9
2012,Percent,Soltustik Kazakhstan,,,45-54,5.0
2012,Percent,Soltustik Kazakhstan,,,55-64,4.8
2012,Percent,Shygys Kazakhstan,,,16-24,5.7
2012,Percent,Shygys Kazakhstan,,,25-28,6.3
2012,Percent,Shygys Kazakhstan,,,29-34,8.7
2012,Percent,Shygys Kazakhstan,,,35-44,4.5
2012,Percent,Shygys Kazakhstan,,,45-54,3.0
2012,Percent,Shygys Kazakhstan,,,55-64,2.5
2012,Percent,Nur-Sultan city,,,16-24,8.9
2012,Percent,Nur-Sultan city,,,25-28,5.2
2012,Percent,Nur-Sultan city,,,29-34,5.9
2012,Percent,Nur-Sultan city,,,35-44,4.3
2012,Percent,Nur-Sultan city,,,45-54,5.3
2012,Percent,Nur-Sultan city,,,55-64,4.7
2012,Percent,Almaty city,,,16-24,6.0
2012,Percent,Almaty city,,,25-28,4.9
2012,Percent,Almaty city,,,29-34,3.7
2012,Percent,Almaty city,,,35-44,6.8
2012,Percent,Almaty city,,,45-54,6.7
2012,Percent,Almaty city,,,55-64,5.6
2013,Percent,,,,,5.2
2013,Percent,Akmola,,,,5.2
2013,Percent,Aktobe,,,,4.9
2013,Percent,Almaty,,,,4.9
2013,Percent,Atyrau,,,,5.0
2013,Percent,Batys Kazakhstan,,,,5.1
