Year,UNIT_MEASURE,SERIES,Sex,Regions,Value
2015,Percent,ii) basic math skills (based on gender and 3rd grade),Male,,99.977
2015,Percent,ii) basic math skills (based on gender and 3rd grade),Female,,99.977
2015,Percent,ii) basic math skills (based on gender and 2nd grade),,,99.973
2015,Percent,ii) basic math skills (based on gender and 2nd grade),Male,,99.978
2015,Percent,ii) basic math skills (based on gender and 2nd grade),Female,,99.968
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,96.5
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Male,,96.5
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Female,,96.5
2015,Percent,math skills,,,67.8
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Male,,68.5
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Female,,67.2
2015,Percent,math skills,Male,Akmola,62.0
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Female,Akmola,57.0
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Male,Aktobe,59.0
2015,Percent,math skills,Female,Aktobe,65.0
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Male,Almaty,77.0
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Female,Almaty,76.0
2015,Percent,math skills,Male,Atyrau,38.0
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Female,Atyrau,51.0
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Male,Batys Kazakhstan,80.0
2015,Percent,math skills,Female,Batys Kazakhstan,74.0
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Male,Zhambyl,79.0
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Female,Zhambyl,83.0
2015,Percent,math skills,Male,Karagandy,75.0
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Female,Karagandy,71.0
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Male,Kostanay,57.0
2015,Percent,math skills,Female,Kostanay,58.0
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Male,Kyzylorda,76.0
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Female,Kyzylorda,77.0
2015,Percent,math skills,Male,Mangistau,60.0
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Female,Mangistau,62.0
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Male,Ontustik Kazakhstan,56.0
2015,Percent,math skills,Female,Ontustik Kazakhstan,57.0
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Male,Pavlodar,69.0
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Female,Pavlodar,64.0
2015,Percent,math skills,Male,Soltustik Kazakhstan,65.0
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Female,Soltustik Kazakhstan,70.0
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Male,Shygys Kazakhstan,72.0
2015,Percent,math skills,Female,Shygys Kazakhstan,72.0
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Male,Nur-Sultan city,85.0
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Female,Nur-Sultan city,82.0
2015,Percent,math skills,Male,Almaty city,66.0
2015,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Female,Almaty city,75.0
2015,Percent,math skills,,,90.8
2015,Percent,math skills,Male,,91.9
2015,Percent,math skills,Female,,89.7
2015,Percent,math skills,Male,Akmola,89.36
2015,Percent,math skills,Female,Akmola,90.76
2015,Percent,math skills,Male,Aktobe,90.81
2015,Percent,math skills,Female,Aktobe,89.19
2015,Percent,math skills,Male,Almaty,85.36
2015,Percent,math skills,Female,Almaty,87.63
2015,Percent,math skills,Male,Atyrau,70.78
2015,Percent,math skills,Female,Atyrau,78.48
2015,Percent,math skills,Male,Batys Kazakhstan,97.04
2015,Percent,math skills,Female,Batys Kazakhstan,97.91
2015,Percent,math skills,Male,Zhambyl,94.57
2015,Percent,math skills,Female,Zhambyl,97.43
2015,Percent,math skills,Male,Karagandy,93.69
2015,Percent,math skills,Female,Karagandy,93.33
2015,Percent,math skills,Male,Kostanay,82.12
2015,Percent,math skills,Female,Kostanay,89.48
2015,Percent,math skills,Male,Kyzylorda,98.02
2015,Percent,math skills,Female,Kyzylorda,98.78
2015,Percent,math skills,Male,Mangistau,82.36
2015,Percent,math skills,Female,Mangistau,88.87
2015,Percent,math skills,Male,Ontustik Kazakhstan,85.74
2015,Percent,math skills,Female,Ontustik Kazakhstan,88.95
2015,Percent,math skills,Male,Pavlodar,91.1
2015,Percent,math skills,Female,Pavlodar,93.79
2015,Percent,math skills,Male,Soltustik Kazakhstan,93.04
2015,Percent,math skills,Female,Soltustik Kazakhstan,94.69
2015,Percent,math skills,Male,Shygys Kazakhstan,98.99
2015,Percent,math skills,Female,Shygys Kazakhstan,99.4
2015,Percent,math skills,Male,Nur-Sultan city,85.04
2015,Percent,math skills,Female,Nur-Sultan city,95.37
2015,Percent,math skills,Male,Almaty city,97.17
2015,Percent,math skills,Female,Almaty city,92.92
2016,Percent,math skills,,,98.0
2016,Percent,math skills,Male,,98.0
2016,Percent,math skills,Female,,98.0
2018,Percent,i) literacy (based on gender),,,35.8
2018,Percent,i) literacy (based on gender),Male,,29.34
2018,Percent,i) literacy (based on gender),Female,,42.66
2018,Percent,i) literacy (based on gender),Male,Akmola,37.25
2018,Percent,i) literacy (based on gender),Female,Akmola,48.81
2018,Percent,i) literacy (based on gender),Male,Aktobe,22.52
2018,Percent,i) literacy (based on gender),Female,Aktobe,42.35
2018,Percent,i) literacy (based on gender),Male,Almaty,15.42
2018,Percent,i) literacy (based on gender),Female,Almaty,30.1
2018,Percent,i) literacy (based on gender),Male,Atyrau,9.88
2018,Percent,i) literacy (based on gender),Female,Atyrau,23.02
2018,Percent,i) literacy (based on gender),Male,Batys Kazakhstan,23.66
2018,Percent,i) literacy (based on gender),Female,Batys Kazakhstan,38.99
2018,Percent,i) literacy (based on gender),Male,Zhambyl,20.86
2018,Percent,i) literacy (based on gender),Female,Zhambyl,28.49
2018,Percent,i) literacy (based on gender),Male,Karagandy,45.62
2018,Percent,i) literacy (based on gender),Female,Karagandy,61.58
2018,Percent,i) literacy (based on gender),Male,Kostanay,47.43
2018,Percent,i) literacy (based on gender),Female,Kostanay,60.8
2018,Percent,i) literacy (based on gender),Male,Kyzylorda,15.91
2018,Percent,i) literacy (based on gender),Female,Kyzylorda,28.81
2018,Percent,i) literacy (based on gender),Male,Mangistau,15.74
2018,Percent,i) literacy (based on gender),Female,Mangistau,28.06
2018,Percent,i) literacy (based on gender),Male,Ontustik Kazakhstan,18.02
2018,Percent,i) literacy (based on gender),Female,Ontustik Kazakhstan,32.52
2018,Percent,i) literacy (based on gender),Male,Pavlodar,38.13
2018,Percent,i) literacy (based on gender),Female,Pavlodar,42.06
2018,Percent,i) literacy (based on gender),Male,Soltustik Kazakhstan,45.38
2018,Percent,i) literacy (based on gender),Female,Soltustik Kazakhstan,59.7
2018,Percent,i) literacy (based on gender),Male,Shygys Kazakhstan,37.05
2018,Percent,i) literacy (based on gender),Female,Shygys Kazakhstan,55.91
2018,Percent,i) literacy (based on gender),Male,Nur-Sultan city,53.4
2018,Percent,i) literacy (based on gender),Female,Nur-Sultan city,60.67
2018,Percent,i) literacy (based on gender),Male,Almaty city,48.11
2018,Percent,i) literacy (based on gender),Female,Almaty city,61.21
2018,Percent,math skills,,,50.9
2018,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Male,,50.9
2018,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Female,,51.0
2018,Percent,math skills,Male,Akmola,47.5
2018,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Female,Akmola,44.1
2018,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Male,Aktobe,49.4
2018,Percent,math skills,Female,Aktobe,52.0
2018,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Male,Almaty,40.0
2018,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Female,Almaty,38.6
2018,Percent,math skills,Male,Atyrau,28.9
2018,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Female,Atyrau,33.3
2018,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Male,Batys Kazakhstan,47.0
2018,Percent,math skills,Female,Batys Kazakhstan,50.3
2018,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Male,Zhambyl,68.6
2018,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Female,Zhambyl,68.3
2018,Percent,math skills,Male,Karagandy,61.6
2018,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Female,Karagandy,58.1
2018,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Male,Kostanay,64.4
2018,Percent,math skills,Female,Kostanay,62.8
2018,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Male,Kyzylorda,47.7
2018,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Female,Kyzylorda,53.3
2018,Percent,math skills,Male,Mangistau,32.9
2018,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Female,Mangistau,37.2
2018,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Male,Ontustik Kazakhstan,40.4
2018,Percent,math skills,Female,Ontustik Kazakhstan,40.6
2018,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Male,Pavlodar,61.9
2018,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Female,Pavlodar,54.8
2018,Percent,math skills,Male,Soltustik Kazakhstan,56.4
2018,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Female,Soltustik Kazakhstan,53.4
2018,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Male,Shygys Kazakhstan,55.6
2018,Percent,math skills,Female,Shygys Kazakhstan,60.7
2018,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Male,Nur-Sultan city,65.2
2018,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Female,Nur-Sultan city,59.8
2018,Percent,math skills,Male,Almaty city,62.1
2018,Percent,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],Female,Almaty city,60.9
