Year,UNIT_MEASURE,Mother's education,Area,Regions,Value
2015,Percent,Elementary education/ High education (incomplete),Population of rural areas,,1.0
2015,Percent,Elementary education/ High education (incomplete),,Akmola,0.99
2015,Percent,Elementary education/ High education (incomplete),,Aktobe,1.01
2015,Percent,Elementary education/ High education (incomplete),,Almaty,1.0
2015,Percent,Elementary education/ High education (incomplete),,Atyrau,0.94
2015,Percent,Elementary education/ High education (incomplete),,Batys Kazakhstan,0.99
2015,Percent,Elementary education/ High education (incomplete),,Zhambyl,1.0
2015,Percent,Elementary education/ High education (incomplete),,Karagandy,1.01
2015,Percent,Elementary education/ High education (incomplete),,Kostanay,1.01
2015,Percent,Elementary education/ High education (incomplete),,Kyzylorda,0.99
2015,Percent,Elementary education/ High education (incomplete),,Mangistau,1.01
2015,Percent,Elementary education/ High education (incomplete),,Ontustik Kazakhstan,1.0
2015,Percent,Elementary education/ High education (incomplete),,Pavlodar,1.01
2015,Percent,Elementary education/ High education (incomplete),,Soltustik Kazakhstan,1.01
2015,Percent,Elementary education/ High education (incomplete),,Shygys Kazakhstan,1.0
2015,Percent,Elementary education/ High education (incomplete),,Nur-Sultan city,1.02
2015,Percent,Elementary education/ High education (incomplete),,Almaty city,0.98
2015,Percent,High Education (Incomplete),,,1.0
2015,Percent,High Education (Incomplete),Population of urban areas,,1.0
2015,Percent,High Education (Incomplete),Population of rural areas,,1.0
2015,Percent,High Education (Incomplete),,Akmola,1.0
2015,Percent,High Education (Incomplete),,Aktobe,1.0
2015,Percent,High Education (Incomplete),,Almaty,1.02
2015,Percent,High Education (Incomplete),,Atyrau,1.0
2015,Percent,High Education (Incomplete),,Batys Kazakhstan,1.01
2015,Percent,High Education (Incomplete),,Zhambyl,0.99
2015,Percent,High Education (Incomplete),,Karagandy,1.01
2015,Percent,High Education (Incomplete),,Kostanay,1.0
2015,Percent,High Education (Incomplete),,Kyzylorda,1.0
2015,Percent,High Education (Incomplete),,Mangistau,1.0
2015,Percent,High Education (Incomplete),,Ontustik Kazakhstan,0.99
2015,Percent,High Education (Incomplete),,Pavlodar,0.99
2015,Percent,High Education (Incomplete),,Soltustik Kazakhstan,1.01
2015,Percent,High Education (Incomplete),,Shygys Kazakhstan,1.0
2015,Percent,High Education (Incomplete),,Nur-Sultan city,1.01
2015,Percent,High Education (Incomplete),,Almaty city,1.02
2015,Percent,secondary (high school),,,1.01
2015,Percent,secondary (high school),Population of urban areas,,1.03
2015,Percent,secondary (high school),Population of rural areas,,0.98
2015,Percent,secondary (high school),,Akmola,1.12
2015,Percent,secondary (high school),,Aktobe,1.02
2015,Percent,secondary (high school),,Almaty,1.01
2015,Percent,secondary (high school),,Atyrau,0.98
2015,Percent,secondary (high school),,Zhambyl,0.94
2015,Percent,secondary (high school),,Kostanay,1.0
2015,Percent,secondary (high school),,Kyzylorda,0.99
2015,Percent,secondary (high school),,Mangistau,1.03
2015,Percent,secondary (high school),,Ontustik Kazakhstan,0.98
2015,Percent,secondary (high school),,Soltustik Kazakhstan,1.0
2015,Percent,secondary (high school),,Nur-Sultan city,1.18
2015,Percent,secondary (high school),,Almaty city,1.0
