Year,UNIT_MEASURE,SERIES,Age,Area,Sex,Regions,Value
2010,Percent,Strong deviation from the norm,,,,Ontustik Kazakhstan,5.8
2010,Percent,Strong deviation from the norm,,,,Pavlodar,2.5
2010,Percent,Strong deviation from the norm,,,,Soltustik Kazakhstan,2.3
2010,Percent,Strong deviation from the norm,,,,Shygys Kazakhstan,7.2
2010,Percent,Strong deviation from the norm,,,,Nur-Sultan city,10.1
2010,Percent,Strong deviation from the norm,,,,Almaty city,7.1
2010,Percent,Strong deviation from the norm,M0T5,,,,3.7
2010,Percent,Strong deviation from the norm,M6T11,,,,6.6
2010,Percent,Strong deviation from the norm,M12T23,,,,8.1
2010,Percent,Strong deviation from the norm,M24T35,,,,6.5
2010,Percent,Strong deviation from the norm,36-47 months,,,,5.3
2010,Percent,Strong deviation from the norm,48-59 months,,,,1.7
2015,Percent,Rate of deviation from the norm (moderate and strong),,,,,8.0
2015,Percent,Rate of deviation from the norm (moderate and strong),,,Male,,7.7
2015,Percent,Rate of deviation from the norm (moderate and strong),,,Female,,8.3
2015,Percent,Rate of deviation from the norm (moderate and strong),,Population of urban areas,,,7.2
2015,Percent,Rate of deviation from the norm (moderate and strong),,Population of rural areas,,,8.9
2015,Percent,Rate of deviation from the norm (moderate and strong),,,,Akmola,2.9
2015,Percent,Rate of deviation from the norm (moderate and strong),,,,Aktobe,6.6
2015,Percent,Rate of deviation from the norm (moderate and strong),,,,Almaty,8.1
2015,Percent,Rate of deviation from the norm (moderate and strong),,,,Atyrau,11.8
2015,Percent,Rate of deviation from the norm (moderate and strong),,,,Batys Kazakhstan,7.4
2015,Percent,Rate of deviation from the norm (moderate and strong),,,,Zhambyl,6.9
2015,Percent,Rate of deviation from the norm (moderate and strong),,,,Karagandy,5.4
2015,Percent,Rate of deviation from the norm (moderate and strong),,,,Kostanay,11.4
2015,Percent,Rate of deviation from the norm (moderate and strong),,,,Kyzylorda,10.0
2015,Percent,Rate of deviation from the norm (moderate and strong),,,,Mangistau,4.5
2015,Percent,Rate of deviation from the norm (moderate and strong),,,,Ontustik Kazakhstan,11.4
2015,Percent,Rate of deviation from the norm (moderate and strong),,,,Pavlodar,5.5
2015,Percent,Rate of deviation from the norm (moderate and strong),,,,Soltustik Kazakhstan,2.3
2015,Percent,Rate of deviation from the norm (moderate and strong),,,,Shygys Kazakhstan,7.2
2015,Percent,Rate of deviation from the norm (moderate and strong),,,,Nur-Sultan city,7.1
2015,Percent,Rate of deviation from the norm (moderate and strong),,,,Almaty city,6.3
2015,Percent,Rate of deviation from the norm (moderate and strong),M0T5,,,,5.0
2015,Percent,Rate of deviation from the norm (moderate and strong),M6T11,,,,5.8
2015,Percent,Rate of deviation from the norm (moderate and strong),M12T17,,,,6.8
2015,Percent,Rate of deviation from the norm (moderate and strong),M18T23,,,,11.0
2015,Percent,Rate of deviation from the norm (moderate and strong),M24T35,,,,11.5
2015,Percent,Rate of deviation from the norm (moderate and strong),36-47 months,,,,8.4
2015,Percent,Rate of deviation from the norm (moderate and strong),48-59 months,,,,6.0
2015,Percent,Strong deviation from the norm,,,,,2.4
2015,Percent,Strong deviation from the norm,,,Male,,2.3
2015,Percent,Strong deviation from the norm,,,Female,,2.6
2015,Percent,Strong deviation from the norm,,Population of urban areas,,,2.3
2015,Percent,Strong deviation from the norm,,Population of rural areas,,,2.5
2015,Percent,Strong deviation from the norm,,,,Akmola,0.1
2015,Percent,Strong deviation from the norm,,,,Aktobe,4.1
2015,Percent,Strong deviation from the norm,,,,Almaty,2.3
2015,Percent,Strong deviation from the norm,,,,Atyrau,4.2
2015,Percent,Strong deviation from the norm,,,,Batys Kazakhstan,2.5
2015,Percent,Strong deviation from the norm,,,,Zhambyl,2.5
2015,Percent,Strong deviation from the norm,,,,Karagandy,0.0
2015,Percent,Strong deviation from the norm,,,,Kostanay,3.3
2015,Percent,Strong deviation from the norm,,,,Kyzylorda,3.3
2015,Percent,Strong deviation from the norm,,,,Mangistau,2.0
2015,Percent,Strong deviation from the norm,,,,Ontustik Kazakhstan,2.4
2015,Percent,Strong deviation from the norm,,,,Pavlodar,1.6
2015,Percent,Strong deviation from the norm,,,,Soltustik Kazakhstan,0.0
2015,Percent,Strong deviation from the norm,,,,Shygys Kazakhstan,2.2
2015,Percent,Strong deviation from the norm,,,,Nur-Sultan city,3.5
2015,Percent,Strong deviation from the norm,,,,Almaty city,2.7
2015,Percent,Strong deviation from the norm,M0T5,,,,1.9
2015,Percent,Strong deviation from the norm,M6T11,,,,1.6
2015,Percent,Strong deviation from the norm,M12T17,,,,3.2
2015,Percent,Strong deviation from the norm,M18T23,,,,5.0
2015,Percent,Strong deviation from the norm,M24T35,,,,3.0
2015,Percent,Strong deviation from the norm,36-47 months,,,,2.0
2015,Percent,Strong deviation from the norm,48-59 months,,,,1.4
