Year,UNIT_MEASURE,Area,Regions,Value
2016,Percent,Population of urban areas,Shygys Kazakhstan,97.2
2016,Percent,Population of rural areas,Shygys Kazakhstan,43.1
2016,Percent,,Nur-Sultan city,94.0
2016,Percent,,Almaty city,96.0
2017,Percent,Population of urban areas,,90.0
2017,Percent,Population of rural areas,,55.0
2017,Percent,Population of urban areas,Akmola,86.0
2017,Percent,Population of rural areas,Akmola,58.1
2017,Percent,Population of urban areas,Aktobe,100.0
2017,Percent,Population of rural areas,Aktobe,46.9
2017,Percent,Population of urban areas,Almaty,96.9
2017,Percent,Population of rural areas,Almaty,87.1
2017,Percent,Population of urban areas,Atyrau,100.0
2017,Percent,Population of rural areas,Atyrau,78.0
2017,Percent,Population of urban areas,Batys Kazakhstan,90.4
2017,Percent,Population of rural areas,Batys Kazakhstan,40.4
2017,Percent,Population of urban areas,Zhambyl,84.8
2017,Percent,Population of rural areas,Zhambyl,62.2
2017,Percent,Population of urban areas,Karagandy,86.6
2017,Percent,Population of rural areas,Karagandy,55.1
2017,Percent,Population of urban areas,Kostanay,97.6
2017,Percent,Population of rural areas,Kostanay,30.8
2017,Percent,Population of urban areas,Kyzylorda,98.3
2017,Percent,Population of rural areas,Kyzylorda,75.0
2017,Percent,Population of urban areas,Mangistau,99.8
2017,Percent,Population of rural areas,Mangistau,63.9
2017,Percent,Population of urban areas,Ontustik Kazakhstan,93.4
2017,Percent,Population of rural areas,Ontustik Kazakhstan,73.6
2017,Percent,Population of urban areas,Pavlodar,90.0
2017,Percent,Population of rural areas,Pavlodar,23.8
2017,Percent,Population of urban areas,Soltustik Kazakhstan,100.0
2017,Percent,Population of rural areas,Soltustik Kazakhstan,57.5
2017,Percent,Population of urban areas,Shygys Kazakhstan,97.3
2017,Percent,Population of rural areas,Shygys Kazakhstan,47.8
2017,Percent,,Nur-Sultan city,94.5
2017,Percent,,Almaty city,95.0
2018,Percent,Population of urban areas,,94.5
2018,Percent,Population of rural areas,,56.9
2018,Percent,Population of urban areas,Akmola,86.0
2018,Percent,Population of rural areas,Akmola,59.4
2018,Percent,Population of urban areas,Aktobe,98.5
2018,Percent,Population of rural areas,Aktobe,54.8
2018,Percent,Population of urban areas,Almaty,96.8
2018,Percent,Population of rural areas,Almaty,89.5
2018,Percent,Population of urban areas,Atyrau,100.0
2018,Percent,Population of rural areas,Atyrau,79.32
2018,Percent,Population of urban areas,Batys Kazakhstan,94.8
2018,Percent,Population of rural areas,Batys Kazakhstan,46.3
2018,Percent,Population of urban areas,Zhambyl,88.0
2018,Percent,Population of rural areas,Zhambyl,53.4
2018,Percent,Population of urban areas,Karagandy,92.0
2018,Percent,Population of rural areas,Karagandy,55.3
2018,Percent,Population of urban areas,Kostanay,97.6
2018,Percent,Population of rural areas,Kostanay,31.4
2018,Percent,Population of urban areas,Kyzylorda,93.0
2018,Percent,Population of rural areas,Kyzylorda,76.5
2018,Percent,Population of urban areas,Mangistau,100.0
2018,Percent,Population of rural areas,Mangistau,69.0
2018,Percent,Population of urban areas,Pavlodar,92.0
2018,Percent,Population of rural areas,Pavlodar,29.7
2018,Percent,Population of urban areas,Soltustik Kazakhstan,100.0
2018,Percent,Population of rural areas,Soltustik Kazakhstan,59.6
2018,Percent,Population of urban areas,Turkistan,96.3
2018,Percent,Population of rural areas,Turkistan,75.5
2018,Percent,Population of urban areas,Shygys Kazakhstan,97.8
2018,Percent,Population of rural areas,Shygys Kazakhstan,53.7
2018,Percent,,Nur-Sultan city,95.0
2018,Percent,,Almaty city,97.5
2018,Percent,,Shymkent city,93.0
2019,Percent,Population of urban areas,,97.2
2019,Percent,Population of rural areas,,86.4
2019,Percent,Population of urban areas,Akmola,97.8
2019,Percent,Population of rural areas,Akmola,78.1
2019,Percent,Population of urban areas,Aktobe,99.2
2019,Percent,Population of rural areas,Aktobe,85.7
2019,Percent,Population of urban areas,Almaty,96.8
2019,Percent,Population of rural areas,Almaty,98.8
2019,Percent,Population of urban areas,Atyrau,100.0
2019,Percent,Population of rural areas,Atyrau,98.4
2019,Percent,Population of urban areas,Batys Kazakhstan,95.9
2019,Percent,Population of rural areas,Batys Kazakhstan,86.5
2019,Percent,Population of urban areas,Zhambyl,88.0
2019,Percent,Population of rural areas,Zhambyl,72.6
2019,Percent,Population of urban areas,Karagandy,97.0
2019,Percent,Population of rural areas,Karagandy,89.5
2019,Percent,Population of urban areas,Kostanay,97.9
2019,Percent,Population of rural areas,Kostanay,61.1
2019,Percent,Population of urban areas,Kyzylorda,98.2
2019,Percent,Population of rural areas,Kyzylorda,97.2
2019,Percent,Population of urban areas,Mangistau,100.0
2019,Percent,Population of rural areas,Mangistau,75.4
2019,Percent,Population of urban areas,Pavlodar,93.0
2019,Percent,Population of rural areas,Pavlodar,73.3
2019,Percent,Population of urban areas,Soltustik Kazakhstan,100.0
2019,Percent,Population of rural areas,Soltustik Kazakhstan,81.7
2019,Percent,Population of urban areas,Turkistan,97.9
2019,Percent,Population of rural areas,Turkistan,91.0
2019,Percent,Population of urban areas,Shygys Kazakhstan,98.2
2019,Percent,Population of rural areas,Shygys Kazakhstan,78.0
2019,Percent,,Nur-Sultan city,99.9
2019,Percent,,Almaty city,97.7
2019,Percent,,Shymkent city,94.7
