Year,UNIT_MEASURE,Sex,Regions,Value
2016,Percent,Female,Zhambyl,100.0
2016,Percent,Male,Karagandy,97.24794020215748
2016,Percent,Female,Karagandy,96.27645560727144
2016,Percent,Male,Kostanay,100.0
2016,Percent,Female,Kostanay,100.0
2016,Percent,Male,Kyzylorda,100.0
2016,Percent,Female,Kyzylorda,100.0
2016,Percent,Male,Mangistau,100.0
2016,Percent,Female,Mangistau,100.0
2016,Percent,Male,Ontustik Kazakhstan,85.98361780991168
2016,Percent,Female,Ontustik Kazakhstan,90.45462462985545
2016,Percent,Male,Pavlodar,100.0
2016,Percent,Female,Pavlodar,100.0
2016,Percent,Male,Soltustik Kazakhstan,100.0
2016,Percent,Female,Soltustik Kazakhstan,100.0
2016,Percent,Male,Shygys Kazakhstan,100.0
2016,Percent,Female,Shygys Kazakhstan,100.0
2016,Percent,Male,Nur-Sultan city,92.793014389374
2016,Percent,Female,Nur-Sultan city,77.94717629375134
2016,Percent,Male,Almaty city,97.80531260123097
2016,Percent,Female,Almaty city,81.96733372572102
2017,Percent,,,99.19755003760682
2017,Percent,Male,,99.77661051741832
2017,Percent,Female,,98.59434698979564
2017,Percent,,Akmola,100.0
2017,Percent,,Aktobe,100.0
2017,Percent,,Almaty,100.0
2017,Percent,,Atyrau,100.0
2017,Percent,,Batys Kazakhstan,100.0
2017,Percent,,Zhambyl,100.0
2017,Percent,,Karagandy,100.0
2017,Percent,,Kostanay,100.0
2017,Percent,,Kyzylorda,100.0
2017,Percent,,Mangistau,100.0
2017,Percent,,Ontustik Kazakhstan,100.0
2017,Percent,,Pavlodar,100.0
2017,Percent,,Soltustik Kazakhstan,96.1
2017,Percent,,Shygys Kazakhstan,100.0
2017,Percent,,Nur-Sultan city,89.3
2017,Percent,,Almaty city,95.4
2017,Percent,Male,Akmola,100.0
2017,Percent,Female,Akmola,100.0
2017,Percent,Male,Aktobe,100.0
2017,Percent,Female,Aktobe,100.0
2017,Percent,Male,Almaty,100.0
2017,Percent,Female,Almaty,100.0
2017,Percent,Male,Atyrau,100.0
2017,Percent,Female,Atyrau,100.0
2017,Percent,Male,Batys Kazakhstan,100.0
2017,Percent,Female,Batys Kazakhstan,100.0
2017,Percent,Male,Zhambyl,100.0
2017,Percent,Female,Zhambyl,100.0
2017,Percent,Male,Karagandy,100.0
2017,Percent,Female,Karagandy,100.0
2017,Percent,Male,Kostanay,100.0
2017,Percent,Female,Kostanay,100.0
2017,Percent,Male,Kyzylorda,100.0
2017,Percent,Female,Kyzylorda,100.0
2017,Percent,Male,Mangistau,100.0
2017,Percent,Female,Mangistau,100.0
2017,Percent,Male,Ontustik Kazakhstan,100.0
2017,Percent,Female,Ontustik Kazakhstan,100.0
2017,Percent,Male,Pavlodar,100.0
2017,Percent,Female,Pavlodar,100.0
2017,Percent,Male,Soltustik Kazakhstan,93.96976090014064
2017,Percent,Female,Soltustik Kazakhstan,98.47939175670268
2017,Percent,Male,Shygys Kazakhstan,100.0
2017,Percent,Female,Shygys Kazakhstan,100.0
2017,Percent,Male,Nur-Sultan city,88.93717182690567
2017,Percent,Female,Nur-Sultan city,89.72860538827258
2017,Percent,Male,Almaty city,100.0
2017,Percent,Female,Almaty city,86.6578415662231
2018,Percent,,,93.83096929119436
2018,Percent,Male,,91.65236639043032
2018,Percent,Female,,96.26536706438978
2018,Percent,,Akmola,100.0
2018,Percent,,Aktobe,100.0
2018,Percent,,Almaty,100.0
2018,Percent,,Atyrau,100.0
2018,Percent,,Batys Kazakhstan,100.0
2018,Percent,,Zhambyl,91.3
2018,Percent,,Karagandy,100.0
2018,Percent,,Kostanay,100.0
2018,Percent,,Kyzylorda,100.0
2018,Percent,,Mangistau,100.0
2018,Percent,,Pavlodar,100.0
2018,Percent,,Soltustik Kazakhstan,100.0
2018,Percent,,Turkistan,90.2
2018,Percent,,Shygys Kazakhstan,100.0
2018,Percent,,Nur-Sultan city,66.7
2018,Percent,,Almaty city,80.2
2018,Percent,,Shymkent city,89.4
2018,Percent,Male,Akmola,100.0
2018,Percent,Female,Akmola,100.0
2018,Percent,Male,Aktobe,100.0
2018,Percent,Female,Aktobe,100.0
2018,Percent,Male,Almaty,100.0
2018,Percent,Female,Almaty,100.0
2018,Percent,Male,Atyrau,100.0
2018,Percent,Female,Atyrau,100.0
2018,Percent,Male,Batys Kazakhstan,100.0
2018,Percent,Female,Batys Kazakhstan,100.0
2018,Percent,Male,Zhambyl,100.0
2018,Percent,Female,Zhambyl,82.15533623490468
2018,Percent,Male,Karagandy,100.0
2018,Percent,Female,Karagandy,100.0
2018,Percent,Male,Kostanay,100.0
2018,Percent,Female,Kostanay,100.0
2018,Percent,Male,Kyzylorda,100.0
2018,Percent,Female,Kyzylorda,100.0
2018,Percent,Male,Mangistau,100.0
2018,Percent,Female,Mangistau,100.0
2018,Percent,Male,Turkistan,88.08910636106103
2018,Percent,Female,Turkistan,92.53446387960804
2018,Percent,Male,Pavlodar,100.0
2018,Percent,Female,Pavlodar,100.0
2018,Percent,Male,Soltustik Kazakhstan,100.0
2018,Percent,Female,Soltustik Kazakhstan,100.0
2018,Percent,Male,Shygys Kazakhstan,100.0
2018,Percent,Female,Shygys Kazakhstan,100.0
2018,Percent,Male,Nur-Sultan city,67.87322480083131
2018,Percent,Female,Nur-Sultan city,65.53822521564457
2018,Percent,Male,Almaty city,78.37239759743485
2018,Percent,Female,Almaty city,82.22153273347813
2018,Percent,Male,Shymkent city,88.21177032350484
2018,Percent,Female,Shymkent city,90.7781358942314
2019,Percent,,,98.3
2019,Percent,Male,,98.3
2019,Percent,Female,,98.7
2019,Percent,,Akmola,100.0
2019,Percent,,Aktobe,100.0
2019,Percent,,Almaty,100.0
2019,Percent,,Atyrau,100.0
2019,Percent,,Batys Kazakhstan,100.0
2019,Percent,,Zhambyl,100.0
2019,Percent,,Karagandy,100.0
2019,Percent,,Kostanay,100.0
2019,Percent,,Kyzylorda,100.0
2019,Percent,,Mangistau,100.0
2019,Percent,,Pavlodar,100.0
2019,Percent,,Soltustik Kazakhstan,100.0
2019,Percent,,Turkistan,100.0
2019,Percent,,Shygys Kazakhstan,100.0
2019,Percent,,Nur-Sultan city,98.6
2019,Percent,,Almaty city,81.4
2019,Percent,,Shymkent city,100.0
2019,Percent,Male,Akmola,100.0
2019,Percent,Female,Akmola,100.0
2019,Percent,Male,Aktobe,100.0
2019,Percent,Female,Aktobe,100.0
2019,Percent,Male,Almaty,100.0
2019,Percent,Female,Almaty,100.0
2019,Percent,Male,Atyrau,100.0
2019,Percent,Female,Atyrau,100.0
2019,Percent,Male,Batys Kazakhstan,100.0
2019,Percent,Female,Batys Kazakhstan,100.0
2019,Percent,Male,Zhambyl,100.0
2019,Percent,Female,Zhambyl,100.0
2019,Percent,Male,Karagandy,100.0
2019,Percent,Female,Karagandy,100.0
2019,Percent,Male,Kostanay,100.0
2019,Percent,Female,Kostanay,100.0
2019,Percent,Male,Kyzylorda,100.0
2019,Percent,Female,Kyzylorda,100.0
2019,Percent,Male,Mangistau,100.0
2019,Percent,Female,Mangistau,100.0
2019,Percent,Male,Turkistan,100.0
2019,Percent,Female,Turkistan,100.0
2019,Percent,Male,Pavlodar,100.0
2019,Percent,Female,Pavlodar,100.0
2019,Percent,Male,Soltustik Kazakhstan,100.0
2019,Percent,Female,Soltustik Kazakhstan,100.0
2019,Percent,Male,Shygys Kazakhstan,100.0
2019,Percent,Female,Shygys Kazakhstan,100.0
2019,Percent,Male,Nur-Sultan city,97.3
2019,Percent,Female,Nur-Sultan city,98.5
2019,Percent,Male,Almaty city,79.4
2019,Percent,Female,Almaty city,83.6
2019,Percent,Male,Shymkent city,100.0
2019,Percent,Female,Shymkent city,100.0
