Year,UNIT_MEASURE,Regions,Area,Sex,Value
2010,per 100000 population,Zhambyl,,Female,2.25
2010,per 100000 population,Karagandy,,Female,6.32
2010,per 100000 population,Kostanay,,Female,6.86
2010,per 100000 population,Kyzylorda,,Female,1.72
2010,per 100000 population,Mangistau,,Female,0.77
2010,per 100000 population,Ontustik Kazakhstan,,Female,1.71
2010,per 100000 population,Pavlodar,,Female,6.59
2010,per 100000 population,Soltustik Kazakhstan,,Female,1.61
2010,per 100000 population,Shygys Kazakhstan,,Female,6.4
2010,per 100000 population,Nur-Sultan city,,Female,4.92
2010,per 100000 population,Almaty city,,Female,4.08
2010,per 100000 population,,Population of urban areas,Female,4.59
2010,per 100000 population,Akmola,Population of urban areas,Female,7.67
2010,per 100000 population,Aktobe,Population of urban areas,Female,2.4
2010,per 100000 population,Almaty,Population of urban areas,Female,6.56
2010,per 100000 population,Atyrau,Population of urban areas,Female,0.76
2010,per 100000 population,Batys Kazakhstan,Population of urban areas,Female,5.2
2010,per 100000 population,Zhambyl,Population of urban areas,Female,4.03
2010,per 100000 population,Karagandy,Population of urban areas,Female,6.74
2010,per 100000 population,Kostanay,Population of urban areas,Female,6.24
2010,per 100000 population,Kyzylorda,Population of urban areas,Female,0.66
2010,per 100000 population,Mangistau,Population of urban areas,Female,1.43
2010,per 100000 population,Ontustik Kazakhstan,Population of urban areas,Female,2.12
2010,per 100000 population,Pavlodar,Population of urban areas,Female,4.71
2010,per 100000 population,Soltustik Kazakhstan,Population of urban areas,Female,0.77
2010,per 100000 population,Shygys Kazakhstan,Population of urban areas,Female,8.02
2010,per 100000 population,Nur-Sultan city,Population of urban areas,Female,4.92
2010,per 100000 population,Almaty city,Population of urban areas,Female,4.08
2010,per 100000 population,,Population of rural areas,Female,3.14
2010,per 100000 population,Akmola,Population of rural areas,Female,5.06
2010,per 100000 population,Aktobe,Population of rural areas,Female,4.67
2010,per 100000 population,Almaty,Population of rural areas,Female,3.07
2010,per 100000 population,Atyrau,Population of rural areas,Female,0.73
2010,per 100000 population,Batys Kazakhstan,Population of rural areas,Female,3.13
2010,per 100000 population,Zhambyl,Population of rural areas,Female,0.97
2010,per 100000 population,Karagandy,Population of rural areas,Female,4.71
2010,per 100000 population,Kostanay,Population of rural areas,Female,7.53
2010,per 100000 population,Kyzylorda,Population of rural areas,Female,2.53
2010,per 100000 population,Mangistau,Population of rural areas,Female,0.0
2010,per 100000 population,Ontustik Kazakhstan,Population of rural areas,Female,1.44
2010,per 100000 population,Pavlodar,Population of rural areas,Female,10.92
2010,per 100000 population,Soltustik Kazakhstan,Population of rural areas,Female,2.23
2010,per 100000 population,Shygys Kazakhstan,Population of rural areas,Female,4.03
2011,per 100000 population,,,,5.99
2011,per 100000 population,Akmola,,,10.38
2011,per 100000 population,Aktobe,,,2.69
2011,per 100000 population,Almaty,,,5.66
2011,per 100000 population,Atyrau,,,4.84
2011,per 100000 population,Batys Kazakhstan,,,6.06
2011,per 100000 population,Zhambyl,,,5.42
2011,per 100000 population,Karagandy,,,9.74
2011,per 100000 population,Kostanay,,,9.77
2011,per 100000 population,Kyzylorda,,,0.42
2011,per 100000 population,Mangistau,,,1.87
2011,per 100000 population,Ontustik Kazakhstan,,,1.77
2011,per 100000 population,Pavlodar,,,8.97
2011,per 100000 population,Soltustik Kazakhstan,,,1.7
2011,per 100000 population,Shygys Kazakhstan,,,7.45
2011,per 100000 population,Nur-Sultan city,,,8.06
2011,per 100000 population,Almaty city,,,10.62
2011,per 100000 population,,Population of urban areas,,7.33
2011,per 100000 population,Akmola,Population of urban areas,,11.4
2011,per 100000 population,Aktobe,Population of urban areas,,2.49
2011,per 100000 population,Almaty,Population of urban areas,,8.61
2011,per 100000 population,Atyrau,Population of urban areas,,6.22
2011,per 100000 population,Batys Kazakhstan,Population of urban areas,,7.49
2011,per 100000 population,Zhambyl,Population of urban areas,,6.15
2011,per 100000 population,Karagandy,Population of urban areas,,11.33
2011,per 100000 population,Kostanay,Population of urban areas,,9.44
2011,per 100000 population,Kyzylorda,Population of urban areas,,0.0
2011,per 100000 population,Mangistau,Population of urban areas,,1.43
2011,per 100000 population,Ontustik Kazakhstan,Population of urban areas,,2.95
2011,per 100000 population,Pavlodar,Population of urban areas,,7.79
2011,per 100000 population,Soltustik Kazakhstan,Population of urban areas,,0.42
2011,per 100000 population,Shygys Kazakhstan,Population of urban areas,,7.78
2011,per 100000 population,Nur-Sultan city,Population of urban areas,,8.06
2011,per 100000 population,Almaty city,Population of urban areas,,10.62
2011,per 100000 population,,Population of rural areas,,4.38
2011,per 100000 population,Akmola,Population of rural areas,,9.48
2011,per 100000 population,Aktobe,Population of rural areas,,3.0
2011,per 100000 population,Almaty,Population of rural areas,,4.76
2011,per 100000 population,Atyrau,Population of rural areas,,3.57
2011,per 100000 population,Batys Kazakhstan,Population of rural areas,,4.73
2011,per 100000 population,Zhambyl,Population of rural areas,,4.93
2011,per 100000 population,Karagandy,Population of rural areas,,4.06
2011,per 100000 population,Kostanay,Population of rural areas,,10.1
2011,per 100000 population,Kyzylorda,Population of rural areas,,0.74
2011,per 100000 population,Mangistau,Population of rural areas,,2.34
2011,per 100000 population,Ontustik Kazakhstan,Population of rural areas,,1.01
2011,per 100000 population,Pavlodar,Population of rural areas,,11.56
2011,per 100000 population,Soltustik Kazakhstan,Population of rural areas,,2.59
2011,per 100000 population,Shygys Kazakhstan,Population of rural areas,,6.99
2011,per 100000 population,,,Male,8.74
2011,per 100000 population,Akmola,,Male,15.0
2011,per 100000 population,Aktobe,,Male,3.19
2011,per 100000 population,Almaty,,Male,8.94
2011,per 100000 population,Atyrau,,Male,5.7
2011,per 100000 population,Batys Kazakhstan,,Male,8.49
2011,per 100000 population,Zhambyl,,Male,7.01
2011,per 100000 population,Karagandy,,Male,13.28
2011,per 100000 population,Kostanay,,Male,14.68
2011,per 100000 population,Kyzylorda,,Male,0.57
2011,per 100000 population,Mangistau,,Male,2.26
2011,per 100000 population,Ontustik Kazakhstan,,Male,2.18
2011,per 100000 population,Pavlodar,,Male,15.09
2011,per 100000 population,Soltustik Kazakhstan,,Male,1.07
2011,per 100000 population,Shygys Kazakhstan,,Male,10.85
2011,per 100000 population,Nur-Sultan city,,Male,13.18
2011,per 100000 population,Almaty city,,Male,18.05
2011,per 100000 population,,Population of urban areas,Male,11.33
2011,per 100000 population,Akmola,Population of urban areas,Male,16.25
2011,per 100000 population,Aktobe,Population of urban areas,Male,3.09
2011,per 100000 population,Almaty,Population of urban areas,Male,15.26
2011,per 100000 population,Atyrau,Population of urban areas,Male,8.14
2011,per 100000 population,Batys Kazakhstan,Population of urban areas,Male,11.04
2011,per 100000 population,Zhambyl,Population of urban areas,Male,9.04
2011,per 100000 population,Karagandy,Population of urban areas,Male,15.86
2011,per 100000 population,Kostanay,Population of urban areas,Male,15.26
2011,per 100000 population,Kyzylorda,Population of urban areas,Male,0.0
2011,per 100000 population,Mangistau,Population of urban areas,Male,0.74
2011,per 100000 population,Ontustik Kazakhstan,Population of urban areas,Male,3.88
2011,per 100000 population,Pavlodar,Population of urban areas,Male,13.98
2011,per 100000 population,Soltustik Kazakhstan,Population of urban areas,Male,0.0
2011,per 100000 population,Shygys Kazakhstan,Population of urban areas,Male,12.36
2011,per 100000 population,Nur-Sultan city,Population of urban areas,Male,13.18
2011,per 100000 population,Almaty city,Population of urban areas,Male,18.05
2011,per 100000 population,,Population of rural areas,Male,5.82
2011,per 100000 population,Akmola,Population of rural areas,Male,13.96
2011,per 100000 population,Aktobe,Population of rural areas,Male,3.34
2011,per 100000 population,Almaty,Population of rural areas,Male,7.1
2011,per 100000 population,Atyrau,Population of rural areas,Male,3.56
2011,per 100000 population,Batys Kazakhstan,Population of rural areas,Male,6.3
2011,per 100000 population,Zhambyl,Population of rural areas,Male,5.73
2011,per 100000 population,Karagandy,Population of rural areas,Male,4.72
2011,per 100000 population,Kostanay,Population of rural areas,Male,14.13
2011,per 100000 population,Kyzylorda,Population of rural areas,Male,0.97
2011,per 100000 population,Mangistau,Population of rural areas,Male,3.85
2011,per 100000 population,Ontustik Kazakhstan,Population of rural areas,Male,1.13
2011,per 100000 population,Pavlodar,Population of rural areas,Male,17.34
2011,per 100000 population,Soltustik Kazakhstan,Population of rural areas,Male,1.75
2011,per 100000 population,Shygys Kazakhstan,Population of rural areas,Male,8.92
2011,per 100000 population,,,Female,3.43
2011,per 100000 population,Akmola,,Female,6.07
2011,per 100000 population,Aktobe,,Female,2.22
2011,per 100000 population,Almaty,,Female,2.49
2011,per 100000 population,Atyrau,,Female,4.01
2011,per 100000 population,Batys Kazakhstan,,Female,3.8
2011,per 100000 population,Zhambyl,,Female,3.9
2011,per 100000 population,Karagandy,,Female,6.57
2011,per 100000 population,Kostanay,,Female,5.38
2011,per 100000 population,Kyzylorda,,Female,0.28
2011,per 100000 population,Mangistau,,Female,1.48
2011,per 100000 population,Ontustik Kazakhstan,,Female,1.37
2011,per 100000 population,Pavlodar,,Female,3.54
2011,per 100000 population,Soltustik Kazakhstan,,Female,2.28
2011,per 100000 population,Shygys Kazakhstan,,Female,4.37
2011,per 100000 population,Nur-Sultan city,,Female,3.23
2011,per 100000 population,Almaty city,,Female,4.37
2011,per 100000 population,,Population of urban areas,Female,3.8
2011,per 100000 population,Akmola,Population of urban areas,Female,7.14
2011,per 100000 population,Aktobe,Population of urban areas,Female,1.96
2011,per 100000 population,Almaty,Population of urban areas,Female,2.59
2011,per 100000 population,Atyrau,Population of urban areas,Female,4.46
2011,per 100000 population,Batys Kazakhstan,Population of urban areas,Female,4.44
2011,per 100000 population,Zhambyl,Population of urban areas,Female,3.58
2011,per 100000 population,Karagandy,Population of urban areas,Female,7.4
2011,per 100000 population,Kostanay,Population of urban areas,Female,4.55
2011,per 100000 population,Kyzylorda,Population of urban areas,Female,0.0
2011,per 100000 population,Mangistau,Population of urban areas,Female,2.09
2011,per 100000 population,Ontustik Kazakhstan,Population of urban areas,Female,2.09
2011,per 100000 population,Pavlodar,Population of urban areas,Female,2.53
2011,per 100000 population,Soltustik Kazakhstan,Population of urban areas,Female,0.76
2011,per 100000 population,Shygys Kazakhstan,Population of urban areas,Female,3.88
2011,per 100000 population,Nur-Sultan city,Population of urban areas,Female,3.23
2011,per 100000 population,Almaty city,Population of urban areas,Female,4.37
2011,per 100000 population,,Population of rural areas,Female,2.95
2011,per 100000 population,Akmola,Population of rural areas,Female,5.08
2011,per 100000 population,Aktobe,Population of rural areas,Female,2.66
2011,per 100000 population,Almaty,Population of rural areas,Female,2.46
2011,per 100000 population,Atyrau,Population of rural areas,Female,3.58
2011,per 100000 population,Batys Kazakhstan,Population of rural areas,Female,3.16
2011,per 100000 population,Zhambyl,Population of rural areas,Female,4.13
2011,per 100000 population,Karagandy,Population of rural areas,Female,3.39
2011,per 100000 population,Kostanay,Population of rural areas,Female,6.27
2011,per 100000 population,Kyzylorda,Population of rural areas,Female,0.5
2011,per 100000 population,Mangistau,Population of rural areas,Female,0.79
2011,per 100000 population,Ontustik Kazakhstan,Population of rural areas,Female,0.89
2011,per 100000 population,Pavlodar,Population of rural areas,Female,5.92
2011,per 100000 population,Soltustik Kazakhstan,Population of rural areas,Female,3.4
2011,per 100000 population,Shygys Kazakhstan,Population of rural areas,Female,5.08
2012,per 100000 population,,,,5.84
2012,per 100000 population,Akmola,,,8.61
2012,per 100000 population,Aktobe,,,4.04
2012,per 100000 population,Almaty,,,5.91
2012,per 100000 population,Atyrau,,,3.1
2012,per 100000 population,Batys Kazakhstan,,,4.39
2012,per 100000 population,Zhambyl,,,5.93
2012,per 100000 population,Karagandy,,,11.03
2012,per 100000 population,Kostanay,,,9.66
2012,per 100000 population,Kyzylorda,,,0.56
2012,per 100000 population,Mangistau,,,1.08
2012,per 100000 population,Ontustik Kazakhstan,,,1.89
2012,per 100000 population,Pavlodar,,,7.48
2012,per 100000 population,Soltustik Kazakhstan,,,3.61
2012,per 100000 population,Shygys Kazakhstan,,,7.31
2012,per 100000 population,Nur-Sultan city,,,7.63
2012,per 100000 population,Almaty city,,,9.1
2012,per 100000 population,,Population of urban areas,,7.15
2012,per 100000 population,Akmola,Population of urban areas,,7.58
2012,per 100000 population,Aktobe,Population of urban areas,,5.12
2012,per 100000 population,Almaty,Population of urban areas,,8.25
2012,per 100000 population,Atyrau,Population of urban areas,,2.65
2012,per 100000 population,Batys Kazakhstan,Population of urban areas,,4.66
2012,per 100000 population,Zhambyl,Population of urban areas,,7.29
2012,per 100000 population,Karagandy,Population of urban areas,,11.73
2012,per 100000 population,Kostanay,Population of urban areas,,11.59
2012,per 100000 population,Kyzylorda,Population of urban areas,,0.33
2012,per 100000 population,Mangistau,Population of urban areas,,1.05
2012,per 100000 population,Ontustik Kazakhstan,Population of urban areas,,3.09
2012,per 100000 population,Pavlodar,Population of urban areas,,7.94
2012,per 100000 population,Soltustik Kazakhstan,Population of urban areas,,5.44
2012,per 100000 population,Shygys Kazakhstan,Population of urban areas,,7.37
2012,per 100000 population,Nur-Sultan city,Population of urban areas,,7.63
2012,per 100000 population,Almaty city,Population of urban areas,,9.1
2012,per 100000 population,,Population of rural areas,,4.26
2012,per 100000 population,Akmola,Population of rural areas,,9.51
2012,per 100000 population,Aktobe,Population of rural areas,,2.31
2012,per 100000 population,Almaty,Population of rural areas,,5.2
2012,per 100000 population,Atyrau,Population of rural areas,,3.51
2012,per 100000 population,Batys Kazakhstan,Population of rural areas,,4.13
2012,per 100000 population,Zhambyl,Population of rural areas,,5.02
2012,per 100000 population,Karagandy,Population of rural areas,,8.49
2012,per 100000 population,Kostanay,Population of rural areas,,7.65
2012,per 100000 population,Kyzylorda,Population of rural areas,,0.73
2012,per 100000 population,Mangistau,Population of rural areas,,1.1
2012,per 100000 population,Ontustik Kazakhstan,Population of rural areas,,1.12
2012,per 100000 population,Pavlodar,Population of rural areas,,6.47
2012,per 100000 population,Soltustik Kazakhstan,Population of rural areas,,2.33
2012,per 100000 population,Shygys Kazakhstan,Population of rural areas,,7.23
2012,per 100000 population,,,Male,8.86
2012,per 100000 population,Akmola,,Male,13.01
2012,per 100000 population,Aktobe,,Male,5.51
2012,per 100000 population,Almaty,,Male,8.34
2012,per 100000 population,Atyrau,,Male,4.46
2012,per 100000 population,Batys Kazakhstan,,Male,7.07
2012,per 100000 population,Zhambyl,,Male,8.27
2012,per 100000 population,Karagandy,,Male,17.43
2012,per 100000 population,Kostanay,,Male,14.69
2012,per 100000 population,Kyzylorda,,Male,0.83
2012,per 100000 population,Mangistau,,Male,1.81
2012,per 100000 population,Ontustik Kazakhstan,,Male,2.74
2012,per 100000 population,Pavlodar,,Male,11.93
2012,per 100000 population,Soltustik Kazakhstan,,Male,5.41
2012,per 100000 population,Shygys Kazakhstan,,Male,10.71
2012,per 100000 population,Nur-Sultan city,,Male,11.43
2012,per 100000 population,Almaty city,,Male,16.36
2012,per 100000 population,,Population of urban areas,Male,11.07
2012,per 100000 population,Akmola,Population of urban areas,Male,11.83
2012,per 100000 population,Aktobe,Population of urban areas,Male,6.53
2012,per 100000 population,Almaty,Population of urban areas,Male,9.38
2012,per 100000 population,Atyrau,Population of urban areas,Male,3.17
2012,per 100000 population,Batys Kazakhstan,Population of urban areas,Male,7.93
2012,per 100000 population,Zhambyl,Population of urban areas,Male,9.97
2012,per 100000 population,Karagandy,Population of urban areas,Male,18.8
2012,per 100000 population,Kostanay,Population of urban areas,Male,17.07
2012,per 100000 population,Kyzylorda,Population of urban areas,Male,0.67
2012,per 100000 population,Mangistau,Population of urban areas,Male,1.44
2012,per 100000 population,Ontustik Kazakhstan,Population of urban areas,Male,4.6
2012,per 100000 population,Pavlodar,Population of urban areas,Male,13.47
2012,per 100000 population,Soltustik Kazakhstan,Population of urban areas,Male,9.25
2012,per 100000 population,Shygys Kazakhstan,Population of urban areas,Male,10.96
2012,per 100000 population,Nur-Sultan city,Population of urban areas,Male,11.43
2012,per 100000 population,Almaty city,Population of urban areas,Male,16.36
2012,per 100000 population,,Population of rural areas,Male,6.36
2012,per 100000 population,Akmola,Population of rural areas,Male,13.99
2012,per 100000 population,Aktobe,Population of rural areas,Male,3.96
2012,per 100000 population,Almaty,Population of rural areas,Male,8.04
2012,per 100000 population,Atyrau,Population of rural areas,Male,5.59
2012,per 100000 population,Batys Kazakhstan,Population of rural areas,Male,6.32
2012,per 100000 population,Zhambyl,Population of rural areas,Male,7.21
2012,per 100000 population,Karagandy,Population of rural areas,Male,12.84
2012,per 100000 population,Kostanay,Population of rural areas,Male,12.37
2012,per 100000 population,Kyzylorda,Population of rural areas,Male,0.95
2012,per 100000 population,Mangistau,Population of rural areas,Male,2.18
2012,per 100000 population,Ontustik Kazakhstan,Population of rural areas,Male,1.6
2012,per 100000 population,Pavlodar,Population of rural areas,Male,8.72
2012,per 100000 population,Soltustik Kazakhstan,Population of rural areas,Male,2.96
2012,per 100000 population,Shygys Kazakhstan,Population of rural areas,Male,10.38
2012,per 100000 population,,,Female,3.03
2012,per 100000 population,Akmola,,Female,4.49
2012,per 100000 population,Aktobe,,Female,2.68
2012,per 100000 population,Almaty,,Female,3.57
2012,per 100000 population,Atyrau,,Female,1.79
2012,per 100000 population,Batys Kazakhstan,,Female,1.89
2012,per 100000 population,Zhambyl,,Female,3.68
2012,per 100000 population,Karagandy,,Female,5.29
2012,per 100000 population,Kostanay,,Female,5.17
2012,per 100000 population,Kyzylorda,,Female,0.28
2012,per 100000 population,Mangistau,,Female,0.36
2012,per 100000 population,Ontustik Kazakhstan,,Female,1.05
2012,per 100000 population,Pavlodar,,Female,3.53
2012,per 100000 population,Soltustik Kazakhstan,,Female,1.97
2012,per 100000 population,Shygys Kazakhstan,,Female,4.24
2012,per 100000 population,Nur-Sultan city,,Female,4.07
2012,per 100000 population,Almaty city,,Female,3.02
2012,per 100000 population,,Population of urban areas,Female,3.7
2012,per 100000 population,Akmola,Population of urban areas,Female,3.84
2012,per 100000 population,Aktobe,Population of urban areas,Female,3.87
2012,per 100000 population,Almaty,Population of urban areas,Female,7.23
2012,per 100000 population,Atyrau,Population of urban areas,Female,2.17
2012,per 100000 population,Batys Kazakhstan,Population of urban areas,Female,1.86
2012,per 100000 population,Zhambyl,Population of urban areas,Female,4.9
2012,per 100000 population,Karagandy,Population of urban areas,Female,5.6
2012,per 100000 population,Kostanay,Population of urban areas,Female,6.98
2012,per 100000 population,Kyzylorda,Population of urban areas,Female,0.0
2012,per 100000 population,Mangistau,Population of urban areas,Female,0.68
2012,per 100000 population,Ontustik Kazakhstan,Population of urban areas,Female,1.68
2012,per 100000 population,Pavlodar,Population of urban areas,Female,3.23
2012,per 100000 population,Soltustik Kazakhstan,Population of urban areas,Female,2.29
2012,per 100000 population,Shygys Kazakhstan,Population of urban areas,Female,4.32
2012,per 100000 population,Nur-Sultan city,Population of urban areas,Female,4.07
2012,per 100000 population,Almaty city,Population of urban areas,Female,3.02
2012,per 100000 population,,Population of rural areas,Female,2.16
2012,per 100000 population,Akmola,Population of rural areas,Female,5.1
2012,per 100000 population,Aktobe,Population of rural areas,Female,0.66
2012,per 100000 population,Almaty,Population of rural areas,Female,2.41
2012,per 100000 population,Atyrau,Population of rural areas,Female,1.41
2012,per 100000 population,Batys Kazakhstan,Population of rural areas,Female,1.91
2012,per 100000 population,Zhambyl,Population of rural areas,Female,2.82
2012,per 100000 population,Karagandy,Population of rural areas,Female,4.09
2012,per 100000 population,Kostanay,Population of rural areas,Female,3.17
2012,per 100000 population,Kyzylorda,Population of rural areas,Female,0.49
2012,per 100000 population,Mangistau,Population of rural areas,Female,0.0
2012,per 100000 population,Ontustik Kazakhstan,Population of rural areas,Female,0.63
2012,per 100000 population,Pavlodar,Population of rural areas,Female,4.27
2012,per 100000 population,Soltustik Kazakhstan,Population of rural areas,Female,1.73
2012,per 100000 population,Shygys Kazakhstan,Population of rural areas,Female,4.11
2013,per 100000 population,,,,4.63
2013,per 100000 population,Akmola,,,6.4
2013,per 100000 population,Aktobe,,,3.24
2013,per 100000 population,Almaty,,,4.17
2013,per 100000 population,Atyrau,,,2.32
2013,per 100000 population,Batys Kazakhstan,,,3.7
2013,per 100000 population,Zhambyl,,,7.33
2013,per 100000 population,Karagandy,,,6.59
2013,per 100000 population,Kostanay,,,8.29
2013,per 100000 population,Kyzylorda,,,2.32
2013,per 100000 population,Mangistau,,,1.04
2013,per 100000 population,Ontustik Kazakhstan,,,3.14
2013,per 100000 population,Pavlodar,,,3.2
2013,per 100000 population,Soltustik Kazakhstan,,,3.63
2013,per 100000 population,Shygys Kazakhstan,,,3.66
2013,per 100000 population,Nur-Sultan city,,,6.28
2013,per 100000 population,Almaty city,,,6.84
2013,per 100000 population,,Population of urban areas,,5.55
2013,per 100000 population,Akmola,Population of urban areas,,5.21
2013,per 100000 population,Aktobe,Population of urban areas,,2.22
2013,per 100000 population,Almaty,Population of urban areas,,7.69
2013,per 100000 population,Atyrau,Population of urban areas,,2.25
2013,per 100000 population,Batys Kazakhstan,Population of urban areas,,4.26
2013,per 100000 population,Zhambyl,Population of urban areas,,12.26
2013,per 100000 population,Karagandy,Population of urban areas,,7.64
2013,per 100000 population,Kostanay,Population of urban areas,,9.05
2013,per 100000 population,Kyzylorda,Population of urban areas,,1.91
2013,per 100000 population,Mangistau,Population of urban areas,,1.03
2013,per 100000 population,Ontustik Kazakhstan,Population of urban areas,,4.72
2013,per 100000 population,Pavlodar,Population of urban areas,,4.03
2013,per 100000 population,Soltustik Kazakhstan,Population of urban areas,,2.5
2013,per 100000 population,Shygys Kazakhstan,Population of urban areas,,2.69
2013,per 100000 population,Nur-Sultan city,Population of urban areas,,6.28
2013,per 100000 population,Almaty city,Population of urban areas,,6.84
2013,per 100000 population,,Population of rural areas,,3.52
2013,per 100000 population,Akmola,Population of rural areas,,7.46
