Year,UNIT_MEASURE,Regions,Area,Age,Value
2010,Percent,Kostanay,,16-24,13.4
2010,Percent,Kostanay,,25-28,40.4
2010,Percent,Kostanay,,29-34,49.1
2010,Percent,Kostanay,,35-44,33.0
2010,Percent,Kostanay,,45-54,40.5
2010,Percent,Kostanay,,55-64,36.1
2010,Percent,Kostanay,,65 and older,83.9
2010,Percent,Kyzylorda,,16-24,100.0
2010,Percent,Kyzylorda,,25-28,89.4
2010,Percent,Kyzylorda,,29-34,58.7
2010,Percent,Kyzylorda,,35-44,34.6
2010,Percent,Kyzylorda,,45-54,33.4
2010,Percent,Kyzylorda,,55-64,23.6
2010,Percent,Kyzylorda,,65 and older,0.0
2010,Percent,Mangistau,,16-24,25.8
2010,Percent,Mangistau,,25-28,22.7
2010,Percent,Mangistau,,29-34,30.0
2010,Percent,Mangistau,,35-44,35.3
2010,Percent,Mangistau,,45-54,34.2
2010,Percent,Mangistau,,55-64,15.4
2010,Percent,Mangistau,,65 and older,0.0
2010,Percent,Ontustik Kazakhstan,,16-24,0.0
2010,Percent,Ontustik Kazakhstan,,25-28,100.0
2010,Percent,Ontustik Kazakhstan,,29-34,34.8
2010,Percent,Ontustik Kazakhstan,,35-44,14.3
2010,Percent,Ontustik Kazakhstan,,45-54,14.7
2010,Percent,Ontustik Kazakhstan,,55-64,23.3
2010,Percent,Pavlodar,,16-24,77.4
2010,Percent,Pavlodar,,25-28,35.0
2010,Percent,Pavlodar,,29-34,47.4
2010,Percent,Pavlodar,,35-44,35.2
2010,Percent,Pavlodar,,45-54,44.7
2010,Percent,Pavlodar,,55-64,34.2
2010,Percent,Soltustik Kazakhstan,,16-24,43.8
2010,Percent,Soltustik Kazakhstan,,25-28,35.2
2010,Percent,Soltustik Kazakhstan,,29-34,50.8
2010,Percent,Soltustik Kazakhstan,,35-44,40.3
2010,Percent,Soltustik Kazakhstan,,45-54,19.6
2010,Percent,Soltustik Kazakhstan,,55-64,25.3
2010,Percent,Shygys Kazakhstan,,16-24,53.9
2010,Percent,Shygys Kazakhstan,,25-28,47.9
2010,Percent,Shygys Kazakhstan,,29-34,23.1
2010,Percent,Shygys Kazakhstan,,35-44,35.7
2010,Percent,Shygys Kazakhstan,,45-54,39.1
2010,Percent,Shygys Kazakhstan,,55-64,25.4
2010,Percent,Nur-Sultan city,,16-24,44.0
2010,Percent,Nur-Sultan city,,25-28,54.0
2010,Percent,Nur-Sultan city,,29-34,28.9
2010,Percent,Nur-Sultan city,,35-44,48.5
2010,Percent,Nur-Sultan city,,45-54,34.6
2010,Percent,Nur-Sultan city,,55-64,35.8
2010,Percent,Nur-Sultan city,,65 and older,25.6
2010,Percent,Almaty city,,16-24,23.7
2010,Percent,Almaty city,,25-28,42.7
2010,Percent,Almaty city,,29-34,43.5
2010,Percent,Almaty city,,35-44,46.4
2010,Percent,Almaty city,,45-54,31.7
2010,Percent,Almaty city,,55-64,26.8
2011,Percent,,,,38.5
2011,Percent,Akmola,,,43.1
2011,Percent,Aktobe,,,41.6
2011,Percent,Almaty,,,24.4
2011,Percent,Atyrau,,,26.7
2011,Percent,Batys Kazakhstan,,,24.7
2011,Percent,Zhambyl,,,30.1
2011,Percent,Karagandy,,,40.0
2011,Percent,Kostanay,,,43.9
2011,Percent,Kyzylorda,,,40.8
2011,Percent,Mangistau,,,32.9
2011,Percent,Ontustik Kazakhstan,,,28.1
2011,Percent,Pavlodar,,,41.9
2011,Percent,Soltustik Kazakhstan,,,35.0
2011,Percent,Shygys Kazakhstan,,,37.6
2011,Percent,Nur-Sultan city,,,41.4
2011,Percent,Almaty city,,,40.3
2011,Percent,,Population of urban areas,,39.5
2011,Percent,Akmola,Population of urban areas,,46.1
2011,Percent,Aktobe,Population of urban areas,,40.4
2011,Percent,Almaty,Population of urban areas,,26.2
2011,Percent,Atyrau,Population of urban areas,,27.8
2011,Percent,Batys Kazakhstan,Population of urban areas,,27.5
2011,Percent,Zhambyl,Population of urban areas,,35.3
2011,Percent,Karagandy,Population of urban areas,,40.0
2011,Percent,Kostanay,Population of urban areas,,42.6
2011,Percent,Kyzylorda,Population of urban areas,,40.2
2011,Percent,Mangistau,Population of urban areas,,34.7
2011,Percent,Ontustik Kazakhstan,Population of urban areas,,31.5
2011,Percent,Pavlodar,Population of urban areas,,39.0
2011,Percent,Soltustik Kazakhstan,Population of urban areas,,35.1
2011,Percent,Shygys Kazakhstan,Population of urban areas,,40.1
2011,Percent,Nur-Sultan city,Population of urban areas,,41.4
2011,Percent,Almaty city,Population of urban areas,,40.3
2011,Percent,,Population of rural areas,,34.3
2011,Percent,Akmola,Population of rural areas,,30.0
2011,Percent,Aktobe,Population of rural areas,,48.8
2011,Percent,Almaty,Population of rural areas,,23.3
2011,Percent,Atyrau,Population of rural areas,,23.6
2011,Percent,Batys Kazakhstan,Population of rural areas,,11.0
2011,Percent,Zhambyl,Population of rural areas,,25.0
2011,Percent,Karagandy,Population of rural areas,,39.8
2011,Percent,Kostanay,Population of rural areas,,46.7
2011,Percent,Kyzylorda,Population of rural areas,,41.9
2011,Percent,Mangistau,Population of rural areas,,20.5
2011,Percent,Ontustik Kazakhstan,Population of rural areas,,21.4
2011,Percent,Pavlodar,Population of rural areas,,51.8
2011,Percent,Soltustik Kazakhstan,Population of rural areas,,34.7
2011,Percent,Shygys Kazakhstan,Population of rural areas,,32.9
2011,Percent,,,16-24,49.8
2011,Percent,,,25-28,44.1
2011,Percent,,,29-34,36.3
2011,Percent,,,35-44,39.3
2011,Percent,,,45-54,38.2
2011,Percent,,,55-64,29.4
2011,Percent,,,65 and older,13.6
2011,Percent,Akmola,,16-24,53.2
2011,Percent,Akmola,,25-28,40.9
2011,Percent,Akmola,,29-34,51.6
2011,Percent,Akmola,,35-44,44.1
2011,Percent,Akmola,,45-54,42.5
2011,Percent,Akmola,,55-64,26.9
2011,Percent,Aktobe,,16-24,76.5
2011,Percent,Aktobe,,25-28,61.7
2011,Percent,Aktobe,,29-34,22.6
2011,Percent,Aktobe,,35-44,37.3
2011,Percent,Aktobe,,45-54,38.1
2011,Percent,Aktobe,,55-64,24.7
2011,Percent,Almaty,,16-24,48.0
2011,Percent,Almaty,,25-28,20.7
2011,Percent,Almaty,,29-34,0.0
2011,Percent,Almaty,,35-44,27.5
2011,Percent,Almaty,,45-54,32.9
2011,Percent,Almaty,,55-64,24.1
2011,Percent,Almaty,,65 and older,47.1
2011,Percent,Atyrau,,16-24,0.0
2011,Percent,Atyrau,,25-28,71.3
2011,Percent,Atyrau,,29-34,25.2
2011,Percent,Atyrau,,35-44,24.4
2011,Percent,Atyrau,,45-54,34.7
2011,Percent,Atyrau,,55-64,6.1
2011,Percent,Batys Kazakhstan,,16-24,31.0
2011,Percent,Batys Kazakhstan,,25-28,0.0
2011,Percent,Batys Kazakhstan,,29-34,32.4
2011,Percent,Batys Kazakhstan,,35-44,22.7
2011,Percent,Batys Kazakhstan,,45-54,17.2
2011,Percent,Batys Kazakhstan,,55-64,38.1
2011,Percent,Zhambyl,,16-24,19.0
2011,Percent,Zhambyl,,25-28,61.4
2011,Percent,Zhambyl,,29-34,0.0
2011,Percent,Zhambyl,,35-44,39.6
2011,Percent,Zhambyl,,45-54,44.8
2011,Percent,Zhambyl,,55-64,15.9
2011,Percent,Karagandy,,16-24,53.0
2011,Percent,Karagandy,,25-28,40.0
2011,Percent,Karagandy,,29-34,36.5
2011,Percent,Karagandy,,35-44,37.5
2011,Percent,Karagandy,,45-54,45.3
2011,Percent,Karagandy,,55-64,33.1
2011,Percent,Karagandy,,65 and older,0.0
2011,Percent,Kostanay,,16-24,57.7
2011,Percent,Kostanay,,25-28,41.2
2011,Percent,Kostanay,,29-34,53.6
2011,Percent,Kostanay,,35-44,42.2
2011,Percent,Kostanay,,45-54,45.9
2011,Percent,Kostanay,,55-64,28.9
2011,Percent,Kostanay,,65 and older,0.0
2011,Percent,Kyzylorda,,16-24,100.0
2011,Percent,Kyzylorda,,25-28,33.2
2011,Percent,Kyzylorda,,29-34,53.6
2011,Percent,Kyzylorda,,35-44,39.8
2011,Percent,Kyzylorda,,45-54,41.9
2011,Percent,Kyzylorda,,55-64,18.9
2011,Percent,Kyzylorda,,65 and older,0.0
2011,Percent,Mangistau,,16-24,33.4
2011,Percent,Mangistau,,25-28,34.2
2011,Percent,Mangistau,,29-34,19.0
2011,Percent,Mangistau,,35-44,40.4
2011,Percent,Mangistau,,45-54,38.1
2011,Percent,Mangistau,,55-64,24.8
2011,Percent,Mangistau,,65 and older,0.0
2011,Percent,Ontustik Kazakhstan,,16-24,31.6
2011,Percent,Ontustik Kazakhstan,,25-28,46.6
2011,Percent,Ontustik Kazakhstan,,29-34,48.4
2011,Percent,Ontustik Kazakhstan,,35-44,7.5
2011,Percent,Ontustik Kazakhstan,,45-54,24.4
2011,Percent,Ontustik Kazakhstan,,55-64,27.4
2011,Percent,Pavlodar,,16-24,21.9
2011,Percent,Pavlodar,,25-28,52.7
2011,Percent,Pavlodar,,29-34,38.4
2011,Percent,Pavlodar,,35-44,35.4
2011,Percent,Pavlodar,,45-54,51.1
2011,Percent,Pavlodar,,55-64,32.5
2011,Percent,Soltustik Kazakhstan,,16-24,76.0
2011,Percent,Soltustik Kazakhstan,,25-28,15.2
2011,Percent,Soltustik Kazakhstan,,29-34,48.0
2011,Percent,Soltustik Kazakhstan,,35-44,39.9
2011,Percent,Soltustik Kazakhstan,,45-54,27.0
2011,Percent,Soltustik Kazakhstan,,55-64,28.1
2011,Percent,Shygys Kazakhstan,,16-24,37.6
2011,Percent,Shygys Kazakhstan,,25-28,40.4
2011,Percent,Shygys Kazakhstan,,29-34,40.1
2011,Percent,Shygys Kazakhstan,,35-44,38.6
2011,Percent,Shygys Kazakhstan,,45-54,36.2
2011,Percent,Shygys Kazakhstan,,55-64,33.9
2011,Percent,Shygys Kazakhstan,,65 and older,0.0
2011,Percent,Nur-Sultan city,,16-24,48.1
2011,Percent,Nur-Sultan city,,25-28,46.7
2011,Percent,Nur-Sultan city,,29-34,34.4
2011,Percent,Nur-Sultan city,,35-44,45.9
2011,Percent,Nur-Sultan city,,45-54,38.6
2011,Percent,Nur-Sultan city,,55-64,36.1
2011,Percent,Nur-Sultan city,,65 and older,42.2
2011,Percent,Almaty city,,16-24,72.3
2011,Percent,Almaty city,,25-28,62.5
2011,Percent,Almaty city,,29-34,40.6
2011,Percent,Almaty city,,35-44,42.5
2011,Percent,Almaty city,,45-54,31.3
2011,Percent,Almaty city,,55-64,27.1
2012,Percent,,,,39.7
2012,Percent,Akmola,,,36.3
2012,Percent,Aktobe,,,36.1
2012,Percent,Almaty,,,33.4
2012,Percent,Atyrau,,,31.8
2012,Percent,Batys Kazakhstan,,,20.404275584718
2012,Percent,Zhambyl,,,39.4
2012,Percent,Karagandy,,,43.1
2012,Percent,Kostanay,,,43.1
2012,Percent,Kyzylorda,,,31.0
2012,Percent,Mangistau,,,40.7
2012,Percent,Ontustik Kazakhstan,,,28.7
2012,Percent,Pavlodar,,,30.9
2012,Percent,Soltustik Kazakhstan,,,40.4
2012,Percent,Shygys Kazakhstan,,,38.1
2012,Percent,Nur-Sultan city,,,46.2
2012,Percent,Almaty city,,,46.2
2012,Percent,,Population of urban areas,,41.9
2012,Percent,Akmola,Population of urban areas,,44.6
2012,Percent,Aktobe,Population of urban areas,,35.3
2012,Percent,Almaty,Population of urban areas,,36.9
2012,Percent,Atyrau,Population of urban areas,,39.5
2012,Percent,Batys Kazakhstan,Population of urban areas,,19.1
2012,Percent,Zhambyl,Population of urban areas,,38.8
2012,Percent,Karagandy,Population of urban areas,,44.7
2012,Percent,Kostanay,Population of urban areas,,45.6
2012,Percent,Kyzylorda,Population of urban areas,,32.4
2012,Percent,Mangistau,Population of urban areas,,43.9
2012,Percent,Ontustik Kazakhstan,Population of urban areas,,35.4
2012,Percent,Pavlodar,Population of urban areas,,29.0
2012,Percent,Soltustik Kazakhstan,Population of urban areas,,33.8
2012,Percent,Shygys Kazakhstan,Population of urban areas,,34.4
2012,Percent,Nur-Sultan city,Population of urban areas,,46.2
2012,Percent,Almaty city,Population of urban areas,,46.2
2012,Percent,,Population of rural areas,,32.2
2012,Percent,Akmola,Population of rural areas,,12.8
2012,Percent,Aktobe,Population of rural areas,,42.5
2012,Percent,Almaty,Population of rural areas,,32.1
2012,Percent,Atyrau,Population of rural areas,,10.1
2012,Percent,Batys Kazakhstan,Population of rural areas,,25.5
2012,Percent,Zhambyl,Population of rural areas,,42.6
2012,Percent,Karagandy,Population of rural areas,,27.0
2012,Percent,Kostanay,Population of rural areas,,36.1
2012,Percent,Kyzylorda,Population of rural areas,,28.7
2012,Percent,Mangistau,Population of rural areas,,16.7
2012,Percent,Ontustik Kazakhstan,Population of rural areas,,15.8
2012,Percent,Pavlodar,Population of rural areas,,39.1
2012,Percent,Soltustik Kazakhstan,Population of rural areas,,45.8
2012,Percent,Shygys Kazakhstan,Population of rural areas,,41.6
2012,Percent,,,16-24,58.5
2012,Percent,,,25-28,40.2
2012,Percent,,,29-34,39.0
2012,Percent,,,35-44,38.6
2012,Percent,,,45-54,39.2
2012,Percent,,,55-64,33.1
2012,Percent,,,65 and older,25.0
2012,Percent,Akmola,,16-24,28.2
2012,Percent,Akmola,,25-28,31.2
2012,Percent,Akmola,,29-34,53.5
2012,Percent,Akmola,,35-44,39.6
2012,Percent,Akmola,,45-54,37.3
2012,Percent,Akmola,,55-64,20.1
2012,Percent,Aktobe,,16-24,100.0
2012,Percent,Aktobe,,25-28,48.7
2012,Percent,Aktobe,,29-34,31.7
2012,Percent,Aktobe,,35-44,34.3
2012,Percent,Aktobe,,45-54,37.3
2012,Percent,Aktobe,,55-64,16.7
2012,Percent,Almaty,,16-24,40.0
2012,Percent,Almaty,,25-28,41.0
2012,Percent,Almaty,,29-34,45.1
2012,Percent,Almaty,,35-44,19.2
2012,Percent,Almaty,,45-54,28.7
2012,Percent,Almaty,,55-64,46.7
2012,Percent,Atyrau,,16-24,78.9
2012,Percent,Atyrau,,25-28,35.3
2012,Percent,Atyrau,,29-34,24.8
2012,Percent,Atyrau,,35-44,42.2
2012,Percent,Atyrau,,45-54,25.9
2012,Percent,Atyrau,,55-64,13.7
2012,Percent,Atyrau,,65 and older,0.0
2012,Percent,Batys Kazakhstan,,29-34,11.7
2012,Percent,Batys Kazakhstan,,35-44,15.5
2012,Percent,Batys Kazakhstan,,45-54,26.8
2012,Percent,Batys Kazakhstan,,55-64,31.6
2012,Percent,Zhambyl,,16-24,36.6
2012,Percent,Zhambyl,,25-28,54.2
2012,Percent,Zhambyl,,29-34,24.9
2012,Percent,Zhambyl,,35-44,28.7
2012,Percent,Zhambyl,,45-54,53.3
2012,Percent,Zhambyl,,55-64,21.5
2012,Percent,Zhambyl,,65 and older,100.0
2012,Percent,Karagandy,,16-24,82.0
2012,Percent,Karagandy,,25-28,33.0
2012,Percent,Karagandy,,29-34,45.5
2012,Percent,Karagandy,,35-44,47.5
2012,Percent,Karagandy,,45-54,42.1
2012,Percent,Karagandy,,55-64,35.3
2012,Percent,Karagandy,,65 and older,54.4
2012,Percent,Kostanay,,16-24,47.3
2012,Percent,Kostanay,,25-28,54.0
2012,Percent,Kostanay,,29-34,55.9
2012,Percent,Kostanay,,35-44,43.3
2012,Percent,Kostanay,,45-54,39.6
2012,Percent,Kostanay,,55-64,15.1
2012,Percent,Kyzylorda,,16-24,0.0
2012,Percent,Kyzylorda,,25-28,21.3
2012,Percent,Kyzylorda,,29-34,46.9
2012,Percent,Kyzylorda,,35-44,33.3
2012,Percent,Kyzylorda,,45-54,28.2
2012,Percent,Kyzylorda,,55-64,37.0
2012,Percent,Kyzylorda,,65 and older,0.0
2012,Percent,Mangistau,,16-24,100.0
2012,Percent,Mangistau,,25-28,52.6
2012,Percent,Mangistau,,29-34,36.4
2012,Percent,Mangistau,,35-44,38.0
2012,Percent,Mangistau,,45-54,56.6
2012,Percent,Mangistau,,55-64,33.0
2012,Percent,Mangistau,,65 and older,0.0
2012,Percent,Ontustik Kazakhstan,,16-24,68.7
2012,Percent,Ontustik Kazakhstan,,25-28,43.3
2012,Percent,Ontustik Kazakhstan,,29-34,56.3
2012,Percent,Ontustik Kazakhstan,,35-44,17.9
2012,Percent,Ontustik Kazakhstan,,45-54,23.4
2012,Percent,Ontustik Kazakhstan,,55-64,31.1
2012,Percent,Pavlodar,,16-24,27.6
2012,Percent,Pavlodar,,25-28,29.1
2012,Percent,Pavlodar,,29-34,29.6
2012,Percent,Pavlodar,,35-44,23.5
2012,Percent,Pavlodar,,45-54,38.6
2012,Percent,Pavlodar,,55-64,35.9
2012,Percent,Soltustik Kazakhstan,,16-24,76.4
2012,Percent,Soltustik Kazakhstan,,25-28,18.3
2012,Percent,Soltustik Kazakhstan,,29-34,37.3
2012,Percent,Soltustik Kazakhstan,,35-44,33.2
2012,Percent,Soltustik Kazakhstan,,45-54,46.5
2012,Percent,Soltustik Kazakhstan,,55-64,62.8
2012,Percent,Shygys Kazakhstan,,16-24,35.9
2012,Percent,Shygys Kazakhstan,,25-28,38.0
2012,Percent,Shygys Kazakhstan,,29-34,17.6
2012,Percent,Shygys Kazakhstan,,35-44,31.9
2012,Percent,Shygys Kazakhstan,,45-54,50.4
2012,Percent,Shygys Kazakhstan,,55-64,43.0
2012,Percent,Nur-Sultan city,,16-24,68.5
2012,Percent,Nur-Sultan city,,25-28,38.7
2012,Percent,Nur-Sultan city,,29-34,40.0
2012,Percent,Nur-Sultan city,,35-44,48.8
2012,Percent,Nur-Sultan city,,45-54,46.0
2012,Percent,Nur-Sultan city,,55-64,43.8
2012,Percent,Nur-Sultan city,,65 and older,0.0
2012,Percent,Almaty city,,16-24,75.3
2012,Percent,Almaty city,,25-28,52.9
2012,Percent,Almaty city,,29-34,36.9
2012,Percent,Almaty city,,35-44,51.0
2012,Percent,Almaty city,,45-54,39.9
2012,Percent,Almaty city,,55-64,18.4
2013,Percent,,,,38.3
2013,Percent,Akmola,,,44.8
2013,Percent,Aktobe,,,27.2
2013,Percent,Almaty,,,45.6
2013,Percent,Atyrau,,,28.9
2013,Percent,Batys Kazakhstan,,,23.5
2013,Percent,Zhambyl,,,27.0
2013,Percent,Karagandy,,,38.6
2013,Percent,Kostanay,,,34.6
2013,Percent,Kyzylorda,,,30.9
2013,Percent,Mangistau,,,30.0
2013,Percent,Ontustik Kazakhstan,,,32.5
2013,Percent,Pavlodar,,,36.3
2013,Percent,Soltustik Kazakhstan,,,27.5
2013,Percent,Shygys Kazakhstan,,,35.5
2013,Percent,Nur-Sultan city,,,48.0
2013,Percent,Almaty city,,,39.5
2013,Percent,,Population of urban areas,,38.9
2013,Percent,Akmola,Population of urban areas,,50.5
2013,Percent,Aktobe,Population of urban areas,,23.8
2013,Percent,Almaty,Population of urban areas,,46.3
2013,Percent,Atyrau,Population of urban areas,,31.9
2013,Percent,Batys Kazakhstan,Population of urban areas,,26.0
2013,Percent,Zhambyl,Population of urban areas,,29.9
2013,Percent,Karagandy,Population of urban areas,,39.4
2013,Percent,Kostanay,Population of urban areas,,39.1
2013,Percent,Kyzylorda,Population of urban areas,,31.7
2013,Percent,Mangistau,Population of urban areas,,28.0
2013,Percent,Ontustik Kazakhstan,Population of urban areas,,29.4
2013,Percent,Pavlodar,Population of urban areas,,33.9
2013,Percent,Soltustik Kazakhstan,Population of urban areas,,29.4
2013,Percent,Shygys Kazakhstan,Population of urban areas,,40.1
2013,Percent,Nur-Sultan city,Population of urban areas,,48.0
2013,Percent,Almaty city,Population of urban areas,,39.5
2013,Percent,,Population of rural areas,,37.0
2013,Percent,Akmola,Population of rural areas,,31.2
2013,Percent,Aktobe,Population of rural areas,,54.4
2013,Percent,Almaty,Population of rural areas,,45.3
2013,Percent,Atyrau,Population of rural areas,,18.0
2013,Percent,Batys Kazakhstan,Population of rural areas,,16.9
2013,Percent,Zhambyl,Population of rural areas,,10.1
2013,Percent,Karagandy,Population of rural areas,,30.7
2013,Percent,Kostanay,Population of rural areas,,20.5
2013,Percent,Kyzylorda,Population of rural areas,,29.4
2013,Percent,Mangistau,Population of rural areas,,35.8
2013,Percent,Ontustik Kazakhstan,Population of rural areas,,34.8
2013,Percent,Pavlodar,Population of rural areas,,44.0
2013,Percent,Soltustik Kazakhstan,Population of rural areas,,23.9
2013,Percent,Shygys Kazakhstan,Population of rural areas,,29.1
2013,Percent,,,16-24,42.0
2013,Percent,,,25-28,41.6
2013,Percent,,,29-34,38.4
2013,Percent,,,35-44,39.3
2013,Percent,,,45-54,38.4
2013,Percent,,,55-64,30.0
2013,Percent,,,65 and older,17.5
2013,Percent,Akmola,,16-24,69.1
2013,Percent,Akmola,,25-28,61.2
2013,Percent,Akmola,,29-34,64.4
2013,Percent,Akmola,,35-44,32.9
2013,Percent,Akmola,,45-54,41.0
2013,Percent,Akmola,,55-64,40.7
2013,Percent,Aktobe,,16-24,6.7
2013,Percent,Aktobe,,25-28,33.6
2013,Percent,Aktobe,,29-34,15.6
2013,Percent,Aktobe,,35-44,41.9
2013,Percent,Aktobe,,45-54,24.5
2013,Percent,Aktobe,,55-64,29.1
2013,Percent,Almaty,,16-24,34.1
2013,Percent,Almaty,,25-28,70.6
2013,Percent,Almaty,,29-34,58.9
2013,Percent,Almaty,,35-44,43.7
2013,Percent,Almaty,,45-54,44.4
2013,Percent,Almaty,,55-64,39.5
2013,Percent,Almaty,,65 and older,33.4
2013,Percent,Atyrau,,16-24,47.4
2013,Percent,Atyrau,,25-28,20.7
2013,Percent,Atyrau,,29-34,61.7
2013,Percent,Atyrau,,35-44,24.4
2013,Percent,Atyrau,,45-54,28.7
2013,Percent,Atyrau,,55-64,17.7
2013,Percent,Atyrau,,65 and older,0.0
2013,Percent,Batys Kazakhstan,,16-24,0.0
2013,Percent,Batys Kazakhstan,,25-28,80.4
2013,Percent,Batys Kazakhstan,,29-34,0.0
2013,Percent,Batys Kazakhstan,,35-44,30.4
2013,Percent,Batys Kazakhstan,,45-54,26.8
2013,Percent,Batys Kazakhstan,,55-64,17.7
2013,Percent,Zhambyl,,16-24,0.0
2013,Percent,Zhambyl,,25-28,28.1
2013,Percent,Zhambyl,,29-34,21.0
2013,Percent,Zhambyl,,35-44,31.7
2013,Percent,Zhambyl,,45-54,29.6
2013,Percent,Zhambyl,,55-64,24.6
2013,Percent,Karagandy,,16-24,53.1
2013,Percent,Karagandy,,25-28,31.1
2013,Percent,Karagandy,,29-34,30.1
2013,Percent,Karagandy,,35-44,44.5
2013,Percent,Karagandy,,45-54,45.0
2013,Percent,Karagandy,,55-64,22.8
2013,Percent,Karagandy,,65 and older,26.8
2013,Percent,Kostanay,,16-24,56.2
2013,Percent,Kostanay,,25-28,44.3
2013,Percent,Kostanay,,29-34,35.4
2013,Percent,Kostanay,,35-44,27.3
2013,Percent,Kostanay,,45-54,37.0
2013,Percent,Kostanay,,55-64,17.6
2013,Percent,Kyzylorda,,16-24,0.0
2013,Percent,Kyzylorda,,25-28,0.0
2013,Percent,Kyzylorda,,29-34,35.1
2013,Percent,Kyzylorda,,35-44,34.6
2013,Percent,Kyzylorda,,45-54,26.8
2013,Percent,Kyzylorda,,55-64,44.9
2013,Percent,Mangistau,,16-24,0.0
2013,Percent,Mangistau,,25-28,10.3
