Year,UNIT_MEASURE,Экономикалық қызмет түрлері,Өңірлер,Жынысы,Жасы,Value
2018,пайыз,,Алматы,,65 және одан үлкен,810.0
2018,пайыз,,Атырау,,16-24,768.0
2018,пайыз,,Атырау,,25-28,1231.0
2018,пайыз,,Атырау,,29-34,1571.0
2018,пайыз,,Атырау,,35-44,1917.0
2018,пайыз,,Атырау,,45-54,1855.0
2018,пайыз,,Атырау,,55-64,2077.0
2018,пайыз,,Атырау,,65 және одан үлкен,6563.0
2018,пайыз,,Батыс Қазақстан,,16-24,490.0
2018,пайыз,,Батыс Қазақстан,,25-28,621.0
2018,пайыз,,Батыс Қазақстан,,29-34,894.0
2018,пайыз,,Батыс Қазақстан,,35-44,1586.0
2018,пайыз,,Батыс Қазақстан,,45-54,1341.0
2018,пайыз,,Батыс Қазақстан,,55-64,1276.0
2018,пайыз,,Батыс Қазақстан,,65 және одан үлкен,1028.0
2018,пайыз,,Жамбыл,,16-24,443.0
2018,пайыз,,Жамбыл,,25-28,532.0
2018,пайыз,,Жамбыл,,29-34,619.0
2018,пайыз,,Жамбыл,,35-44,649.0
2018,пайыз,,Жамбыл,,45-54,630.0
2018,пайыз,,Жамбыл,,55-64,636.0
2018,пайыз,,Жамбыл,,65 және одан үлкен,661.0
2018,пайыз,,Қарағанды,,16-24,521.0
2018,пайыз,,Қарағанды,,25-28,708.0
2018,пайыз,,Қарағанды,,29-34,830.0
2018,пайыз,,Қарағанды,,35-44,890.0
2018,пайыз,,Қарағанды,,45-54,807.0
2018,пайыз,,Қарағанды,,55-64,817.0
2018,пайыз,,Қарағанды,,65 және одан үлкен,837.0
2018,пайыз,,Қостанай,,16-24,472.0
2018,пайыз,,Қостанай,,25-28,622.0
2018,пайыз,,Қостанай,,29-34,728.0
2018,пайыз,,Қостанай,,35-44,761.0
2018,пайыз,,Қостанай,,45-54,679.0
2018,пайыз,,Қостанай,,55-64,653.0
2018,пайыз,,Қостанай,,65 және одан үлкен,789.0
2018,пайыз,,Қызылорда,,16-24,460.0
2018,пайыз,,Қызылорда,,25-28,594.0
2018,пайыз,,Қызылорда,,29-34,696.0
2018,пайыз,,Қызылорда,,35-44,784.0
2018,пайыз,,Қызылорда,,45-54,726.0
2018,пайыз,,Қызылорда,,55-64,810.0
2018,пайыз,,Қызылорда,,65 және одан үлкен,941.0
2018,пайыз,,Маңғыстау,,16-24,538.0
2018,пайыз,,Маңғыстау,,25-28,867.0
2018,пайыз,,Маңғыстау,,29-34,1351.0
2018,пайыз,,Маңғыстау,,35-44,1585.0
2018,пайыз,,Маңғыстау,,45-54,1641.0
2018,пайыз,,Маңғыстау,,55-64,1662.0
2018,пайыз,,Маңғыстау,,65 және одан үлкен,1421.0
2018,пайыз,,Оңтүстік Қазақстан,,16-24,436.0
2018,пайыз,,Оңтүстік Қазақстан,,25-28,514.0
2018,пайыз,,Оңтүстік Қазақстан,,29-34,608.0
2018,пайыз,,Оңтүстік Қазақстан,,35-44,651.0
2018,пайыз,,Оңтүстік Қазақстан,,45-54,666.0
2018,пайыз,,Оңтүстік Қазақстан,,55-64,672.0
2018,пайыз,,Оңтүстік Қазақстан,,65 және одан үлкен,864.0
2018,пайыз,,Павлодар,,16-24,515.0
2018,пайыз,,Павлодар,,25-28,638.0
2018,пайыз,,Павлодар,,29-34,765.0
2018,пайыз,,Павлодар,,35-44,828.0
2018,пайыз,,Павлодар,,45-54,787.0
2018,пайыз,,Павлодар,,55-64,815.0
2018,пайыз,,Павлодар,,65 және одан үлкен,788.0
2018,пайыз,,Солтүстік Қазақстан,,16-24,465.0
2018,пайыз,,Солтүстік Қазақстан,,25-28,566.0
2018,пайыз,,Солтүстік Қазақстан,,29-34,662.0
2018,пайыз,,Солтүстік Қазақстан,,35-44,697.0
2018,пайыз,,Солтүстік Қазақстан,,45-54,629.0
2018,пайыз,,Солтүстік Қазақстан,,55-64,607.0
2018,пайыз,,Солтүстік Қазақстан,,65 және одан үлкен,639.0
2018,пайыз,,Шығыс Қазақстан,,16-24,531.0
2018,пайыз,,Шығыс Қазақстан,,25-28,628.0
2018,пайыз,,Шығыс Қазақстан,,29-34,738.0
2018,пайыз,,Шығыс Қазақстан,,35-44,827.0
2018,пайыз,,Шығыс Қазақстан,,45-54,757.0
2018,пайыз,,Шығыс Қазақстан,,55-64,714.0
2018,пайыз,,Шығыс Қазақстан,,65 және одан үлкен,890.0
2018,пайыз,,Нұр-Сұлтан қаласы,,16-24,724.0
2018,пайыз,,Нұр-Сұлтан қаласы,,25-28,1019.0
2018,пайыз,,Нұр-Сұлтан қаласы,,29-34,1403.0
2018,пайыз,,Нұр-Сұлтан қаласы,,35-44,1654.0
2018,пайыз,,Нұр-Сұлтан қаласы,,45-54,1561.0
2018,пайыз,,Нұр-Сұлтан қаласы,,55-64,1461.0
2018,пайыз,,Нұр-Сұлтан қаласы,,65 және одан үлкен,1444.0
2018,пайыз,,Алматы қаласы,,16-24,729.0
2018,пайыз,,Алматы қаласы,,25-28,1021.0
2018,пайыз,,Алматы қаласы,,29-34,1380.0
2018,пайыз,,Алматы қаласы,,35-44,1726.0
2018,пайыз,,Алматы қаласы,,45-54,1357.0
2018,пайыз,,Алматы қаласы,,55-64,1246.0
2018,пайыз,,Алматы қаласы,,65 және одан үлкен,1359.0
2018,пайыз,,,ерлер,16-24,612.0
2018,пайыз,,,ерлер,25-28,827.0
2018,пайыз,,,ерлер,29-34,1100.0
2018,пайыз,,,ерлер,35-44,1347.0
2018,пайыз,,,ерлер,45-54,1205.0
2018,пайыз,,,ерлер,55-64,1107.0
2018,пайыз,,,ерлер,65 және одан үлкен,1276.0
2018,пайыз,,,әйелдер,16-24,532.0
2018,пайыз,,,әйелдер,25-28,680.0
2018,пайыз,,,әйелдер,29-34,788.0
2018,пайыз,,,әйелдер,35-44,868.0
2018,пайыз,,,әйелдер,45-54,793.0
2018,пайыз,,,әйелдер,55-64,758.0
2018,пайыз,,,әйелдер,65 және одан үлкен,968.0
2018,пайыз,_T,,,,959.0
2018,пайыз,"ауыл, орман және балық шаруашылығы",,,,537.0
2018,пайыз,өнеркәсіп,,,,1382.0
2018,пайыз,құрылыс,,,,1337.0
2018,пайыз,көтерме және бөлшек саудада сату; автомобильдерді және мотоциклдерді жөндеу,,,,935.0
2018,пайыз,көлік және жинақтау,,,,1178.0
2018,пайыз,тұру және тамақтану бойынша қызмет көрсету,,,,1295.0
2018,пайыз,ақпарат және байланыс,,,,1371.0
2018,пайыз,қаржы және сақтандыру қызметі,,,,2270.0
2018,пайыз,жылжымайтын мүлікпен операциялар,,,,982.0
2018,пайыз,ISIC4_M,,,,1548.0
2018,пайыз,әкімшілік және қосымша қызмет көрсету саласындағы қызмет,,,,886.0
2018,пайыз,мемлекеттік басқару және қорғаныс; міндетті әлеуметтік қамсыздандыру,,,,720.0
2018,пайыз,білім беру,,,,599.0
2018,пайыз,денсаулық сақтау және әлеуметтік қызметтер,,,,644.0
2018,пайыз,"өнер, ойын-сауық және демалыс",,,,610.0
2018,пайыз,қызметтердің басқа түрлерін ұсыну,,,,1549.0
2018,пайыз,_T,,ерлер,,1122.0
2018,пайыз,"ауыл, орман және балық шаруашылығы",,ерлер,,549.0
2018,пайыз,өнеркәсіп,,ерлер,,1490.0
2018,пайыз,құрылыс,,ерлер,,1346.0
2018,пайыз,көтерме және бөлшек саудада сату; автомобильдерді және мотоциклдерді жөндеу,,ерлер,,972.0
2018,пайыз,көлік және жинақтау,,ерлер,,1242.0
2018,пайыз,тұру және тамақтану бойынша қызмет көрсету,,ерлер,,1837.0
2018,пайыз,ақпарат және байланыс,,ерлер,,1423.0
2018,пайыз,қаржы және сақтандыру қызметі,,ерлер,,2877.0
2018,пайыз,жылжымайтын мүлікпен операциялар,,ерлер,,1035.0
2018,пайыз,ISIC4_M,,ерлер,,1697.0
2018,пайыз,әкімшілік және қосымша қызмет көрсету саласындағы қызмет,,ерлер,,893.0
2018,пайыз,мемлекеттік басқару және қорғаныс; міндетті әлеуметтік қамсыздандыру,,ерлер,,775.0
2018,пайыз,білім беру,,ерлер,,640.0
2018,пайыз,денсаулық сақтау және әлеуметтік қызметтер,,ерлер,,717.0
2018,пайыз,"өнер, ойын-сауық және демалыс",,ерлер,,717.0
2018,пайыз,қызметтердің басқа түрлерін ұсыну,,ерлер,,1624.0
2018,пайыз,_T,,әйелдер,,785.0
2018,пайыз,"ауыл, орман және балық шаруашылығы",,әйелдер,,509.0
2018,пайыз,өнеркәсіп,,әйелдер,,1120.0
2018,пайыз,құрылыс,,әйелдер,,1298.0
2018,пайыз,көтерме және бөлшек саудада сату; автомобильдерді және мотоциклдерді жөндеу,,әйелдер,,888.0
2018,пайыз,көлік және жинақтау,,әйелдер,,1005.0
2018,пайыз,тұру және тамақтану бойынша қызмет көрсету,,әйелдер,,917.0
2018,пайыз,ақпарат және байланыс,,әйелдер,,1285.0
2018,пайыз,қаржы және сақтандыру қызметі,,әйелдер,,1888.0
2018,пайыз,жылжымайтын мүлікпен операциялар,,әйелдер,,913.0
2018,пайыз,ISIC4_M,,әйелдер,,1328.0
2018,пайыз,әкімшілік және қосымша қызмет көрсету саласындағы қызмет,,әйелдер,,863.0
2018,пайыз,мемлекеттік басқару және қорғаныс; міндетті әлеуметтік қамсыздандыру,,әйелдер,,622.0
2018,пайыз,білім беру,,әйелдер,,585.0
2018,пайыз,денсаулық сақтау және әлеуметтік қызметтер,,әйелдер,,619.0
2018,пайыз,"өнер, ойын-сауық және демалыс",,әйелдер,,522.0
2018,пайыз,қызметтердің басқа түрлерін ұсыну,,әйелдер,,1452.0
2019,пайыз,,,,,1038.0
2019,пайыз,,Ақмола,,,752.0
2019,пайыз,,Ақтөбе,,,849.0
2019,пайыз,,Алматы,,,755.0
2019,пайыз,,Атырау,,,1811.0
2019,пайыз,,Батыс Қазақстан,,,980.0
2019,пайыз,,Жамбыл,,,705.0
2019,пайыз,,Қарағанды,,,999.0
2019,пайыз,,Қостанай,,,788.0
2019,пайыз,,Қызылорда,,,825.0
2019,пайыз,,Маңғыстау,,,1603.0
2019,пайыз,,Павлодар,,,907.0
2019,пайыз,,Солтүстік Қазақстан,,,689.0
2019,пайыз,,Түркістан,,,644.0
2019,пайыз,,Шығыс Қазақстан,,,872.0
2019,пайыз,,Нұр-Сұлтан қаласы,,,1436.0
2019,пайыз,,Алматы қаласы,,,1405.0
2019,пайыз,,Шымкент қаласы,,,699.0
2019,пайыз,,,ерлер,,1229.0
2019,пайыз,,Ақмола,ерлер,,839.0
2019,пайыз,,Ақтөбе,ерлер,,997.0
2019,пайыз,,Алматы,ерлер,,837.0
2019,пайыз,,Атырау,ерлер,,2217.0
2019,пайыз,,Батыс Қазақстан,ерлер,,1209.0
2019,пайыз,,Жамбыл,ерлер,,766.0
2019,пайыз,,Қарағанды,ерлер,,1224.0
2019,пайыз,,Қостанай,ерлер,,883.0
2019,пайыз,,Қызылорда,ерлер,,945.0
2019,пайыз,,Маңғыстау,ерлер,,2015.0
2019,пайыз,,Павлодар,ерлер,,1039.0
2019,пайыз,,Солтүстік Қазақстан,ерлер,,745.0
2019,пайыз,,Түркістан,ерлер,,726.0
2019,пайыз,,Шығыс Қазақстан,ерлер,,956.0
2019,пайыз,,Нұр-Сұлтан қаласы,ерлер,,1672.0
2019,пайыз,,Алматы қаласы,ерлер,,1588.0
2019,пайыз,,Шымкент қаласы,ерлер,,761.0
2019,пайыз,,,әйелдер,,842.0
2019,пайыз,,Ақмола,әйелдер,,667.0
2019,пайыз,,Ақтөбе,әйелдер,,690.0
2019,пайыз,,Алматы,әйелдер,,695.0
2019,пайыз,,Атырау,әйелдер,,1173.0
2019,пайыз,,Батыс Қазақстан,әйелдер,,761.0
2019,пайыз,,Жамбыл,әйелдер,,657.0
2019,пайыз,,Қарағанды,әйелдер,,764.0
2019,пайыз,,Қостанай,әйелдер,,689.0
2019,пайыз,,Қызылорда,әйелдер,,699.0
2019,пайыз,,Маңғыстау,әйелдер,,1051.0
2019,пайыз,,Павлодар,әйелдер,,756.0
2019,пайыз,,Солтүстік Қазақстан,әйелдер,,633.0
2019,пайыз,,Түркістан,әйелдер,,585.0
2019,пайыз,,Шығыс Қазақстан,әйелдер,,774.0
2019,пайыз,,Нұр-Сұлтан қаласы,әйелдер,,1190.0
2019,пайыз,,Алматы қаласы,әйелдер,,1222.0
2019,пайыз,,Шымкент қаласы,әйелдер,,630.0
2019,пайыз,,,,16-24,671.0
2019,пайыз,,,,25-28,844.0
2019,пайыз,,,,29-34,1042.0
2019,пайыз,,,,35-44,1181.0
2019,пайыз,,,,45-54,1062.0
2019,пайыз,,,,55-64,1015.0
2019,пайыз,,,,65 және одан үлкен,1140.0
2019,пайыз,,Ақмола,,16-24,574.0
2019,пайыз,,Ақмола,,25-28,674.0
2019,пайыз,,Ақмола,,29-34,769.0
2019,пайыз,,Ақмола,,35-44,827.0
2019,пайыз,,Ақмола,,45-54,746.0
2019,пайыз,,Ақмола,,55-64,725.0
2019,пайыз,,Ақмола,,65 және одан үлкен,809.0
2019,пайыз,,Ақтөбе,,16-24,587.0
2019,пайыз,,Ақтөбе,,25-28,737.0
2019,пайыз,,Ақтөбе,,29-34,854.0
2019,пайыз,,Ақтөбе,,35-44,894.0
2019,пайыз,,Ақтөбе,,45-54,858.0
2019,пайыз,,Ақтөбе,,55-64,903.0
2019,пайыз,,Ақтөбе,,65 және одан үлкен,990.0
2019,пайыз,,Алматы,,16-24,548.0
2019,пайыз,,Алматы,,25-28,636.0
2019,пайыз,,Алматы,,29-34,769.0
2019,пайыз,,Алматы,,35-44,849.0
2019,пайыз,,Алматы,,45-54,737.0
2019,пайыз,,Алматы,,55-64,755.0
2019,пайыз,,Алматы,,65 және одан үлкен,792.0
2019,пайыз,,Атырау,,16-24,904.0
2019,пайыз,,Атырау,,25-28,1269.0
2019,пайыз,,Атырау,,29-34,1737.0
2019,пайыз,,Атырау,,35-44,2053.0
2019,пайыз,,Атырау,,45-54,2014.0
2019,пайыз,,Атырау,,55-64,2082.0
2019,пайыз,,Атырау,,65 және одан үлкен,3328.0
2019,пайыз,,Батыс Қазақстан,,16-24,537.0
2019,пайыз,,Батыс Қазақстан,,25-28,653.0
2019,пайыз,,Батыс Қазақстан,,29-34,830.0
2019,пайыз,,Батыс Қазақстан,,35-44,1133.0
2019,пайыз,,Батыс Қазақстан,,45-54,1112.0
2019,пайыз,,Батыс Қазақстан,,55-64,995.0
2019,пайыз,,Батыс Қазақстан,,65 және одан үлкен,1068.0
2019,пайыз,,Жамбыл,,16-24,512.0
2019,пайыз,,Жамбыл,,25-28,581.0
2019,пайыз,,Жамбыл,,29-34,693.0
2019,пайыз,,Жамбыл,,35-44,731.0
2019,пайыз,,Жамбыл,,45-54,728.0
2019,пайыз,,Жамбыл,,55-64,758.0
2019,пайыз,,Жамбыл,,65 және одан үлкен,793.0
2019,пайыз,,Қарағанды,,16-24,778.0
2019,пайыз,,Қарағанды,,25-28,938.0
2019,пайыз,,Қарағанды,,29-34,1038.0
2019,пайыз,,Қарағанды,,35-44,1053.0
2019,пайыз,,Қарағанды,,45-54,1001.0
2019,пайыз,,Қарағанды,,55-64,996.0
2019,пайыз,,Қарағанды,,65 және одан үлкен,810.0
2019,пайыз,,Қостанай,,16-24,569.0
2019,пайыз,,Қостанай,,25-28,708.0
2019,пайыз,,Қостанай,,29-34,838.0
2019,пайыз,,Қостанай,,35-44,864.0
2019,пайыз,,Қостанай,,45-54,768.0
2019,пайыз,,Қостанай,,55-64,765.0
2019,пайыз,,Қостанай,,65 және одан үлкен,845.0
2019,пайыз,,Қызылорда,,16-24,533.0
2019,пайыз,,Қызылорда,,25-28,649.0
2019,пайыз,,Қызылорда,,29-34,793.0
2019,пайыз,,Қызылорда,,35-44,901.0
2019,пайыз,,Қызылорда,,45-54,875.0
2019,пайыз,,Қызылорда,,55-64,896.0
2019,пайыз,,Қызылорда,,65 және одан үлкен,1001.0
2019,пайыз,,Маңғыстау,,16-24,668.0
2019,пайыз,,Маңғыстау,,25-28,896.0
2019,пайыз,,Маңғыстау,,29-34,1468.0
2019,пайыз,,Маңғыстау,,35-44,1804.0
2019,пайыз,,Маңғыстау,,45-54,1866.0
2019,пайыз,,Маңғыстау,,55-64,1853.0
2019,пайыз,,Маңғыстау,,65 және одан үлкен,1331.0
2019,пайыз,,Павлодар,,16-24,662.0
2019,пайыз,,Павлодар,,25-28,819.0
2019,пайыз,,Павлодар,,29-34,923.0
2019,пайыз,,Павлодар,,35-44,968.0
2019,пайыз,,Павлодар,,45-54,909.0
2019,пайыз,,Павлодар,,55-64,912.0
2019,пайыз,,Павлодар,,65 және одан үлкен,921.0
2019,пайыз,,Солтүстік Қазақстан,,16-24,535.0
2019,пайыз,,Солтүстік Қазақстан,,25-28,629.0
2019,пайыз,,Солтүстік Қазақстан,,29-34,714.0
2019,пайыз,,Солтүстік Қазақстан,,35-44,736.0
2019,пайыз,,Солтүстік Қазақстан,,45-54,677.0
2019,пайыз,,Солтүстік Қазақстан,,55-64,673.0
2019,пайыз,,Солтүстік Қазақстан,,65 және одан үлкен,731.0
2019,пайыз,,Түркістан,,16-24,455.0
2019,пайыз,,Түркістан,,25-28,537.0
2019,пайыз,,Түркістан,,29-34,610.0
2019,пайыз,,Түркістан,,35-44,675.0
2019,пайыз,,Түркістан,,45-54,667.0
2019,пайыз,,Түркістан,,55-64,685.0
2019,пайыз,,Түркістан,,65 және одан үлкен,1482.0
2019,пайыз,,Шығыс Қазақстан,,16-24,639.0
2019,пайыз,,Шығыс Қазақстан,,25-28,762.0
2019,пайыз,,Шығыс Қазақстан,,29-34,887.0
2019,пайыз,,Шығыс Қазақстан,,35-44,948.0
2019,пайыз,,Шығыс Қазақстан,,45-54,905.0
2019,пайыз,,Шығыс Қазақстан,,55-64,809.0
2019,пайыз,,Шығыс Қазақстан,,65 және одан үлкен,1014.0
2019,пайыз,,Нұр-Сұлтан қаласы,,16-24,764.0
2019,пайыз,,Нұр-Сұлтан қаласы,,25-28,1056.0
2019,пайыз,,Нұр-Сұлтан қаласы,,29-34,1391.0
2019,пайыз,,Нұр-Сұлтан қаласы,,35-44,1738.0
2019,пайыз,,Нұр-Сұлтан қаласы,,45-54,1532.0
2019,пайыз,,Нұр-Сұлтан қаласы,,55-64,1423.0
2019,пайыз,,Нұр-Сұлтан қаласы,,65 және одан үлкен,1471.0
2019,пайыз,,Алматы қаласы,,16-24,778.0
2019,пайыз,,Алматы қаласы,,25-28,1076.0
2019,пайыз,,Алматы қаласы,,29-34,1411.0
2019,пайыз,,Алматы қаласы,,35-44,1807.0
2019,пайыз,,Алматы қаласы,,45-54,1454.0
2019,пайыз,,Алматы қаласы,,55-64,1271.0
2019,пайыз,,Алматы қаласы,,65 және одан үлкен,1453.0
2019,пайыз,,Шымкент қаласы,,16-24,496.0
2019,пайыз,,Шымкент қаласы,,25-28,593.0
2019,пайыз,,Шымкент қаласы,,29-34,695.0
2019,пайыз,,Шымкент қаласы,,35-44,735.0
2019,пайыз,,Шымкент қаласы,,45-54,747.0
2019,пайыз,,Шымкент қаласы,,55-64,761.0
2019,пайыз,,Шымкент қаласы,,65 және одан үлкен,765.0
2019,пайыз,,,ерлер,16-24,729.0
2019,пайыз,,,ерлер,25-28,927.0
2019,пайыз,,,ерлер,29-34,1211.0
2019,пайыз,,,ерлер,35-44,1449.0
2019,пайыз,,,ерлер,45-54,1326.0
2019,пайыз,,,ерлер,55-64,1185.0
2019,пайыз,,,ерлер,65 және одан үлкен,1314.0
2019,пайыз,,,әйелдер,16-24,603.0
2019,пайыз,,,әйелдер,25-28,734.0
2019,пайыз,,,әйелдер,29-34,838.0
2019,пайыз,,,әйелдер,35-44,923.0
2019,пайыз,,,әйелдер,45-54,856.0
2019,пайыз,,,әйелдер,55-64,824.0
2019,пайыз,,,әйелдер,65 және одан үлкен,886.0
2019,пайыз,_T,,,,1038.0
2019,пайыз,"ауыл, орман және балық шаруашылығы",,,,599.0
2019,пайыз,өнеркәсіп,,,,1445.0
2019,пайыз,құрылыс,,,,1692.0
2019,пайыз,көтерме және бөлшек саудада сату; автомобильдерді және мотоциклдерді жөндеу,,,,1106.0
2019,пайыз,көлік және жинақтау,,,,1226.0
2019,пайыз,тұру және тамақтану бойынша қызмет көрсету,,,,970.0
2019,пайыз,ақпарат және байланыс,,,,1580.0
2019,пайыз,қаржы және сақтандыру қызметі,,,,2338.0
2019,пайыз,жылжымайтын мүлікпен операциялар,,,,1128.0
2019,пайыз,ISIC4_M,,,,1867.0
2019,пайыз,әкімшілік және қосымша қызмет көрсету саласындағы қызмет,,,,1054.0
2019,пайыз,мемлекеттік басқару және қорғаныс; міндетті әлеуметтік қамсыздандыру,,,,768.0
2019,пайыз,білім беру,,,,675.0
2019,пайыз,денсаулық сақтау және әлеуметтік қызметтер,,,,693.0
2019,пайыз,"өнер, ойын-сауық және демалыс",,,,712.0
2019,пайыз,қызметтердің басқа түрлерін ұсыну,,,,1822.0
2019,пайыз,_T,,ерлер,,1229.0
2019,пайыз,"ауыл, орман және балық шаруашылығы",,ерлер,,610.0
2019,пайыз,өнеркәсіп,,ерлер,,1543.0
2019,пайыз,құрылыс,,ерлер,,1735.0
2019,пайыз,көтерме және бөлшек саудада сату; автомобильдерді және мотоциклдерді жөндеу,,ерлер,,1172.0
2019,пайыз,көлік және жинақтау,,ерлер,,1296.0
2019,пайыз,тұру және тамақтану бойынша қызмет көрсету,,ерлер,,1134.0
2019,пайыз,ақпарат және байланыс,,ерлер,,1658.0
2019,пайыз,қаржы және сақтандыру қызметі,,ерлер,,3113.0
2019,пайыз,жылжымайтын мүлікпен операциялар,,ерлер,,1158.0
2019,пайыз,ISIC4_M,,ерлер,,2108.0
2019,пайыз,әкімшілік және қосымша қызмет көрсету саласындағы қызмет,,ерлер,,1048.0
2019,пайыз,мемлекеттік басқару және қорғаныс; міндетті әлеуметтік қамсыздандыру,,ерлер,,814.0
2019,пайыз,білім беру,,ерлер,,687.0
2019,пайыз,денсаулық сақтау және әлеуметтік қызметтер,,ерлер,,784.0
2019,пайыз,"өнер, ойын-сауық және демалыс",,ерлер,,865.0
2019,пайыз,қызметтердің басқа түрлерін ұсыну,,ерлер,,2135.0
2019,пайыз,_T,,әйелдер,,842.0
2019,пайыз,"ауыл, орман және балық шаруашылығы",,әйелдер,,571.0
2019,пайыз,өнеркәсіп,,әйелдер,,1194.0
2019,пайыз,құрылыс,,әйелдер,,1453.0
2019,пайыз,көтерме және бөлшек саудада сату; автомобильдерді және мотоциклдерді жөндеу,,әйелдер,,1030.0
2019,пайыз,көлік және жинақтау,,әйелдер,,1051.0
2019,пайыз,тұру және тамақтану бойынша қызмет көрсету,,әйелдер,,859.0
2019,пайыз,ақпарат және байланыс,,әйелдер,,1459.0
2019,пайыз,қаржы және сақтандыру қызметі,,әйелдер,,1854.0
2019,пайыз,жылжымайтын мүлікпен операциялар,,әйелдер,,1085.0
2019,пайыз,ISIC4_M,,әйелдер,,1514.0
2019,пайыз,әкімшілік және қосымша қызмет көрсету саласындағы қызмет,,әйелдер,,1077.0
2019,пайыз,мемлекеттік басқару және қорғаныс; міндетті әлеуметтік қамсыздандыру,,әйелдер,,685.0
2019,пайыз,білім беру,,әйелдер,,670.0
2019,пайыз,денсаулық сақтау және әлеуметтік қызметтер,,әйелдер,,663.0
2019,пайыз,"өнер, ойын-сауық және демалыс",,әйелдер,,573.0
2019,пайыз,қызметтердің басқа түрлерін ұсыну,,әйелдер,,1520.0
