Year,UNIT_MEASURE,SERIES,Жасы,Аймақ,Жынысы,Өңірлер,Value
2010,пайыз,нормадан күшті ауытқу,M0T5,,,,3.7
2010,пайыз,нормадан күшті ауытқу,M6T11,,,,6.6
2010,пайыз,нормадан күшті ауытқу,M12T23,,,,8.1
2010,пайыз,нормадан күшті ауытқу,M24T35,,,,6.5
2010,пайыз,нормадан күшті ауытқу,36-47 ай,,,,5.3
2010,пайыз,нормадан күшті ауытқу,48-59 ай,,,,1.7
2015,пайыз,қалыпты және қатал ауытқушылық,,,,,8.0
2015,пайыз,қалыпты және қатал ауытқушылық,,,ерлер,,7.7
2015,пайыз,қалыпты және қатал ауытқушылық,,,әйелдер,,8.3
2015,пайыз,қалыпты және қатал ауытқушылық,,қала,,,7.2
2015,пайыз,қалыпты және қатал ауытқушылық,,ауыл,,,8.9
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Ақмола,2.9
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Ақтөбе,6.6
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Алматы,8.1
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Атырау,11.8
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Батыс Қазақстан,7.4
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Жамбыл,6.9
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Қарағанды,5.4
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Қостанай,11.4
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Қызылорда,10.0
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Маңғыстау,4.5
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Оңтүстік Қазақстан,11.4
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Павлодар,5.5
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Солтүстік Қазақстан,2.3
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Шығыс Қазақстан,7.2
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Нұр-Сұлтан қаласы,7.1
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Алматы қаласы,6.3
2015,пайыз,қалыпты және қатал ауытқушылық,M0T5,,,,5.0
2015,пайыз,қалыпты және қатал ауытқушылық,M6T11,,,,5.8
2015,пайыз,қалыпты және қатал ауытқушылық,M12T17,,,,6.8
2015,пайыз,қалыпты және қатал ауытқушылық,M18T23,,,,11.0
2015,пайыз,қалыпты және қатал ауытқушылық,M24T35,,,,11.5
2015,пайыз,қалыпты және қатал ауытқушылық,36-47 ай,,,,8.4
2015,пайыз,қалыпты және қатал ауытқушылық,48-59 ай,,,,6.0
2015,пайыз,нормадан күшті ауытқу,,,,,2.4
2015,пайыз,нормадан күшті ауытқу,,,ерлер,,2.3
2015,пайыз,нормадан күшті ауытқу,,,әйелдер,,2.6
2015,пайыз,нормадан күшті ауытқу,,қала,,,2.3
2015,пайыз,нормадан күшті ауытқу,,ауыл,,,2.5
2015,пайыз,нормадан күшті ауытқу,,,,Ақмола,0.1
2015,пайыз,нормадан күшті ауытқу,,,,Ақтөбе,4.1
2015,пайыз,нормадан күшті ауытқу,,,,Алматы,2.3
2015,пайыз,нормадан күшті ауытқу,,,,Атырау,4.2
2015,пайыз,нормадан күшті ауытқу,,,,Батыс Қазақстан,2.5
2015,пайыз,нормадан күшті ауытқу,,,,Жамбыл,2.5
2015,пайыз,нормадан күшті ауытқу,,,,Қарағанды,0.0
2015,пайыз,нормадан күшті ауытқу,,,,Қостанай,3.3
2015,пайыз,нормадан күшті ауытқу,,,,Қызылорда,3.3
2015,пайыз,нормадан күшті ауытқу,,,,Маңғыстау,2.0
2015,пайыз,нормадан күшті ауытқу,,,,Оңтүстік Қазақстан,2.4
2015,пайыз,нормадан күшті ауытқу,,,,Павлодар,1.6
2015,пайыз,нормадан күшті ауытқу,,,,Солтүстік Қазақстан,0.0
2015,пайыз,нормадан күшті ауытқу,,,,Шығыс Қазақстан,2.2
2015,пайыз,нормадан күшті ауытқу,,,,Нұр-Сұлтан қаласы,3.5
2015,пайыз,нормадан күшті ауытқу,,,,Алматы қаласы,2.7
2015,пайыз,нормадан күшті ауытқу,M0T5,,,,1.9
2015,пайыз,нормадан күшті ауытқу,M6T11,,,,1.6
2015,пайыз,нормадан күшті ауытқу,M12T17,,,,3.2
2015,пайыз,нормадан күшті ауытқу,M18T23,,,,5.0
2015,пайыз,нормадан күшті ауытқу,M24T35,,,,3.0
2015,пайыз,нормадан күшті ауытқу,36-47 ай,,,,2.0
2015,пайыз,нормадан күшті ауытқу,48-59 ай,,,,1.4
