Year,UNIT_MEASURE,Өңірлер,Жынысы,Аймақ,Жасы,Value
2013,пайыз,,,,29-34,11.1
2013,пайыз,,,,35-44,9.9
2013,пайыз,,,,45-54,10.6
2013,пайыз,,,,55-64,15.2
2013,пайыз,,,,65 және одан үлкен,47.5
2013,пайыз,Ақмола,,,16-24,12.9
2013,пайыз,Ақмола,,,25-28,5.9
2013,пайыз,Ақмола,,,29-34,6.4
2013,пайыз,Ақмола,,,35-44,8.8
2013,пайыз,Ақмола,,,45-54,12.1
2013,пайыз,Ақмола,,,55-64,9.8
2013,пайыз,Ақмола,,,65 және одан үлкен,25.5
2013,пайыз,Ақтөбе,,,16-24,20.8
2013,пайыз,Ақтөбе,,,25-28,15.4
2013,пайыз,Ақтөбе,,,29-34,19.8
2013,пайыз,Ақтөбе,,,35-44,8.4
2013,пайыз,Ақтөбе,,,45-54,8.5
2013,пайыз,Ақтөбе,,,55-64,16.5
2013,пайыз,Ақтөбе,,,65 және одан үлкен,22.0
2013,пайыз,Алматы,,,16-24,19.3
2013,пайыз,Алматы,,,25-28,10.9
2013,пайыз,Алматы,,,29-34,13.7
2013,пайыз,Алматы,,,35-44,14.1
2013,пайыз,Алматы,,,45-54,14.5
2013,пайыз,Алматы,,,55-64,14.3
2013,пайыз,Алматы,,,65 және одан үлкен,10.8
2013,пайыз,Атырау,,,16-24,2.0
2013,пайыз,Атырау,,,25-28,0.2
2013,пайыз,Атырау,,,29-34,1.7
2013,пайыз,Атырау,,,35-44,1.4
2013,пайыз,Атырау,,,45-54,2.2
2013,пайыз,Атырау,,,55-64,2.9
2013,пайыз,Батыс Қазақстан,,,16-24,12.4
2013,пайыз,Батыс Қазақстан,,,25-28,9.1
2013,пайыз,Батыс Қазақстан,,,29-34,10.3
2013,пайыз,Батыс Қазақстан,,,35-44,10.5
2013,пайыз,Батыс Қазақстан,,,45-54,10.4
2013,пайыз,Батыс Қазақстан,,,55-64,11.0
2013,пайыз,Жамбыл,,,Y15,100.0
2013,пайыз,Жамбыл,,,16-24,24.1
2013,пайыз,Жамбыл,,,25-28,15.7
2013,пайыз,Жамбыл,,,29-34,18.3
2013,пайыз,Жамбыл,,,35-44,16.7
2013,пайыз,Жамбыл,,,45-54,21.4
2013,пайыз,Жамбыл,,,55-64,27.5
2013,пайыз,Жамбыл,,,65 және одан үлкен,40.0
2013,пайыз,Қарағанды,,,16-24,13.1
2013,пайыз,Қарағанды,,,25-28,8.1
2013,пайыз,Қарағанды,,,29-34,6.6
2013,пайыз,Қарағанды,,,35-44,6.3
2013,пайыз,Қарағанды,,,45-54,5.0
2013,пайыз,Қарағанды,,,55-64,9.8
2013,пайыз,Қарағанды,,,65 және одан үлкен,55.2
2013,пайыз,Қостанай,,,Y15,100.0
2013,пайыз,Қостанай,,,16-24,32.5
2013,пайыз,Қостанай,,,25-28,21.8
2013,пайыз,Қостанай,,,29-34,14.6
2013,пайыз,Қостанай,,,35-44,14.3
2013,пайыз,Қостанай,,,45-54,17.2
2013,пайыз,Қостанай,,,55-64,27.5
2013,пайыз,Қостанай,,,65 және одан үлкен,36.3
2013,пайыз,Қызылорда,,,16-24,24.6
2013,пайыз,Қызылорда,,,25-28,7.9
2013,пайыз,Қызылорда,,,29-34,14.4
2013,пайыз,Қызылорда,,,35-44,9.6
2013,пайыз,Қызылорда,,,45-54,10.8
2013,пайыз,Қызылорда,,,55-64,8.6
2013,пайыз,Маңғыстау,,,16-24,5.1
2013,пайыз,Маңғыстау,,,25-28,3.7
2013,пайыз,Маңғыстау,,,29-34,4.5
2013,пайыз,Маңғыстау,,,35-44,2.3
2013,пайыз,Маңғыстау,,,45-54,3.5
2013,пайыз,Маңғыстау,,,55-64,2.3
2013,пайыз,Оңтүстік Қазақстан,,,Y15,89.8
2013,пайыз,Оңтүстік Қазақстан,,,16-24,17.2
2013,пайыз,Оңтүстік Қазақстан,,,25-28,15.2
2013,пайыз,Оңтүстік Қазақстан,,,29-34,14.4
2013,пайыз,Оңтүстік Қазақстан,,,35-44,13.8
2013,пайыз,Оңтүстік Қазақстан,,,45-54,12.5
2013,пайыз,Оңтүстік Қазақстан,,,55-64,11.9
2013,пайыз,Павлодар,,,Y15,100.0
2013,пайыз,Павлодар,,,16-24,23.0
2013,пайыз,Павлодар,,,25-28,10.4
2013,пайыз,Павлодар,,,29-34,13.0
2013,пайыз,Павлодар,,,35-44,9.9
2013,пайыз,Павлодар,,,45-54,10.0
2013,пайыз,Павлодар,,,55-64,23.9
2013,пайыз,Павлодар,,,65 және одан үлкен,88.3
2013,пайыз,Солтүстік Қазақстан,,,Y15,100.0
2013,пайыз,Солтүстік Қазақстан,,,16-24,32.4
2013,пайыз,Солтүстік Қазақстан,,,25-28,16.2
2013,пайыз,Солтүстік Қазақстан,,,29-34,17.4
2013,пайыз,Солтүстік Қазақстан,,,35-44,21.7
2013,пайыз,Солтүстік Қазақстан,,,45-54,17.0
2013,пайыз,Солтүстік Қазақстан,,,55-64,37.3
2013,пайыз,Солтүстік Қазақстан,,,65 және одан үлкен,85.5
2013,пайыз,Шығыс Қазақстан,,,16-24,16.8
2013,пайыз,Шығыс Қазақстан,,,25-28,11.6
2013,пайыз,Шығыс Қазақстан,,,29-34,13.5
2013,пайыз,Шығыс Қазақстан,,,35-44,12.1
2013,пайыз,Шығыс Қазақстан,,,45-54,11.3
2013,пайыз,Шығыс Қазақстан,,,55-64,12.1
2013,пайыз,Шығыс Қазақстан,,,65 және одан үлкен,14.6
2013,пайыз,Нұр-Сұлтан қаласы,,,35-44,0.7
2013,пайыз,Алматы қаласы,,,16-24,2.4
2013,пайыз,Алматы қаласы,,,25-28,1.8
2013,пайыз,Алматы қаласы,,,29-34,1.2
2013,пайыз,Алматы қаласы,,,35-44,0.6
2013,пайыз,Алматы қаласы,,,45-54,0.8
2013,пайыз,Алматы қаласы,,,55-64,1.1
2014,пайыз,,,,,8.3
2014,пайыз,Ақмола,,,,8.3
2014,пайыз,Ақтөбе,,,,7.0
2014,пайыз,Алматы,,,,11.5
2014,пайыз,Атырау,,,,1.8
2014,пайыз,Батыс Қазақстан,,,,7.4
2014,пайыз,Жамбыл,,,,22.4
2014,пайыз,Қарағанды,,,,6.4
2014,пайыз,Қостанай,,,,11.0
2014,пайыз,Қызылорда,,,,10.0
2014,пайыз,Маңғыстау,,,,2.4
2014,пайыз,Оңтүстік Қазақстан,,,,8.6
2014,пайыз,Павлодар,,,,6.5
2014,пайыз,Солтүстік Қазақстан,,,,8.1
2014,пайыз,Шығыс Қазақстан,,,,11.6
2014,пайыз,Нұр-Сұлтан қаласы,,,,0.3
2014,пайыз,Алматы қаласы,,,,1.2
2014,пайыз,,ерлер,,,8.0
2014,пайыз,Ақмола,ерлер,,,6.9
2014,пайыз,Ақтөбе,ерлер,,,6.9
2014,пайыз,Алматы,ерлер,,,10.7
2014,пайыз,Атырау,ерлер,,,1.8
2014,пайыз,Батыс Қазақстан,ерлер,,,8.4
2014,пайыз,Жамбыл,ерлер,,,20.6
2014,пайыз,Қарағанды,ерлер,,,6.3
2014,пайыз,Қостанай,ерлер,,,10.1
2014,пайыз,Қызылорда,ерлер,,,10.9
2014,пайыз,Маңғыстау,ерлер,,,2.0
2014,пайыз,Оңтүстік Қазақстан,ерлер,,,8.8
2014,пайыз,Павлодар,ерлер,,,5.7
2014,пайыз,Солтүстік Қазақстан,ерлер,,,7.0
2014,пайыз,Шығыс Қазақстан,ерлер,,,11.2
2014,пайыз,Нұр-Сұлтан қаласы,ерлер,,,0.3
2014,пайыз,Алматы қаласы,ерлер,,,1.5
2014,пайыз,,әйелдер,,,8.7
2014,пайыз,Ақмола,әйелдер,,,9.8
2014,пайыз,Ақтөбе,әйелдер,,,7.0
2014,пайыз,Алматы,әйелдер,,,12.5
2014,пайыз,Атырау,әйелдер,,,1.9
2014,пайыз,Батыс Қазақстан,әйелдер,,,6.3
2014,пайыз,Жамбыл,әйелдер,,,24.3
2014,пайыз,Қарағанды,әйелдер,,,6.4
2014,пайыз,Қостанай,әйелдер,,,11.9
2014,пайыз,Қызылорда,әйелдер,,,9.0
2014,пайыз,Маңғыстау,әйелдер,,,2.9
2014,пайыз,Оңтүстік Қазақстан,әйелдер,,,8.4
2014,пайыз,Павлодар,әйелдер,,,7.4
2014,пайыз,Солтүстік Қазақстан,әйелдер,,,9.3
2014,пайыз,Шығыс Қазақстан,әйелдер,,,11.9
2014,пайыз,Нұр-Сұлтан қаласы,әйелдер,,,0.2
2014,пайыз,Алматы қаласы,әйелдер,,,1.0
2014,пайыз,,,қала,,4.8
2014,пайыз,Ақмола,,қала,,4.0
2014,пайыз,Ақтөбе,,қала,,3.0
2014,пайыз,Алматы,,қала,,8.0
2014,пайыз,Атырау,,қала,,0.3
2014,пайыз,Батыс Қазақстан,,қала,,2.8
2014,пайыз,Жамбыл,,қала,,27.8
2014,пайыз,Қарағанды,,қала,,3.9
2014,пайыз,Қостанай,,қала,,7.8
2014,пайыз,Қызылорда,,қала,,4.9
2014,пайыз,Маңғыстау,,қала,,2.5
2014,пайыз,Оңтүстік Қазақстан,,қала,,8.3
2014,пайыз,Павлодар,,қала,,2.0
2014,пайыз,Солтүстік Қазақстан,,қала,,5.7
2014,пайыз,Шығыс Қазақстан,,қала,,2.8
2014,пайыз,Нұр-Сұлтан қаласы,,қала,,0.3
2014,пайыз,Алматы қаласы,,қала,,1.2
2014,пайыз,,,ауыл,,12.7
2014,пайыз,Ақмола,,ауыл,,12.2
2014,пайыз,Ақтөбе,,ауыл,,13.4
2014,пайыз,Алматы,,ауыл,,12.6
2014,пайыз,Атырау,,ауыл,,3.4
2014,пайыз,Батыс Қазақстан,,ауыл,,11.3
2014,пайыз,Жамбыл,,ауыл,,18.0
2014,пайыз,Қарағанды,,ауыл,,15.4
2014,пайыз,Қостанай,,ауыл,,14.3
2014,пайыз,Қызылорда,,ауыл,,13.4
2014,пайыз,Маңғыстау,,ауыл,,2.3
2014,пайыз,Оңтүстік Қазақстан,,ауыл,,8.9
2014,пайыз,Павлодар,,ауыл,,15.6
2014,пайыз,Солтүстік Қазақстан,,ауыл,,9.8
2014,пайыз,Шығыс Қазақстан,,ауыл,,24.4
2014,пайыз,,,,Y15,46.0
2014,пайыз,,,,16-24,10.2
2014,пайыз,,,,25-28,7.3
2014,пайыз,,,,29-34,7.6
2014,пайыз,,,,35-44,6.7
2014,пайыз,,,,45-54,7.7
2014,пайыз,,,,55-64,11.7
2014,пайыз,,,,65 және одан үлкен,42.6
2014,пайыз,Ақмола,,,Y15,89.4
2014,пайыз,Ақмола,,,16-24,9.5
2014,пайыз,Ақмола,,,25-28,7.7
2014,пайыз,Ақмола,,,29-34,6.3
2014,пайыз,Ақмола,,,35-44,6.9
2014,пайыз,Ақмола,,,45-54,8.1
2014,пайыз,Ақмола,,,55-64,10.0
2014,пайыз,Ақмола,,,65 және одан үлкен,48.1
2014,пайыз,Ақтөбе,,,16-24,9.6
2014,пайыз,Ақтөбе,,,25-28,6.8
2014,пайыз,Ақтөбе,,,29-34,5.5
2014,пайыз,Ақтөбе,,,35-44,5.8
2014,пайыз,Ақтөбе,,,45-54,7.3
2014,пайыз,Ақтөбе,,,55-64,9.6
2014,пайыз,Ақтөбе,,,65 және одан үлкен,32.0
2014,пайыз,Алматы,,,Y15,16.7
2014,пайыз,Алматы,,,16-24,11.6
2014,пайыз,Алматы,,,25-28,9.1
2014,пайыз,Алматы,,,29-34,11.9
2014,пайыз,Алматы,,,35-44,10.9
2014,пайыз,Алматы,,,45-54,11.2
2014,пайыз,Алматы,,,55-64,14.4
2014,пайыз,Алматы,,,65 және одан үлкен,47.4
2014,пайыз,Атырау,,,16-24,2.1
2014,пайыз,Атырау,,,25-28,1.6
2014,пайыз,Атырау,,,29-34,1.5
2014,пайыз,Атырау,,,35-44,1.5
2014,пайыз,Атырау,,,45-54,2.7
2014,пайыз,Атырау,,,55-64,1.8
2014,пайыз,Атырау,,,65 және одан үлкен,2.8
2014,пайыз,Батыс Қазақстан,,,16-24,8.1
2014,пайыз,Батыс Қазақстан,,,25-28,5.6
2014,пайыз,Батыс Қазақстан,,,29-34,8.5
2014,пайыз,Батыс Қазақстан,,,35-44,6.8
2014,пайыз,Батыс Қазақстан,,,45-54,7.2
2014,пайыз,Батыс Қазақстан,,,55-64,7.6
2014,пайыз,Батыс Қазақстан,,,65 және одан үлкен,17.9
2014,пайыз,Жамбыл,,,Y15,41.6
2014,пайыз,Жамбыл,,,16-24,30.5
2014,пайыз,Жамбыл,,,25-28,22.6
2014,пайыз,Жамбыл,,,29-34,18.0
2014,пайыз,Жамбыл,,,35-44,17.5
2014,пайыз,Жамбыл,,,45-54,17.0
2014,пайыз,Жамбыл,,,55-64,35.9
2014,пайыз,Жамбыл,,,65 және одан үлкен,69.7
2014,пайыз,Қарағанды,,,Y15,62.9
2014,пайыз,Қарағанды,,,16-24,7.8
2014,пайыз,Қарағанды,,,25-28,4.4
2014,пайыз,Қарағанды,,,29-34,4.5
2014,пайыз,Қарағанды,,,35-44,4.9
2014,пайыз,Қарағанды,,,45-54,5.8
2014,пайыз,Қарағанды,,,55-64,10.5
2014,пайыз,Қарағанды,,,65 және одан үлкен,42.0
2014,пайыз,Қостанай,,,Y15,59.0
2014,пайыз,Қостанай,,,16-24,17.5
2014,пайыз,Қостанай,,,25-28,11.6
2014,пайыз,Қостанай,,,29-34,10.6
2014,пайыз,Қостанай,,,35-44,8.2
2014,пайыз,Қостанай,,,45-54,8.4
2014,пайыз,Қостанай,,,55-64,13.3
2014,пайыз,Қостанай,,,65 және одан үлкен,26.2
2014,пайыз,Қызылорда,,,16-24,15.1
2014,пайыз,Қызылорда,,,25-28,8.0
2014,пайыз,Қызылорда,,,29-34,9.7
2014,пайыз,Қызылорда,,,35-44,9.5
2014,пайыз,Қызылорда,,,45-54,8.6
2014,пайыз,Қызылорда,,,55-64,7.4
2014,пайыз,Қызылорда,,,65 және одан үлкен,15.6
2014,пайыз,Маңғыстау,,,16-24,3.2
2014,пайыз,Маңғыстау,,,25-28,2.0
2014,пайыз,Маңғыстау,,,29-34,2.0
2014,пайыз,Маңғыстау,,,35-44,2.5
2014,пайыз,Маңғыстау,,,45-54,2.5
2014,пайыз,Маңғыстау,,,55-64,2.3
2014,пайыз,Оңтүстік Қазақстан,,,16-24,8.6
2014,пайыз,Оңтүстік Қазақстан,,,25-28,9.1
2014,пайыз,Оңтүстік Қазақстан,,,29-34,10.9
2014,пайыз,Оңтүстік Қазақстан,,,35-44,7.4
2014,пайыз,Оңтүстік Қазақстан,,,45-54,8.3
2014,пайыз,Оңтүстік Қазақстан,,,55-64,6.7
2014,пайыз,Павлодар,,,Y15,89.6
2014,пайыз,Павлодар,,,16-24,12.1
2014,пайыз,Павлодар,,,25-28,3.6
2014,пайыз,Павлодар,,,29-34,5.2
2014,пайыз,Павлодар,,,35-44,3.4
2014,пайыз,Павлодар,,,45-54,5.3
2014,пайыз,Павлодар,,,55-64,12.7
2014,пайыз,Павлодар,,,65 және одан үлкен,40.8
2014,пайыз,Солтүстік Қазақстан,,,Y15,100.0
2014,пайыз,Солтүстік Қазақстан,,,16-24,10.6
2014,пайыз,Солтүстік Қазақстан,,,25-28,5.5
2014,пайыз,Солтүстік Қазақстан,,,29-34,4.9
2014,пайыз,Солтүстік Қазақстан,,,35-44,5.4
2014,пайыз,Солтүстік Қазақстан,,,45-54,5.5
2014,пайыз,Солтүстік Қазақстан,,,55-64,13.7
2014,пайыз,Солтүстік Қазақстан,,,65 және одан үлкен,49.9
2014,пайыз,Шығыс Қазақстан,,,Y15,76.0
2014,пайыз,Шығыс Қазақстан,,,16-24,18.7
2014,пайыз,Шығыс Қазақстан,,,25-28,9.6
2014,пайыз,Шығыс Қазақстан,,,29-34,10.2
2014,пайыз,Шығыс Қазақстан,,,35-44,9.6
2014,пайыз,Шығыс Қазақстан,,,45-54,12.4
2014,пайыз,Шығыс Қазақстан,,,55-64,13.3
2014,пайыз,Шығыс Қазақстан,,,65 және одан үлкен,25.0
2014,пайыз,Нұр-Сұлтан қаласы,,,25-28,0.3
2014,пайыз,Нұр-Сұлтан қаласы,,,29-34,0.2
2014,пайыз,Нұр-Сұлтан қаласы,,,35-44,0.2
2014,пайыз,Нұр-Сұлтан қаласы,,,45-54,0.5
2014,пайыз,Алматы қаласы,,,16-24,1.0
2014,пайыз,Алматы қаласы,,,25-28,1.1
2014,пайыз,Алматы қаласы,,,29-34,1.1
2014,пайыз,Алматы қаласы,,,35-44,1.1
2014,пайыз,Алматы қаласы,,,45-54,1.6
2014,пайыз,Алматы қаласы,,,55-64,1.8
2014,пайыз,Алматы қаласы,,,65 және одан үлкен,5.1
2015,пайыз,,,,,3.9
2015,пайыз,Ақмола,,,,4.5
2015,пайыз,Ақтөбе,,,,3.1
2015,пайыз,Алматы,,,,6.0
2015,пайыз,Атырау,,,,1.2
2015,пайыз,Батыс Қазақстан,,,,4.2
2015,пайыз,Жамбыл,,,,12.8
2015,пайыз,Қарағанды,,,,2.9
2015,пайыз,Қостанай,,,,3.5
2015,пайыз,Қызылорда,,,,12.6
2015,пайыз,Маңғыстау,,,,2.1
2015,пайыз,Оңтүстік Қазақстан,,,,1.9
2015,пайыз,Павлодар,,,,1.7
2015,пайыз,Солтүстік Қазақстан,,,,2.3
2015,пайыз,Шығыс Қазақстан,,,,5.3
2015,пайыз,Нұр-Сұлтан қаласы,,,,0.6
2015,пайыз,Алматы қаласы,,,,1.0
2015,пайыз,,ерлер,,,4.4
2015,пайыз,Ақмола,ерлер,,,3.6
2015,пайыз,Ақтөбе,ерлер,,,3.1
2015,пайыз,Алматы,ерлер,,,6.3
2015,пайыз,Атырау,ерлер,,,1.4
2015,пайыз,Батыс Қазақстан,ерлер,,,5.1
2015,пайыз,Жамбыл,ерлер,,,13.4
2015,пайыз,Қарағанды,ерлер,,,3.3
2015,пайыз,Қостанай,ерлер,,,3.2
2015,пайыз,Қызылорда,ерлер,,,15.5
2015,пайыз,Маңғыстау,ерлер,,,2.5
2015,пайыз,Оңтүстік Қазақстан,ерлер,,,2.4
2015,пайыз,Павлодар,ерлер,,,1.8
2015,пайыз,Солтүстік Қазақстан,ерлер,,,2.7
2015,пайыз,Шығыс Қазақстан,ерлер,,,6.2
2015,пайыз,Нұр-Сұлтан қаласы,ерлер,,,0.9
2015,пайыз,Алматы қаласы,ерлер,,,1.2
2015,пайыз,,әйелдер,,,3.4
2015,пайыз,Ақмола,әйелдер,,,5.5
2015,пайыз,Ақтөбе,әйелдер,,,3.2
2015,пайыз,Алматы,әйелдер,,,5.6
2015,пайыз,Атырау,әйелдер,,,1.0
2015,пайыз,Батыс Қазақстан,әйелдер,,,3.3
2015,пайыз,Жамбыл,әйелдер,,,12.0
2015,пайыз,Қарағанды,әйелдер,,,2.4
2015,пайыз,Қостанай,әйелдер,,,3.9
2015,пайыз,Қызылорда,әйелдер,,,9.2
2015,пайыз,Маңғыстау,әйелдер,,,1.6
2015,пайыз,Оңтүстік Қазақстан,әйелдер,,,1.2
2015,пайыз,Павлодар,әйелдер,,,1.6
2015,пайыз,Солтүстік Қазақстан,әйелдер,,,1.9
2015,пайыз,Шығыс Қазақстан,әйелдер,,,4.3
2015,пайыз,Нұр-Сұлтан қаласы,әйелдер,,,0.4
2015,пайыз,Алматы қаласы,әйелдер,,,0.8
2015,пайыз,,,қала,,2.5
2015,пайыз,Ақмола,,қала,,1.6
2015,пайыз,Ақтөбе,,қала,,2.4
2015,пайыз,Алматы,,қала,,4.0
2015,пайыз,Атырау,,қала,,0.3
2015,пайыз,Батыс Қазақстан,,қала,,2.5
2015,пайыз,Жамбыл,,қала,,12.1
2015,пайыз,Қарағанды,,қала,,2.6
2015,пайыз,Қостанай,,қала,,5.0
2015,пайыз,Қызылорда,,қала,,5.0
2015,пайыз,Маңғыстау,,қала,,3.3
2015,пайыз,Оңтүстік Қазақстан,,қала,,1.6
2015,пайыз,Павлодар,,қала,,0.4
2015,пайыз,Солтүстік Қазақстан,,қала,,2.6
2015,пайыз,Шығыс Қазақстан,,қала,,2.7
2015,пайыз,Нұр-Сұлтан қаласы,,қала,,0.6
2015,пайыз,Алматы қаласы,,қала,,1.0
2015,пайыз,,,ауыл,,5.6
2015,пайыз,Ақмола,,ауыл,,6.9
2015,пайыз,Ақтөбе,,ауыл,,4.0
2015,пайыз,Алматы,,ауыл,,6.2
2015,пайыз,Атырау,,ауыл,,2.2
2015,пайыз,Батыс Қазақстан,,ауыл,,5.5
2015,пайыз,Жамбыл,,ауыл,,12.6
2015,пайыз,Қарағанды,,ауыл,,3.4
2015,пайыз,Қостанай,,ауыл,,1.8
2015,пайыз,Қызылорда,,ауыл,,17.6
2015,пайыз,Маңғыстау,,ауыл,,0.7
2015,пайыз,Оңтүстік Қазақстан,,ауыл,,2.0
2015,пайыз,Павлодар,,ауыл,,4.3
2015,пайыз,Солтүстік Қазақстан,,ауыл,,2.1
2015,пайыз,Шығыс Қазақстан,,ауыл,,8.7
2015,пайыз,,,,Y15,43.9
2015,пайыз,,,,16-24,5.0
2015,пайыз,,,,25-28,3.6
2015,пайыз,,,,29-34,3.7
2015,пайыз,,,,35-44,3.6
2015,пайыз,,,,45-54,3.9
2015,пайыз,,,,55-64,3.8
2015,пайыз,,,,65 және одан үлкен,6.3
2015,пайыз,Ақмола,,,Y15,38.6
2015,пайыз,Ақмола,,,16-24,5.6
2015,пайыз,Ақмола,,,25-28,3.7
2015,пайыз,Ақмола,,,29-34,4.5
2015,пайыз,Ақмола,,,35-44,4.1
2015,пайыз,Ақмола,,,45-54,5.3
2015,пайыз,Ақмола,,,55-64,4.1
2015,пайыз,Ақмола,,,65 және одан үлкен,2.0
2015,пайыз,Ақтөбе,,,16-24,4.0
2015,пайыз,Ақтөбе,,,25-28,2.7
2015,пайыз,Ақтөбе,,,29-34,2.7
2015,пайыз,Ақтөбе,,,35-44,3.5
2015,пайыз,Ақтөбе,,,45-54,3.2
2015,пайыз,Ақтөбе,,,55-64,2.3
2015,пайыз,Алматы,,,16-24,5.2
2015,пайыз,Алматы,,,25-28,4.6
2015,пайыз,Алматы,,,29-34,6.1
2015,пайыз,Алматы,,,35-44,5.9
2015,пайыз,Алматы,,,45-54,7.2
2015,пайыз,Алматы,,,55-64,6.2
2015,пайыз,Алматы,,,65 және одан үлкен,5.2
2015,пайыз,Атырау,,,16-24,1.2
2015,пайыз,Атырау,,,25-28,1.2
2015,пайыз,Атырау,,,29-34,1.2
2015,пайыз,Атырау,,,35-44,0.8
2015,пайыз,Атырау,,,45-54,1.6
2015,пайыз,Атырау,,,55-64,1.4
2015,пайыз,Батыс Қазақстан,,,16-24,6.5
2015,пайыз,Батыс Қазақстан,,,25-28,5.5
2015,пайыз,Батыс Қазақстан,,,29-34,4.2
2015,пайыз,Батыс Қазақстан,,,35-44,2.9
2015,пайыз,Батыс Қазақстан,,,45-54,3.7
2015,пайыз,Батыс Қазақстан,,,55-64,4.0
2015,пайыз,Жамбыл,,,Y15,58.7
2015,пайыз,Жамбыл,,,16-24,20.2
2015,пайыз,Жамбыл,,,25-28,12.9
2015,пайыз,Жамбыл,,,29-34,11.2
2015,пайыз,Жамбыл,,,35-44,10.2
2015,пайыз,Жамбыл,,,45-54,9.8
