Year,UNIT_MEASURE,SERIES,Аймақ,Өңірлер,Value
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,ауыл,Атырау,92.36641221374046
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,ауыл,Батыс Қазақстан,85.44303797468355
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,ауыл,Жамбыл,100.0
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,ауыл,Қарағанды,97.00996677740864
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,ауыл,Қостанай,89.92805755395683
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,ауыл,Қызылорда,99.5744680851064
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,ауыл,Маңғыстау,100.0
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,ауыл,Павлодар,100.0
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,ауыл,Солтүстік Қазақстан,89.57345971563981
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,ауыл,Түркістан,81.93224592220828
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,ауыл,Шығыс Қазақстан,99.3975903614458
2019,пайыз,базалық ауыз су көздерімен,,,100.0
2019,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Ақмола,100.0
2019,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Ақтөбе,100.0
2019,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Алматы,100.0
2019,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Атырау,100.0
2019,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Батыс Қазақстан,100.0
2019,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Жамбыл,100.0
2019,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Қарағанды,100.0
2019,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Қостанай,100.0
2019,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Қызылорда,100.0
2019,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Маңғыстау,100.0
2019,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Павлодар,100.0
2019,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Солтүстік Қазақстан,100.0
2019,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Түркістан,100.0
2019,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Шығыс Қазақстан,100.0
2019,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Нұр-Сұлтан қаласы,100.0
2019,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Алматы қаласы,100.0
2019,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Шымкент қаласы,100.0
2019,пайыз,наличие теплых и надворных туалетов,,,41.57880508245472
2019,пайыз,наличие теплых и надворных туалетов,,Ақмола,75.13043478260869
2019,пайыз,наличие теплых и надворных туалетов,,Ақтөбе,39.71291866028708
2019,пайыз,наличие теплых и надворных туалетов,,Алматы,37.67383059418458
2019,пайыз,наличие теплых и надворных туалетов,,Атырау,46.85990338164252
2019,пайыз,наличие теплых и надворных туалетов,,Батыс Қазақстан,30.76923076923077
2019,пайыз,наличие теплых и надворных туалетов,,Жамбыл,28.41648590021692
2019,пайыз,наличие теплых и надворных туалетов,,Қарағанды,19.36685288640596
2019,пайыз,наличие теплых и надворных туалетов,,Қостанай,66.08527131782945
2019,пайыз,наличие теплых и надворных туалетов,,Қызылорда,44.90445859872612
2019,пайыз,наличие теплых и надворных туалетов,,Маңғыстау,28.387096774193548
2019,пайыз,наличие теплых и надворных туалетов,,Павлодар,72.01086956521739
2019,пайыз,наличие теплых и надворных туалетов,,Солтүстік Қазақстан,62.96296296296296
2019,пайыз,наличие теплых и надворных туалетов,,Түркістан,34.891304347826086
2019,пайыз,наличие теплых и надворных туалетов,,Шығыс Қазақстан,32.40058910162003
2019,пайыз,наличие теплых и надворных туалетов,,Нұр-Сұлтан қаласы,0.847457627118644
2019,пайыз,наличие теплых и надворных туалетов,,Алматы қаласы,3.103448275862069
2019,пайыз,наличие теплых и надворных туалетов,,Шымкент қаласы,46.24277456647399
2019,пайыз,наличие только надворных туалетов,,,31.346309813463098
2019,пайыз,наличие только надворных туалетов,,Ақмола,0.0
2019,пайыз,наличие только надворных туалетов,,Ақтөбе,33.014354066985646
2019,пайыз,наличие только надворных туалетов,,Алматы,52.591656131479134
2019,пайыз,наличие только надворных туалетов,,Атырау,18.357487922705317
2019,пайыз,наличие только надворных туалетов,,Батыс Қазақстан,51.02564102564102
2019,пайыз,наличие только надворных туалетов,,Жамбыл,58.13449023861171
2019,пайыз,наличие только надворных туалетов,,Қарағанды,22.90502793296089
2019,пайыз,наличие только надворных туалетов,,Қостанай,9.30232558139535
2019,пайыз,наличие только надворных туалетов,,Қызылорда,40.76433121019109
2019,пайыз,наличие только надворных туалетов,,Маңғыстау,25.161290322580644
2019,пайыз,наличие только надворных туалетов,,Павлодар,0.5434782608695652
2019,пайыз,наличие только надворных туалетов,,Солтүстік Қазақстан,13.580246913580249
2019,пайыз,наличие только надворных туалетов,,Түркістан,59.130434782608695
2019,пайыз,наличие только надворных туалетов,,Шығыс Қазақстан,40.50073637702504
2019,пайыз,наличие только надворных туалетов,,Нұр-Сұлтан қаласы,0.0
2019,пайыз,наличие только надворных туалетов,,Алматы қаласы,1.0344827586206895
2019,пайыз,наличие только надворных туалетов,,Шымкент қаласы,18.497109826589597
2019,пайыз,наличие только теплых туалетов,,,27.074885104082185
2019,пайыз,наличие только теплых туалетов,,Ақмола,24.869565217391305
2019,пайыз,наличие только теплых туалетов,,Ақтөбе,27.27272727272727
2019,пайыз,наличие только теплых туалетов,,Алматы,9.734513274336283
2019,пайыз,наличие только теплых туалетов,,Атырау,34.78260869565217
2019,пайыз,наличие только теплых туалетов,,Батыс Қазақстан,18.205128205128204
2019,пайыз,наличие только теплых туалетов,,Жамбыл,13.449023861171366
2019,пайыз,наличие только теплых туалетов,,Қарағанды,57.72811918063314
2019,пайыз,наличие только теплых туалетов,,Қостанай,24.612403100775197
2019,пайыз,наличие только теплых туалетов,,Қызылорда,14.331210191082802
2019,пайыз,наличие только теплых туалетов,,Маңғыстау,46.45161290322581
2019,пайыз,наличие только теплых туалетов,,Павлодар,27.445652173913043
2019,пайыз,наличие только теплых туалетов,,Солтүстік Қазақстан,23.456790123456788
2019,пайыз,наличие только теплых туалетов,,Түркістан,5.978260869565218
2019,пайыз,наличие только теплых туалетов,,Шығыс Қазақстан,27.098674521354933
2019,пайыз,наличие только теплых туалетов,,Нұр-Сұлтан қаласы,99.15254237288136
2019,пайыз,наличие только теплых туалетов,,Алматы қаласы,95.86206896551724
2019,пайыз,наличие только теплых туалетов,,Шымкент қаласы,35.26011560693642
