Year,UNIT_MEASURE,Өңірлер,Аймақ,Жасы,Value
2011,пайыз,Қызылорда,ауыл,,41.9
2011,пайыз,Маңғыстау,ауыл,,20.5
2011,пайыз,Оңтүстік Қазақстан,ауыл,,21.4
2011,пайыз,Павлодар,ауыл,,51.8
2011,пайыз,Солтүстік Қазақстан,ауыл,,34.7
2011,пайыз,Шығыс Қазақстан,ауыл,,32.9
2011,пайыз,,,16-24,49.8
2011,пайыз,,,25-28,44.1
2011,пайыз,,,29-34,36.3
2011,пайыз,,,35-44,39.3
2011,пайыз,,,45-54,38.2
2011,пайыз,,,55-64,29.4
2011,пайыз,,,65 және одан үлкен,13.6
2011,пайыз,Ақмола,,16-24,53.2
2011,пайыз,Ақмола,,25-28,40.9
2011,пайыз,Ақмола,,29-34,51.6
2011,пайыз,Ақмола,,35-44,44.1
2011,пайыз,Ақмола,,45-54,42.5
2011,пайыз,Ақмола,,55-64,26.9
2011,пайыз,Ақтөбе,,16-24,76.5
2011,пайыз,Ақтөбе,,25-28,61.7
2011,пайыз,Ақтөбе,,29-34,22.6
2011,пайыз,Ақтөбе,,35-44,37.3
2011,пайыз,Ақтөбе,,45-54,38.1
2011,пайыз,Ақтөбе,,55-64,24.7
2011,пайыз,Алматы,,16-24,48.0
2011,пайыз,Алматы,,25-28,20.7
2011,пайыз,Алматы,,29-34,0.0
2011,пайыз,Алматы,,35-44,27.5
2011,пайыз,Алматы,,45-54,32.9
2011,пайыз,Алматы,,55-64,24.1
2011,пайыз,Алматы,,65 және одан үлкен,47.1
2011,пайыз,Атырау,,16-24,0.0
2011,пайыз,Атырау,,25-28,71.3
2011,пайыз,Атырау,,29-34,25.2
2011,пайыз,Атырау,,35-44,24.4
2011,пайыз,Атырау,,45-54,34.7
2011,пайыз,Атырау,,55-64,6.1
2011,пайыз,Батыс Қазақстан,,16-24,31.0
2011,пайыз,Батыс Қазақстан,,25-28,0.0
2011,пайыз,Батыс Қазақстан,,29-34,32.4
2011,пайыз,Батыс Қазақстан,,35-44,22.7
2011,пайыз,Батыс Қазақстан,,45-54,17.2
2011,пайыз,Батыс Қазақстан,,55-64,38.1
2011,пайыз,Жамбыл,,16-24,19.0
2011,пайыз,Жамбыл,,25-28,61.4
2011,пайыз,Жамбыл,,29-34,0.0
2011,пайыз,Жамбыл,,35-44,39.6
2011,пайыз,Жамбыл,,45-54,44.8
2011,пайыз,Жамбыл,,55-64,15.9
2011,пайыз,Қарағанды,,16-24,53.0
2011,пайыз,Қарағанды,,25-28,40.0
2011,пайыз,Қарағанды,,29-34,36.5
2011,пайыз,Қарағанды,,35-44,37.5
2011,пайыз,Қарағанды,,45-54,45.3
2011,пайыз,Қарағанды,,55-64,33.1
2011,пайыз,Қарағанды,,65 және одан үлкен,0.0
2011,пайыз,Қостанай,,16-24,57.7
2011,пайыз,Қостанай,,25-28,41.2
2011,пайыз,Қостанай,,29-34,53.6
2011,пайыз,Қостанай,,35-44,42.2
2011,пайыз,Қостанай,,45-54,45.9
2011,пайыз,Қостанай,,55-64,28.9
2011,пайыз,Қостанай,,65 және одан үлкен,0.0
2011,пайыз,Қызылорда,,16-24,100.0
2011,пайыз,Қызылорда,,25-28,33.2
2011,пайыз,Қызылорда,,29-34,53.6
2011,пайыз,Қызылорда,,35-44,39.8
2011,пайыз,Қызылорда,,45-54,41.9
2011,пайыз,Қызылорда,,55-64,18.9
2011,пайыз,Қызылорда,,65 және одан үлкен,0.0
2011,пайыз,Маңғыстау,,16-24,33.4
2011,пайыз,Маңғыстау,,25-28,34.2
2011,пайыз,Маңғыстау,,29-34,19.0
2011,пайыз,Маңғыстау,,35-44,40.4
2011,пайыз,Маңғыстау,,45-54,38.1
2011,пайыз,Маңғыстау,,55-64,24.8
2011,пайыз,Маңғыстау,,65 және одан үлкен,0.0
2011,пайыз,Оңтүстік Қазақстан,,16-24,31.6
2011,пайыз,Оңтүстік Қазақстан,,25-28,46.6
2011,пайыз,Оңтүстік Қазақстан,,29-34,48.4
2011,пайыз,Оңтүстік Қазақстан,,35-44,7.5
2011,пайыз,Оңтүстік Қазақстан,,45-54,24.4
2011,пайыз,Оңтүстік Қазақстан,,55-64,27.4
2011,пайыз,Павлодар,,16-24,21.9
2011,пайыз,Павлодар,,25-28,52.7
2011,пайыз,Павлодар,,29-34,38.4
2011,пайыз,Павлодар,,35-44,35.4
2011,пайыз,Павлодар,,45-54,51.1
2011,пайыз,Павлодар,,55-64,32.5
2011,пайыз,Солтүстік Қазақстан,,16-24,76.0
2011,пайыз,Солтүстік Қазақстан,,25-28,15.2
2011,пайыз,Солтүстік Қазақстан,,29-34,48.0
2011,пайыз,Солтүстік Қазақстан,,35-44,39.9
2011,пайыз,Солтүстік Қазақстан,,45-54,27.0
2011,пайыз,Солтүстік Қазақстан,,55-64,28.1
2011,пайыз,Шығыс Қазақстан,,16-24,37.6
2011,пайыз,Шығыс Қазақстан,,25-28,40.4
2011,пайыз,Шығыс Қазақстан,,29-34,40.1
2011,пайыз,Шығыс Қазақстан,,35-44,38.6
2011,пайыз,Шығыс Қазақстан,,45-54,36.2
2011,пайыз,Шығыс Қазақстан,,55-64,33.9
2011,пайыз,Шығыс Қазақстан,,65 және одан үлкен,0.0
2011,пайыз,Нұр-Сұлтан қаласы,,16-24,48.1
2011,пайыз,Нұр-Сұлтан қаласы,,25-28,46.7
2011,пайыз,Нұр-Сұлтан қаласы,,29-34,34.4
2011,пайыз,Нұр-Сұлтан қаласы,,35-44,45.9
2011,пайыз,Нұр-Сұлтан қаласы,,45-54,38.6
2011,пайыз,Нұр-Сұлтан қаласы,,55-64,36.1
2011,пайыз,Нұр-Сұлтан қаласы,,65 және одан үлкен,42.2
2011,пайыз,Алматы қаласы,,16-24,72.3
2011,пайыз,Алматы қаласы,,25-28,62.5
2011,пайыз,Алматы қаласы,,29-34,40.6
2011,пайыз,Алматы қаласы,,35-44,42.5
2011,пайыз,Алматы қаласы,,45-54,31.3
2011,пайыз,Алматы қаласы,,55-64,27.1
2012,пайыз,,,,39.7
2012,пайыз,Ақмола,,,36.3
2012,пайыз,Ақтөбе,,,36.1
2012,пайыз,Алматы,,,33.4
2012,пайыз,Атырау,,,31.8
2012,пайыз,Батыс Қазақстан,,,20.404275584718
2012,пайыз,Жамбыл,,,39.4
2012,пайыз,Қарағанды,,,43.1
2012,пайыз,Қостанай,,,43.1
2012,пайыз,Қызылорда,,,31.0
2012,пайыз,Маңғыстау,,,40.7
2012,пайыз,Оңтүстік Қазақстан,,,28.7
2012,пайыз,Павлодар,,,30.9
2012,пайыз,Солтүстік Қазақстан,,,40.4
2012,пайыз,Шығыс Қазақстан,,,38.1
2012,пайыз,Нұр-Сұлтан қаласы,,,46.2
2012,пайыз,Алматы қаласы,,,46.2
2012,пайыз,,қала,,41.9
2012,пайыз,Ақмола,қала,,44.6
2012,пайыз,Ақтөбе,қала,,35.3
2012,пайыз,Алматы,қала,,36.9
2012,пайыз,Атырау,қала,,39.5
2012,пайыз,Батыс Қазақстан,қала,,19.1
2012,пайыз,Жамбыл,қала,,38.8
2012,пайыз,Қарағанды,қала,,44.7
2012,пайыз,Қостанай,қала,,45.6
2012,пайыз,Қызылорда,қала,,32.4
2012,пайыз,Маңғыстау,қала,,43.9
2012,пайыз,Оңтүстік Қазақстан,қала,,35.4
2012,пайыз,Павлодар,қала,,29.0
2012,пайыз,Солтүстік Қазақстан,қала,,33.8
2012,пайыз,Шығыс Қазақстан,қала,,34.4
2012,пайыз,Нұр-Сұлтан қаласы,қала,,46.2
2012,пайыз,Алматы қаласы,қала,,46.2
2012,пайыз,,ауыл,,32.2
2012,пайыз,Ақмола,ауыл,,12.8
2012,пайыз,Ақтөбе,ауыл,,42.5
2012,пайыз,Алматы,ауыл,,32.1
2012,пайыз,Атырау,ауыл,,10.1
2012,пайыз,Батыс Қазақстан,ауыл,,25.5
2012,пайыз,Жамбыл,ауыл,,42.6
2012,пайыз,Қарағанды,ауыл,,27.0
2012,пайыз,Қостанай,ауыл,,36.1
2012,пайыз,Қызылорда,ауыл,,28.7
2012,пайыз,Маңғыстау,ауыл,,16.7
2012,пайыз,Оңтүстік Қазақстан,ауыл,,15.8
2012,пайыз,Павлодар,ауыл,,39.1
2012,пайыз,Солтүстік Қазақстан,ауыл,,45.8
2012,пайыз,Шығыс Қазақстан,ауыл,,41.6
2012,пайыз,,,16-24,58.5
2012,пайыз,,,25-28,40.2
2012,пайыз,,,29-34,39.0
2012,пайыз,,,35-44,38.6
2012,пайыз,,,45-54,39.2
2012,пайыз,,,55-64,33.1
2012,пайыз,,,65 және одан үлкен,25.0
2012,пайыз,Ақмола,,16-24,28.2
2012,пайыз,Ақмола,,25-28,31.2
2012,пайыз,Ақмола,,29-34,53.5
2012,пайыз,Ақмола,,35-44,39.6
2012,пайыз,Ақмола,,45-54,37.3
2012,пайыз,Ақмола,,55-64,20.1
2012,пайыз,Ақтөбе,,16-24,100.0
2012,пайыз,Ақтөбе,,25-28,48.7
2012,пайыз,Ақтөбе,,29-34,31.7
2012,пайыз,Ақтөбе,,35-44,34.3
2012,пайыз,Ақтөбе,,45-54,37.3
2012,пайыз,Ақтөбе,,55-64,16.7
2012,пайыз,Алматы,,16-24,40.0
2012,пайыз,Алматы,,25-28,41.0
2012,пайыз,Алматы,,29-34,45.1
2012,пайыз,Алматы,,35-44,19.2
2012,пайыз,Алматы,,45-54,28.7
2012,пайыз,Алматы,,55-64,46.7
2012,пайыз,Атырау,,16-24,78.9
2012,пайыз,Атырау,,25-28,35.3
2012,пайыз,Атырау,,29-34,24.8
2012,пайыз,Атырау,,35-44,42.2
2012,пайыз,Атырау,,45-54,25.9
2012,пайыз,Атырау,,55-64,13.7
2012,пайыз,Атырау,,65 және одан үлкен,0.0
2012,пайыз,Батыс Қазақстан,,29-34,11.7
2012,пайыз,Батыс Қазақстан,,35-44,15.5
2012,пайыз,Батыс Қазақстан,,45-54,26.8
2012,пайыз,Батыс Қазақстан,,55-64,31.6
2012,пайыз,Жамбыл,,16-24,36.6
2012,пайыз,Жамбыл,,25-28,54.2
2012,пайыз,Жамбыл,,29-34,24.9
2012,пайыз,Жамбыл,,35-44,28.7
2012,пайыз,Жамбыл,,45-54,53.3
2012,пайыз,Жамбыл,,55-64,21.5
2012,пайыз,Жамбыл,,65 және одан үлкен,100.0
2012,пайыз,Қарағанды,,16-24,82.0
2012,пайыз,Қарағанды,,25-28,33.0
2012,пайыз,Қарағанды,,29-34,45.5
2012,пайыз,Қарағанды,,35-44,47.5
2012,пайыз,Қарағанды,,45-54,42.1
2012,пайыз,Қарағанды,,55-64,35.3
2012,пайыз,Қарағанды,,65 және одан үлкен,54.4
2012,пайыз,Қостанай,,16-24,47.3
2012,пайыз,Қостанай,,25-28,54.0
2012,пайыз,Қостанай,,29-34,55.9
2012,пайыз,Қостанай,,35-44,43.3
2012,пайыз,Қостанай,,45-54,39.6
2012,пайыз,Қостанай,,55-64,15.1
2012,пайыз,Қызылорда,,16-24,0.0
2012,пайыз,Қызылорда,,25-28,21.3
2012,пайыз,Қызылорда,,29-34,46.9
2012,пайыз,Қызылорда,,35-44,33.3
2012,пайыз,Қызылорда,,45-54,28.2
2012,пайыз,Қызылорда,,55-64,37.0
2012,пайыз,Қызылорда,,65 және одан үлкен,0.0
2012,пайыз,Маңғыстау,,16-24,100.0
2012,пайыз,Маңғыстау,,25-28,52.6
2012,пайыз,Маңғыстау,,29-34,36.4
2012,пайыз,Маңғыстау,,35-44,38.0
2012,пайыз,Маңғыстау,,45-54,56.6
2012,пайыз,Маңғыстау,,55-64,33.0
2012,пайыз,Маңғыстау,,65 және одан үлкен,0.0
2012,пайыз,Оңтүстік Қазақстан,,16-24,68.7
2012,пайыз,Оңтүстік Қазақстан,,25-28,43.3
2012,пайыз,Оңтүстік Қазақстан,,29-34,56.3
2012,пайыз,Оңтүстік Қазақстан,,35-44,17.9
2012,пайыз,Оңтүстік Қазақстан,,45-54,23.4
2012,пайыз,Оңтүстік Қазақстан,,55-64,31.1
2012,пайыз,Павлодар,,16-24,27.6
2012,пайыз,Павлодар,,25-28,29.1
2012,пайыз,Павлодар,,29-34,29.6
2012,пайыз,Павлодар,,35-44,23.5
2012,пайыз,Павлодар,,45-54,38.6
2012,пайыз,Павлодар,,55-64,35.9
2012,пайыз,Солтүстік Қазақстан,,16-24,76.4
2012,пайыз,Солтүстік Қазақстан,,25-28,18.3
2012,пайыз,Солтүстік Қазақстан,,29-34,37.3
2012,пайыз,Солтүстік Қазақстан,,35-44,33.2
2012,пайыз,Солтүстік Қазақстан,,45-54,46.5
2012,пайыз,Солтүстік Қазақстан,,55-64,62.8
2012,пайыз,Шығыс Қазақстан,,16-24,35.9
2012,пайыз,Шығыс Қазақстан,,25-28,38.0
2012,пайыз,Шығыс Қазақстан,,29-34,17.6
2012,пайыз,Шығыс Қазақстан,,35-44,31.9
2012,пайыз,Шығыс Қазақстан,,45-54,50.4
2012,пайыз,Шығыс Қазақстан,,55-64,43.0
2012,пайыз,Нұр-Сұлтан қаласы,,16-24,68.5
2012,пайыз,Нұр-Сұлтан қаласы,,25-28,38.7
2012,пайыз,Нұр-Сұлтан қаласы,,29-34,40.0
2012,пайыз,Нұр-Сұлтан қаласы,,35-44,48.8
2012,пайыз,Нұр-Сұлтан қаласы,,45-54,46.0
2012,пайыз,Нұр-Сұлтан қаласы,,55-64,43.8
2012,пайыз,Нұр-Сұлтан қаласы,,65 және одан үлкен,0.0
2012,пайыз,Алматы қаласы,,16-24,75.3
2012,пайыз,Алматы қаласы,,25-28,52.9
2012,пайыз,Алматы қаласы,,29-34,36.9
2012,пайыз,Алматы қаласы,,35-44,51.0
2012,пайыз,Алматы қаласы,,45-54,39.9
2012,пайыз,Алматы қаласы,,55-64,18.4
2013,пайыз,,,,38.3
2013,пайыз,Ақмола,,,44.8
2013,пайыз,Ақтөбе,,,27.2
2013,пайыз,Алматы,,,45.6
2013,пайыз,Атырау,,,28.9
2013,пайыз,Батыс Қазақстан,,,23.5
2013,пайыз,Жамбыл,,,27.0
2013,пайыз,Қарағанды,,,38.6
2013,пайыз,Қостанай,,,34.6
2013,пайыз,Қызылорда,,,30.9
2013,пайыз,Маңғыстау,,,30.0
2013,пайыз,Оңтүстік Қазақстан,,,32.5
2013,пайыз,Павлодар,,,36.3
2013,пайыз,Солтүстік Қазақстан,,,27.5
2013,пайыз,Шығыс Қазақстан,,,35.5
2013,пайыз,Нұр-Сұлтан қаласы,,,48.0
2013,пайыз,Алматы қаласы,,,39.5
2013,пайыз,,қала,,38.9
2013,пайыз,Ақмола,қала,,50.5
2013,пайыз,Ақтөбе,қала,,23.8
2013,пайыз,Алматы,қала,,46.3
2013,пайыз,Атырау,қала,,31.9
2013,пайыз,Батыс Қазақстан,қала,,26.0
2013,пайыз,Жамбыл,қала,,29.9
2013,пайыз,Қарағанды,қала,,39.4
2013,пайыз,Қостанай,қала,,39.1
2013,пайыз,Қызылорда,қала,,31.7
2013,пайыз,Маңғыстау,қала,,28.0
2013,пайыз,Оңтүстік Қазақстан,қала,,29.4
2013,пайыз,Павлодар,қала,,33.9
2013,пайыз,Солтүстік Қазақстан,қала,,29.4
2013,пайыз,Шығыс Қазақстан,қала,,40.1
2013,пайыз,Нұр-Сұлтан қаласы,қала,,48.0
2013,пайыз,Алматы қаласы,қала,,39.5
2013,пайыз,,ауыл,,37.0
2013,пайыз,Ақмола,ауыл,,31.2
2013,пайыз,Ақтөбе,ауыл,,54.4
2013,пайыз,Алматы,ауыл,,45.3
2013,пайыз,Атырау,ауыл,,18.0
2013,пайыз,Батыс Қазақстан,ауыл,,16.9
2013,пайыз,Жамбыл,ауыл,,10.1
2013,пайыз,Қарағанды,ауыл,,30.7
2013,пайыз,Қостанай,ауыл,,20.5
2013,пайыз,Қызылорда,ауыл,,29.4
2013,пайыз,Маңғыстау,ауыл,,35.8
2013,пайыз,Оңтүстік Қазақстан,ауыл,,34.8
2013,пайыз,Павлодар,ауыл,,44.0
2013,пайыз,Солтүстік Қазақстан,ауыл,,23.9
2013,пайыз,Шығыс Қазақстан,ауыл,,29.1
2013,пайыз,,,16-24,42.0
2013,пайыз,,,25-28,41.6
2013,пайыз,,,29-34,38.4
2013,пайыз,,,35-44,39.3
2013,пайыз,,,45-54,38.4
2013,пайыз,,,55-64,30.0
2013,пайыз,,,65 және одан үлкен,17.5
2013,пайыз,Ақмола,,16-24,69.1
2013,пайыз,Ақмола,,25-28,61.2
2013,пайыз,Ақмола,,29-34,64.4
2013,пайыз,Ақмола,,35-44,32.9
2013,пайыз,Ақмола,,45-54,41.0
2013,пайыз,Ақмола,,55-64,40.7
2013,пайыз,Ақтөбе,,16-24,6.7
2013,пайыз,Ақтөбе,,25-28,33.6
2013,пайыз,Ақтөбе,,29-34,15.6
2013,пайыз,Ақтөбе,,35-44,41.9
2013,пайыз,Ақтөбе,,45-54,24.5
2013,пайыз,Ақтөбе,,55-64,29.1
2013,пайыз,Алматы,,16-24,34.1
2013,пайыз,Алматы,,25-28,70.6
2013,пайыз,Алматы,,29-34,58.9
2013,пайыз,Алматы,,35-44,43.7
2013,пайыз,Алматы,,45-54,44.4
2013,пайыз,Алматы,,55-64,39.5
2013,пайыз,Алматы,,65 және одан үлкен,33.4
2013,пайыз,Атырау,,16-24,47.4
2013,пайыз,Атырау,,25-28,20.7
2013,пайыз,Атырау,,29-34,61.7
2013,пайыз,Атырау,,35-44,24.4
2013,пайыз,Атырау,,45-54,28.7
2013,пайыз,Атырау,,55-64,17.7
2013,пайыз,Атырау,,65 және одан үлкен,0.0
2013,пайыз,Батыс Қазақстан,,16-24,0.0
2013,пайыз,Батыс Қазақстан,,25-28,80.4
2013,пайыз,Батыс Қазақстан,,29-34,0.0
2013,пайыз,Батыс Қазақстан,,35-44,30.4
2013,пайыз,Батыс Қазақстан,,45-54,26.8
2013,пайыз,Батыс Қазақстан,,55-64,17.7
2013,пайыз,Жамбыл,,16-24,0.0
2013,пайыз,Жамбыл,,25-28,28.1
