Year,UNIT_MEASURE,Өңірлер,Аймақ,Жынысы,Жасы,Value
2010,пайыз,Алматы,,,35-44,4.4
2010,пайыз,Алматы,,,45-54,5.6
2010,пайыз,Алматы,,,55-64,13.3
2010,пайыз,Атырау,,,16-24,1.5
2010,пайыз,Атырау,,,25-28,15.4
2010,пайыз,Атырау,,,29-34,6.2
2010,пайыз,Атырау,,,35-44,3.7
2010,пайыз,Атырау,,,45-54,3.5
2010,пайыз,Атырау,,,55-64,5.4
2010,пайыз,Батыс Қазақстан,,,16-24,6.5
2010,пайыз,Батыс Қазақстан,,,25-28,6.4
2010,пайыз,Батыс Қазақстан,,,29-34,6.9
2010,пайыз,Батыс Қазақстан,,,35-44,5.9
2010,пайыз,Батыс Қазақстан,,,45-54,5.1
2010,пайыз,Батыс Қазақстан,,,55-64,1.9
2010,пайыз,Жамбыл,,,16-24,6.0
2010,пайыз,Жамбыл,,,25-28,1.9
2010,пайыз,Жамбыл,,,29-34,9.7
2010,пайыз,Жамбыл,,,35-44,7.7
2010,пайыз,Жамбыл,,,45-54,4.3
2010,пайыз,Жамбыл,,,55-64,1.2
2010,пайыз,Қарағанды,,,16-24,5.9
2010,пайыз,Қарағанды,,,25-28,9.9
2010,пайыз,Қарағанды,,,29-34,5.5
2010,пайыз,Қарағанды,,,35-44,4.8
2010,пайыз,Қарағанды,,,45-54,4.6
2010,пайыз,Қарағанды,,,55-64,4.2
2010,пайыз,Қостанай,,,16-24,5.3
2010,пайыз,Қостанай,,,25-28,13.3
2010,пайыз,Қостанай,,,29-34,5.1
2010,пайыз,Қостанай,,,35-44,3.6
2010,пайыз,Қостанай,,,45-54,4.4
2010,пайыз,Қостанай,,,55-64,8.4
2010,пайыз,Қызылорда,,,16-24,6.5
2010,пайыз,Қызылорда,,,25-28,8.6
2010,пайыз,Қызылорда,,,29-34,4.1
2010,пайыз,Қызылорда,,,35-44,4.0
2010,пайыз,Қызылорда,,,45-54,6.1
2010,пайыз,Қызылорда,,,55-64,10.8
2010,пайыз,Маңғыстау,,,16-24,7.0
2010,пайыз,Маңғыстау,,,25-28,11.7
2010,пайыз,Маңғыстау,,,29-34,2.7
2010,пайыз,Маңғыстау,,,35-44,3.9
2010,пайыз,Маңғыстау,,,45-54,10.4
2010,пайыз,Маңғыстау,,,55-64,8.4
2010,пайыз,Оңтүстік Қазақстан,,,16-24,2.1
2010,пайыз,Оңтүстік Қазақстан,,,25-28,11.3
2010,пайыз,Оңтүстік Қазақстан,,,29-34,6.1
2010,пайыз,Оңтүстік Қазақстан,,,35-44,6.0
2010,пайыз,Оңтүстік Қазақстан,,,45-54,5.3
2010,пайыз,Оңтүстік Қазақстан,,,55-64,2.9
2010,пайыз,Павлодар,,,Y15,3.1
2010,пайыз,Павлодар,,,16-24,5.5
2010,пайыз,Павлодар,,,25-28,8.8
2010,пайыз,Павлодар,,,29-34,4.3
2010,пайыз,Павлодар,,,35-44,4.6
2010,пайыз,Павлодар,,,45-54,6.4
2010,пайыз,Павлодар,,,55-64,4.9
2010,пайыз,Солтүстік Қазақстан,,,16-24,5.9
2010,пайыз,Солтүстік Қазақстан,,,25-28,9.8
2010,пайыз,Солтүстік Қазақстан,,,29-34,7.6
2010,пайыз,Солтүстік Қазақстан,,,35-44,4.7
2010,пайыз,Солтүстік Қазақстан,,,45-54,4.2
2010,пайыз,Солтүстік Қазақстан,,,55-64,5.8
2010,пайыз,Шығыс Қазақстан,,,16-24,7.0
2010,пайыз,Шығыс Қазақстан,,,25-28,6.7
2010,пайыз,Шығыс Қазақстан,,,29-34,4.4
2010,пайыз,Шығыс Қазақстан,,,35-44,5.0
2010,пайыз,Шығыс Қазақстан,,,45-54,4.9
2010,пайыз,Шығыс Қазақстан,,,55-64,8.8
2010,пайыз,Нұр-Сұлтан қаласы,,,16-24,11.2
2010,пайыз,Нұр-Сұлтан қаласы,,,25-28,4.7
2010,пайыз,Нұр-Сұлтан қаласы,,,29-34,6.6
2010,пайыз,Нұр-Сұлтан қаласы,,,35-44,6.4
2010,пайыз,Нұр-Сұлтан қаласы,,,45-54,5.6
2010,пайыз,Нұр-Сұлтан қаласы,,,55-64,2.9
2010,пайыз,Алматы қаласы,,,16-24,9.0
2010,пайыз,Алматы қаласы,,,25-28,8.5
2010,пайыз,Алматы қаласы,,,29-34,5.7
2010,пайыз,Алматы қаласы,,,35-44,5.6
2010,пайыз,Алматы қаласы,,,45-54,5.5
2010,пайыз,Алматы қаласы,,,55-64,4.2
2011,пайыз,,,,,5.4
2011,пайыз,Ақмола,,,,5.5
2011,пайыз,Ақтөбе,,,,4.9
2011,пайыз,Алматы,,,,5.1
2011,пайыз,Атырау,,,,5.0
2011,пайыз,Батыс Қазақстан,,,,5.3
2011,пайыз,Жамбыл,,,,5.5
2011,пайыз,Қарағанды,,,,5.3
2011,пайыз,Қостанай,,,,5.4
2011,пайыз,Қызылорда,,,,5.5
2011,пайыз,Маңғыстау,,,,5.8
2011,пайыз,Оңтүстік Қазақстан,,,,5.7
2011,пайыз,Павлодар,,,,5.2
2011,пайыз,Солтүстік Қазақстан,,,,5.4
2011,пайыз,Шығыс Қазақстан,,,,5.2
2011,пайыз,Нұр-Сұлтан қаласы,,,,5.8
2011,пайыз,Алматы қаласы,,,,5.6
2011,пайыз,,,ерлер,,4.6
2011,пайыз,Ақмола,,ерлер,,5.3
2011,пайыз,Ақтөбе,,ерлер,,3.5
2011,пайыз,Алматы,,ерлер,,5.1
2011,пайыз,Атырау,,ерлер,,4.2
2011,пайыз,Батыс Қазақстан,,ерлер,,4.9
2011,пайыз,Жамбыл,,ерлер,,4.9
2011,пайыз,Қарағанды,,ерлер,,3.7
2011,пайыз,Қостанай,,ерлер,,4.8
2011,пайыз,Қызылорда,,ерлер,,5.2
2011,пайыз,Маңғыстау,,ерлер,,5.4
2011,пайыз,Оңтүстік Қазақстан,,ерлер,,5.1
2011,пайыз,Павлодар,,ерлер,,4.4
2011,пайыз,Солтүстік Қазақстан,,ерлер,,5.3
2011,пайыз,Шығыс Қазақстан,,ерлер,,3.7
2011,пайыз,Нұр-Сұлтан қаласы,,ерлер,,4.0
2011,пайыз,Алматы қаласы,,ерлер,,4.4
2011,пайыз,,,әйелдер,,6.2
2011,пайыз,Ақмола,,әйелдер,,5.6
2011,пайыз,Ақтөбе,,әйелдер,,6.2
2011,пайыз,Алматы,,әйелдер,,5.0
2011,пайыз,Атырау,,әйелдер,,5.9
2011,пайыз,Батыс Қазақстан,,әйелдер,,5.8
2011,пайыз,Жамбыл,,әйелдер,,6.1
2011,пайыз,Қарағанды,,әйелдер,,6.8
2011,пайыз,Қостанай,,әйелдер,,5.9
2011,пайыз,Қызылорда,,әйелдер,,5.8
2011,пайыз,Маңғыстау,,әйелдер,,6.3
2011,пайыз,Оңтүстік Қазақстан,,әйелдер,,6.4
2011,пайыз,Павлодар,,әйелдер,,6.0
2011,пайыз,Солтүстік Қазақстан,,әйелдер,,5.6
2011,пайыз,Шығыс Қазақстан,,әйелдер,,6.8
2011,пайыз,Нұр-Сұлтан қаласы,,әйелдер,,7.8
2011,пайыз,Алматы қаласы,,әйелдер,,6.7
2011,пайыз,,қала,,,5.8
2011,пайыз,Ақмола,қала,,,5.2
2011,пайыз,Ақтөбе,қала,,,4.7
2011,пайыз,Алматы,қала,,,6.0
2011,пайыз,Атырау,қала,,,5.2
2011,пайыз,Батыс Қазақстан,қала,,,4.9
2011,пайыз,Жамбыл,қала,,,6.8
2011,пайыз,Қарағанды,қала,,,5.3
2011,пайыз,Қостанай,қала,,,7.4
2011,пайыз,Қызылорда,қала,,,5.1
2011,пайыз,Маңғыстау,қала,,,4.9
2011,пайыз,Оңтүстік Қазақстан,қала,,,6.7
2011,пайыз,Павлодар,қала,,,5.8
2011,пайыз,Солтүстік Қазақстан,қала,,,5.8
2011,пайыз,Шығыс Қазақстан,қала,,,5.7
2011,пайыз,Нұр-Сұлтан қаласы,қала,,,5.8
2011,пайыз,Алматы қаласы,қала,,,5.6
2011,пайыз,,ауыл,,,4.9
2011,пайыз,Ақмола,ауыл,,,5.7
2011,пайыз,Ақтөбе,ауыл,,,5.0
2011,пайыз,Алматы,ауыл,,,4.8
2011,пайыз,Атырау,ауыл,,,4.9
2011,пайыз,Батыс Қазақстан,ауыл,,,5.6
2011,пайыз,Жамбыл,ауыл,,,4.6
2011,пайыз,Қарағанды,ауыл,,,5.1
2011,пайыз,Қостанай,ауыл,,,3.5
2011,пайыз,Қызылорда,ауыл,,,5.8
2011,пайыз,Маңғыстау,ауыл,,,7.2
2011,пайыз,Оңтүстік Қазақстан,ауыл,,,5.1
2011,пайыз,Павлодар,ауыл,,,4.1
2011,пайыз,Солтүстік Қазақстан,ауыл,,,5.2
2011,пайыз,Шығыс Қазақстан,ауыл,,,4.6
2011,пайыз,,,,16-24,4.6
2011,пайыз,,,,25-28,7.8
2011,пайыз,,,,29-34,6.6
2011,пайыз,,,,35-44,4.7
2011,пайыз,,,,45-54,4.5
2011,пайыз,,,,55-64,5.3
2011,пайыз,Ақмола,,,16-24,4.8
2011,пайыз,Ақмола,,,25-28,6.0
2011,пайыз,Ақмола,,,29-34,5.2
2011,пайыз,Ақмола,,,35-44,5.8
2011,пайыз,Ақмола,,,45-54,5.5
2011,пайыз,Ақмола,,,55-64,6.0
2011,пайыз,Ақтөбе,,,16-24,2.1
2011,пайыз,Ақтөбе,,,25-28,7.5
2011,пайыз,Ақтөбе,,,29-34,6.7
2011,пайыз,Ақтөбе,,,35-44,5.4
2011,пайыз,Ақтөбе,,,45-54,3.2
2011,пайыз,Ақтөбе,,,55-64,3.4
2011,пайыз,Алматы,,,16-24,2.1
2011,пайыз,Алматы,,,25-28,6.2
2011,пайыз,Алматы,,,29-34,8.0
2011,пайыз,Алматы,,,35-44,3.4
2011,пайыз,Алматы,,,45-54,4.0
2011,пайыз,Алматы,,,55-64,10.2
2011,пайыз,Атырау,,,16-24,0.8
2011,пайыз,Атырау,,,25-28,9.2
2011,пайыз,Атырау,,,29-34,8.1
2011,пайыз,Атырау,,,35-44,3.1
2011,пайыз,Атырау,,,45-54,4.2
2011,пайыз,Атырау,,,55-64,7.8
2011,пайыз,Батыс Қазақстан,,,16-24,5.5
2011,пайыз,Батыс Қазақстан,,,25-28,4.4
2011,пайыз,Батыс Қазақстан,,,29-34,6.4
2011,пайыз,Батыс Қазақстан,,,35-44,5.9
2011,пайыз,Батыс Қазақстан,,,45-54,5.2
2011,пайыз,Батыс Қазақстан,,,55-64,2.7
2011,пайыз,Жамбыл,,,16-24,5.6
2011,пайыз,Жамбыл,,,25-28,7.8
2011,пайыз,Жамбыл,,,29-34,6.6
2011,пайыз,Жамбыл,,,35-44,5.1
2011,пайыз,Жамбыл,,,45-54,3.7
2011,пайыз,Жамбыл,,,55-64,5.4
2011,пайыз,Қарағанды,,,16-24,5.0
2011,пайыз,Қарағанды,,,25-28,7.7
2011,пайыз,Қарағанды,,,29-34,5.2
2011,пайыз,Қарағанды,,,35-44,4.4
2011,пайыз,Қарағанды,,,45-54,6.0
2011,пайыз,Қарағанды,,,55-64,3.6
2011,пайыз,Қостанай,,,16-24,5.0
2011,пайыз,Қостанай,,,25-28,11.0
2011,пайыз,Қостанай,,,29-34,6.7
2011,пайыз,Қостанай,,,35-44,4.7
2011,пайыз,Қостанай,,,45-54,4.1
2011,пайыз,Қостанай,,,55-64,3.5
2011,пайыз,Қызылорда,,,16-24,6.8
2011,пайыз,Қызылорда,,,25-28,6.4
2011,пайыз,Қызылорда,,,29-34,4.9
2011,пайыз,Қызылорда,,,35-44,5.2
2011,пайыз,Қызылорда,,,45-54,4.3
2011,пайыз,Қызылорда,,,55-64,7.3
2011,пайыз,Маңғыстау,,,16-24,6.2
2011,пайыз,Маңғыстау,,,25-28,9.2
2011,пайыз,Маңғыстау,,,29-34,6.1
2011,пайыз,Маңғыстау,,,35-44,4.0
2011,пайыз,Маңғыстау,,,45-54,5.3
2011,пайыз,Маңғыстау,,,55-64,7.4
2011,пайыз,Оңтүстік Қазақстан,,,16-24,1.8
2011,пайыз,Оңтүстік Қазақстан,,,25-28,9.3
2011,пайыз,Оңтүстік Қазақстан,,,29-34,9.8
2011,пайыз,Оңтүстік Қазақстан,,,35-44,4.7
2011,пайыз,Оңтүстік Қазақстан,,,45-54,4.0
2011,пайыз,Оңтүстік Қазақстан,,,55-64,3.6
2011,пайыз,Павлодар,,,16-24,4.6
2011,пайыз,Павлодар,,,25-28,9.0
2011,пайыз,Павлодар,,,29-34,4.5
2011,пайыз,Павлодар,,,35-44,4.0
2011,пайыз,Павлодар,,,45-54,5.3
2011,пайыз,Павлодар,,,55-64,5.5
2011,пайыз,Солтүстік Қазақстан,,,16-24,5.8
2011,пайыз,Солтүстік Қазақстан,,,25-28,9.0
2011,пайыз,Солтүстік Қазақстан,,,29-34,6.4
2011,пайыз,Солтүстік Қазақстан,,,35-44,4.0
2011,пайыз,Солтүстік Қазақстан,,,45-54,5.1
2011,пайыз,Солтүстік Қазақстан,,,55-64,4.9
2011,пайыз,Шығыс Қазақстан,,,16-24,9.2
2011,пайыз,Шығыс Қазақстан,,,25-28,5.0
2011,пайыз,Шығыс Қазақстан,,,29-34,5.9
2011,пайыз,Шығыс Қазақстан,,,35-44,4.1
2011,пайыз,Шығыс Қазақстан,,,45-54,4.0
2011,пайыз,Шығыс Қазақстан,,,55-64,4.4
2011,пайыз,Нұр-Сұлтан қаласы,,,16-24,9.0
2011,пайыз,Нұр-Сұлтан қаласы,,,25-28,8.2
2011,пайыз,Нұр-Сұлтан қаласы,,,29-34,4.5
2011,пайыз,Нұр-Сұлтан қаласы,,,35-44,6.2
2011,пайыз,Нұр-Сұлтан қаласы,,,45-54,4.6
2011,пайыз,Нұр-Сұлтан қаласы,,,55-64,3.3
2011,пайыз,Алматы қаласы,,,16-24,6.6
2011,пайыз,Алматы қаласы,,,25-28,7.3
2011,пайыз,Алматы қаласы,,,29-34,5.6
2011,пайыз,Алматы қаласы,,,35-44,5.4
2011,пайыз,Алматы қаласы,,,45-54,4.9
2011,пайыз,Алматы қаласы,,,55-64,4.1
2012,пайыз,,,,,5.3
2012,пайыз,Ақмола,,,,5.3
2012,пайыз,Ақтөбе,,,,5.0
2012,пайыз,Алматы,,,,5.0
2012,пайыз,Атырау,,,,5.0
2012,пайыз,Батыс Қазақстан,,,,5.1
2012,пайыз,Жамбыл,,,,5.4
2012,пайыз,Қарағанды,,,,5.1
2012,пайыз,Қостанай,,,,5.2
2012,пайыз,Қызылорда,,,,5.3
2012,пайыз,Маңғыстау,,,,5.7
2012,пайыз,Оңтүстік Қазақстан,,,,5.6
2012,пайыз,Павлодар,,,,4.9
2012,пайыз,Солтүстік Қазақстан,,,,5.2
2012,пайыз,Шығыс Қазақстан,,,,5.1
2012,пайыз,Нұр-Сұлтан қаласы,,,,5.7
2012,пайыз,Алматы қаласы,,,,5.6
2012,пайыз,,,ерлер,,4.1
2012,пайыз,Ақмола,,ерлер,,4.0
2012,пайыз,Ақтөбе,,ерлер,,2.9
2012,пайыз,Алматы,,ерлер,,3.6
2012,пайыз,Атырау,,ерлер,,3.9
2012,пайыз,Батыс Қазақстан,,ерлер,,5.2
2012,пайыз,Жамбыл,,ерлер,,5.3
2012,пайыз,Қарағанды,,ерлер,,3.7
2012,пайыз,Қостанай,,ерлер,,4.2
2012,пайыз,Қызылорда,,ерлер,,4.0
2012,пайыз,Маңғыстау,,ерлер,,5.0
2012,пайыз,Оңтүстік Қазақстан,,ерлер,,4.4
2012,пайыз,Павлодар,,ерлер,,4.1
2012,пайыз,Солтүстік Қазақстан,,ерлер,,4.1
2012,пайыз,Шығыс Қазақстан,,ерлер,,4.5
2012,пайыз,Нұр-Сұлтан қаласы,,ерлер,,5.5
2012,пайыз,Алматы қаласы,,ерлер,,3.0
2012,пайыз,,,әйелдер,,6.5
2012,пайыз,Ақмола,,әйелдер,,6.6
2012,пайыз,Ақтөбе,,әйелдер,,6.9
2012,пайыз,Алматы,,әйелдер,,6.5
2012,пайыз,Атырау,,әйелдер,,6.1
2012,пайыз,Батыс Қазақстан,,әйелдер,,5.1
2012,пайыз,Жамбыл,,әйелдер,,5.6
2012,пайыз,Қарағанды,,әйелдер,,6.6
2012,пайыз,Қостанай,,әйелдер,,6.3
2012,пайыз,Қызылорда,,әйелдер,,6.8
2012,пайыз,Маңғыстау,,әйелдер,,6.5
2012,пайыз,Оңтүстік Қазақстан,,әйелдер,,7.0
2012,пайыз,Павлодар,,әйелдер,,5.8
2012,пайыз,Солтүстік Қазақстан,,әйелдер,,6.3
2012,пайыз,Шығыс Қазақстан,,әйелдер,,5.7
2012,пайыз,Нұр-Сұлтан қаласы,,әйелдер,,5.9
2012,пайыз,Алматы қаласы,,әйелдер,,8.0
2012,пайыз,,қала,,,5.6
2012,пайыз,Ақмола,қала,,,4.8
2012,пайыз,Ақтөбе,қала,,,5.4
2012,пайыз,Алматы,қала,,,4.4
2012,пайыз,Атырау,қала,,,4.4
2012,пайыз,Батыс Қазақстан,қала,,,5.0
2012,пайыз,Жамбыл,қала,,,6.8
2012,пайыз,Қарағанды,қала,,,5.1
2012,пайыз,Қостанай,қала,,,7.1
2012,пайыз,Қызылорда,қала,,,5.0
2012,пайыз,Маңғыстау,қала,,,4.8
2012,пайыз,Оңтүстік Қазақстан,қала,,,6.5
2012,пайыз,Павлодар,қала,,,5.5
2012,пайыз,Солтүстік Қазақстан,қала,,,5.6
2012,пайыз,Шығыс Қазақстан,қала,,,5.5
2012,пайыз,Нұр-Сұлтан қаласы,қала,,,5.7
2012,пайыз,Алматы қаласы,қала,,,5.6
2012,пайыз,,ауыл,,,5.0
2012,пайыз,Ақмола,ауыл,,,5.8
2012,пайыз,Ақтөбе,ауыл,,,4.2
2012,пайыз,Алматы,ауыл,,,5.2
2012,пайыз,Атырау,ауыл,,,5.5
2012,пайыз,Батыс Қазақстан,ауыл,,,5.2
2012,пайыз,Жамбыл,ауыл,,,4.6
2012,пайыз,Қарағанды,ауыл,,,5.3
2012,пайыз,Қостанай,ауыл,,,3.5
2012,пайыз,Қызылорда,ауыл,,,5.6
2012,пайыз,Маңғыстау,ауыл,,,6.7
2012,пайыз,Оңтүстік Қазақстан,ауыл,,,5.1
2012,пайыз,Павлодар,ауыл,,,3.9
2012,пайыз,Солтүстік Қазақстан,ауыл,,,5.0
2012,пайыз,Шығыс Қазақстан,ауыл,,,4.5
2012,пайыз,,,,16-24,4.0
2012,пайыз,,,,25-28,7.0
2012,пайыз,,,,29-34,6.0
2012,пайыз,,,,35-44,5.1
2012,пайыз,,,,45-54,4.9
2012,пайыз,,,,55-64,5.1
2012,пайыз,Ақмола,,,16-24,3.7
2012,пайыз,Ақмола,,,25-28,7.0
2012,пайыз,Ақмола,,,29-34,7.4
2012,пайыз,Ақмола,,,35-44,4.8
2012,пайыз,Ақмола,,,45-54,4.3
2012,пайыз,Ақмола,,,55-64,6.0
2012,пайыз,Ақтөбе,,,16-24,2.3
2012,пайыз,Ақтөбе,,,25-28,6.8
2012,пайыз,Ақтөбе,,,29-34,7.2
2012,пайыз,Ақтөбе,,,35-44,4.0
2012,пайыз,Ақтөбе,,,45-54,4.1
2012,пайыз,Ақтөбе,,,55-64,3.8
2012,пайыз,Алматы,,,16-24,1.9
2012,пайыз,Алматы,,,25-28,6.0
2012,пайыз,Алматы,,,29-34,4.7
2012,пайыз,Алматы,,,35-44,6.3
2012,пайыз,Алматы,,,45-54,5.4
2012,пайыз,Алматы,,,55-64,6.5
2012,пайыз,Атырау,,,16-24,1.0
2012,пайыз,Атырау,,,25-28,6.8
2012,пайыз,Атырау,,,29-34,5.9
2012,пайыз,Атырау,,,35-44,3.5
2012,пайыз,Атырау,,,45-54,5.8
2012,пайыз,Атырау,,,55-64,10.3
2012,пайыз,Батыс Қазақстан,,,16-24,5.0
2012,пайыз,Батыс Қазақстан,,,25-28,9.2
2012,пайыз,Батыс Қазақстан,,,29-34,6.7
2012,пайыз,Батыс Қазақстан,,,35-44,4.5
2012,пайыз,Батыс Қазақстан,,,45-54,3.9
2012,пайыз,Батыс Қазақстан,,,55-64,4.8
2012,пайыз,Жамбыл,,,16-24,5.6
2012,пайыз,Жамбыл,,,25-28,10.9
2012,пайыз,Жамбыл,,,29-34,2.8
2012,пайыз,Жамбыл,,,35-44,3.7
2012,пайыз,Жамбыл,,,45-54,3.8
2012,пайыз,Жамбыл,,,55-64,9.6
2012,пайыз,Қарағанды,,,16-24,4.8
2012,пайыз,Қарағанды,,,25-28,5.4
2012,пайыз,Қарағанды,,,29-34,6.2
2012,пайыз,Қарағанды,,,35-44,5.6
2012,пайыз,Қарағанды,,,45-54,5.6
2012,пайыз,Қарағанды,,,55-64,2.1
2012,пайыз,Қостанай,,,16-24,5.2
2012,пайыз,Қостанай,,,25-28,7.3
2012,пайыз,Қостанай,,,29-34,5.7
2012,пайыз,Қостанай,,,35-44,6.8
2012,пайыз,Қостанай,,,45-54,4.5
2012,пайыз,Қостанай,,,55-64,2.5
2012,пайыз,Қызылорда,,,16-24,6.9
2012,пайыз,Қызылорда,,,25-28,5.9
2012,пайыз,Қызылорда,,,29-34,5.5
2012,пайыз,Қызылорда,,,35-44,4.9
2012,пайыз,Қызылорда,,,45-54,3.9
2012,пайыз,Қызылорда,,,55-64,7.2
2012,пайыз,Маңғыстау,,,16-24,4.3
2012,пайыз,Маңғыстау,,,25-28,4.8
2012,пайыз,Маңғыстау,,,29-34,9.5
2012,пайыз,Маңғыстау,,,35-44,4.5
2012,пайыз,Маңғыстау,,,45-54,4.5
2012,пайыз,Маңғыстау,,,55-64,4.4
2012,пайыз,Оңтүстік Қазақстан,,,16-24,0.9
2012,пайыз,Оңтүстік Қазақстан,,,25-28,9.3
2012,пайыз,Оңтүстік Қазақстан,,,29-34,8.2
2012,пайыз,Оңтүстік Қазақстан,,,35-44,4.8
2012,пайыз,Оңтүстік Қазақстан,,,45-54,5.8
2012,пайыз,Оңтүстік Қазақстан,,,55-64,3.6
2012,пайыз,Павлодар,,,16-24,4.1
2012,пайыз,Павлодар,,,25-28,6.2
2012,пайыз,Павлодар,,,29-34,2.9
2012,пайыз,Павлодар,,,35-44,4.6
2012,пайыз,Павлодар,,,45-54,5.4
2012,пайыз,Павлодар,,,55-64,7.6
