Year,UNIT_MEASURE,SERIES,Жынысы,Өңірлер,Value
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ерлер,Шығыс Қазақстан,57.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,әйелдер,Шығыс Қазақстан,63.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ерлер,Нұр-Сұлтан қаласы,82.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,әйелдер,Нұр-Сұлтан қаласы,85.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ерлер,Алматы қаласы,64.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,әйелдер,Алматы қаласы,78.0
2015,пайыз,ii) жынысы бойынша бөлінісінде есептеу машығына ие (3 сынып) Математика,,,99.977
2015,пайыз,ii) жынысы бойынша бөлінісінде есептеу машығына ие (3 сынып) Математика,ерлер,,99.977
2015,пайыз,ii) жынысы бойынша бөлінісінде есептеу машығына ие (3 сынып) Математика,әйелдер,,99.977
2015,пайыз,iii) жынысы бойынша бөлінісінде есептеу машығына ие (2 сынып) Математика,,,99.973
2015,пайыз,iii) жынысы бойынша бөлінісінде есептеу машығына ие (2 сынып) Математика,ерлер,,99.978
2015,пайыз,iii) жынысы бойынша бөлінісінде есептеу машығына ие (2 сынып) Математика,әйелдер,,99.968
2015,пайыз,SE_TOT_PRFL,,,96.5
2015,пайыз,SE_TOT_PRFL,ерлер,,96.5
2015,пайыз,SE_TOT_PRFL,әйелдер,,96.5
2015,пайыз,есептеу машығы,,,67.8
2015,пайыз,SE_TOT_PRFL,ерлер,,68.5
2015,пайыз,SE_TOT_PRFL,әйелдер,,67.2
2015,пайыз,есептеу машығы,ерлер,Ақмола,62.0
2015,пайыз,SE_TOT_PRFL,әйелдер,Ақмола,57.0
2015,пайыз,SE_TOT_PRFL,ерлер,Ақтөбе,59.0
2015,пайыз,есептеу машығы,әйелдер,Ақтөбе,65.0
2015,пайыз,SE_TOT_PRFL,ерлер,Алматы,77.0
2015,пайыз,SE_TOT_PRFL,әйелдер,Алматы,76.0
2015,пайыз,есептеу машығы,ерлер,Атырау,38.0
2015,пайыз,SE_TOT_PRFL,әйелдер,Атырау,51.0
2015,пайыз,SE_TOT_PRFL,ерлер,Батыс Қазақстан,80.0
2015,пайыз,есептеу машығы,әйелдер,Батыс Қазақстан,74.0
2015,пайыз,SE_TOT_PRFL,ерлер,Жамбыл,79.0
2015,пайыз,SE_TOT_PRFL,әйелдер,Жамбыл,83.0
2015,пайыз,есептеу машығы,ерлер,Қарағанды,75.0
2015,пайыз,SE_TOT_PRFL,әйелдер,Қарағанды,71.0
2015,пайыз,SE_TOT_PRFL,ерлер,Қостанай,57.0
2015,пайыз,есептеу машығы,әйелдер,Қостанай,58.0
2015,пайыз,SE_TOT_PRFL,ерлер,Қызылорда,76.0
2015,пайыз,SE_TOT_PRFL,әйелдер,Қызылорда,77.0
2015,пайыз,есептеу машығы,ерлер,Маңғыстау,60.0
2015,пайыз,SE_TOT_PRFL,әйелдер,Маңғыстау,62.0
2015,пайыз,SE_TOT_PRFL,ерлер,Оңтүстік Қазақстан,56.0
2015,пайыз,есептеу машығы,әйелдер,Оңтүстік Қазақстан,57.0
2015,пайыз,SE_TOT_PRFL,ерлер,Павлодар,69.0
2015,пайыз,SE_TOT_PRFL,әйелдер,Павлодар,64.0
2015,пайыз,есептеу машығы,ерлер,Солтүстік Қазақстан,65.0
2015,пайыз,SE_TOT_PRFL,әйелдер,Солтүстік Қазақстан,70.0
2015,пайыз,SE_TOT_PRFL,ерлер,Шығыс Қазақстан,72.0
2015,пайыз,есептеу машығы,әйелдер,Шығыс Қазақстан,72.0
2015,пайыз,SE_TOT_PRFL,ерлер,Нұр-Сұлтан қаласы,85.0
2015,пайыз,SE_TOT_PRFL,әйелдер,Нұр-Сұлтан қаласы,82.0
2015,пайыз,есептеу машығы,ерлер,Алматы қаласы,66.0
2015,пайыз,SE_TOT_PRFL,әйелдер,Алматы қаласы,75.0
2015,пайыз,есептеу машығы,,,90.8
2015,пайыз,есептеу машығы,ерлер,,91.9
2015,пайыз,есептеу машығы,әйелдер,,89.7
2015,пайыз,есептеу машығы,ерлер,Ақмола,89.36
2015,пайыз,есептеу машығы,әйелдер,Ақмола,90.76
2015,пайыз,есептеу машығы,ерлер,Ақтөбе,90.81
2015,пайыз,есептеу машығы,әйелдер,Ақтөбе,89.19
2015,пайыз,есептеу машығы,ерлер,Алматы,85.36
2015,пайыз,есептеу машығы,әйелдер,Алматы,87.63
2015,пайыз,есептеу машығы,ерлер,Атырау,70.78
2015,пайыз,есептеу машығы,әйелдер,Атырау,78.48
2015,пайыз,есептеу машығы,ерлер,Батыс Қазақстан,97.04
2015,пайыз,есептеу машығы,әйелдер,Батыс Қазақстан,97.91
2015,пайыз,есептеу машығы,ерлер,Жамбыл,94.57
2015,пайыз,есептеу машығы,әйелдер,Жамбыл,97.43
2015,пайыз,есептеу машығы,ерлер,Қарағанды,93.69
2015,пайыз,есептеу машығы,әйелдер,Қарағанды,93.33
2015,пайыз,есептеу машығы,ерлер,Қостанай,82.12
2015,пайыз,есептеу машығы,әйелдер,Қостанай,89.48
2015,пайыз,есептеу машығы,ерлер,Қызылорда,98.02
2015,пайыз,есептеу машығы,әйелдер,Қызылорда,98.78
2015,пайыз,есептеу машығы,ерлер,Маңғыстау,82.36
2015,пайыз,есептеу машығы,әйелдер,Маңғыстау,88.87
2015,пайыз,есептеу машығы,ерлер,Оңтүстік Қазақстан,85.74
2015,пайыз,есептеу машығы,әйелдер,Оңтүстік Қазақстан,88.95
2015,пайыз,есептеу машығы,ерлер,Павлодар,91.1
2015,пайыз,есептеу машығы,әйелдер,Павлодар,93.79
2015,пайыз,есептеу машығы,ерлер,Солтүстік Қазақстан,93.04
2015,пайыз,есептеу машығы,әйелдер,Солтүстік Қазақстан,94.69
2015,пайыз,есептеу машығы,ерлер,Шығыс Қазақстан,98.99
2015,пайыз,есептеу машығы,әйелдер,Шығыс Қазақстан,99.4
2015,пайыз,есептеу машығы,ерлер,Нұр-Сұлтан қаласы,85.04
2015,пайыз,есептеу машығы,әйелдер,Нұр-Сұлтан қаласы,95.37
2015,пайыз,есептеу машығы,ерлер,Алматы қаласы,97.17
2015,пайыз,есептеу машығы,әйелдер,Алматы қаласы,92.92
2016,пайыз,есептеу машығы,,,98.0
2016,пайыз,есептеу машығы,ерлер,,98.0
2016,пайыз,есептеу машығы,әйелдер,,98.0
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,,,35.8
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ерлер,,29.34
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,әйелдер,,42.66
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ерлер,Ақмола,37.25
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,әйелдер,Ақмола,48.81
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ерлер,Ақтөбе,22.52
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,әйелдер,Ақтөбе,42.35
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ерлер,Алматы,15.42
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,әйелдер,Алматы,30.1
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ерлер,Атырау,9.88
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,әйелдер,Атырау,23.02
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ерлер,Батыс Қазақстан,23.66
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,әйелдер,Батыс Қазақстан,38.99
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ерлер,Жамбыл,20.86
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,әйелдер,Жамбыл,28.49
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ерлер,Қарағанды,45.62
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,әйелдер,Қарағанды,61.58
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ерлер,Қостанай,47.43
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,әйелдер,Қостанай,60.8
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ерлер,Қызылорда,15.91
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,әйелдер,Қызылорда,28.81
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ерлер,Маңғыстау,15.74
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,әйелдер,Маңғыстау,28.06
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ерлер,Оңтүстік Қазақстан,18.02
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,әйелдер,Оңтүстік Қазақстан,32.52
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ерлер,Павлодар,38.13
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,әйелдер,Павлодар,42.06
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ерлер,Солтүстік Қазақстан,45.38
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,әйелдер,Солтүстік Қазақстан,59.7
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ерлер,Шығыс Қазақстан,37.05
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,әйелдер,Шығыс Қазақстан,55.91
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ерлер,Нұр-Сұлтан қаласы,53.4
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,әйелдер,Нұр-Сұлтан қаласы,60.67
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ерлер,Алматы қаласы,48.11
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,әйелдер,Алматы қаласы,61.21
2018,пайыз,есептеу машығы,,,50.9
2018,пайыз,SE_TOT_PRFL,ерлер,,50.9
2018,пайыз,SE_TOT_PRFL,әйелдер,,51.0
2018,пайыз,есептеу машығы,ерлер,Ақмола,47.5
2018,пайыз,SE_TOT_PRFL,әйелдер,Ақмола,44.1
2018,пайыз,SE_TOT_PRFL,ерлер,Ақтөбе,49.4
2018,пайыз,есептеу машығы,әйелдер,Ақтөбе,52.0
2018,пайыз,SE_TOT_PRFL,ерлер,Алматы,40.0
2018,пайыз,SE_TOT_PRFL,әйелдер,Алматы,38.6
2018,пайыз,есептеу машығы,ерлер,Атырау,28.9
2018,пайыз,SE_TOT_PRFL,әйелдер,Атырау,33.3
2018,пайыз,SE_TOT_PRFL,ерлер,Батыс Қазақстан,47.0
2018,пайыз,есептеу машығы,әйелдер,Батыс Қазақстан,50.3
2018,пайыз,SE_TOT_PRFL,ерлер,Жамбыл,68.6
2018,пайыз,SE_TOT_PRFL,әйелдер,Жамбыл,68.3
2018,пайыз,есептеу машығы,ерлер,Қарағанды,61.6
2018,пайыз,SE_TOT_PRFL,әйелдер,Қарағанды,58.1
2018,пайыз,SE_TOT_PRFL,ерлер,Қостанай,64.4
2018,пайыз,есептеу машығы,әйелдер,Қостанай,62.8
2018,пайыз,SE_TOT_PRFL,ерлер,Қызылорда,47.7
2018,пайыз,SE_TOT_PRFL,әйелдер,Қызылорда,53.3
2018,пайыз,есептеу машығы,ерлер,Маңғыстау,32.9
2018,пайыз,SE_TOT_PRFL,әйелдер,Маңғыстау,37.2
2018,пайыз,SE_TOT_PRFL,ерлер,Оңтүстік Қазақстан,40.4
2018,пайыз,есептеу машығы,әйелдер,Оңтүстік Қазақстан,40.6
2018,пайыз,SE_TOT_PRFL,ерлер,Павлодар,61.9
2018,пайыз,SE_TOT_PRFL,әйелдер,Павлодар,54.8
2018,пайыз,есептеу машығы,ерлер,Солтүстік Қазақстан,56.4
2018,пайыз,SE_TOT_PRFL,әйелдер,Солтүстік Қазақстан,53.4
2018,пайыз,SE_TOT_PRFL,ерлер,Шығыс Қазақстан,55.6
2018,пайыз,есептеу машығы,әйелдер,Шығыс Қазақстан,60.7
2018,пайыз,SE_TOT_PRFL,ерлер,Нұр-Сұлтан қаласы,65.2
2018,пайыз,SE_TOT_PRFL,әйелдер,Нұр-Сұлтан қаласы,59.8
2018,пайыз,есептеу машығы,ерлер,Алматы қаласы,62.1
2018,пайыз,SE_TOT_PRFL,әйелдер,Алматы қаласы,60.9
