Year,UNIT_MEASURE,Аймақ,Жынысы,Өңірлер,Value
2016,пайыз,,,Қостанай,35.2
2017,пайыз,,,Қостанай,36.6
2018,пайыз,,,Қостанай,32.5
2010,пайыз,,,Қызылорда,32.0
2011,пайыз,,,Қызылорда,36.0
2012,пайыз,,,Қызылорда,37.4
2013,пайыз,,,Қызылорда,35.7
2014,пайыз,,,Қызылорда,34.2
2015,пайыз,,,Қызылорда,38.0
2016,пайыз,,,Қызылорда,40.6
2017,пайыз,,,Қызылорда,39.4
2018,пайыз,,,Қызылорда,37.8
2010,пайыз,,,Маңғыстау,24.4
2011,пайыз,,,Маңғыстау,33.3
2012,пайыз,,,Маңғыстау,42.3
2013,пайыз,,,Маңғыстау,31.6
2014,пайыз,,,Маңғыстау,42.7
2015,пайыз,,,Маңғыстау,31.0
2016,пайыз,,,Маңғыстау,36.5
2017,пайыз,,,Маңғыстау,31.1
2018,пайыз,,,Маңғыстау,32.5
2010,пайыз,,,Оңтүстік Қазақстан,22.6
2011,пайыз,,,Оңтүстік Қазақстан,26.7
2012,пайыз,,,Оңтүстік Қазақстан,29.2
2013,пайыз,,,Оңтүстік Қазақстан,29.9
2014,пайыз,,,Оңтүстік Қазақстан,42.1
2015,пайыз,,,Оңтүстік Қазақстан,40.5
2016,пайыз,,,Оңтүстік Қазақстан,45.6
2017,пайыз,,,Оңтүстік Қазақстан,48.0
2010,пайыз,,,Павлодар,25.2
2011,пайыз,,,Павлодар,26.5
2012,пайыз,,,Павлодар,30.1
2013,пайыз,,,Павлодар,26.0
2014,пайыз,,,Павлодар,37.9
2015,пайыз,,,Павлодар,33.4
2016,пайыз,,,Павлодар,33.6
2017,пайыз,,,Павлодар,38.4
2018,пайыз,,,Павлодар,35.5
2010,пайыз,,,Солтүстік Қазақстан,18.5
2011,пайыз,,,Солтүстік Қазақстан,25.7
2012,пайыз,,,Солтүстік Қазақстан,28.2
2013,пайыз,,,Солтүстік Қазақстан,25.4
2014,пайыз,,,Солтүстік Қазақстан,31.6
2015,пайыз,,,Солтүстік Қазақстан,35.3
2016,пайыз,,,Солтүстік Қазақстан,37.3
2017,пайыз,,,Солтүстік Қазақстан,34.2
2018,пайыз,,,Солтүстік Қазақстан,28.0
2018,пайыз,,,Түркістан,40.9
2010,пайыз,,,Шығыс Қазақстан,27.1
2011,пайыз,,,Шығыс Қазақстан,29.6
2012,пайыз,,,Шығыс Қазақстан,34.5
2013,пайыз,,,Шығыс Қазақстан,30.4
2014,пайыз,,,Шығыс Қазақстан,38.6
2015,пайыз,,,Шығыс Қазақстан,37.4
2016,пайыз,,,Шығыс Қазақстан,38.6
2017,пайыз,,,Шығыс Қазақстан,40.0
2018,пайыз,,,Шығыс Қазақстан,39.2
2010,пайыз,,,Нұр-Сұлтан қаласы,61.4
2011,пайыз,,,Нұр-Сұлтан қаласы,68.3
2012,пайыз,,,Нұр-Сұлтан қаласы,60.4
2013,пайыз,,,Нұр-Сұлтан қаласы,38.8
2014,пайыз,,,Нұр-Сұлтан қаласы,40.5
2015,пайыз,,,Нұр-Сұлтан қаласы,43.2
2016,пайыз,,,Нұр-Сұлтан қаласы,44.0
2017,пайыз,,,Нұр-Сұлтан қаласы,45.6
2018,пайыз,,,Нұр-Сұлтан қаласы,48.4
2010,пайыз,,,Алматы қаласы,61.1
2011,пайыз,,,Алматы қаласы,60.0
2012,пайыз,,,Алматы қаласы,71.4
2013,пайыз,,,Алматы қаласы,64.1
2014,пайыз,,,Алматы қаласы,69.2
2015,пайыз,,,Алматы қаласы,76.7
2016,пайыз,,,Алматы қаласы,66.2
2017,пайыз,,,Алматы қаласы,65.0
2018,пайыз,,,Алматы қаласы,66.0
2018,пайыз,,,Шымкент қаласы,58.4
2010,пайыз,,ерлер,,26.0
2011,пайыз,,ерлер,,28.3
2012,пайыз,,ерлер,,33.3
2013,пайыз,,ерлер,,32.7
2014,пайыз,,ерлер,,36.8
2015,пайыз,,ерлер,,37.2
2016,пайыз,,ерлер,,37.3
2017,пайыз,,ерлер,,39.1
2018,пайыз,,ерлер,,39.7
2010,пайыз,,ерлер,Ақмола,27.5
2011,пайыз,,ерлер,Ақмола,23.2
2012,пайыз,,ерлер,Ақмола,15.7
2013,пайыз,,ерлер,Ақмола,22.3
2014,пайыз,,ерлер,Ақмола,28.5
2015,пайыз,,ерлер,Ақмола,28.1
2016,пайыз,,ерлер,Ақмола,33.1
2017,пайыз,,ерлер,Ақмола,29.6
2018,пайыз,,ерлер,Ақмола,33.7
2010,пайыз,,ерлер,Ақтөбе,19.9
2011,пайыз,,ерлер,Ақтөбе,31.3
2012,пайыз,,ерлер,Ақтөбе,35.5
2013,пайыз,,ерлер,Ақтөбе,39.0
2014,пайыз,,ерлер,Ақтөбе,23.7
2015,пайыз,,ерлер,Ақтөбе,27.1
2016,пайыз,,ерлер,Ақтөбе,31.5
2017,пайыз,,ерлер,Ақтөбе,32.9
2018,пайыз,,ерлер,Ақтөбе,26.8
2010,пайыз,,ерлер,Алматы,22.1
2011,пайыз,,ерлер,Алматы,20.3
2012,пайыз,,ерлер,Алматы,25.3
2013,пайыз,,ерлер,Алматы,25.4
2014,пайыз,,ерлер,Алматы,25.0
2015,пайыз,,ерлер,Алматы,24.6
2016,пайыз,,ерлер,Алматы,24.5
2017,пайыз,,ерлер,Алматы,31.9
2018,пайыз,,ерлер,Алматы,29.3
2010,пайыз,,ерлер,Атырау,20.7
2011,пайыз,,ерлер,Атырау,23.4
2012,пайыз,,ерлер,Атырау,35.5
2013,пайыз,,ерлер,Атырау,32.3
2014,пайыз,,ерлер,Атырау,40.0
2015,пайыз,,ерлер,Атырау,28.0
2016,пайыз,,ерлер,Атырау,39.2
2017,пайыз,,ерлер,Атырау,30.5
2018,пайыз,,ерлер,Атырау,46.0
2010,пайыз,,ерлер,Батыс Қазақстан,32.2
2011,пайыз,,ерлер,Батыс Қазақстан,29.2
2012,пайыз,,ерлер,Батыс Қазақстан,27.6
2013,пайыз,,ерлер,Батыс Қазақстан,27.1
2014,пайыз,,ерлер,Батыс Қазақстан,34.3
2015,пайыз,,ерлер,Батыс Қазақстан,31.8
2016,пайыз,,ерлер,Батыс Қазақстан,27.3
2017,пайыз,,ерлер,Батыс Қазақстан,29.3
2018,пайыз,,ерлер,Батыс Қазақстан,27.8
2010,пайыз,,ерлер,Жамбыл,13.4
2011,пайыз,,ерлер,Жамбыл,16.7
2012,пайыз,,ерлер,Жамбыл,27.3
2013,пайыз,,ерлер,Жамбыл,24.3
2014,пайыз,,ерлер,Жамбыл,26.5
2015,пайыз,,ерлер,Жамбыл,27.2
2016,пайыз,,ерлер,Жамбыл,25.2
2017,пайыз,,ерлер,Жамбыл,30.5
2018,пайыз,,ерлер,Жамбыл,32.0
2010,пайыз,,ерлер,Қарағанды,27.4
2011,пайыз,,ерлер,Қарағанды,32.0
2012,пайыз,,ерлер,Қарағанды,34.1
2013,пайыз,,ерлер,Қарағанды,33.5
2014,пайыз,,ерлер,Қарағанды,35.2
2015,пайыз,,ерлер,Қарағанды,32.9
2016,пайыз,,ерлер,Қарағанды,37.7
2017,пайыз,,ерлер,Қарағанды,35.3
2018,пайыз,,ерлер,Қарағанды,35.3
2010,пайыз,,ерлер,Қостанай,23.1
2011,пайыз,,ерлер,Қостанай,20.0
2012,пайыз,,ерлер,Қостанай,25.2
2013,пайыз,,ерлер,Қостанай,22.0
2014,пайыз,,ерлер,Қостанай,34.3
2015,пайыз,,ерлер,Қостанай,27.6
2016,пайыз,,ерлер,Қостанай,28.8
2017,пайыз,,ерлер,Қостанай,31.5
2018,пайыз,,ерлер,Қостанай,26.8
2010,пайыз,,ерлер,Қызылорда,26.1
2011,пайыз,,ерлер,Қызылорда,30.7
2012,пайыз,,ерлер,Қызылорда,32.1
2013,пайыз,,ерлер,Қызылорда,27.7
2014,пайыз,,ерлер,Қызылорда,30.4
2015,пайыз,,ерлер,Қызылорда,33.0
2016,пайыз,,ерлер,Қызылорда,35.6
2017,пайыз,,ерлер,Қызылорда,35.1
2018,пайыз,,ерлер,Қызылорда,33.1
2010,пайыз,,ерлер,Маңғыстау,20.3
2011,пайыз,,ерлер,Маңғыстау,27.3
2012,пайыз,,ерлер,Маңғыстау,38.1
2013,пайыз,,ерлер,Маңғыстау,33.8
2014,пайыз,,ерлер,Маңғыстау,37.4
2015,пайыз,,ерлер,Маңғыстау,26.4
2016,пайыз,,ерлер,Маңғыстау,30.2
2017,пайыз,,ерлер,Маңғыстау,27.4
2018,пайыз,,ерлер,Маңғыстау,29.8
2010,пайыз,,ерлер,Оңтүстік Қазақстан,19.4
2011,пайыз,,ерлер,Оңтүстік Қазақстан,22.3
2012,пайыз,,ерлер,Оңтүстік Қазақстан,25.2
2013,пайыз,,ерлер,Оңтүстік Қазақстан,26.6
2014,пайыз,,ерлер,Оңтүстік Қазақстан,37.1
2015,пайыз,,ерлер,Оңтүстік Қазақстан,34.6
2016,пайыз,,ерлер,Оңтүстік Қазақстан,40.4
2017,пайыз,,ерлер,Оңтүстік Қазақстан,43.0
2010,пайыз,,ерлер,Павлодар,22.7
2011,пайыз,,ерлер,Павлодар,21.9
2012,пайыз,,ерлер,Павлодар,24.9
2013,пайыз,,ерлер,Павлодар,21.7
2014,пайыз,,ерлер,Павлодар,32.1
2015,пайыз,,ерлер,Павлодар,27.3
2016,пайыз,,ерлер,Павлодар,30.2
2017,пайыз,,ерлер,Павлодар,32.1
2018,пайыз,,ерлер,Павлодар,30.5
2010,пайыз,,ерлер,Солтүстік Қазақстан,14.4
2011,пайыз,,ерлер,Солтүстік Қазақстан,19.0
2012,пайыз,,ерлер,Солтүстік Қазақстан,17.6
2013,пайыз,,ерлер,Солтүстік Қазақстан,18.9
2014,пайыз,,ерлер,Солтүстік Қазақстан,27.7
2015,пайыз,,ерлер,Солтүстік Қазақстан,26.8
2016,пайыз,,ерлер,Солтүстік Қазақстан,31.5
2017,пайыз,,ерлер,Солтүстік Қазақстан,30.6
2018,пайыз,,ерлер,Солтүстік Қазақстан,25.4
2018,пайыз,,ерлер,Түркістан,34.4
2010,пайыз,,ерлер,Шығыс Қазақстан,20.3
2011,пайыз,,ерлер,Шығыс Қазақстан,24.5
2012,пайыз,,ерлер,Шығыс Қазақстан,32.2
2013,пайыз,,ерлер,Шығыс Қазақстан,16.6
2014,пайыз,,ерлер,Шығыс Қазақстан,32.2
2015,пайыз,,ерлер,Шығыс Қазақстан,29.6
2016,пайыз,,ерлер,Шығыс Қазақстан,31.5
2017,пайыз,,ерлер,Шығыс Қазақстан,32.6
2018,пайыз,,ерлер,Шығыс Қазақстан,34.8
2010,пайыз,,ерлер,Нұр-Сұлтан қаласы,51.8
2011,пайыз,,ерлер,Нұр-Сұлтан қаласы,64.8
2012,пайыз,,ерлер,Нұр-Сұлтан қаласы,54.3
2013,пайыз,,ерлер,Нұр-Сұлтан қаласы,33.0
2014,пайыз,,ерлер,Нұр-Сұлтан қаласы,37.6
2015,пайыз,,ерлер,Нұр-Сұлтан қаласы,39.7
2016,пайыз,,ерлер,Нұр-Сұлтан қаласы,40.4
2017,пайыз,,ерлер,Нұр-Сұлтан қаласы,41.8
2018,пайыз,,ерлер,Нұр-Сұлтан қаласы,44.0
2010,пайыз,,ерлер,Алматы қаласы,57.7
2011,пайыз,,ерлер,Алматы қаласы,53.6
2012,пайыз,,ерлер,Алматы қаласы,71.4
2013,пайыз,,ерлер,Алматы қаласы,59.9
2014,пайыз,,ерлер,Алматы қаласы,66.6
2015,пайыз,,ерлер,Алматы қаласы,72.9
2016,пайыз,,ерлер,Алматы қаласы,61.2
2017,пайыз,,ерлер,Алматы қаласы,61.3
2018,пайыз,,ерлер,Алматы қаласы,63.0
2018,пайыз,,ерлер,Шымкент қаласы,58.9
2010,пайыз,,әйелдер,,36.6
2011,пайыз,,әйелдер,,40.0
2012,пайыз,,әйелдер,,42.6
2013,пайыз,,әйелдер,,43.1
2014,пайыз,,әйелдер,,47.1
2015,пайыз,,әйелдер,,50.4
2016,пайыз,,әйелдер,,49.5
2017,пайыз,,әйелдер,,51.0
2018,пайыз,,әйелдер,,50.5
2010,пайыз,,әйелдер,Ақмола,26.6
2011,пайыз,,әйелдер,Ақмола,25.4
2012,пайыз,,әйелдер,Ақмола,34.5
2013,пайыз,,әйелдер,Ақмола,32.8
2014,пайыз,,әйелдер,Ақмола,39.8
2015,пайыз,,әйелдер,Ақмола,36.5
2016,пайыз,,әйелдер,Ақмола,39.7
2017,пайыз,,әйелдер,Ақмола,39.4
2018,пайыз,,әйелдер,Ақмола,44.2
2010,пайыз,,әйелдер,Ақтөбе,40.6
2011,пайыз,,әйелдер,Ақтөбе,49.4
2012,пайыз,,әйелдер,Ақтөбе,41.4
2013,пайыз,,әйелдер,Ақтөбе,55.1
2014,пайыз,,әйелдер,Ақтөбе,45.9
2015,пайыз,,әйелдер,Ақтөбе,46.2
2016,пайыз,,әйелдер,Ақтөбе,45.0
2017,пайыз,,әйелдер,Ақтөбе,57.4
2018,пайыз,,әйелдер,Ақтөбе,47.6
2010,пайыз,,әйелдер,Алматы,35.9
2011,пайыз,,әйелдер,Алматы,35.0
2012,пайыз,,әйелдер,Алматы,28.3
2013,пайыз,,әйелдер,Алматы,25.4
2014,пайыз,,әйелдер,Алматы,33.4
2015,пайыз,,әйелдер,Алматы,36.2
2016,пайыз,,әйелдер,Алматы,35.5
2017,пайыз,,әйелдер,Алматы,38.6
2018,пайыз,,әйелдер,Алматы,41.2
2010,пайыз,,әйелдер,Атырау,29.0
2011,пайыз,,әйелдер,Атырау,35.4
2012,пайыз,,әйелдер,Атырау,55.3
2013,пайыз,,әйелдер,Атырау,50.6
2014,пайыз,,әйелдер,Атырау,55.2
2015,пайыз,,әйелдер,Атырау,46.5
2016,пайыз,,әйелдер,Атырау,59.1
2017,пайыз,,әйелдер,Атырау,55.6
2018,пайыз,,әйелдер,Атырау,60.1
2010,пайыз,,әйелдер,Батыс Қазақстан,34.6
2011,пайыз,,әйелдер,Батыс Қазақстан,37.8
2012,пайыз,,әйелдер,Батыс Қазақстан,39.0
2013,пайыз,,әйелдер,Батыс Қазақстан,41.6
2014,пайыз,,әйелдер,Батыс Қазақстан,47.9
2015,пайыз,,әйелдер,Батыс Қазақстан,45.4
2016,пайыз,,әйелдер,Батыс Қазақстан,46.0
2017,пайыз,,әйелдер,Батыс Қазақстан,40.2
2018,пайыз,,әйелдер,Батыс Қазақстан,41.0
2010,пайыз,,әйелдер,Жамбыл,22.8
2011,пайыз,,әйелдер,Жамбыл,29.6
2012,пайыз,,әйелдер,Жамбыл,30.5
2013,пайыз,,әйелдер,Жамбыл,21.6
2014,пайыз,,әйелдер,Жамбыл,34.0
2015,пайыз,,әйелдер,Жамбыл,38.2
2016,пайыз,,әйелдер,Жамбыл,35.2
2017,пайыз,,әйелдер,Жамбыл,42.0
2018,пайыз,,әйелдер,Жамбыл,41.3
2010,пайыз,,әйелдер,Қарағанды,37.6
2011,пайыз,,әйелдер,Қарағанды,38.8
2012,пайыз,,әйелдер,Қарағанды,47.4
2013,пайыз,,әйелдер,Қарағанды,46.9
2014,пайыз,,әйелдер,Қарағанды,46.9
2015,пайыз,,әйелдер,Қарағанды,55.7
2016,пайыз,,әйелдер,Қарағанды,46.1
2017,пайыз,,әйелдер,Қарағанды,49.3
2018,пайыз,,әйелдер,Қарағанды,48.5
2010,пайыз,,әйелдер,Қостанай,43.5
2011,пайыз,,әйелдер,Қостанай,33.8
2012,пайыз,,әйелдер,Қостанай,32.8
2013,пайыз,,әйелдер,Қостанай,34.1
2014,пайыз,,әйелдер,Қостанай,41.2
2015,пайыз,,әйелдер,Қостанай,39.7
2016,пайыз,,әйелдер,Қостанай,42.1
2017,пайыз,,әйелдер,Қостанай,41.7
2018,пайыз,,әйелдер,Қостанай,38.1
2010,пайыз,,әйелдер,Қызылорда,38.3
2011,пайыз,,әйелдер,Қызылорда,42.5
2012,пайыз,,әйелдер,Қызылорда,44.9
2013,пайыз,,әйелдер,Қызылорда,45.3
2014,пайыз,,әйелдер,Қызылорда,39.4
2015,пайыз,,әйелдер,Қызылорда,44.9
2016,пайыз,,әйелдер,Қызылорда,46.7
2017,пайыз,,әйелдер,Қызылорда,44.9
2018,пайыз,,әйелдер,Қызылорда,43.8
2010,пайыз,,әйелдер,Маңғыстау,30.1
2011,пайыз,,әйелдер,Маңғыстау,40.9
2012,пайыз,,әйелдер,Маңғыстау,47.6
2013,пайыз,,әйелдер,Маңғыстау,29.1
2014,пайыз,,әйелдер,Маңғыстау,50.3
2015,пайыз,,әйелдер,Маңғыстау,36.7
2016,пайыз,,әйелдер,Маңғыстау,46.8
2017,пайыз,,әйелдер,Маңғыстау,36.5
2018,пайыз,,әйелдер,Маңғыстау,35.9
2010,пайыз,,әйелдер,Оңтүстік Қазақстан,26.6
2011,пайыз,,әйелдер,Оңтүстік Қазақстан,32.0
2012,пайыз,,әйелдер,Оңтүстік Қазақстан,33.9
2013,пайыз,,әйелдер,Оңтүстік Қазақстан,34.3
2014,пайыз,,әйелдер,Оңтүстік Қазақстан,47.8
2015,пайыз,,әйелдер,Оңтүстік Қазақстан,47.4
2016,пайыз,,әйелдер,Оңтүстік Қазақстан,52.4
2017,пайыз,,әйелдер,Оңтүстік Қазақстан,55.2
2010,пайыз,,әйелдер,Павлодар,27.9
2011,пайыз,,әйелдер,Павлодар,31.5
2012,пайыз,,әйелдер,Павлодар,36.3
2013,пайыз,,әйелдер,Павлодар,32.2
2014,пайыз,,әйелдер,Павлодар,44.0
2015,пайыз,,әйелдер,Павлодар,40.5
2016,пайыз,,әйелдер,Павлодар,37.6
2017,пайыз,,әйелдер,Павлодар,45.4
2018,пайыз,,әйелдер,Павлодар,40.6
2010,пайыз,,әйелдер,Солтүстік Қазақстан,23.0
2011,пайыз,,әйелдер,Солтүстік Қазақстан,32.7
2012,пайыз,,әйелдер,Солтүстік Қазақстан,39.4
2013,пайыз,,әйелдер,Солтүстік Қазақстан,33.1
2014,пайыз,,әйелдер,Солтүстік Қазақстан,36.8
2015,пайыз,,әйелдер,Солтүстік Қазақстан,45.2
2016,пайыз,,әйелдер,Солтүстік Қазақстан,44.6
2017,пайыз,,әйелдер,Солтүстік Қазақстан,38.9
2018,пайыз,,әйелдер,Солтүстік Қазақстан,31.5
2018,пайыз,,әйелдер,Түркістан,49.2
2010,пайыз,,әйелдер,Шығыс Қазақстан,34.8
2011,пайыз,,әйелдер,Шығыс Қазақстан,35.8
2012,пайыз,,әйелдер,Шығыс Қазақстан,37.4
2013,пайыз,,әйелдер,Шығыс Қазақстан,46.4
2014,пайыз,,әйелдер,Шығыс Қазақстан,46.4
2015,пайыз,,әйелдер,Шығыс Қазақстан,46.2
2016,пайыз,,әйелдер,Шығыс Қазақстан,46.7
2017,пайыз,,әйелдер,Шығыс Қазақстан,49.0
2018,пайыз,,әйелдер,Шығыс Қазақстан,44.2
2010,пайыз,,әйелдер,Нұр-Сұлтан қаласы,72.2
2011,пайыз,,әйелдер,Нұр-Сұлтан қаласы,71.8
2012,пайыз,,әйелдер,Нұр-Сұлтан қаласы,67.3
2013,пайыз,,әйелдер,Нұр-Сұлтан қаласы,77.8
2014,пайыз,,әйелдер,Нұр-Сұлтан қаласы,62.6
2015,пайыз,,әйелдер,Нұр-Сұлтан қаласы,66.9
2016,пайыз,,әйелдер,Нұр-Сұлтан қаласы,69.6
2017,пайыз,,әйелдер,Нұр-Сұлтан қаласы,74.5
2018,пайыз,,әйелдер,Нұр-Сұлтан қаласы,80.5
2010,пайыз,,әйелдер,Алматы қаласы,64.6
2011,пайыз,,әйелдер,Алматы қаласы,66.2
2012,пайыз,,әйелдер,Алматы қаласы,71.3
2013,пайыз,,әйелдер,Алматы қаласы,68.8
2014,пайыз,,әйелдер,Алматы қаласы,72.1
2015,пайыз,,әйелдер,Алматы қаласы,80.8
2016,пайыз,,әйелдер,Алматы қаласы,71.8
2017,пайыз,,әйелдер,Алматы қаласы,69.3
2018,пайыз,,әйелдер,Алматы қаласы,69.2
2018,пайыз,,әйелдер,Шымкент қаласы,57.7
2010,пайыз,қала,,,42.7
2011,пайыз,қала,,,44.8
2012,пайыз,қала,,,47.8
2013,пайыз,қала,,,49.3
2014,пайыз,қала,,,52.5
2015,пайыз,қала,,,53.8
2016,пайыз,қала,,,52.8
2017,пайыз,қала,,,53.8
2018,пайыз,қала,,,53.7
2010,пайыз,қала,,Ақмола,39.9
2011,пайыз,қала,,Ақмола,32.8
2012,пайыз,қала,,Ақмола,26.9
2013,пайыз,қала,,Ақмола,31.3
2014,пайыз,қала,,Ақмола,43.3
2015,пайыз,қала,,Ақмола,37.6
2016,пайыз,қала,,Ақмола,39.9
2017,пайыз,қала,,Ақмола,38.4
2018,пайыз,қала,,Ақмола,45.1
2010,пайыз,қала,,Ақтөбе,34.2
2011,пайыз,қала,,Ақтөбе,55.4
2012,пайыз,қала,,Ақтөбе,45.9
2013,пайыз,қала,,Ақтөбе,58.1
2014,пайыз,қала,,Ақтөбе,38.3
2015,пайыз,қала,,Ақтөбе,40.1
2016,пайыз,қала,,Ақтөбе,42.7
2017,пайыз,қала,,Ақтөбе,49.9
2018,пайыз,қала,,Ақтөбе,39.5
2010,пайыз,қала,,Алматы,30.2
2011,пайыз,қала,,Алматы,28.0
2012,пайыз,қала,,Алматы,27.9
2013,пайыз,қала,,Алматы,30.8
2014,пайыз,қала,,Алматы,40.2
2015,пайыз,қала,,Алматы,43.0
2016,пайыз,қала,,Алматы,42.3
2017,пайыз,қала,,Алматы,42.0
2018,пайыз,қала,,Алматы,43.4
2010,пайыз,қала,,Атырау,33.3
2011,пайыз,қала,,Атырау,39.1
2012,пайыз,қала,,Атырау,53.6
2013,пайыз,қала,,Атырау,49.1
2014,пайыз,қала,,Атырау,63.9
2015,пайыз,қала,,Атырау,42.1
2016,пайыз,қала,,Атырау,58.9
2017,пайыз,қала,,Атырау,50.0
2018,пайыз,қала,,Атырау,58.5
2010,пайыз,қала,,Батыс Қазақстан,48.3
2011,пайыз,қала,,Батыс Қазақстан,47.6
2012,пайыз,қала,,Батыс Қазақстан,49.2
2013,пайыз,қала,,Батыс Қазақстан,43.8
2014,пайыз,қала,,Батыс Қазақстан,55.6
2015,пайыз,қала,,Батыс Қазақстан,52.1
2016,пайыз,қала,,Батыс Қазақстан,48.2
2017,пайыз,қала,,Батыс Қазақстан,51.3
2018,пайыз,қала,,Батыс Қазақстан,45.1
2010,пайыз,қала,,Жамбыл,25.8
2011,пайыз,қала,,Жамбыл,30.3
2012,пайыз,қала,,Жамбыл,43.9
2013,пайыз,қала,,Жамбыл,34.0
2014,пайыз,қала,,Жамбыл,38.7
2015,пайыз,қала,,Жамбыл,43.2
2016,пайыз,қала,,Жамбыл,44.3
2017,пайыз,қала,,Жамбыл,47.1
2018,пайыз,қала,,Жамбыл,43.0
2010,пайыз,қала,,Қарағанды,35.9
2011,пайыз,қала,,Қарағанды,37.9
2012,пайыз,қала,,Қарағанды,39.2
2013,пайыз,қала,,Қарағанды,41.2
2014,пайыз,қала,,Қарағанды,44.7
2015,пайыз,қала,,Қарағанды,46.5
2016,пайыз,қала,,Қарағанды,44.2
2017,пайыз,қала,,Қарағанды,43.7
2018,пайыз,қала,,Қарағанды,44.1
2010,пайыз,қала,,Қостанай,46.0
2011,пайыз,қала,,Қостанай,33.6
2012,пайыз,қала,,Қостанай,31.9
2013,пайыз,қала,,Қостанай,35.7
2014,пайыз,қала,,Қостанай,47.0
2015,пайыз,қала,,Қостанай,37.3
2016,пайыз,қала,,Қостанай,42.3
2017,пайыз,қала,,Қостанай,43.4
2018,пайыз,қала,,Қостанай,37.2
2010,пайыз,қала,,Қызылорда,45.9
2011,пайыз,қала,,Қызылорда,46.9
2012,пайыз,қала,,Қызылорда,43.5
2013,пайыз,қала,,Қызылорда,41.2
2014,пайыз,қала,,Қызылорда,41.6
2015,пайыз,қала,,Қызылорда,48.3
2016,пайыз,қала,,Қызылорда,44.7
2017,пайыз,қала,,Қызылорда,43.5
2018,пайыз,қала,,Қызылорда,44.8
2010,пайыз,қала,,Маңғыстау,26.4
2011,пайыз,қала,,Маңғыстау,36.3
2012,пайыз,қала,,Маңғыстау,40.7
2013,пайыз,қала,,Маңғыстау,32.6
2014,пайыз,қала,,Маңғыстау,47.2
2015,пайыз,қала,,Маңғыстау,33.3
2016,пайыз,қала,,Маңғыстау,42.4
2017,пайыз,қала,,Маңғыстау,35.9
2018,пайыз,қала,,Маңғыстау,40.5
2010,пайыз,қала,,Оңтүстік Қазақстан,37.0
