Year,UNIT_MEASURE,SERIES,Пол,Регионы,Value
2015,процент,i) грамотности в разбивке по полу,мужчины,Северо-Казахстанская,57.0
2015,процент,i) грамотности в разбивке по полу,женщины,Северо-Казахстанская,78.0
2015,процент,i) грамотности в разбивке по полу,мужчины,Восточно-Казахстанская,57.0
2015,процент,i) грамотности в разбивке по полу,женщины,Восточно-Казахстанская,63.0
2015,процент,i) грамотности в разбивке по полу,мужчины,г_Нур-Султан,82.0
2015,процент,i) грамотности в разбивке по полу,женщины,г_Нур-Султан,85.0
2015,процент,i) грамотности в разбивке по полу,мужчины,г_Алматы,64.0
2015,процент,i) грамотности в разбивке по полу,женщины,г_Алматы,78.0
2015,процент,"ii) навыков счета, в разбивке по полу (3 КЛАСС) Матeматика",,,99.977
2015,процент,"ii) навыков счета, в разбивке по полу (3 КЛАСС) Матeматика",мужчины,,99.977
2015,процент,"ii) навыков счета, в разбивке по полу (3 КЛАСС) Матeматика",женщины,,99.977
2015,процент,"ii) навыков счета, в разбивке по полу (2 КЛАСС) Математика",,,99.973
2015,процент,"ii) навыков счета, в разбивке по полу (2 КЛАСС) Математика",мужчины,,99.978
2015,процент,"ii) навыков счета, в разбивке по полу (2 КЛАСС) Математика",женщины,,99.968
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",,,96.5
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",мужчины,,96.5
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",женщины,,96.5
2015,процент,навыков счета,,,67.8
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",мужчины,,68.5
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",женщины,,67.2
2015,процент,навыков счета,мужчины,Акмолинская,62.0
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",женщины,Акмолинская,57.0
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",мужчины,Актюбинская,59.0
2015,процент,навыков счета,женщины,Актюбинская,65.0
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",мужчины,Алматинская,77.0
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",женщины,Алматинская,76.0
2015,процент,навыков счета,мужчины,Атырауская,38.0
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",женщины,Атырауская,51.0
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",мужчины,Западно-Казахстанская,80.0
2015,процент,навыков счета,женщины,Западно-Казахстанская,74.0
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",мужчины,Жымбылская,79.0
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",женщины,Жымбылская,83.0
2015,процент,навыков счета,мужчины,Карагандинская,75.0
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",женщины,Карагандинская,71.0
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",мужчины,Костанайская,57.0
2015,процент,навыков счета,женщины,Костанайская,58.0
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",мужчины,Кызылординская,76.0
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",женщины,Кызылординская,77.0
2015,процент,навыков счета,мужчины,Мангистауская,60.0
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",женщины,Мангистауская,62.0
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",мужчины,Южно-Казахстанская,56.0
2015,процент,навыков счета,женщины,Южно-Казахстанская,57.0
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",мужчины,Павлодарская,69.0
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",женщины,Павлодарская,64.0
2015,процент,навыков счета,мужчины,Северо-Казахстанская,65.0
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",женщины,Северо-Казахстанская,70.0
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",мужчины,Восточно-Казахстанская,72.0
2015,процент,навыков счета,женщины,Восточно-Казахстанская,72.0
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",мужчины,г_Нур-Султан,85.0
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",женщины,г_Нур-Султан,82.0
2015,процент,навыков счета,мужчины,г_Алматы,66.0
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",женщины,г_Алматы,75.0
2015,процент,навыков счета,,,90.8
2015,процент,навыков счета,мужчины,,91.9
2015,процент,навыков счета,женщины,,89.7
2015,процент,навыков счета,мужчины,Акмолинская,89.36
2015,процент,навыков счета,женщины,Акмолинская,90.76
2015,процент,навыков счета,мужчины,Актюбинская,90.81
2015,процент,навыков счета,женщины,Актюбинская,89.19
2015,процент,навыков счета,мужчины,Алматинская,85.36
2015,процент,навыков счета,женщины,Алматинская,87.63
2015,процент,навыков счета,мужчины,Атырауская,70.78
2015,процент,навыков счета,женщины,Атырауская,78.48
2015,процент,навыков счета,мужчины,Западно-Казахстанская,97.04
2015,процент,навыков счета,женщины,Западно-Казахстанская,97.91
2015,процент,навыков счета,мужчины,Жымбылская,94.57
2015,процент,навыков счета,женщины,Жымбылская,97.43
2015,процент,навыков счета,мужчины,Карагандинская,93.69
2015,процент,навыков счета,женщины,Карагандинская,93.33
2015,процент,навыков счета,мужчины,Костанайская,82.12
2015,процент,навыков счета,женщины,Костанайская,89.48
2015,процент,навыков счета,мужчины,Кызылординская,98.02
2015,процент,навыков счета,женщины,Кызылординская,98.78
2015,процент,навыков счета,мужчины,Мангистауская,82.36
2015,процент,навыков счета,женщины,Мангистауская,88.87
2015,процент,навыков счета,мужчины,Южно-Казахстанская,85.74
2015,процент,навыков счета,женщины,Южно-Казахстанская,88.95
2015,процент,навыков счета,мужчины,Павлодарская,91.1
2015,процент,навыков счета,женщины,Павлодарская,93.79
2015,процент,навыков счета,мужчины,Северо-Казахстанская,93.04
2015,процент,навыков счета,женщины,Северо-Казахстанская,94.69
2015,процент,навыков счета,мужчины,Восточно-Казахстанская,98.99
2015,процент,навыков счета,женщины,Восточно-Казахстанская,99.4
2015,процент,навыков счета,мужчины,г_Нур-Султан,85.04
2015,процент,навыков счета,женщины,г_Нур-Султан,95.37
2015,процент,навыков счета,мужчины,г_Алматы,97.17
2015,процент,навыков счета,женщины,г_Алматы,92.92
2016,процент,навыков счета,,,98.0
2016,процент,навыков счета,мужчины,,98.0
2016,процент,навыков счета,женщины,,98.0
2018,процент,i) грамотности в разбивке по полу,,,35.8
2018,процент,i) грамотности в разбивке по полу,мужчины,,29.34
2018,процент,i) грамотности в разбивке по полу,женщины,,42.66
2018,процент,i) грамотности в разбивке по полу,мужчины,Акмолинская,37.25
2018,процент,i) грамотности в разбивке по полу,женщины,Акмолинская,48.81
2018,процент,i) грамотности в разбивке по полу,мужчины,Актюбинская,22.52
2018,процент,i) грамотности в разбивке по полу,женщины,Актюбинская,42.35
2018,процент,i) грамотности в разбивке по полу,мужчины,Алматинская,15.42
2018,процент,i) грамотности в разбивке по полу,женщины,Алматинская,30.1
2018,процент,i) грамотности в разбивке по полу,мужчины,Атырауская,9.88
2018,процент,i) грамотности в разбивке по полу,женщины,Атырауская,23.02
2018,процент,i) грамотности в разбивке по полу,мужчины,Западно-Казахстанская,23.66
2018,процент,i) грамотности в разбивке по полу,женщины,Западно-Казахстанская,38.99
2018,процент,i) грамотности в разбивке по полу,мужчины,Жымбылская,20.86
2018,процент,i) грамотности в разбивке по полу,женщины,Жымбылская,28.49
2018,процент,i) грамотности в разбивке по полу,мужчины,Карагандинская,45.62
2018,процент,i) грамотности в разбивке по полу,женщины,Карагандинская,61.58
2018,процент,i) грамотности в разбивке по полу,мужчины,Костанайская,47.43
2018,процент,i) грамотности в разбивке по полу,женщины,Костанайская,60.8
2018,процент,i) грамотности в разбивке по полу,мужчины,Кызылординская,15.91
2018,процент,i) грамотности в разбивке по полу,женщины,Кызылординская,28.81
2018,процент,i) грамотности в разбивке по полу,мужчины,Мангистауская,15.74
2018,процент,i) грамотности в разбивке по полу,женщины,Мангистауская,28.06
2018,процент,i) грамотности в разбивке по полу,мужчины,Южно-Казахстанская,18.02
2018,процент,i) грамотности в разбивке по полу,женщины,Южно-Казахстанская,32.52
2018,процент,i) грамотности в разбивке по полу,мужчины,Павлодарская,38.13
2018,процент,i) грамотности в разбивке по полу,женщины,Павлодарская,42.06
2018,процент,i) грамотности в разбивке по полу,мужчины,Северо-Казахстанская,45.38
2018,процент,i) грамотности в разбивке по полу,женщины,Северо-Казахстанская,59.7
2018,процент,i) грамотности в разбивке по полу,мужчины,Восточно-Казахстанская,37.05
2018,процент,i) грамотности в разбивке по полу,женщины,Восточно-Казахстанская,55.91
2018,процент,i) грамотности в разбивке по полу,мужчины,г_Нур-Султан,53.4
2018,процент,i) грамотности в разбивке по полу,женщины,г_Нур-Султан,60.67
2018,процент,i) грамотности в разбивке по полу,мужчины,г_Алматы,48.11
2018,процент,i) грамотности в разбивке по полу,женщины,г_Алматы,61.21
2018,процент,навыков счета,,,50.9
2018,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",мужчины,,50.9
2018,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",женщины,,51.0
2018,процент,навыков счета,мужчины,Акмолинская,47.5
2018,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",женщины,Акмолинская,44.1
2018,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",мужчины,Актюбинская,49.4
2018,процент,навыков счета,женщины,Актюбинская,52.0
2018,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",мужчины,Алматинская,40.0
2018,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",женщины,Алматинская,38.6
2018,процент,навыков счета,мужчины,Атырауская,28.9
2018,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",женщины,Атырауская,33.3
2018,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",мужчины,Западно-Казахстанская,47.0
2018,процент,навыков счета,женщины,Западно-Казахстанская,50.3
2018,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",мужчины,Жымбылская,68.6
2018,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",женщины,Жымбылская,68.3
2018,процент,навыков счета,мужчины,Карагандинская,61.6
2018,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",женщины,Карагандинская,58.1
2018,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",мужчины,Костанайская,64.4
2018,процент,навыков счета,женщины,Костанайская,62.8
2018,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",мужчины,Кызылординская,47.7
2018,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",женщины,Кызылординская,53.3
2018,процент,навыков счета,мужчины,Мангистауская,32.9
2018,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",женщины,Мангистауская,37.2
2018,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",мужчины,Южно-Казахстанская,40.4
2018,процент,навыков счета,женщины,Южно-Казахстанская,40.6
2018,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",мужчины,Павлодарская,61.9
2018,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",женщины,Павлодарская,54.8
2018,процент,навыков счета,мужчины,Северо-Казахстанская,56.4
2018,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",женщины,Северо-Казахстанская,53.4
2018,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",мужчины,Восточно-Казахстанская,55.6
2018,процент,навыков счета,женщины,Восточно-Казахстанская,60.7
2018,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",мужчины,г_Нур-Султан,65.2
2018,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",женщины,г_Нур-Султан,59.8
2018,процент,навыков счета,мужчины,г_Алматы,62.1
2018,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",женщины,г_Алматы,60.9
