Year,UNIT_MEASURE,Вид экономической деятельности,Регионы,Пол,Возраст,Value
2018,процент,,Алматинская,,29-34,711.0
2018,процент,,Алматинская,,35-44,791.0
2018,процент,,Алматинская,,45-54,708.0
2018,процент,,Алматинская,,55-64,732.0
2018,процент,,Алматинская,,65 и старше,810.0
2018,процент,,Атырауская,,16-24,768.0
2018,процент,,Атырауская,,25-28,1231.0
2018,процент,,Атырауская,,29-34,1571.0
2018,процент,,Атырауская,,35-44,1917.0
2018,процент,,Атырауская,,45-54,1855.0
2018,процент,,Атырауская,,55-64,2077.0
2018,процент,,Атырауская,,65 и старше,6563.0
2018,процент,,Западно-Казахстанская,,16-24,490.0
2018,процент,,Западно-Казахстанская,,25-28,621.0
2018,процент,,Западно-Казахстанская,,29-34,894.0
2018,процент,,Западно-Казахстанская,,35-44,1586.0
2018,процент,,Западно-Казахстанская,,45-54,1341.0
2018,процент,,Западно-Казахстанская,,55-64,1276.0
2018,процент,,Западно-Казахстанская,,65 и старше,1028.0
2018,процент,,Жымбылская,,16-24,443.0
2018,процент,,Жымбылская,,25-28,532.0
2018,процент,,Жымбылская,,29-34,619.0
2018,процент,,Жымбылская,,35-44,649.0
2018,процент,,Жымбылская,,45-54,630.0
2018,процент,,Жымбылская,,55-64,636.0
2018,процент,,Жымбылская,,65 и старше,661.0
2018,процент,,Карагандинская,,16-24,521.0
2018,процент,,Карагандинская,,25-28,708.0
2018,процент,,Карагандинская,,29-34,830.0
2018,процент,,Карагандинская,,35-44,890.0
2018,процент,,Карагандинская,,45-54,807.0
2018,процент,,Карагандинская,,55-64,817.0
2018,процент,,Карагандинская,,65 и старше,837.0
2018,процент,,Костанайская,,16-24,472.0
2018,процент,,Костанайская,,25-28,622.0
2018,процент,,Костанайская,,29-34,728.0
2018,процент,,Костанайская,,35-44,761.0
2018,процент,,Костанайская,,45-54,679.0
2018,процент,,Костанайская,,55-64,653.0
2018,процент,,Костанайская,,65 и старше,789.0
2018,процент,,Кызылординская,,16-24,460.0
2018,процент,,Кызылординская,,25-28,594.0
2018,процент,,Кызылординская,,29-34,696.0
2018,процент,,Кызылординская,,35-44,784.0
2018,процент,,Кызылординская,,45-54,726.0
2018,процент,,Кызылординская,,55-64,810.0
2018,процент,,Кызылординская,,65 и старше,941.0
2018,процент,,Мангистауская,,16-24,538.0
2018,процент,,Мангистауская,,25-28,867.0
2018,процент,,Мангистауская,,29-34,1351.0
2018,процент,,Мангистауская,,35-44,1585.0
2018,процент,,Мангистауская,,45-54,1641.0
2018,процент,,Мангистауская,,55-64,1662.0
2018,процент,,Мангистауская,,65 и старше,1421.0
2018,процент,,Южно-Казахстанская,,16-24,436.0
2018,процент,,Южно-Казахстанская,,25-28,514.0
2018,процент,,Южно-Казахстанская,,29-34,608.0
2018,процент,,Южно-Казахстанская,,35-44,651.0
2018,процент,,Южно-Казахстанская,,45-54,666.0
2018,процент,,Южно-Казахстанская,,55-64,672.0
2018,процент,,Южно-Казахстанская,,65 и старше,864.0
2018,процент,,Павлодарская,,16-24,515.0
2018,процент,,Павлодарская,,25-28,638.0
2018,процент,,Павлодарская,,29-34,765.0
2018,процент,,Павлодарская,,35-44,828.0
2018,процент,,Павлодарская,,45-54,787.0
2018,процент,,Павлодарская,,55-64,815.0
2018,процент,,Павлодарская,,65 и старше,788.0
2018,процент,,Северо-Казахстанская,,16-24,465.0
2018,процент,,Северо-Казахстанская,,25-28,566.0
2018,процент,,Северо-Казахстанская,,29-34,662.0
2018,процент,,Северо-Казахстанская,,35-44,697.0
2018,процент,,Северо-Казахстанская,,45-54,629.0
2018,процент,,Северо-Казахстанская,,55-64,607.0
2018,процент,,Северо-Казахстанская,,65 и старше,639.0
2018,процент,,Восточно-Казахстанская,,16-24,531.0
2018,процент,,Восточно-Казахстанская,,25-28,628.0
2018,процент,,Восточно-Казахстанская,,29-34,738.0
2018,процент,,Восточно-Казахстанская,,35-44,827.0
2018,процент,,Восточно-Казахстанская,,45-54,757.0
2018,процент,,Восточно-Казахстанская,,55-64,714.0
2018,процент,,Восточно-Казахстанская,,65 и старше,890.0
2018,процент,,г_Нур-Султан,,16-24,724.0
2018,процент,,г_Нур-Султан,,25-28,1019.0
2018,процент,,г_Нур-Султан,,29-34,1403.0
2018,процент,,г_Нур-Султан,,35-44,1654.0
2018,процент,,г_Нур-Султан,,45-54,1561.0
2018,процент,,г_Нур-Султан,,55-64,1461.0
2018,процент,,г_Нур-Султан,,65 и старше,1444.0
2018,процент,,г_Алматы,,16-24,729.0
2018,процент,,г_Алматы,,25-28,1021.0
2018,процент,,г_Алматы,,29-34,1380.0
2018,процент,,г_Алматы,,35-44,1726.0
2018,процент,,г_Алматы,,45-54,1357.0
2018,процент,,г_Алматы,,55-64,1246.0
2018,процент,,г_Алматы,,65 и старше,1359.0
2018,процент,,,мужчины,16-24,612.0
2018,процент,,,мужчины,25-28,827.0
2018,процент,,,мужчины,29-34,1100.0
2018,процент,,,мужчины,35-44,1347.0
2018,процент,,,мужчины,45-54,1205.0
2018,процент,,,мужчины,55-64,1107.0
2018,процент,,,мужчины,65 и старше,1276.0
2018,процент,,,женщины,16-24,532.0
2018,процент,,,женщины,25-28,680.0
2018,процент,,,женщины,29-34,788.0
2018,процент,,,женщины,35-44,868.0
2018,процент,,,женщины,45-54,793.0
2018,процент,,,женщины,55-64,758.0
2018,процент,,,женщины,65 и старше,968.0
2018,процент,всего,,,,959.0
2018,процент,"сельское, лесное и рыбное хозяйство",,,,537.0
2018,процент,промышленность,,,,1382.0
2018,процент,строительство,,,,1337.0
2018,процент,оптовая и розничная торговля; ремонт автомобилей и мотоциклов,,,,935.0
2018,процент,транспорт и складирование,,,,1178.0
2018,процент,услуги по проживанию и питанию,,,,1295.0
2018,процент,информация и связь,,,,1371.0
2018,процент,финансовая и страховая деятельность,,,,2270.0
2018,процент,операции с недвижимым имуществом,,,,982.0
2018,процент,"Профессиональная, научная и техническая деятельность",,,,1548.0
2018,процент,деятельность в области администрированного и вспомогательного обслуживания,,,,886.0
2018,процент,государственное управление и оборона; обязательное социальное обеспечение,,,,720.0
2018,процент,Образование,,,,599.0
2018,процент,здравоохранение и социальные услуги,,,,644.0
2018,процент,"искусство, развлечение и отдых",,,,610.0
2018,процент,прочими видами деятельности,,,,1549.0
2018,процент,всего,,мужчины,,1122.0
2018,процент,"сельское, лесное и рыбное хозяйство",,мужчины,,549.0
2018,процент,промышленность,,мужчины,,1490.0
2018,процент,строительство,,мужчины,,1346.0
2018,процент,оптовая и розничная торговля; ремонт автомобилей и мотоциклов,,мужчины,,972.0
2018,процент,транспорт и складирование,,мужчины,,1242.0
2018,процент,услуги по проживанию и питанию,,мужчины,,1837.0
2018,процент,информация и связь,,мужчины,,1423.0
2018,процент,финансовая и страховая деятельность,,мужчины,,2877.0
2018,процент,операции с недвижимым имуществом,,мужчины,,1035.0
2018,процент,"Профессиональная, научная и техническая деятельность",,мужчины,,1697.0
2018,процент,деятельность в области администрированного и вспомогательного обслуживания,,мужчины,,893.0
2018,процент,государственное управление и оборона; обязательное социальное обеспечение,,мужчины,,775.0
2018,процент,Образование,,мужчины,,640.0
2018,процент,здравоохранение и социальные услуги,,мужчины,,717.0
2018,процент,"искусство, развлечение и отдых",,мужчины,,717.0
2018,процент,прочими видами деятельности,,мужчины,,1624.0
2018,процент,всего,,женщины,,785.0
2018,процент,"сельское, лесное и рыбное хозяйство",,женщины,,509.0
2018,процент,промышленность,,женщины,,1120.0
2018,процент,строительство,,женщины,,1298.0
2018,процент,оптовая и розничная торговля; ремонт автомобилей и мотоциклов,,женщины,,888.0
2018,процент,транспорт и складирование,,женщины,,1005.0
2018,процент,услуги по проживанию и питанию,,женщины,,917.0
2018,процент,информация и связь,,женщины,,1285.0
2018,процент,финансовая и страховая деятельность,,женщины,,1888.0
2018,процент,операции с недвижимым имуществом,,женщины,,913.0
2018,процент,"Профессиональная, научная и техническая деятельность",,женщины,,1328.0
2018,процент,деятельность в области администрированного и вспомогательного обслуживания,,женщины,,863.0
2018,процент,государственное управление и оборона; обязательное социальное обеспечение,,женщины,,622.0
2018,процент,Образование,,женщины,,585.0
2018,процент,здравоохранение и социальные услуги,,женщины,,619.0
2018,процент,"искусство, развлечение и отдых",,женщины,,522.0
2018,процент,прочими видами деятельности,,женщины,,1452.0
2019,процент,,,,,1038.0
2019,процент,,Акмолинская,,,752.0
2019,процент,,Актюбинская,,,849.0
2019,процент,,Алматинская,,,755.0
2019,процент,,Атырауская,,,1811.0
2019,процент,,Западно-Казахстанская,,,980.0
2019,процент,,Жымбылская,,,705.0
2019,процент,,Карагандинская,,,999.0
2019,процент,,Костанайская,,,788.0
2019,процент,,Кызылординская,,,825.0
2019,процент,,Мангистауская,,,1603.0
2019,процент,,Павлодарская,,,907.0
2019,процент,,Северо-Казахстанская,,,689.0
2019,процент,,Туркестанская,,,644.0
2019,процент,,Восточно-Казахстанская,,,872.0
2019,процент,,г_Нур-Султан,,,1436.0
2019,процент,,г_Алматы,,,1405.0
2019,процент,,г_Шымкент,,,699.0
2019,процент,,,мужчины,,1229.0
2019,процент,,Акмолинская,мужчины,,839.0
2019,процент,,Актюбинская,мужчины,,997.0
2019,процент,,Алматинская,мужчины,,837.0
2019,процент,,Атырауская,мужчины,,2217.0
2019,процент,,Западно-Казахстанская,мужчины,,1209.0
2019,процент,,Жымбылская,мужчины,,766.0
2019,процент,,Карагандинская,мужчины,,1224.0
2019,процент,,Костанайская,мужчины,,883.0
2019,процент,,Кызылординская,мужчины,,945.0
2019,процент,,Мангистауская,мужчины,,2015.0
2019,процент,,Павлодарская,мужчины,,1039.0
2019,процент,,Северо-Казахстанская,мужчины,,745.0
2019,процент,,Туркестанская,мужчины,,726.0
2019,процент,,Восточно-Казахстанская,мужчины,,956.0
2019,процент,,г_Нур-Султан,мужчины,,1672.0
2019,процент,,г_Алматы,мужчины,,1588.0
2019,процент,,г_Шымкент,мужчины,,761.0
2019,процент,,,женщины,,842.0
2019,процент,,Акмолинская,женщины,,667.0
2019,процент,,Актюбинская,женщины,,690.0
2019,процент,,Алматинская,женщины,,695.0
2019,процент,,Атырауская,женщины,,1173.0
2019,процент,,Западно-Казахстанская,женщины,,761.0
2019,процент,,Жымбылская,женщины,,657.0
2019,процент,,Карагандинская,женщины,,764.0
2019,процент,,Костанайская,женщины,,689.0
2019,процент,,Кызылординская,женщины,,699.0
2019,процент,,Мангистауская,женщины,,1051.0
2019,процент,,Павлодарская,женщины,,756.0
2019,процент,,Северо-Казахстанская,женщины,,633.0
2019,процент,,Туркестанская,женщины,,585.0
2019,процент,,Восточно-Казахстанская,женщины,,774.0
2019,процент,,г_Нур-Султан,женщины,,1190.0
2019,процент,,г_Алматы,женщины,,1222.0
2019,процент,,г_Шымкент,женщины,,630.0
2019,процент,,,,16-24,671.0
2019,процент,,,,25-28,844.0
2019,процент,,,,29-34,1042.0
2019,процент,,,,35-44,1181.0
2019,процент,,,,45-54,1062.0
2019,процент,,,,55-64,1015.0
2019,процент,,,,65 и старше,1140.0
2019,процент,,Акмолинская,,16-24,574.0
2019,процент,,Акмолинская,,25-28,674.0
2019,процент,,Акмолинская,,29-34,769.0
2019,процент,,Акмолинская,,35-44,827.0
2019,процент,,Акмолинская,,45-54,746.0
2019,процент,,Акмолинская,,55-64,725.0
2019,процент,,Акмолинская,,65 и старше,809.0
2019,процент,,Актюбинская,,16-24,587.0
2019,процент,,Актюбинская,,25-28,737.0
2019,процент,,Актюбинская,,29-34,854.0
2019,процент,,Актюбинская,,35-44,894.0
2019,процент,,Актюбинская,,45-54,858.0
2019,процент,,Актюбинская,,55-64,903.0
2019,процент,,Актюбинская,,65 и старше,990.0
2019,процент,,Алматинская,,16-24,548.0
2019,процент,,Алматинская,,25-28,636.0
2019,процент,,Алматинская,,29-34,769.0
2019,процент,,Алматинская,,35-44,849.0
2019,процент,,Алматинская,,45-54,737.0
2019,процент,,Алматинская,,55-64,755.0
2019,процент,,Алматинская,,65 и старше,792.0
2019,процент,,Атырауская,,16-24,904.0
2019,процент,,Атырауская,,25-28,1269.0
2019,процент,,Атырауская,,29-34,1737.0
2019,процент,,Атырауская,,35-44,2053.0
2019,процент,,Атырауская,,45-54,2014.0
2019,процент,,Атырауская,,55-64,2082.0
2019,процент,,Атырауская,,65 и старше,3328.0
2019,процент,,Западно-Казахстанская,,16-24,537.0
2019,процент,,Западно-Казахстанская,,25-28,653.0
2019,процент,,Западно-Казахстанская,,29-34,830.0
2019,процент,,Западно-Казахстанская,,35-44,1133.0
2019,процент,,Западно-Казахстанская,,45-54,1112.0
2019,процент,,Западно-Казахстанская,,55-64,995.0
2019,процент,,Западно-Казахстанская,,65 и старше,1068.0
2019,процент,,Жымбылская,,16-24,512.0
2019,процент,,Жымбылская,,25-28,581.0
2019,процент,,Жымбылская,,29-34,693.0
2019,процент,,Жымбылская,,35-44,731.0
2019,процент,,Жымбылская,,45-54,728.0
2019,процент,,Жымбылская,,55-64,758.0
2019,процент,,Жымбылская,,65 и старше,793.0
2019,процент,,Карагандинская,,16-24,778.0
2019,процент,,Карагандинская,,25-28,938.0
2019,процент,,Карагандинская,,29-34,1038.0
2019,процент,,Карагандинская,,35-44,1053.0
2019,процент,,Карагандинская,,45-54,1001.0
2019,процент,,Карагандинская,,55-64,996.0
2019,процент,,Карагандинская,,65 и старше,810.0
2019,процент,,Костанайская,,16-24,569.0
2019,процент,,Костанайская,,25-28,708.0
2019,процент,,Костанайская,,29-34,838.0
2019,процент,,Костанайская,,35-44,864.0
2019,процент,,Костанайская,,45-54,768.0
2019,процент,,Костанайская,,55-64,765.0
2019,процент,,Костанайская,,65 и старше,845.0
2019,процент,,Кызылординская,,16-24,533.0
2019,процент,,Кызылординская,,25-28,649.0
2019,процент,,Кызылординская,,29-34,793.0
2019,процент,,Кызылординская,,35-44,901.0
2019,процент,,Кызылординская,,45-54,875.0
2019,процент,,Кызылординская,,55-64,896.0
2019,процент,,Кызылординская,,65 и старше,1001.0
2019,процент,,Мангистауская,,16-24,668.0
2019,процент,,Мангистауская,,25-28,896.0
2019,процент,,Мангистауская,,29-34,1468.0
2019,процент,,Мангистауская,,35-44,1804.0
2019,процент,,Мангистауская,,45-54,1866.0
2019,процент,,Мангистауская,,55-64,1853.0
2019,процент,,Мангистауская,,65 и старше,1331.0
2019,процент,,Павлодарская,,16-24,662.0
2019,процент,,Павлодарская,,25-28,819.0
2019,процент,,Павлодарская,,29-34,923.0
2019,процент,,Павлодарская,,35-44,968.0
2019,процент,,Павлодарская,,45-54,909.0
2019,процент,,Павлодарская,,55-64,912.0
2019,процент,,Павлодарская,,65 и старше,921.0
2019,процент,,Северо-Казахстанская,,16-24,535.0
2019,процент,,Северо-Казахстанская,,25-28,629.0
2019,процент,,Северо-Казахстанская,,29-34,714.0
2019,процент,,Северо-Казахстанская,,35-44,736.0
2019,процент,,Северо-Казахстанская,,45-54,677.0
2019,процент,,Северо-Казахстанская,,55-64,673.0
2019,процент,,Северо-Казахстанская,,65 и старше,731.0
2019,процент,,Туркестанская,,16-24,455.0
2019,процент,,Туркестанская,,25-28,537.0
2019,процент,,Туркестанская,,29-34,610.0
2019,процент,,Туркестанская,,35-44,675.0
2019,процент,,Туркестанская,,45-54,667.0
2019,процент,,Туркестанская,,55-64,685.0
2019,процент,,Туркестанская,,65 и старше,1482.0
2019,процент,,Восточно-Казахстанская,,16-24,639.0
2019,процент,,Восточно-Казахстанская,,25-28,762.0
2019,процент,,Восточно-Казахстанская,,29-34,887.0
2019,процент,,Восточно-Казахстанская,,35-44,948.0
2019,процент,,Восточно-Казахстанская,,45-54,905.0
2019,процент,,Восточно-Казахстанская,,55-64,809.0
2019,процент,,Восточно-Казахстанская,,65 и старше,1014.0
2019,процент,,г_Нур-Султан,,16-24,764.0
2019,процент,,г_Нур-Султан,,25-28,1056.0
2019,процент,,г_Нур-Султан,,29-34,1391.0
2019,процент,,г_Нур-Султан,,35-44,1738.0
2019,процент,,г_Нур-Султан,,45-54,1532.0
2019,процент,,г_Нур-Султан,,55-64,1423.0
2019,процент,,г_Нур-Султан,,65 и старше,1471.0
2019,процент,,г_Алматы,,16-24,778.0
2019,процент,,г_Алматы,,25-28,1076.0
2019,процент,,г_Алматы,,29-34,1411.0
2019,процент,,г_Алматы,,35-44,1807.0
2019,процент,,г_Алматы,,45-54,1454.0
2019,процент,,г_Алматы,,55-64,1271.0
2019,процент,,г_Алматы,,65 и старше,1453.0
2019,процент,,г_Шымкент,,16-24,496.0
2019,процент,,г_Шымкент,,25-28,593.0
2019,процент,,г_Шымкент,,29-34,695.0
2019,процент,,г_Шымкент,,35-44,735.0
2019,процент,,г_Шымкент,,45-54,747.0
2019,процент,,г_Шымкент,,55-64,761.0
2019,процент,,г_Шымкент,,65 и старше,765.0
2019,процент,,,мужчины,16-24,729.0
2019,процент,,,мужчины,25-28,927.0
2019,процент,,,мужчины,29-34,1211.0
2019,процент,,,мужчины,35-44,1449.0
2019,процент,,,мужчины,45-54,1326.0
2019,процент,,,мужчины,55-64,1185.0
2019,процент,,,мужчины,65 и старше,1314.0
2019,процент,,,женщины,16-24,603.0
2019,процент,,,женщины,25-28,734.0
2019,процент,,,женщины,29-34,838.0
2019,процент,,,женщины,35-44,923.0
2019,процент,,,женщины,45-54,856.0
2019,процент,,,женщины,55-64,824.0
2019,процент,,,женщины,65 и старше,886.0
2019,процент,всего,,,,1038.0
2019,процент,"сельское, лесное и рыбное хозяйство",,,,599.0
2019,процент,промышленность,,,,1445.0
2019,процент,строительство,,,,1692.0
2019,процент,оптовая и розничная торговля; ремонт автомобилей и мотоциклов,,,,1106.0
2019,процент,транспорт и складирование,,,,1226.0
2019,процент,услуги по проживанию и питанию,,,,970.0
2019,процент,информация и связь,,,,1580.0
2019,процент,финансовая и страховая деятельность,,,,2338.0
2019,процент,операции с недвижимым имуществом,,,,1128.0
2019,процент,"Профессиональная, научная и техническая деятельность",,,,1867.0
2019,процент,деятельность в области администрированного и вспомогательного обслуживания,,,,1054.0
2019,процент,государственное управление и оборона; обязательное социальное обеспечение,,,,768.0
2019,процент,Образование,,,,675.0
2019,процент,здравоохранение и социальные услуги,,,,693.0
2019,процент,"искусство, развлечение и отдых",,,,712.0
2019,процент,прочими видами деятельности,,,,1822.0
2019,процент,всего,,мужчины,,1229.0
2019,процент,"сельское, лесное и рыбное хозяйство",,мужчины,,610.0
2019,процент,промышленность,,мужчины,,1543.0
2019,процент,строительство,,мужчины,,1735.0
2019,процент,оптовая и розничная торговля; ремонт автомобилей и мотоциклов,,мужчины,,1172.0
2019,процент,транспорт и складирование,,мужчины,,1296.0
2019,процент,услуги по проживанию и питанию,,мужчины,,1134.0
2019,процент,информация и связь,,мужчины,,1658.0
2019,процент,финансовая и страховая деятельность,,мужчины,,3113.0
2019,процент,операции с недвижимым имуществом,,мужчины,,1158.0
2019,процент,"Профессиональная, научная и техническая деятельность",,мужчины,,2108.0
2019,процент,деятельность в области администрированного и вспомогательного обслуживания,,мужчины,,1048.0
2019,процент,государственное управление и оборона; обязательное социальное обеспечение,,мужчины,,814.0
2019,процент,Образование,,мужчины,,687.0
2019,процент,здравоохранение и социальные услуги,,мужчины,,784.0
2019,процент,"искусство, развлечение и отдых",,мужчины,,865.0
2019,процент,прочими видами деятельности,,мужчины,,2135.0
2019,процент,всего,,женщины,,842.0
2019,процент,"сельское, лесное и рыбное хозяйство",,женщины,,571.0
2019,процент,промышленность,,женщины,,1194.0
2019,процент,строительство,,женщины,,1453.0
2019,процент,оптовая и розничная торговля; ремонт автомобилей и мотоциклов,,женщины,,1030.0
2019,процент,транспорт и складирование,,женщины,,1051.0
2019,процент,услуги по проживанию и питанию,,женщины,,859.0
2019,процент,информация и связь,,женщины,,1459.0
2019,процент,финансовая и страховая деятельность,,женщины,,1854.0
2019,процент,операции с недвижимым имуществом,,женщины,,1085.0
2019,процент,"Профессиональная, научная и техническая деятельность",,женщины,,1514.0
2019,процент,деятельность в области администрированного и вспомогательного обслуживания,,женщины,,1077.0
2019,процент,государственное управление и оборона; обязательное социальное обеспечение,,женщины,,685.0
2019,процент,Образование,,женщины,,670.0
2019,процент,здравоохранение и социальные услуги,,женщины,,663.0
2019,процент,"искусство, развлечение и отдых",,женщины,,573.0
2019,процент,прочими видами деятельности,,женщины,,1520.0
