Year,UNIT_MEASURE,Регионы,Пол,Местность,Возраст,Value
2012,процент,Кызылординская,,,16-24,20.8
2012,процент,Кызылординская,,,25-28,14.6
2012,процент,Кызылординская,,,29-34,19.4
2012,процент,Кызылординская,,,35-44,16.0
2012,процент,Кызылординская,,,45-54,15.5
2012,процент,Кызылординская,,,55-64,17.6
2012,процент,Мангистауская,,,16-24,1.8
2012,процент,Мангистауская,,,25-28,2.1
2012,процент,Мангистауская,,,29-34,1.4
2012,процент,Мангистауская,,,35-44,3.2
2012,процент,Мангистауская,,,45-54,3.6
2012,процент,Мангистауская,,,55-64,2.2
2012,процент,Южно-Казахстанская,,,16-24,44.8
2012,процент,Южно-Казахстанская,,,25-28,33.2
2012,процент,Южно-Казахстанская,,,29-34,38.7
2012,процент,Южно-Казахстанская,,,35-44,37.2
2012,процент,Южно-Казахстанская,,,45-54,32.9
2012,процент,Южно-Казахстанская,,,55-64,34.7
2012,процент,Южно-Казахстанская,,,65 и старше,38.4
2012,процент,Павлодарская,,,15,100.0
2012,процент,Павлодарская,,,16-24,41.0
2012,процент,Павлодарская,,,25-28,24.3
2012,процент,Павлодарская,,,29-34,30.2
2012,процент,Павлодарская,,,35-44,22.9
2012,процент,Павлодарская,,,45-54,22.5
2012,процент,Павлодарская,,,55-64,41.6
2012,процент,Павлодарская,,,65 и старше,98.7
2012,процент,Северо-Казахстанская,,,16-24,49.1
2012,процент,Северо-Казахстанская,,,25-28,30.7
2012,процент,Северо-Казахстанская,,,29-34,37.2
2012,процент,Северо-Казахстанская,,,35-44,32.0
2012,процент,Северо-Казахстанская,,,45-54,32.1
2012,процент,Северо-Казахстанская,,,55-64,59.2
2012,процент,Северо-Казахстанская,,,65 и старше,96.5
2012,процент,Восточно-Казахстанская,,,16-24,35.7
2012,процент,Восточно-Казахстанская,,,25-28,24.2
2012,процент,Восточно-Казахстанская,,,29-34,29.2
2012,процент,Восточно-Казахстанская,,,35-44,29.9
2012,процент,Восточно-Казахстанская,,,45-54,29.5
2012,процент,Восточно-Казахстанская,,,55-64,29.6
2012,процент,Восточно-Казахстанская,,,65 и старше,38.0
2012,процент,г_Нур-Султан,,,16-24,24.9
2012,процент,г_Нур-Султан,,,25-28,13.7
2012,процент,г_Нур-Султан,,,29-34,11.2
2012,процент,г_Нур-Султан,,,35-44,12.6
2012,процент,г_Нур-Султан,,,45-54,9.7
2012,процент,г_Нур-Султан,,,55-64,5.0
2012,процент,г_Алматы,,,16-24,13.8
2012,процент,г_Алматы,,,25-28,9.9
2012,процент,г_Алматы,,,29-34,10.4
2012,процент,г_Алматы,,,35-44,9.0
2012,процент,г_Алматы,,,45-54,7.7
2012,процент,г_Алматы,,,55-64,9.4
2012,процент,г_Алматы,,,65 и старше,28.6
2013,процент,,,,,24.3
2013,процент,Акмолинская,,,,21.3
2013,процент,Актюбинская,,,,21.5
2013,процент,Алматинская,,,,21.5
2013,процент,Атырауская,,,,7.5
2013,процент,Западно-Казахстанская,,,,28.9
2013,процент,Жымбылская,,,,43.9
2013,процент,Карагандинская,,,,19.7
2013,процент,Костанайская,,,,37.3
2013,процент,Кызылординская,,,,14.9
2013,процент,Мангистауская,,,,5.9
2013,процент,Южно-Казахстанская,,,,32.4
2013,процент,Павлодарская,,,,29.3
2013,процент,Северо-Казахстанская,,,,39.0
2013,процент,Восточно-Казахстанская,,,,29.5
2013,процент,г_Нур-Султан,,,,4.9
2013,процент,г_Алматы,,,,10.5
2013,процент,,мужчины,,,24.0
2013,процент,Акмолинская,мужчины,,,21.7
2013,процент,Актюбинская,мужчины,,,23.6
2013,процент,Алматинская,мужчины,,,22.9
2013,процент,Атырауская,мужчины,,,7.7
2013,процент,Западно-Казахстанская,мужчины,,,32.4
2013,процент,Жымбылская,мужчины,,,41.9
2013,процент,Карагандинская,мужчины,,,17.8
2013,процент,Костанайская,мужчины,,,34.9
2013,процент,Кызылординская,мужчины,,,14.8
2013,процент,Мангистауская,мужчины,,,4.7
2013,процент,Южно-Казахстанская,мужчины,,,31.9
2013,процент,Павлодарская,мужчины,,,25.9
2013,процент,Северо-Казахстанская,мужчины,,,34.5
2013,процент,Восточно-Казахстанская,мужчины,,,29.6
2013,процент,г_Нур-Султан,мужчины,,,5.3
2013,процент,г_Алматы,мужчины,,,11.8
2013,процент,,женщины,,,24.6
2013,процент,Акмолинская,женщины,,,20.9
2013,процент,Актюбинская,женщины,,,19.3
2013,процент,Алматинская,женщины,,,20.0
2013,процент,Атырауская,женщины,,,7.3
2013,процент,Западно-Казахстанская,женщины,,,25.2
2013,процент,Жымбылская,женщины,,,45.9
2013,процент,Карагандинская,женщины,,,21.7
2013,процент,Костанайская,женщины,,,39.6
2013,процент,Кызылординская,женщины,,,14.9
2013,процент,Мангистауская,женщины,,,7.4
2013,процент,Южно-Казахстанская,женщины,,,33.1
2013,процент,Павлодарская,женщины,,,32.9
2013,процент,Северо-Казахстанская,женщины,,,43.4
2013,процент,Восточно-Казахстанская,женщины,,,29.4
2013,процент,г_Нур-Султан,женщины,,,4.5
2013,процент,г_Алматы,женщины,,,9.2
2013,процент,,,Город,,14.4
2013,процент,Акмолинская,,Город,,12.8
2013,процент,Актюбинская,,Город,,13.1
2013,процент,Алматинская,,Город,,12.9
2013,процент,Атырауская,,Город,,3.0
2013,процент,Западно-Казахстанская,,Город,,11.0
2013,процент,Жымбылская,,Город,,31.6
2013,процент,Карагандинская,,Город,,18.9
2013,процент,Костанайская,,Город,,18.6
2013,процент,Кызылординская,,Город,,12.2
2013,процент,Мангистауская,,Город,,6.6
2013,процент,Южно-Казахстанская,,Город,,18.7
2013,процент,Павлодарская,,Город,,17.7
2013,процент,Северо-Казахстанская,,Город,,24.9
2013,процент,Восточно-Казахстанская,,Город,,15.2
2013,процент,г_Нур-Султан,,Город,,4.9
2013,процент,г_Алматы,,Город,,10.5
2013,процент,,,сельское население,,36.1
2013,процент,Акмолинская,,сельское население,,28.6
2013,процент,Актюбинская,,сельское население,,35.6
2013,процент,Алматинская,,сельское население,,24.1
2013,процент,Атырауская,,сельское население,,11.8
2013,процент,Западно-Казахстанская,,сельское население,,43.7
2013,процент,Жымбылская,,сельское население,,50.8
2013,процент,Карагандинская,,сельское население,,22.4
2013,процент,Костанайская,,сельское население,,54.8
2013,процент,Кызылординская,,сельское население,,17.0
2013,процент,Мангистауская,,сельское население,,5.1
2013,процент,Южно-Казахстанская,,сельское население,,41.0
2013,процент,Павлодарская,,сельское население,,51.5
2013,процент,Северо-Казахстанская,,сельское население,,48.2
2013,процент,Восточно-Казахстанская,,сельское население,,49.7
2013,процент,,,,15,100.0
2013,процент,,,,16-24,30.2
2013,процент,,,,25-28,23.4
2013,процент,,,,29-34,23.9
2013,процент,,,,35-44,22.0
2013,процент,,,,45-54,21.3
2013,процент,,,,55-64,28.1
2013,процент,,,,65 и старше,71.2
2013,процент,Акмолинская,,,16-24,22.0
2013,процент,Акмолинская,,,25-28,19.2
2013,процент,Акмолинская,,,29-34,16.8
2013,процент,Акмолинская,,,35-44,21.4
2013,процент,Акмолинская,,,45-54,24.1
2013,процент,Акмолинская,,,55-64,21.4
2013,процент,Акмолинская,,,65 и старше,33.5
2013,процент,Актюбинская,,,16-24,29.5
2013,процент,Актюбинская,,,25-28,22.9
2013,процент,Актюбинская,,,29-34,25.9
2013,процент,Актюбинская,,,35-44,15.6
2013,процент,Актюбинская,,,45-54,16.3
2013,процент,Актюбинская,,,55-64,27.9
2013,процент,Актюбинская,,,65 и старше,22.0
2013,процент,Алматинская,,,16-24,25.0
2013,процент,Алматинская,,,25-28,25.0
2013,процент,Алматинская,,,29-34,23.0
2013,процент,Алматинская,,,35-44,21.5
2013,процент,Алматинская,,,45-54,18.3
2013,процент,Алматинская,,,55-64,15.6
2013,процент,Алматинская,,,65 и старше,16.2
2013,процент,Атырауская,,,16-24,8.4
2013,процент,Атырауская,,,25-28,7.1
2013,процент,Атырауская,,,29-34,6.8
2013,процент,Атырауская,,,35-44,9.1
2013,процент,Атырауская,,,45-54,6.9
2013,процент,Атырауская,,,55-64,5.4
2013,процент,Западно-Казахстанская,,,16-24,28.2
2013,процент,Западно-Казахстанская,,,25-28,27.4
2013,процент,Западно-Казахстанская,,,29-34,28.4
2013,процент,Западно-Казахстанская,,,35-44,28.2
2013,процент,Западно-Казахстанская,,,45-54,30.1
2013,процент,Западно-Казахстанская,,,55-64,30.8
2013,процент,Западно-Казахстанская,,,65 и старше,100.0
2013,процент,Жымбылская,,,15,100.0
2013,процент,Жымбылская,,,16-24,59.4
2013,процент,Жымбылская,,,25-28,40.3
2013,процент,Жымбылская,,,29-34,39.0
2013,процент,Жымбылская,,,35-44,37.4
2013,процент,Жымбылская,,,45-54,38.6
2013,процент,Жымбылская,,,55-64,56.8
2013,процент,Жымбылская,,,65 и старше,98.8
2013,процент,Карагандинская,,,16-24,29.4
2013,процент,Карагандинская,,,25-28,17.5
2013,процент,Карагандинская,,,29-34,18.1
2013,процент,Карагандинская,,,35-44,16.8
2013,процент,Карагандинская,,,45-54,16.6
2013,процент,Карагандинская,,,55-64,22.0
2013,процент,Карагандинская,,,65 и старше,66.3
2013,процент,Костанайская,,,15,100.0
2013,процент,Костанайская,,,16-24,49.8
2013,процент,Костанайская,,,25-28,36.7
2013,процент,Костанайская,,,29-34,34.3
2013,процент,Костанайская,,,35-44,30.5
2013,процент,Костанайская,,,45-54,30.9
2013,процент,Костанайская,,,55-64,49.0
2013,процент,Костанайская,,,65 и старше,95.7
2013,процент,Кызылординская,,,16-24,24.1
2013,процент,Кызылординская,,,25-28,11.7
2013,процент,Кызылординская,,,29-34,14.9
2013,процент,Кызылординская,,,35-44,10.8
2013,процент,Кызылординская,,,45-54,15.1
2013,процент,Кызылординская,,,55-64,12.5
2013,процент,Кызылординская,,,65 и старше,57.4
2013,процент,Мангистауская,,,16-24,8.5
2013,процент,Мангистауская,,,25-28,5.7
2013,процент,Мангистауская,,,29-34,8.5
2013,процент,Мангистауская,,,35-44,4.6
2013,процент,Мангистауская,,,45-54,5.0
2013,процент,Мангистауская,,,55-64,2.5
2013,процент,Южно-Казахстанская,,,15,100.0
2013,процент,Южно-Казахстанская,,,16-24,40.8
2013,процент,Южно-Казахстанская,,,25-28,34.8
2013,процент,Южно-Казахстанская,,,29-34,31.5
2013,процент,Южно-Казахстанская,,,35-44,32.5
2013,процент,Южно-Казахстанская,,,45-54,28.0
2013,процент,Южно-Казахстанская,,,55-64,27.0
2013,процент,Павлодарская,,,15,100.0
2013,процент,Павлодарская,,,16-24,37.4
2013,процент,Павлодарская,,,25-28,26.9
2013,процент,Павлодарская,,,29-34,31.4
2013,процент,Павлодарская,,,35-44,23.9
2013,процент,Павлодарская,,,45-54,24.8
2013,процент,Павлодарская,,,55-64,34.0
2013,процент,Павлодарская,,,65 и старше,99.1
2013,процент,Северо-Казахстанская,,,15,100.0
2013,процент,Северо-Казахстанская,,,16-24,49.2
2013,процент,Северо-Казахстанская,,,25-28,33.0
2013,процент,Северо-Казахстанская,,,29-34,37.4
2013,процент,Северо-Казахстанская,,,35-44,33.2
2013,процент,Северо-Казахстанская,,,45-54,27.6
2013,процент,Северо-Казахстанская,,,55-64,52.0
2013,процент,Северо-Казахстанская,,,65 и старше,98.0
2013,процент,Восточно-Казахстанская,,,16-24,38.3
2013,процент,Восточно-Казахстанская,,,25-28,26.7
2013,процент,Восточно-Казахстанская,,,29-34,30.7
2013,процент,Восточно-Казахстанская,,,35-44,31.1
2013,процент,Восточно-Казахстанская,,,45-54,25.7
2013,процент,Восточно-Казахстанская,,,55-64,28.4
2013,процент,Восточно-Казахстанская,,,65 и старше,14.6
2013,процент,г_Нур-Султан,,,16-24,2.7
2013,процент,г_Нур-Султан,,,25-28,6.3
2013,процент,г_Нур-Султан,,,29-34,6.0
2013,процент,г_Нур-Султан,,,35-44,4.5
2013,процент,г_Нур-Султан,,,45-54,4.0
2013,процент,г_Нур-Султан,,,55-64,5.3
2013,процент,г_Нур-Султан,,,65 и старше,19.6
2013,процент,г_Алматы,,,16-24,13.1
2013,процент,г_Алматы,,,25-28,12.9
2013,процент,г_Алматы,,,29-34,10.8
2013,процент,г_Алматы,,,35-44,9.8
2013,процент,г_Алматы,,,45-54,8.0
2013,процент,г_Алматы,,,55-64,8.2
2013,процент,г_Алматы,,,65 и старше,33.7
2014,процент,,,,,25.0
2014,процент,Акмолинская,,,,24.2
2014,процент,Актюбинская,,,,19.6
2014,процент,Алматинская,,,,25.5
2014,процент,Атырауская,,,,7.3
2014,процент,Западно-Казахстанская,,,,30.6
2014,процент,Жымбылская,,,,39.8
2014,процент,Карагандинская,,,,23.7
2014,процент,Костанайская,,,,35.1
2014,процент,Кызылординская,,,,19.3
2014,процент,Мангистауская,,,,7.3
2014,процент,Южно-Казахстанская,,,,22.4
2014,процент,Павлодарская,,,,31.1
2014,процент,Северо-Казахстанская,,,,35.8
2014,процент,Восточно-Казахстанская,,,,32.3
2014,процент,г_Нур-Султан,,,,22.9
2014,процент,г_Алматы,,,,14.8
2014,процент,,мужчины,,,25.0
2014,процент,Акмолинская,мужчины,,,23.3
2014,процент,Актюбинская,мужчины,,,19.1
2014,процент,Алматинская,мужчины,,,27.9
2014,процент,Атырауская,мужчины,,,8.3
2014,процент,Западно-Казахстанская,мужчины,,,32.4
2014,процент,Жымбылская,мужчины,,,39.6
2014,процент,Карагандинская,мужчины,,,21.9
2014,процент,Костанайская,мужчины,,,33.0
2014,процент,Кызылординская,мужчины,,,19.2
2014,процент,Мангистауская,мужчины,,,5.6
2014,процент,Южно-Казахстанская,мужчины,,,24.5
2014,процент,Павлодарская,мужчины,,,28.9
2014,процент,Северо-Казахстанская,мужчины,,,34.2
2014,процент,Восточно-Казахстанская,мужчины,,,30.9
2014,процент,г_Нур-Султан,мужчины,,,22.9
2014,процент,г_Алматы,мужчины,,,15.4
2014,процент,,женщины,,,25.0
2014,процент,Акмолинская,женщины,,,25.1
2014,процент,Актюбинская,женщины,,,20.3
2014,процент,Алматинская,женщины,,,23.0
2014,процент,Атырауская,женщины,,,6.2
2014,процент,Западно-Казахстанская,женщины,,,28.6
2014,процент,Жымбылская,женщины,,,40.0
2014,процент,Карагандинская,женщины,,,25.7
2014,процент,Костанайская,женщины,,,37.3
2014,процент,Кызылординская,женщины,,,19.5
2014,процент,Мангистауская,женщины,,,9.6
2014,процент,Южно-Казахстанская,женщины,,,20.1
2014,процент,Павлодарская,женщины,,,33.2
2014,процент,Северо-Казахстанская,женщины,,,37.5
2014,процент,Восточно-Казахстанская,женщины,,,33.7
2014,процент,г_Нур-Султан,женщины,,,22.8
2014,процент,г_Алматы,женщины,,,14.2
2014,процент,,,Город,,19.6
2014,процент,Акмолинская,,Город,,17.7
2014,процент,Актюбинская,,Город,,13.9
2014,процент,Алматинская,,Город,,23.1
2014,процент,Атырауская,,Город,,2.7
2014,процент,Западно-Казахстанская,,Город,,13.4
2014,процент,Жымбылская,,Город,,39.6
2014,процент,Карагандинская,,Город,,21.0
2014,процент,Костанайская,,Город,,23.7
2014,процент,Кызылординская,,Город,,13.9
2014,процент,Мангистауская,,Город,,9.3
2014,процент,Южно-Казахстанская,,Город,,21.7
2014,процент,Павлодарская,,Город,,18.0
2014,процент,Северо-Казахстанская,,Город,,29.0
2014,процент,Восточно-Казахстанская,,Город,,21.4
2014,процент,г_Нур-Султан,,Город,,22.9
2014,процент,г_Алматы,,Город,,14.8
2014,процент,,,сельское население,,31.6
2014,процент,Акмолинская,,сельское население,,30.0
2014,процент,Актюбинская,,сельское население,,28.9
2014,процент,Алматинская,,сельское население,,26.3
2014,процент,Атырауская,,сельское население,,11.8
2014,процент,Западно-Казахстанская,,сельское население,,45.2
2014,процент,Жымбылская,,сельское население,,40.0
2014,процент,Карагандинская,,сельское население,,33.6
2014,процент,Костанайская,,сельское население,,47.2
2014,процент,Кызылординская,,сельское население,,23.0
2014,процент,Мангистауская,,сельское население,,4.5
2014,процент,Южно-Казахстанская,,сельское население,,22.9
2014,процент,Павлодарская,,сельское население,,57.1
2014,процент,Северо-Казахстанская,,сельское население,,40.5
2014,процент,Восточно-Казахстанская,,сельское население,,48.1
2014,процент,,,,15,65.8
2014,процент,,,,16-24,28.5
2014,процент,,,,25-28,23.2
2014,процент,,,,29-34,23.0
2014,процент,,,,35-44,23.1
2014,процент,,,,45-54,23.9
2014,процент,,,,55-64,30.1
2014,процент,,,,65 и старше,77.3
2014,процент,Акмолинская,,,15,89.4
2014,процент,Акмолинская,,,16-24,28.7
2014,процент,Акмолинская,,,25-28,23.1
2014,процент,Акмолинская,,,29-34,21.0
2014,процент,Акмолинская,,,35-44,22.8
2014,процент,Акмолинская,,,45-54,23.3
2014,процент,Акмолинская,,,55-64,24.7
2014,процент,Акмолинская,,,65 и старше,80.0
2014,процент,Актюбинская,,,16-24,23.9
2014,процент,Актюбинская,,,25-28,20.4
2014,процент,Актюбинская,,,29-34,18.0
2014,процент,Актюбинская,,,35-44,18.2
2014,процент,Актюбинская,,,45-54,19.5
2014,процент,Актюбинская,,,55-64,20.2
2014,процент,Актюбинская,,,65 и старше,41.4
2014,процент,Алматинская,,,15,7.7
2014,процент,Алматинская,,,16-24,23.9
2014,процент,Алматинская,,,25-28,23.1
2014,процент,Алматинская,,,29-34,24.0
2014,процент,Алматинская,,,35-44,27.2
2014,процент,Алматинская,,,45-54,26.4
2014,процент,Алматинская,,,55-64,27.5
2014,процент,Алматинская,,,65 и старше,58.1
2014,процент,Атырауская,,,16-24,11.9
2014,процент,Атырауская,,,25-28,6.0
2014,процент,Атырауская,,,29-34,5.5
2014,процент,Атырауская,,,35-44,6.0
2014,процент,Атырауская,,,45-54,8.3
2014,процент,Атырауская,,,55-64,7.4
2014,процент,Атырауская,,,65 и старше,17.1
2014,процент,Западно-Казахстанская,,,15,100.0
2014,процент,Западно-Казахстанская,,,16-24,29.1
2014,процент,Западно-Казахстанская,,,25-28,26.1
2014,процент,Западно-Казахстанская,,,29-34,29.6
2014,процент,Западно-Казахстанская,,,35-44,30.1
2014,процент,Западно-Казахстанская,,,45-54,32.3
2014,процент,Западно-Казахстанская,,,55-64,35.5
2014,процент,Западно-Казахстанская,,,65 и старше,71.8
2014,процент,Жымбылская,,,15,87.4
2014,процент,Жымбылская,,,16-24,54.2
2014,процент,Жымбылская,,,25-28,40.9
2014,процент,Жымбылская,,,29-34,33.5
2014,процент,Жымбылская,,,35-44,35.1
2014,процент,Жымбылская,,,45-54,33.2
2014,процент,Жымбылская,,,55-64,49.7
2014,процент,Жымбылская,,,65 и старше,78.7
2014,процент,Карагандинская,,,15,86.8
2014,процент,Карагандинская,,,16-24,33.5
2014,процент,Карагандинская,,,25-28,21.8
2014,процент,Карагандинская,,,29-34,23.3
2014,процент,Карагандинская,,,35-44,19.9
2014,процент,Карагандинская,,,45-54,20.1
2014,процент,Карагандинская,,,55-64,26.6
2014,процент,Карагандинская,,,65 и старше,71.9
2014,процент,Костанайская,,,15,100.0
2014,процент,Костанайская,,,16-24,46.0
2014,процент,Костанайская,,,25-28,35.3
2014,процент,Костанайская,,,29-34,33.7
2014,процент,Костанайская,,,35-44,30.9
2014,процент,Костанайская,,,45-54,31.1
2014,процент,Костанайская,,,55-64,37.1
2014,процент,Костанайская,,,65 и старше,87.8
2014,процент,Кызылординская,,,16-24,26.0
2014,процент,Кызылординская,,,25-28,16.5
2014,процент,Кызылординская,,,29-34,17.7
2014,процент,Кызылординская,,,35-44,19.0
2014,процент,Кызылординская,,,45-54,17.4
2014,процент,Кызылординская,,,55-64,17.6
2014,процент,Кызылординская,,,65 и старше,90.8
2014,процент,Мангистауская,,,16-24,11.3
2014,процент,Мангистауская,,,25-28,6.2
2014,процент,Мангистауская,,,29-34,6.2
2014,процент,Мангистауская,,,35-44,7.4
2014,процент,Мангистауская,,,45-54,7.5
2014,процент,Мангистауская,,,55-64,5.1
2014,процент,Мангистауская,,,65 и старше,4.2
2014,процент,Южно-Казахстанская,,,15,100.0
2014,процент,Южно-Казахстанская,,,16-24,24.0
2014,процент,Южно-Казахстанская,,,25-28,22.2
2014,процент,Южно-Казахстанская,,,29-34,23.4
2014,процент,Южно-Казахстанская,,,35-44,21.3
2014,процент,Южно-Казахстанская,,,45-54,22.1
2014,процент,Южно-Казахстанская,,,55-64,20.9
2014,процент,Южно-Казахстанская,,,65 и старше,2.2
2014,процент,Павлодарская,,,15,97.2
2014,процент,Павлодарская,,,16-24,44.8
2014,процент,Павлодарская,,,25-28,24.9
2014,процент,Павлодарская,,,29-34,27.8
2014,процент,Павлодарская,,,35-44,25.6
2014,процент,Павлодарская,,,45-54,26.7
2014,процент,Павлодарская,,,55-64,46.0
2014,процент,Павлодарская,,,65 и старше,97.3
2014,процент,Северо-Казахстанская,,,15,100.0
2014,процент,Северо-Казахстанская,,,16-24,39.7
2014,процент,Северо-Казахстанская,,,25-28,28.8
2014,процент,Северо-Казахстанская,,,29-34,30.9
