Year,UNIT_MEASURE,Регионы,Местность,Пол,Возраст,Value
2010,процент,Алматинская,,,29-34,5.1
2010,процент,Алматинская,,,35-44,4.4
2010,процент,Алматинская,,,45-54,5.6
2010,процент,Алматинская,,,55-64,13.3
2010,процент,Атырауская,,,16-24,1.5
2010,процент,Атырауская,,,25-28,15.4
2010,процент,Атырауская,,,29-34,6.2
2010,процент,Атырауская,,,35-44,3.7
2010,процент,Атырауская,,,45-54,3.5
2010,процент,Атырауская,,,55-64,5.4
2010,процент,Западно-Казахстанская,,,16-24,6.5
2010,процент,Западно-Казахстанская,,,25-28,6.4
2010,процент,Западно-Казахстанская,,,29-34,6.9
2010,процент,Западно-Казахстанская,,,35-44,5.9
2010,процент,Западно-Казахстанская,,,45-54,5.1
2010,процент,Западно-Казахстанская,,,55-64,1.9
2010,процент,Жымбылская,,,16-24,6.0
2010,процент,Жымбылская,,,25-28,1.9
2010,процент,Жымбылская,,,29-34,9.7
2010,процент,Жымбылская,,,35-44,7.7
2010,процент,Жымбылская,,,45-54,4.3
2010,процент,Жымбылская,,,55-64,1.2
2010,процент,Карагандинская,,,16-24,5.9
2010,процент,Карагандинская,,,25-28,9.9
2010,процент,Карагандинская,,,29-34,5.5
2010,процент,Карагандинская,,,35-44,4.8
2010,процент,Карагандинская,,,45-54,4.6
2010,процент,Карагандинская,,,55-64,4.2
2010,процент,Костанайская,,,16-24,5.3
2010,процент,Костанайская,,,25-28,13.3
2010,процент,Костанайская,,,29-34,5.1
2010,процент,Костанайская,,,35-44,3.6
2010,процент,Костанайская,,,45-54,4.4
2010,процент,Костанайская,,,55-64,8.4
2010,процент,Кызылординская,,,16-24,6.5
2010,процент,Кызылординская,,,25-28,8.6
2010,процент,Кызылординская,,,29-34,4.1
2010,процент,Кызылординская,,,35-44,4.0
2010,процент,Кызылординская,,,45-54,6.1
2010,процент,Кызылординская,,,55-64,10.8
2010,процент,Мангистауская,,,16-24,7.0
2010,процент,Мангистауская,,,25-28,11.7
2010,процент,Мангистауская,,,29-34,2.7
2010,процент,Мангистауская,,,35-44,3.9
2010,процент,Мангистауская,,,45-54,10.4
2010,процент,Мангистауская,,,55-64,8.4
2010,процент,Южно-Казахстанская,,,16-24,2.1
2010,процент,Южно-Казахстанская,,,25-28,11.3
2010,процент,Южно-Казахстанская,,,29-34,6.1
2010,процент,Южно-Казахстанская,,,35-44,6.0
2010,процент,Южно-Казахстанская,,,45-54,5.3
2010,процент,Южно-Казахстанская,,,55-64,2.9
2010,процент,Павлодарская,,,15,3.1
2010,процент,Павлодарская,,,16-24,5.5
2010,процент,Павлодарская,,,25-28,8.8
2010,процент,Павлодарская,,,29-34,4.3
2010,процент,Павлодарская,,,35-44,4.6
2010,процент,Павлодарская,,,45-54,6.4
2010,процент,Павлодарская,,,55-64,4.9
2010,процент,Северо-Казахстанская,,,16-24,5.9
2010,процент,Северо-Казахстанская,,,25-28,9.8
2010,процент,Северо-Казахстанская,,,29-34,7.6
2010,процент,Северо-Казахстанская,,,35-44,4.7
2010,процент,Северо-Казахстанская,,,45-54,4.2
2010,процент,Северо-Казахстанская,,,55-64,5.8
2010,процент,Восточно-Казахстанская,,,16-24,7.0
2010,процент,Восточно-Казахстанская,,,25-28,6.7
2010,процент,Восточно-Казахстанская,,,29-34,4.4
2010,процент,Восточно-Казахстанская,,,35-44,5.0
2010,процент,Восточно-Казахстанская,,,45-54,4.9
2010,процент,Восточно-Казахстанская,,,55-64,8.8
2010,процент,г_Нур-Султан,,,16-24,11.2
2010,процент,г_Нур-Султан,,,25-28,4.7
2010,процент,г_Нур-Султан,,,29-34,6.6
2010,процент,г_Нур-Султан,,,35-44,6.4
2010,процент,г_Нур-Султан,,,45-54,5.6
2010,процент,г_Нур-Султан,,,55-64,2.9
2010,процент,г_Алматы,,,16-24,9.0
2010,процент,г_Алматы,,,25-28,8.5
2010,процент,г_Алматы,,,29-34,5.7
2010,процент,г_Алматы,,,35-44,5.6
2010,процент,г_Алматы,,,45-54,5.5
2010,процент,г_Алматы,,,55-64,4.2
2011,процент,,,,,5.4
2011,процент,Акмолинская,,,,5.5
2011,процент,Актюбинская,,,,4.9
2011,процент,Алматинская,,,,5.1
2011,процент,Атырауская,,,,5.0
2011,процент,Западно-Казахстанская,,,,5.3
2011,процент,Жымбылская,,,,5.5
2011,процент,Карагандинская,,,,5.3
2011,процент,Костанайская,,,,5.4
2011,процент,Кызылординская,,,,5.5
2011,процент,Мангистауская,,,,5.8
2011,процент,Южно-Казахстанская,,,,5.7
2011,процент,Павлодарская,,,,5.2
2011,процент,Северо-Казахстанская,,,,5.4
2011,процент,Восточно-Казахстанская,,,,5.2
2011,процент,г_Нур-Султан,,,,5.8
2011,процент,г_Алматы,,,,5.6
2011,процент,,,мужчины,,4.6
2011,процент,Акмолинская,,мужчины,,5.3
2011,процент,Актюбинская,,мужчины,,3.5
2011,процент,Алматинская,,мужчины,,5.1
2011,процент,Атырауская,,мужчины,,4.2
2011,процент,Западно-Казахстанская,,мужчины,,4.9
2011,процент,Жымбылская,,мужчины,,4.9
2011,процент,Карагандинская,,мужчины,,3.7
2011,процент,Костанайская,,мужчины,,4.8
2011,процент,Кызылординская,,мужчины,,5.2
2011,процент,Мангистауская,,мужчины,,5.4
2011,процент,Южно-Казахстанская,,мужчины,,5.1
2011,процент,Павлодарская,,мужчины,,4.4
2011,процент,Северо-Казахстанская,,мужчины,,5.3
2011,процент,Восточно-Казахстанская,,мужчины,,3.7
2011,процент,г_Нур-Султан,,мужчины,,4.0
2011,процент,г_Алматы,,мужчины,,4.4
2011,процент,,,женщины,,6.2
2011,процент,Акмолинская,,женщины,,5.6
2011,процент,Актюбинская,,женщины,,6.2
2011,процент,Алматинская,,женщины,,5.0
2011,процент,Атырауская,,женщины,,5.9
2011,процент,Западно-Казахстанская,,женщины,,5.8
2011,процент,Жымбылская,,женщины,,6.1
2011,процент,Карагандинская,,женщины,,6.8
2011,процент,Костанайская,,женщины,,5.9
2011,процент,Кызылординская,,женщины,,5.8
2011,процент,Мангистауская,,женщины,,6.3
2011,процент,Южно-Казахстанская,,женщины,,6.4
2011,процент,Павлодарская,,женщины,,6.0
2011,процент,Северо-Казахстанская,,женщины,,5.6
2011,процент,Восточно-Казахстанская,,женщины,,6.8
2011,процент,г_Нур-Султан,,женщины,,7.8
2011,процент,г_Алматы,,женщины,,6.7
2011,процент,,Город,,,5.8
2011,процент,Акмолинская,Город,,,5.2
2011,процент,Актюбинская,Город,,,4.7
2011,процент,Алматинская,Город,,,6.0
2011,процент,Атырауская,Город,,,5.2
2011,процент,Западно-Казахстанская,Город,,,4.9
2011,процент,Жымбылская,Город,,,6.8
2011,процент,Карагандинская,Город,,,5.3
2011,процент,Костанайская,Город,,,7.4
2011,процент,Кызылординская,Город,,,5.1
2011,процент,Мангистауская,Город,,,4.9
2011,процент,Южно-Казахстанская,Город,,,6.7
2011,процент,Павлодарская,Город,,,5.8
2011,процент,Северо-Казахстанская,Город,,,5.8
2011,процент,Восточно-Казахстанская,Город,,,5.7
2011,процент,г_Нур-Султан,Город,,,5.8
2011,процент,г_Алматы,Город,,,5.6
2011,процент,,сельское население,,,4.9
2011,процент,Акмолинская,сельское население,,,5.7
2011,процент,Актюбинская,сельское население,,,5.0
2011,процент,Алматинская,сельское население,,,4.8
2011,процент,Атырауская,сельское население,,,4.9
2011,процент,Западно-Казахстанская,сельское население,,,5.6
2011,процент,Жымбылская,сельское население,,,4.6
2011,процент,Карагандинская,сельское население,,,5.1
2011,процент,Костанайская,сельское население,,,3.5
2011,процент,Кызылординская,сельское население,,,5.8
2011,процент,Мангистауская,сельское население,,,7.2
2011,процент,Южно-Казахстанская,сельское население,,,5.1
2011,процент,Павлодарская,сельское население,,,4.1
2011,процент,Северо-Казахстанская,сельское население,,,5.2
2011,процент,Восточно-Казахстанская,сельское население,,,4.6
2011,процент,,,,16-24,4.6
2011,процент,,,,25-28,7.8
2011,процент,,,,29-34,6.6
2011,процент,,,,35-44,4.7
2011,процент,,,,45-54,4.5
2011,процент,,,,55-64,5.3
2011,процент,Акмолинская,,,16-24,4.8
2011,процент,Акмолинская,,,25-28,6.0
2011,процент,Акмолинская,,,29-34,5.2
2011,процент,Акмолинская,,,35-44,5.8
2011,процент,Акмолинская,,,45-54,5.5
2011,процент,Акмолинская,,,55-64,6.0
2011,процент,Актюбинская,,,16-24,2.1
2011,процент,Актюбинская,,,25-28,7.5
2011,процент,Актюбинская,,,29-34,6.7
2011,процент,Актюбинская,,,35-44,5.4
2011,процент,Актюбинская,,,45-54,3.2
2011,процент,Актюбинская,,,55-64,3.4
2011,процент,Алматинская,,,16-24,2.1
2011,процент,Алматинская,,,25-28,6.2
2011,процент,Алматинская,,,29-34,8.0
2011,процент,Алматинская,,,35-44,3.4
2011,процент,Алматинская,,,45-54,4.0
2011,процент,Алматинская,,,55-64,10.2
2011,процент,Атырауская,,,16-24,0.8
2011,процент,Атырауская,,,25-28,9.2
2011,процент,Атырауская,,,29-34,8.1
2011,процент,Атырауская,,,35-44,3.1
2011,процент,Атырауская,,,45-54,4.2
2011,процент,Атырауская,,,55-64,7.8
2011,процент,Западно-Казахстанская,,,16-24,5.5
2011,процент,Западно-Казахстанская,,,25-28,4.4
2011,процент,Западно-Казахстанская,,,29-34,6.4
2011,процент,Западно-Казахстанская,,,35-44,5.9
2011,процент,Западно-Казахстанская,,,45-54,5.2
2011,процент,Западно-Казахстанская,,,55-64,2.7
2011,процент,Жымбылская,,,16-24,5.6
2011,процент,Жымбылская,,,25-28,7.8
2011,процент,Жымбылская,,,29-34,6.6
2011,процент,Жымбылская,,,35-44,5.1
2011,процент,Жымбылская,,,45-54,3.7
2011,процент,Жымбылская,,,55-64,5.4
2011,процент,Карагандинская,,,16-24,5.0
2011,процент,Карагандинская,,,25-28,7.7
2011,процент,Карагандинская,,,29-34,5.2
2011,процент,Карагандинская,,,35-44,4.4
2011,процент,Карагандинская,,,45-54,6.0
2011,процент,Карагандинская,,,55-64,3.6
2011,процент,Костанайская,,,16-24,5.0
2011,процент,Костанайская,,,25-28,11.0
2011,процент,Костанайская,,,29-34,6.7
2011,процент,Костанайская,,,35-44,4.7
2011,процент,Костанайская,,,45-54,4.1
2011,процент,Костанайская,,,55-64,3.5
2011,процент,Кызылординская,,,16-24,6.8
2011,процент,Кызылординская,,,25-28,6.4
2011,процент,Кызылординская,,,29-34,4.9
2011,процент,Кызылординская,,,35-44,5.2
2011,процент,Кызылординская,,,45-54,4.3
2011,процент,Кызылординская,,,55-64,7.3
2011,процент,Мангистауская,,,16-24,6.2
2011,процент,Мангистауская,,,25-28,9.2
2011,процент,Мангистауская,,,29-34,6.1
2011,процент,Мангистауская,,,35-44,4.0
2011,процент,Мангистауская,,,45-54,5.3
2011,процент,Мангистауская,,,55-64,7.4
2011,процент,Южно-Казахстанская,,,16-24,1.8
2011,процент,Южно-Казахстанская,,,25-28,9.3
2011,процент,Южно-Казахстанская,,,29-34,9.8
2011,процент,Южно-Казахстанская,,,35-44,4.7
2011,процент,Южно-Казахстанская,,,45-54,4.0
2011,процент,Южно-Казахстанская,,,55-64,3.6
2011,процент,Павлодарская,,,16-24,4.6
2011,процент,Павлодарская,,,25-28,9.0
2011,процент,Павлодарская,,,29-34,4.5
2011,процент,Павлодарская,,,35-44,4.0
2011,процент,Павлодарская,,,45-54,5.3
2011,процент,Павлодарская,,,55-64,5.5
2011,процент,Северо-Казахстанская,,,16-24,5.8
2011,процент,Северо-Казахстанская,,,25-28,9.0
2011,процент,Северо-Казахстанская,,,29-34,6.4
2011,процент,Северо-Казахстанская,,,35-44,4.0
2011,процент,Северо-Казахстанская,,,45-54,5.1
2011,процент,Северо-Казахстанская,,,55-64,4.9
2011,процент,Восточно-Казахстанская,,,16-24,9.2
2011,процент,Восточно-Казахстанская,,,25-28,5.0
2011,процент,Восточно-Казахстанская,,,29-34,5.9
2011,процент,Восточно-Казахстанская,,,35-44,4.1
2011,процент,Восточно-Казахстанская,,,45-54,4.0
2011,процент,Восточно-Казахстанская,,,55-64,4.4
2011,процент,г_Нур-Султан,,,16-24,9.0
2011,процент,г_Нур-Султан,,,25-28,8.2
2011,процент,г_Нур-Султан,,,29-34,4.5
2011,процент,г_Нур-Султан,,,35-44,6.2
2011,процент,г_Нур-Султан,,,45-54,4.6
2011,процент,г_Нур-Султан,,,55-64,3.3
2011,процент,г_Алматы,,,16-24,6.6
2011,процент,г_Алматы,,,25-28,7.3
2011,процент,г_Алматы,,,29-34,5.6
2011,процент,г_Алматы,,,35-44,5.4
2011,процент,г_Алматы,,,45-54,4.9
2011,процент,г_Алматы,,,55-64,4.1
2012,процент,,,,,5.3
2012,процент,Акмолинская,,,,5.3
2012,процент,Актюбинская,,,,5.0
2012,процент,Алматинская,,,,5.0
2012,процент,Атырауская,,,,5.0
2012,процент,Западно-Казахстанская,,,,5.1
2012,процент,Жымбылская,,,,5.4
2012,процент,Карагандинская,,,,5.1
2012,процент,Костанайская,,,,5.2
2012,процент,Кызылординская,,,,5.3
2012,процент,Мангистауская,,,,5.7
2012,процент,Южно-Казахстанская,,,,5.6
2012,процент,Павлодарская,,,,4.9
2012,процент,Северо-Казахстанская,,,,5.2
2012,процент,Восточно-Казахстанская,,,,5.1
2012,процент,г_Нур-Султан,,,,5.7
2012,процент,г_Алматы,,,,5.6
2012,процент,,,мужчины,,4.1
2012,процент,Акмолинская,,мужчины,,4.0
2012,процент,Актюбинская,,мужчины,,2.9
2012,процент,Алматинская,,мужчины,,3.6
2012,процент,Атырауская,,мужчины,,3.9
2012,процент,Западно-Казахстанская,,мужчины,,5.2
2012,процент,Жымбылская,,мужчины,,5.3
2012,процент,Карагандинская,,мужчины,,3.7
2012,процент,Костанайская,,мужчины,,4.2
2012,процент,Кызылординская,,мужчины,,4.0
2012,процент,Мангистауская,,мужчины,,5.0
2012,процент,Южно-Казахстанская,,мужчины,,4.4
2012,процент,Павлодарская,,мужчины,,4.1
2012,процент,Северо-Казахстанская,,мужчины,,4.1
2012,процент,Восточно-Казахстанская,,мужчины,,4.5
2012,процент,г_Нур-Султан,,мужчины,,5.5
2012,процент,г_Алматы,,мужчины,,3.0
2012,процент,,,женщины,,6.5
2012,процент,Акмолинская,,женщины,,6.6
2012,процент,Актюбинская,,женщины,,6.9
2012,процент,Алматинская,,женщины,,6.5
2012,процент,Атырауская,,женщины,,6.1
2012,процент,Западно-Казахстанская,,женщины,,5.1
2012,процент,Жымбылская,,женщины,,5.6
2012,процент,Карагандинская,,женщины,,6.6
2012,процент,Костанайская,,женщины,,6.3
2012,процент,Кызылординская,,женщины,,6.8
2012,процент,Мангистауская,,женщины,,6.5
2012,процент,Южно-Казахстанская,,женщины,,7.0
2012,процент,Павлодарская,,женщины,,5.8
2012,процент,Северо-Казахстанская,,женщины,,6.3
2012,процент,Восточно-Казахстанская,,женщины,,5.7
2012,процент,г_Нур-Султан,,женщины,,5.9
2012,процент,г_Алматы,,женщины,,8.0
2012,процент,,Город,,,5.6
2012,процент,Акмолинская,Город,,,4.8
2012,процент,Актюбинская,Город,,,5.4
2012,процент,Алматинская,Город,,,4.4
2012,процент,Атырауская,Город,,,4.4
2012,процент,Западно-Казахстанская,Город,,,5.0
2012,процент,Жымбылская,Город,,,6.8
2012,процент,Карагандинская,Город,,,5.1
2012,процент,Костанайская,Город,,,7.1
2012,процент,Кызылординская,Город,,,5.0
2012,процент,Мангистауская,Город,,,4.8
2012,процент,Южно-Казахстанская,Город,,,6.5
2012,процент,Павлодарская,Город,,,5.5
2012,процент,Северо-Казахстанская,Город,,,5.6
2012,процент,Восточно-Казахстанская,Город,,,5.5
2012,процент,г_Нур-Султан,Город,,,5.7
2012,процент,г_Алматы,Город,,,5.6
2012,процент,,сельское население,,,5.0
2012,процент,Акмолинская,сельское население,,,5.8
2012,процент,Актюбинская,сельское население,,,4.2
2012,процент,Алматинская,сельское население,,,5.2
2012,процент,Атырауская,сельское население,,,5.5
2012,процент,Западно-Казахстанская,сельское население,,,5.2
2012,процент,Жымбылская,сельское население,,,4.6
2012,процент,Карагандинская,сельское население,,,5.3
2012,процент,Костанайская,сельское население,,,3.5
2012,процент,Кызылординская,сельское население,,,5.6
2012,процент,Мангистауская,сельское население,,,6.7
2012,процент,Южно-Казахстанская,сельское население,,,5.1
2012,процент,Павлодарская,сельское население,,,3.9
2012,процент,Северо-Казахстанская,сельское население,,,5.0
2012,процент,Восточно-Казахстанская,сельское население,,,4.5
2012,процент,,,,16-24,4.0
2012,процент,,,,25-28,7.0
2012,процент,,,,29-34,6.0
2012,процент,,,,35-44,5.1
2012,процент,,,,45-54,4.9
2012,процент,,,,55-64,5.1
2012,процент,Акмолинская,,,16-24,3.7
2012,процент,Акмолинская,,,25-28,7.0
2012,процент,Акмолинская,,,29-34,7.4
2012,процент,Акмолинская,,,35-44,4.8
2012,процент,Акмолинская,,,45-54,4.3
2012,процент,Акмолинская,,,55-64,6.0
2012,процент,Актюбинская,,,16-24,2.3
2012,процент,Актюбинская,,,25-28,6.8
2012,процент,Актюбинская,,,29-34,7.2
2012,процент,Актюбинская,,,35-44,4.0
2012,процент,Актюбинская,,,45-54,4.1
2012,процент,Актюбинская,,,55-64,3.8
2012,процент,Алматинская,,,16-24,1.9
2012,процент,Алматинская,,,25-28,6.0
2012,процент,Алматинская,,,29-34,4.7
2012,процент,Алматинская,,,35-44,6.3
2012,процент,Алматинская,,,45-54,5.4
2012,процент,Алматинская,,,55-64,6.5
2012,процент,Атырауская,,,16-24,1.0
2012,процент,Атырауская,,,25-28,6.8
2012,процент,Атырауская,,,29-34,5.9
2012,процент,Атырауская,,,35-44,3.5
2012,процент,Атырауская,,,45-54,5.8
2012,процент,Атырауская,,,55-64,10.3
2012,процент,Западно-Казахстанская,,,16-24,5.0
2012,процент,Западно-Казахстанская,,,25-28,9.2
2012,процент,Западно-Казахстанская,,,29-34,6.7
2012,процент,Западно-Казахстанская,,,35-44,4.5
2012,процент,Западно-Казахстанская,,,45-54,3.9
2012,процент,Западно-Казахстанская,,,55-64,4.8
2012,процент,Жымбылская,,,16-24,5.6
2012,процент,Жымбылская,,,25-28,10.9
2012,процент,Жымбылская,,,29-34,2.8
2012,процент,Жымбылская,,,35-44,3.7
2012,процент,Жымбылская,,,45-54,3.8
2012,процент,Жымбылская,,,55-64,9.6
2012,процент,Карагандинская,,,16-24,4.8
2012,процент,Карагандинская,,,25-28,5.4
2012,процент,Карагандинская,,,29-34,6.2
2012,процент,Карагандинская,,,35-44,5.6
2012,процент,Карагандинская,,,45-54,5.6
2012,процент,Карагандинская,,,55-64,2.1
2012,процент,Костанайская,,,16-24,5.2
2012,процент,Костанайская,,,25-28,7.3
2012,процент,Костанайская,,,29-34,5.7
2012,процент,Костанайская,,,35-44,6.8
2012,процент,Костанайская,,,45-54,4.5
2012,процент,Костанайская,,,55-64,2.5
2012,процент,Кызылординская,,,16-24,6.9
2012,процент,Кызылординская,,,25-28,5.9
2012,процент,Кызылординская,,,29-34,5.5
2012,процент,Кызылординская,,,35-44,4.9
2012,процент,Кызылординская,,,45-54,3.9
2012,процент,Кызылординская,,,55-64,7.2
2012,процент,Мангистауская,,,16-24,4.3
2012,процент,Мангистауская,,,25-28,4.8
2012,процент,Мангистауская,,,29-34,9.5
2012,процент,Мангистауская,,,35-44,4.5
2012,процент,Мангистауская,,,45-54,4.5
2012,процент,Мангистауская,,,55-64,4.4
2012,процент,Южно-Казахстанская,,,16-24,0.9
2012,процент,Южно-Казахстанская,,,25-28,9.3
2012,процент,Южно-Казахстанская,,,29-34,8.2
2012,процент,Южно-Казахстанская,,,35-44,4.8
2012,процент,Южно-Казахстанская,,,45-54,5.8
2012,процент,Южно-Казахстанская,,,55-64,3.6
2012,процент,Павлодарская,,,16-24,4.1
2012,процент,Павлодарская,,,25-28,6.2
2012,процент,Павлодарская,,,29-34,2.9
2012,процент,Павлодарская,,,35-44,4.6
2012,процент,Павлодарская,,,45-54,5.4
2012,процент,Павлодарская,,,55-64,7.6
2012,процент,Северо-Казахстанская,,,16-24,4.3
2012,процент,Северо-Казахстанская,,,25-28,8.9
2012,процент,Северо-Казахстанская,,,29-34,3.9
2012,процент,Северо-Казахстанская,,,35-44,5.9
2012,процент,Северо-Казахстанская,,,45-54,5.0
2012,процент,Северо-Казахстанская,,,55-64,4.8
2012,процент,Восточно-Казахстанская,,,16-24,5.7
2012,процент,Восточно-Казахстанская,,,25-28,6.3
2012,процент,Восточно-Казахстанская,,,29-34,8.7
2012,процент,Восточно-Казахстанская,,,35-44,4.5
2012,процент,Восточно-Казахстанская,,,45-54,3.0
2012,процент,Восточно-Казахстанская,,,55-64,2.5
2012,процент,г_Нур-Султан,,,16-24,8.9
2012,процент,г_Нур-Султан,,,25-28,5.2
2012,процент,г_Нур-Султан,,,29-34,5.9
2012,процент,г_Нур-Султан,,,35-44,4.3
2012,процент,г_Нур-Султан,,,45-54,5.3
2012,процент,г_Нур-Султан,,,55-64,4.7
2012,процент,г_Алматы,,,16-24,6.0
2012,процент,г_Алматы,,,25-28,4.9
2012,процент,г_Алматы,,,29-34,3.7
2012,процент,г_Алматы,,,35-44,6.8
2012,процент,г_Алматы,,,45-54,6.7
2012,процент,г_Алматы,,,55-64,5.6
2013,процент,,,,,5.2
2013,процент,Акмолинская,,,,5.2
2013,процент,Актюбинская,,,,4.9
2013,процент,Алматинская,,,,4.9
2013,процент,Атырауская,,,,5.0
2013,процент,Западно-Казахстанская,,,,5.1
2013,процент,Жымбылская,,,,5.2
2013,процент,Карагандинская,,,,5.0
2013,процент,Костанайская,,,,5.2
2013,процент,Кызылординская,,,,5.2
2013,процент,Мангистауская,,,,5.5
2013,процент,Южно-Казахстанская,,,,5.5
2013,процент,Павлодарская,,,,5.0
2013,процент,Северо-Казахстанская,,,,5.1
2013,процент,Восточно-Казахстанская,,,,5.1
2013,процент,г_Нур-Султан,,,,5.5
2013,процент,г_Алматы,,,,5.6
2013,процент,,,мужчины,,4.6
2013,процент,Акмолинская,,мужчины,,4.7
2013,процент,Актюбинская,,мужчины,,3.3
2013,процент,Алматинская,,мужчины,,5.9
2013,процент,Атырауская,,мужчины,,4.7
2013,процент,Западно-Казахстанская,,мужчины,,4.2
2013,процент,Жымбылская,,мужчины,,5.1
2013,процент,Карагандинская,,мужчины,,4.8
2013,процент,Костанайская,,мужчины,,4.4
2013,процент,Кызылординская,,мужчины,,4.1
2013,процент,Мангистауская,,мужчины,,2.7
2013,процент,Южно-Казахстанская,,мужчины,,3.9
2013,процент,Павлодарская,,мужчины,,4.2
2013,процент,Северо-Казахстанская,,мужчины,,5.1
2013,процент,Восточно-Казахстанская,,мужчины,,4.7
2013,процент,г_Нур-Султан,,мужчины,,4.7
2013,процент,г_Алматы,,мужчины,,4.7
2013,процент,,,женщины,,5.9
2013,процент,Акмолинская,,женщины,,5.6
2013,процент,Актюбинская,,женщины,,6.6
2013,процент,Алматинская,,женщины,,3.9
