Year,UNIT_MEASURE,Регионы,Местность,Возраст,Value
2011,процент,Актюбинская,,16-24,76.5
2011,процент,Актюбинская,,25-28,61.7
2011,процент,Актюбинская,,29-34,22.6
2011,процент,Актюбинская,,35-44,37.3
2011,процент,Актюбинская,,45-54,38.1
2011,процент,Актюбинская,,55-64,24.7
2011,процент,Алматинская,,16-24,48.0
2011,процент,Алматинская,,25-28,20.7
2011,процент,Алматинская,,29-34,0.0
2011,процент,Алматинская,,35-44,27.5
2011,процент,Алматинская,,45-54,32.9
2011,процент,Алматинская,,55-64,24.1
2011,процент,Алматинская,,65 и старше,47.1
2011,процент,Атырауская,,16-24,0.0
2011,процент,Атырауская,,25-28,71.3
2011,процент,Атырауская,,29-34,25.2
2011,процент,Атырауская,,35-44,24.4
2011,процент,Атырауская,,45-54,34.7
2011,процент,Атырауская,,55-64,6.1
2011,процент,Западно-Казахстанская,,16-24,31.0
2011,процент,Западно-Казахстанская,,25-28,0.0
2011,процент,Западно-Казахстанская,,29-34,32.4
2011,процент,Западно-Казахстанская,,35-44,22.7
2011,процент,Западно-Казахстанская,,45-54,17.2
2011,процент,Западно-Казахстанская,,55-64,38.1
2011,процент,Жымбылская,,16-24,19.0
2011,процент,Жымбылская,,25-28,61.4
2011,процент,Жымбылская,,29-34,0.0
2011,процент,Жымбылская,,35-44,39.6
2011,процент,Жымбылская,,45-54,44.8
2011,процент,Жымбылская,,55-64,15.9
2011,процент,Карагандинская,,16-24,53.0
2011,процент,Карагандинская,,25-28,40.0
2011,процент,Карагандинская,,29-34,36.5
2011,процент,Карагандинская,,35-44,37.5
2011,процент,Карагандинская,,45-54,45.3
2011,процент,Карагандинская,,55-64,33.1
2011,процент,Карагандинская,,65 и старше,0.0
2011,процент,Костанайская,,16-24,57.7
2011,процент,Костанайская,,25-28,41.2
2011,процент,Костанайская,,29-34,53.6
2011,процент,Костанайская,,35-44,42.2
2011,процент,Костанайская,,45-54,45.9
2011,процент,Костанайская,,55-64,28.9
2011,процент,Костанайская,,65 и старше,0.0
2011,процент,Кызылординская,,16-24,100.0
2011,процент,Кызылординская,,25-28,33.2
2011,процент,Кызылординская,,29-34,53.6
2011,процент,Кызылординская,,35-44,39.8
2011,процент,Кызылординская,,45-54,41.9
2011,процент,Кызылординская,,55-64,18.9
2011,процент,Кызылординская,,65 и старше,0.0
2011,процент,Мангистауская,,16-24,33.4
2011,процент,Мангистауская,,25-28,34.2
2011,процент,Мангистауская,,29-34,19.0
2011,процент,Мангистауская,,35-44,40.4
2011,процент,Мангистауская,,45-54,38.1
2011,процент,Мангистауская,,55-64,24.8
2011,процент,Мангистауская,,65 и старше,0.0
2011,процент,Южно-Казахстанская,,16-24,31.6
2011,процент,Южно-Казахстанская,,25-28,46.6
2011,процент,Южно-Казахстанская,,29-34,48.4
2011,процент,Южно-Казахстанская,,35-44,7.5
2011,процент,Южно-Казахстанская,,45-54,24.4
2011,процент,Южно-Казахстанская,,55-64,27.4
2011,процент,Павлодарская,,16-24,21.9
2011,процент,Павлодарская,,25-28,52.7
2011,процент,Павлодарская,,29-34,38.4
2011,процент,Павлодарская,,35-44,35.4
2011,процент,Павлодарская,,45-54,51.1
2011,процент,Павлодарская,,55-64,32.5
2011,процент,Северо-Казахстанская,,16-24,76.0
2011,процент,Северо-Казахстанская,,25-28,15.2
2011,процент,Северо-Казахстанская,,29-34,48.0
2011,процент,Северо-Казахстанская,,35-44,39.9
2011,процент,Северо-Казахстанская,,45-54,27.0
2011,процент,Северо-Казахстанская,,55-64,28.1
2011,процент,Восточно-Казахстанская,,16-24,37.6
2011,процент,Восточно-Казахстанская,,25-28,40.4
2011,процент,Восточно-Казахстанская,,29-34,40.1
2011,процент,Восточно-Казахстанская,,35-44,38.6
2011,процент,Восточно-Казахстанская,,45-54,36.2
2011,процент,Восточно-Казахстанская,,55-64,33.9
2011,процент,Восточно-Казахстанская,,65 и старше,0.0
2011,процент,г_Нур-Султан,,16-24,48.1
2011,процент,г_Нур-Султан,,25-28,46.7
2011,процент,г_Нур-Султан,,29-34,34.4
2011,процент,г_Нур-Султан,,35-44,45.9
2011,процент,г_Нур-Султан,,45-54,38.6
2011,процент,г_Нур-Султан,,55-64,36.1
2011,процент,г_Нур-Султан,,65 и старше,42.2
2011,процент,г_Алматы,,16-24,72.3
2011,процент,г_Алматы,,25-28,62.5
2011,процент,г_Алматы,,29-34,40.6
2011,процент,г_Алматы,,35-44,42.5
2011,процент,г_Алматы,,45-54,31.3
2011,процент,г_Алматы,,55-64,27.1
2012,процент,,,,39.7
2012,процент,Акмолинская,,,36.3
2012,процент,Актюбинская,,,36.1
2012,процент,Алматинская,,,33.4
2012,процент,Атырауская,,,31.8
2012,процент,Западно-Казахстанская,,,20.404275584718
2012,процент,Жымбылская,,,39.4
2012,процент,Карагандинская,,,43.1
2012,процент,Костанайская,,,43.1
2012,процент,Кызылординская,,,31.0
2012,процент,Мангистауская,,,40.7
2012,процент,Южно-Казахстанская,,,28.7
2012,процент,Павлодарская,,,30.9
2012,процент,Северо-Казахстанская,,,40.4
2012,процент,Восточно-Казахстанская,,,38.1
2012,процент,г_Нур-Султан,,,46.2
2012,процент,г_Алматы,,,46.2
2012,процент,,Город,,41.9
2012,процент,Акмолинская,Город,,44.6
2012,процент,Актюбинская,Город,,35.3
2012,процент,Алматинская,Город,,36.9
2012,процент,Атырауская,Город,,39.5
2012,процент,Западно-Казахстанская,Город,,19.1
2012,процент,Жымбылская,Город,,38.8
2012,процент,Карагандинская,Город,,44.7
2012,процент,Костанайская,Город,,45.6
2012,процент,Кызылординская,Город,,32.4
2012,процент,Мангистауская,Город,,43.9
2012,процент,Южно-Казахстанская,Город,,35.4
2012,процент,Павлодарская,Город,,29.0
2012,процент,Северо-Казахстанская,Город,,33.8
2012,процент,Восточно-Казахстанская,Город,,34.4
2012,процент,г_Нур-Султан,Город,,46.2
2012,процент,г_Алматы,Город,,46.2
2012,процент,,сельское население,,32.2
2012,процент,Акмолинская,сельское население,,12.8
2012,процент,Актюбинская,сельское население,,42.5
2012,процент,Алматинская,сельское население,,32.1
2012,процент,Атырауская,сельское население,,10.1
2012,процент,Западно-Казахстанская,сельское население,,25.5
2012,процент,Жымбылская,сельское население,,42.6
2012,процент,Карагандинская,сельское население,,27.0
2012,процент,Костанайская,сельское население,,36.1
2012,процент,Кызылординская,сельское население,,28.7
2012,процент,Мангистауская,сельское население,,16.7
2012,процент,Южно-Казахстанская,сельское население,,15.8
2012,процент,Павлодарская,сельское население,,39.1
2012,процент,Северо-Казахстанская,сельское население,,45.8
2012,процент,Восточно-Казахстанская,сельское население,,41.6
2012,процент,,,16-24,58.5
2012,процент,,,25-28,40.2
2012,процент,,,29-34,39.0
2012,процент,,,35-44,38.6
2012,процент,,,45-54,39.2
2012,процент,,,55-64,33.1
2012,процент,,,65 и старше,25.0
2012,процент,Акмолинская,,16-24,28.2
2012,процент,Акмолинская,,25-28,31.2
2012,процент,Акмолинская,,29-34,53.5
2012,процент,Акмолинская,,35-44,39.6
2012,процент,Акмолинская,,45-54,37.3
2012,процент,Акмолинская,,55-64,20.1
2012,процент,Актюбинская,,16-24,100.0
2012,процент,Актюбинская,,25-28,48.7
2012,процент,Актюбинская,,29-34,31.7
2012,процент,Актюбинская,,35-44,34.3
2012,процент,Актюбинская,,45-54,37.3
2012,процент,Актюбинская,,55-64,16.7
2012,процент,Алматинская,,16-24,40.0
2012,процент,Алматинская,,25-28,41.0
2012,процент,Алматинская,,29-34,45.1
2012,процент,Алматинская,,35-44,19.2
2012,процент,Алматинская,,45-54,28.7
2012,процент,Алматинская,,55-64,46.7
2012,процент,Атырауская,,16-24,78.9
2012,процент,Атырауская,,25-28,35.3
2012,процент,Атырауская,,29-34,24.8
2012,процент,Атырауская,,35-44,42.2
2012,процент,Атырауская,,45-54,25.9
2012,процент,Атырауская,,55-64,13.7
2012,процент,Атырауская,,65 и старше,0.0
2012,процент,Западно-Казахстанская,,29-34,11.7
2012,процент,Западно-Казахстанская,,35-44,15.5
2012,процент,Западно-Казахстанская,,45-54,26.8
2012,процент,Западно-Казахстанская,,55-64,31.6
2012,процент,Жымбылская,,16-24,36.6
2012,процент,Жымбылская,,25-28,54.2
2012,процент,Жымбылская,,29-34,24.9
2012,процент,Жымбылская,,35-44,28.7
2012,процент,Жымбылская,,45-54,53.3
2012,процент,Жымбылская,,55-64,21.5
2012,процент,Жымбылская,,65 и старше,100.0
2012,процент,Карагандинская,,16-24,82.0
2012,процент,Карагандинская,,25-28,33.0
2012,процент,Карагандинская,,29-34,45.5
2012,процент,Карагандинская,,35-44,47.5
2012,процент,Карагандинская,,45-54,42.1
2012,процент,Карагандинская,,55-64,35.3
2012,процент,Карагандинская,,65 и старше,54.4
2012,процент,Костанайская,,16-24,47.3
2012,процент,Костанайская,,25-28,54.0
2012,процент,Костанайская,,29-34,55.9
2012,процент,Костанайская,,35-44,43.3
2012,процент,Костанайская,,45-54,39.6
2012,процент,Костанайская,,55-64,15.1
2012,процент,Кызылординская,,16-24,0.0
2012,процент,Кызылординская,,25-28,21.3
2012,процент,Кызылординская,,29-34,46.9
2012,процент,Кызылординская,,35-44,33.3
2012,процент,Кызылординская,,45-54,28.2
2012,процент,Кызылординская,,55-64,37.0
2012,процент,Кызылординская,,65 и старше,0.0
2012,процент,Мангистауская,,16-24,100.0
2012,процент,Мангистауская,,25-28,52.6
2012,процент,Мангистауская,,29-34,36.4
2012,процент,Мангистауская,,35-44,38.0
2012,процент,Мангистауская,,45-54,56.6
2012,процент,Мангистауская,,55-64,33.0
2012,процент,Мангистауская,,65 и старше,0.0
2012,процент,Южно-Казахстанская,,16-24,68.7
2012,процент,Южно-Казахстанская,,25-28,43.3
2012,процент,Южно-Казахстанская,,29-34,56.3
2012,процент,Южно-Казахстанская,,35-44,17.9
2012,процент,Южно-Казахстанская,,45-54,23.4
2012,процент,Южно-Казахстанская,,55-64,31.1
2012,процент,Павлодарская,,16-24,27.6
2012,процент,Павлодарская,,25-28,29.1
2012,процент,Павлодарская,,29-34,29.6
2012,процент,Павлодарская,,35-44,23.5
2012,процент,Павлодарская,,45-54,38.6
2012,процент,Павлодарская,,55-64,35.9
2012,процент,Северо-Казахстанская,,16-24,76.4
2012,процент,Северо-Казахстанская,,25-28,18.3
2012,процент,Северо-Казахстанская,,29-34,37.3
2012,процент,Северо-Казахстанская,,35-44,33.2
2012,процент,Северо-Казахстанская,,45-54,46.5
2012,процент,Северо-Казахстанская,,55-64,62.8
2012,процент,Восточно-Казахстанская,,16-24,35.9
2012,процент,Восточно-Казахстанская,,25-28,38.0
2012,процент,Восточно-Казахстанская,,29-34,17.6
2012,процент,Восточно-Казахстанская,,35-44,31.9
2012,процент,Восточно-Казахстанская,,45-54,50.4
2012,процент,Восточно-Казахстанская,,55-64,43.0
2012,процент,г_Нур-Султан,,16-24,68.5
2012,процент,г_Нур-Султан,,25-28,38.7
2012,процент,г_Нур-Султан,,29-34,40.0
2012,процент,г_Нур-Султан,,35-44,48.8
2012,процент,г_Нур-Султан,,45-54,46.0
2012,процент,г_Нур-Султан,,55-64,43.8
2012,процент,г_Нур-Султан,,65 и старше,0.0
2012,процент,г_Алматы,,16-24,75.3
2012,процент,г_Алматы,,25-28,52.9
2012,процент,г_Алматы,,29-34,36.9
2012,процент,г_Алматы,,35-44,51.0
2012,процент,г_Алматы,,45-54,39.9
2012,процент,г_Алматы,,55-64,18.4
2013,процент,,,,38.3
2013,процент,Акмолинская,,,44.8
2013,процент,Актюбинская,,,27.2
2013,процент,Алматинская,,,45.6
2013,процент,Атырауская,,,28.9
2013,процент,Западно-Казахстанская,,,23.5
2013,процент,Жымбылская,,,27.0
2013,процент,Карагандинская,,,38.6
2013,процент,Костанайская,,,34.6
2013,процент,Кызылординская,,,30.9
2013,процент,Мангистауская,,,30.0
2013,процент,Южно-Казахстанская,,,32.5
2013,процент,Павлодарская,,,36.3
2013,процент,Северо-Казахстанская,,,27.5
2013,процент,Восточно-Казахстанская,,,35.5
2013,процент,г_Нур-Султан,,,48.0
2013,процент,г_Алматы,,,39.5
2013,процент,,Город,,38.9
2013,процент,Акмолинская,Город,,50.5
2013,процент,Актюбинская,Город,,23.8
2013,процент,Алматинская,Город,,46.3
2013,процент,Атырауская,Город,,31.9
2013,процент,Западно-Казахстанская,Город,,26.0
2013,процент,Жымбылская,Город,,29.9
2013,процент,Карагандинская,Город,,39.4
2013,процент,Костанайская,Город,,39.1
2013,процент,Кызылординская,Город,,31.7
2013,процент,Мангистауская,Город,,28.0
2013,процент,Южно-Казахстанская,Город,,29.4
2013,процент,Павлодарская,Город,,33.9
2013,процент,Северо-Казахстанская,Город,,29.4
2013,процент,Восточно-Казахстанская,Город,,40.1
2013,процент,г_Нур-Султан,Город,,48.0
2013,процент,г_Алматы,Город,,39.5
2013,процент,,сельское население,,37.0
2013,процент,Акмолинская,сельское население,,31.2
2013,процент,Актюбинская,сельское население,,54.4
2013,процент,Алматинская,сельское население,,45.3
2013,процент,Атырауская,сельское население,,18.0
2013,процент,Западно-Казахстанская,сельское население,,16.9
2013,процент,Жымбылская,сельское население,,10.1
2013,процент,Карагандинская,сельское население,,30.7
2013,процент,Костанайская,сельское население,,20.5
2013,процент,Кызылординская,сельское население,,29.4
2013,процент,Мангистауская,сельское население,,35.8
2013,процент,Южно-Казахстанская,сельское население,,34.8
2013,процент,Павлодарская,сельское население,,44.0
2013,процент,Северо-Казахстанская,сельское население,,23.9
2013,процент,Восточно-Казахстанская,сельское население,,29.1
2013,процент,,,16-24,42.0
2013,процент,,,25-28,41.6
2013,процент,,,29-34,38.4
2013,процент,,,35-44,39.3
2013,процент,,,45-54,38.4
2013,процент,,,55-64,30.0
2013,процент,,,65 и старше,17.5
2013,процент,Акмолинская,,16-24,69.1
2013,процент,Акмолинская,,25-28,61.2
2013,процент,Акмолинская,,29-34,64.4
2013,процент,Акмолинская,,35-44,32.9
2013,процент,Акмолинская,,45-54,41.0
2013,процент,Акмолинская,,55-64,40.7
2013,процент,Актюбинская,,16-24,6.7
2013,процент,Актюбинская,,25-28,33.6
2013,процент,Актюбинская,,29-34,15.6
2013,процент,Актюбинская,,35-44,41.9
2013,процент,Актюбинская,,45-54,24.5
2013,процент,Актюбинская,,55-64,29.1
2013,процент,Алматинская,,16-24,34.1
2013,процент,Алматинская,,25-28,70.6
2013,процент,Алматинская,,29-34,58.9
2013,процент,Алматинская,,35-44,43.7
2013,процент,Алматинская,,45-54,44.4
2013,процент,Алматинская,,55-64,39.5
2013,процент,Алматинская,,65 и старше,33.4
2013,процент,Атырауская,,16-24,47.4
2013,процент,Атырауская,,25-28,20.7
2013,процент,Атырауская,,29-34,61.7
2013,процент,Атырауская,,35-44,24.4
2013,процент,Атырауская,,45-54,28.7
2013,процент,Атырауская,,55-64,17.7
2013,процент,Атырауская,,65 и старше,0.0
2013,процент,Западно-Казахстанская,,16-24,0.0
2013,процент,Западно-Казахстанская,,25-28,80.4
2013,процент,Западно-Казахстанская,,29-34,0.0
2013,процент,Западно-Казахстанская,,35-44,30.4
2013,процент,Западно-Казахстанская,,45-54,26.8
2013,процент,Западно-Казахстанская,,55-64,17.7
2013,процент,Жымбылская,,16-24,0.0
2013,процент,Жымбылская,,25-28,28.1
2013,процент,Жымбылская,,29-34,21.0
2013,процент,Жымбылская,,35-44,31.7
2013,процент,Жымбылская,,45-54,29.6
2013,процент,Жымбылская,,55-64,24.6
2013,процент,Карагандинская,,16-24,53.1
2013,процент,Карагандинская,,25-28,31.1
2013,процент,Карагандинская,,29-34,30.1
2013,процент,Карагандинская,,35-44,44.5
2013,процент,Карагандинская,,45-54,45.0
2013,процент,Карагандинская,,55-64,22.8
2013,процент,Карагандинская,,65 и старше,26.8
2013,процент,Костанайская,,16-24,56.2
2013,процент,Костанайская,,25-28,44.3
2013,процент,Костанайская,,29-34,35.4
2013,процент,Костанайская,,35-44,27.3
2013,процент,Костанайская,,45-54,37.0
2013,процент,Костанайская,,55-64,17.6
2013,процент,Кызылординская,,16-24,0.0
2013,процент,Кызылординская,,25-28,0.0
2013,процент,Кызылординская,,29-34,35.1
2013,процент,Кызылординская,,35-44,34.6
2013,процент,Кызылординская,,45-54,26.8
2013,процент,Кызылординская,,55-64,44.9
2013,процент,Мангистауская,,16-24,0.0
2013,процент,Мангистауская,,25-28,10.3
2013,процент,Мангистауская,,29-34,24.7
2013,процент,Мангистауская,,35-44,43.5
2013,процент,Мангистауская,,45-54,28.1
2013,процент,Мангистауская,,55-64,12.1
2013,процент,Южно-Казахстанская,,16-24,32.6
2013,процент,Южно-Казахстанская,,25-28,3.0
2013,процент,Южно-Казахстанская,,29-34,47.2
2013,процент,Южно-Казахстанская,,35-44,34.9
2013,процент,Южно-Казахстанская,,45-54,32.3
2013,процент,Южно-Казахстанская,,55-64,26.7
2013,процент,Павлодарская,,16-24,45.9
2013,процент,Павлодарская,,25-28,17.2
2013,процент,Павлодарская,,29-34,41.9
2013,процент,Павлодарская,,35-44,34.4
2013,процент,Павлодарская,,45-54,47.6
2013,процент,Павлодарская,,55-64,31.2
2013,процент,Северо-Казахстанская,,16-24,0.0
2013,процент,Северо-Казахстанская,,25-28,51.7
2013,процент,Северо-Казахстанская,,29-34,13.2
2013,процент,Северо-Казахстанская,,35-44,22.5
2013,процент,Северо-Казахстанская,,45-54,34.3
2013,процент,Северо-Казахстанская,,55-64,33.4
2013,процент,Восточно-Казахстанская,,16-24,46.1
2013,процент,Восточно-Казахстанская,,25-28,23.5
2013,процент,Восточно-Казахстанская,,29-34,25.9
2013,процент,Восточно-Казахстанская,,35-44,43.0
2013,процент,Восточно-Казахстанская,,45-54,38.3
2013,процент,Восточно-Казахстанская,,55-64,37.8
2013,процент,г_Нур-Султан,,16-24,74.3
2013,процент,г_Нур-Султан,,25-28,42.8
2013,процент,г_Нур-Султан,,29-34,47.1
2013,процент,г_Нур-Султан,,35-44,46.3
2013,процент,г_Нур-Султан,,45-54,46.9
2013,процент,г_Нур-Султан,,55-64,27.7
2013,процент,г_Нур-Султан,,65 и старше,0.0
2013,процент,г_Алматы,,16-24,62.3
2013,процент,г_Алматы,,25-28,53.6
2013,процент,г_Алматы,,29-34,32.5
2013,процент,г_Алматы,,35-44,46.4
2013,процент,г_Алматы,,45-54,32.7
