Year,UNIT_MEASURE,Пол,Местность,Регионы,Value
2010,на 1000 родившихся,мальчики и девочки,сельское население,Акмолинская,17.4
2010,на 1000 родившихся,мальчики и девочки,сельское население,Актюбинская,19.93
2010,на 1000 родившихся,мальчики и девочки,сельское население,Алматинская,15.18
2010,на 1000 родившихся,мальчики и девочки,сельское население,Атырауская,22.07
2010,на 1000 родившихся,мальчики и девочки,сельское население,Западно-Казахстанская,19.6
2010,на 1000 родившихся,мальчики и девочки,сельское население,Жымбылская,19.82
2010,на 1000 родившихся,мальчики и девочки,сельское население,Карагандинская,18.03
2010,на 1000 родившихся,мальчики и девочки,сельское население,Костанайская,18.08
2010,на 1000 родившихся,мальчики и девочки,сельское население,Кызылординская,27.45
2010,на 1000 родившихся,мальчики и девочки,сельское население,Мангистауская,21.27
2010,на 1000 родившихся,мальчики и девочки,сельское население,Южно-Казахстанская,22.05
2010,на 1000 родившихся,мальчики и девочки,сельское население,Павлодарская,16.76
2010,на 1000 родившихся,мальчики и девочки,сельское население,Северо-Казахстанская,18.04
2010,на 1000 родившихся,мальчики и девочки,сельское население,Восточно-Казахстанская,23.51
2010,на 1000 родившихся,мужчины,,,21.76
2010,на 1000 родившихся,мужчины,,Акмолинская,19.91
2010,на 1000 родившихся,мужчины,,Актюбинская,22.31
2010,на 1000 родившихся,мужчины,,Алматинская,17.44
2010,на 1000 родившихся,мужчины,,Атырауская,20.66
2010,на 1000 родившихся,мужчины,,Западно-Казахстанская,17.91
2010,на 1000 родившихся,мужчины,,Жымбылская,23.26
2010,на 1000 родившихся,мужчины,,Карагандинская,19.52
2010,на 1000 родившихся,мужчины,,Костанайская,19.6
2010,на 1000 родившихся,мужчины,,Кызылординская,28.04
2010,на 1000 родившихся,мужчины,,Мангистауская,21.6
2010,на 1000 родившихся,мужчины,,Южно-Казахстанская,26.15
2010,на 1000 родившихся,мужчины,,Павлодарская,16.75
2010,на 1000 родившихся,мужчины,,Северо-Казахстанская,17.48
2010,на 1000 родившихся,мужчины,,Восточно-Казахстанская,24.66
2010,на 1000 родившихся,мужчины,,г_Нур-Султан,14.49
2010,на 1000 родившихся,мужчины,,г_Алматы,21.74
2010,на 1000 родившихся,мужчины,Город,,21.36
2010,на 1000 родившихся,мужчины,Город,Акмолинская,19.65
2010,на 1000 родившихся,мужчины,Город,Актюбинская,22.32
2010,на 1000 родившихся,мужчины,Город,Алматинская,22.09
2010,на 1000 родившихся,мужчины,Город,Атырауская,17.41
2010,на 1000 родившихся,мужчины,Город,Западно-Казахстанская,12.04
2010,на 1000 родившихся,мужчины,Город,Жымбылская,22.86
2010,на 1000 родившихся,мужчины,Город,Карагандинская,20.52
2010,на 1000 родившихся,мужчины,Город,Костанайская,15.9
2010,на 1000 родившихся,мужчины,Город,Кызылординская,28.48
2010,на 1000 родившихся,мужчины,Город,Мангистауская,21.84
2010,на 1000 родившихся,мужчины,Город,Южно-Казахстанская,28.55
2010,на 1000 родившихся,мужчины,Город,Павлодарская,15.25
2010,на 1000 родившихся,мужчины,Город,Северо-Казахстанская,15.32
2010,на 1000 родившихся,мужчины,Город,Восточно-Казахстанская,22.69
2010,на 1000 родившихся,мужчины,Город,г_Нур-Султан,14.49
2010,на 1000 родившихся,мужчины,Город,г_Алматы,21.74
2010,на 1000 родившихся,мужчины,сельское население,,22.2
2010,на 1000 родившихся,мужчины,сельское население,Акмолинская,20.22
2010,на 1000 родившихся,мужчины,сельское население,Актюбинская,22.28
2010,на 1000 родившихся,мужчины,сельское население,Алматинская,15.91
2010,на 1000 родившихся,мужчины,сельское население,Атырауская,24.27
2010,на 1000 родившихся,мужчины,сельское население,Западно-Казахстанская,24.47
2010,на 1000 родившихся,мужчины,сельское население,Жымбылская,23.51
2010,на 1000 родившихся,мужчины,сельское население,Карагандинская,16.06
2010,на 1000 родившихся,мужчины,сельское население,Костанайская,23.58
2010,на 1000 родившихся,мужчины,сельское население,Кызылординская,27.69
2010,на 1000 родившихся,мужчины,сельское население,Мангистауская,21.37
2010,на 1000 родившихся,мужчины,сельское население,Южно-Казахстанская,24.66
2010,на 1000 родившихся,мужчины,сельское население,Павлодарская,19.8
2010,на 1000 родившихся,мужчины,сельское население,Северо-Казахстанская,19.08
2010,на 1000 родившихся,мужчины,сельское население,Восточно-Казахстанская,27.1
2010,на 1000 родившихся,женщины,,,17.21
2010,на 1000 родившихся,женщины,,Акмолинская,13.86
2010,на 1000 родившихся,женщины,,Актюбинская,16.45
2010,на 1000 родившихся,женщины,,Алматинская,14.6
2010,на 1000 родившихся,женщины,,Атырауская,18.84
2010,на 1000 родившихся,женщины,,Западно-Казахстанская,16.38
2010,на 1000 родившихся,женщины,,Жымбылская,17.54
2010,на 1000 родившихся,женщины,,Карагандинская,14.99
2010,на 1000 родившихся,женщины,,Костанайская,13.15
2010,на 1000 родившихся,женщины,,Кызылординская,24.78
2010,на 1000 родившихся,женщины,,Мангистауская,21.69
2010,на 1000 родившихся,женщины,,Южно-Казахстанская,19.69
2010,на 1000 родившихся,женщины,,Павлодарская,13.24
2010,на 1000 родившихся,женщины,,Северо-Казахстанская,15.26
2010,на 1000 родившихся,женщины,,Восточно-Казахстанская,19.77
2010,на 1000 родившихся,женщины,,г_Нур-Султан,10.75
2010,на 1000 родившихся,женщины,,г_Алматы,15.71
2010,на 1000 родившихся,женщины,Город,,16.68
2010,на 1000 родившихся,женщины,Город,Акмолинская,13.37
2010,на 1000 родившихся,женщины,Город,Актюбинская,15.82
2010,на 1000 родившихся,женщины,Город,Алматинская,15.12
2010,на 1000 родившихся,женщины,Город,Атырауская,18.0
2010,на 1000 родившихся,женщины,Город,Западно-Казахстанская,18.14
2010,на 1000 родившихся,женщины,Город,Жымбылская,20.27
2010,на 1000 родившихся,женщины,Город,Карагандинская,13.54
2010,на 1000 родившихся,женщины,Город,Костанайская,14.04
2010,на 1000 родившихся,женщины,Город,Кызылординская,21.82
2010,на 1000 родившихся,женщины,Город,Мангистауская,22.24
2010,на 1000 родившихся,женщины,Город,Южно-Казахстанская,20.31
2010,на 1000 родившихся,женщины,Город,Павлодарская,13.07
2010,на 1000 родившихся,женщины,Город,Северо-Казахстанская,13.06
2010,на 1000 родившихся,женщины,Город,Восточно-Казахстанская,19.86
2010,на 1000 родившихся,женщины,Город,г_Нур-Султан,10.75
2010,на 1000 родившихся,женщины,Город,г_Алматы,15.71
2010,на 1000 родившихся,женщины,сельское население,,17.8
2010,на 1000 родившихся,женщины,сельское население,Акмолинская,14.41
2010,на 1000 родившихся,женщины,сельское население,Актюбинская,17.46
2010,на 1000 родившихся,женщины,сельское население,Алматинская,14.42
2010,на 1000 родившихся,женщины,сельское население,Атырауская,19.76
2010,на 1000 родившихся,женщины,сельское население,Западно-Казахстанская,14.29
2010,на 1000 родившихся,женщины,сельское население,Жымбылская,15.92
2010,на 1000 родившихся,женщины,сельское население,Карагандинская,20.11
2010,на 1000 родившихся,женщины,сельское население,Костанайская,12.22
2010,на 1000 родившихся,женщины,сельское население,Кызылординская,27.2
2010,на 1000 родившихся,женщины,сельское население,Мангистауская,21.16
2010,на 1000 родившихся,женщины,сельское население,Южно-Казахстанская,19.31
2010,на 1000 родившихся,женщины,сельское население,Павлодарская,13.59
2010,на 1000 родившихся,женщины,сельское население,Северо-Казахстанская,16.93
2010,на 1000 родившихся,женщины,сельское население,Восточно-Казахстанская,19.66
2011,на 1000 родившихся,мальчики и девочки,,,17.99
2011,на 1000 родившихся,мальчики и девочки,,Акмолинская,18.3
2011,на 1000 родившихся,мальчики и девочки,,Актюбинская,14.22
2011,на 1000 родившихся,мальчики и девочки,,Алматинская,15.08
2011,на 1000 родившихся,мальчики и девочки,,Атырауская,19.33
2011,на 1000 родившихся,мальчики и девочки,,Западно-Казахстанская,14.54
2011,на 1000 родившихся,мальчики и девочки,,Жымбылская,18.9
2011,на 1000 родившихся,мальчики и девочки,,Карагандинская,13.5
2011,на 1000 родившихся,мальчики и девочки,,Костанайская,16.24
2011,на 1000 родившихся,мальчики и девочки,,Кызылординская,23.61
2011,на 1000 родившихся,мальчики и девочки,,Мангистауская,20.22
2011,на 1000 родившихся,мальчики и девочки,,Южно-Казахстанская,20.66
2011,на 1000 родившихся,мальчики и девочки,,Павлодарская,15.49
2011,на 1000 родившихся,мальчики и девочки,,Северо-Казахстанская,15.0
2011,на 1000 родившихся,мальчики и девочки,,Восточно-Казахстанская,21.28
2011,на 1000 родившихся,мальчики и девочки,,г_Нур-Султан,12.82
2011,на 1000 родившихся,мальчики и девочки,,г_Алматы,19.45
2011,на 1000 родившихся,мальчики и девочки,Город,,17.88
2011,на 1000 родившихся,мальчики и девочки,Город,Акмолинская,20.27
2011,на 1000 родившихся,мальчики и девочки,Город,Актюбинская,12.98
2011,на 1000 родившихся,мальчики и девочки,Город,Алматинская,15.98
2011,на 1000 родившихся,мальчики и девочки,Город,Атырауская,17.69
2011,на 1000 родившихся,мальчики и девочки,Город,Западно-Казахстанская,12.58
2011,на 1000 родившихся,мальчики и девочки,Город,Жымбылская,20.66
2011,на 1000 родившихся,мальчики и девочки,Город,Карагандинская,12.52
2011,на 1000 родившихся,мальчики и девочки,Город,Костанайская,14.76
2011,на 1000 родившихся,мальчики и девочки,Город,Кызылординская,21.54
2011,на 1000 родившихся,мальчики и девочки,Город,Мангистауская,19.97
2011,на 1000 родившихся,мальчики и девочки,Город,Южно-Казахстанская,24.63
2011,на 1000 родившихся,мальчики и девочки,Город,Павлодарская,14.1
2011,на 1000 родившихся,мальчики и девочки,Город,Северо-Казахстанская,14.19
2011,на 1000 родившихся,мальчики и девочки,Город,Восточно-Казахстанская,19.94
2011,на 1000 родившихся,мальчики и девочки,Город,г_Нур-Султан,12.82
2011,на 1000 родившихся,мальчики и девочки,Город,г_Алматы,19.45
2011,на 1000 родившихся,мальчики и девочки,сельское население,,18.12
2011,на 1000 родившихся,мальчики и девочки,сельское население,Акмолинская,16.16
2011,на 1000 родившихся,мальчики и девочки,сельское население,Актюбинская,16.39
2011,на 1000 родившихся,мальчики и девочки,сельское население,Алматинская,14.79
2011,на 1000 родившихся,мальчики и девочки,сельское население,Атырауская,20.97
2011,на 1000 родившихся,мальчики и девочки,сельское население,Западно-Казахстанская,16.86
2011,на 1000 родившихся,мальчики и девочки,сельское население,Жымбылская,17.79
2011,на 1000 родившихся,мальчики и девочки,сельское население,Карагандинская,17.12
2011,на 1000 родившихся,мальчики и девочки,сельское население,Костанайская,17.89
2011,на 1000 родившихся,мальчики и девочки,сельское население,Кызылординская,25.37
2011,на 1000 родившихся,мальчики и девочки,сельское население,Мангистауская,20.46
2011,на 1000 родившихся,мальчики и девочки,сельское население,Южно-Казахстанская,18.12
2011,на 1000 родившихся,мальчики и девочки,сельское население,Павлодарская,18.31
2011,на 1000 родившихся,мальчики и девочки,сельское население,Северо-Казахстанская,15.63
2011,на 1000 родившихся,мальчики и девочки,сельское население,Восточно-Казахстанская,23.17
2011,на 1000 родившихся,мужчины,,,20.04
2011,на 1000 родившихся,мужчины,,Акмолинская,20.89
2011,на 1000 родившихся,мужчины,,Актюбинская,16.72
2011,на 1000 родившихся,мужчины,,Алматинская,17.29
2011,на 1000 родившихся,мужчины,,Атырауская,21.68
2011,на 1000 родившихся,мужчины,,Западно-Казахстанская,15.11
2011,на 1000 родившихся,мужчины,,Жымбылская,20.35
2011,на 1000 родившихся,мужчины,,Карагандинская,16.0
2011,на 1000 родившихся,мужчины,,Костанайская,18.69
2011,на 1000 родившихся,мужчины,,Кызылординская,26.77
2011,на 1000 родившихся,мужчины,,Мангистауская,21.58
2011,на 1000 родившихся,мужчины,,Южно-Казахстанская,22.53
2011,на 1000 родившихся,мужчины,,Павлодарская,16.26
2011,на 1000 родившихся,мужчины,,Северо-Казахстанская,18.25
2011,на 1000 родившихся,мужчины,,Восточно-Казахстанская,24.62
2011,на 1000 родившихся,мужчины,,г_Нур-Султан,13.11
2011,на 1000 родившихся,мужчины,,г_Алматы,21.45
2011,на 1000 родившихся,мужчины,Город,,20.2
2011,на 1000 родившихся,мужчины,Город,Акмолинская,23.29
2011,на 1000 родившихся,мужчины,Город,Актюбинская,15.78
2011,на 1000 родившихся,мужчины,Город,Алматинская,18.63
2011,на 1000 родившихся,мужчины,Город,Атырауская,21.04
2011,на 1000 родившихся,мужчины,Город,Западно-Казахстанская,12.2
2011,на 1000 родившихся,мужчины,Город,Жымбылская,22.97
2011,на 1000 родившихся,мужчины,Город,Карагандинская,15.33
2011,на 1000 родившихся,мужчины,Город,Костанайская,16.83
2011,на 1000 родившихся,мужчины,Город,Кызылординская,22.65
2011,на 1000 родившихся,мужчины,Город,Мангистауская,22.35
2011,на 1000 родившихся,мужчины,Город,Южно-Казахстанская,27.75
2011,на 1000 родившихся,мужчины,Город,Павлодарская,16.53
2011,на 1000 родившихся,мужчины,Город,Северо-Казахстанская,18.55
2011,на 1000 родившихся,мужчины,Город,Восточно-Казахстанская,22.99
2011,на 1000 родившихся,мужчины,Город,г_Нур-Султан,13.11
2011,на 1000 родившихся,мужчины,Город,г_Алматы,21.45
2011,на 1000 родившихся,мужчины,сельское население,,19.85
2011,на 1000 родившихся,мужчины,сельское население,Акмолинская,18.15
2011,на 1000 родившихся,мужчины,сельское население,Актюбинская,18.43
2011,на 1000 родившихся,мужчины,сельское население,Алматинская,16.84
2011,на 1000 родившихся,мужчины,сельское население,Атырауская,22.3
2011,на 1000 родившихся,мужчины,сельское население,Западно-Казахстанская,18.62
2011,на 1000 родившихся,мужчины,сельское население,Жымбылская,18.69
2011,на 1000 родившихся,мужчины,сельское население,Карагандинская,18.48
2011,на 1000 родившихся,мужчины,сельское население,Костанайская,20.82
2011,на 1000 родившихся,мужчины,сельское население,Кызылординская,30.28
2011,на 1000 родившихся,мужчины,сельское население,Мангистауская,20.84
2011,на 1000 родившихся,мужчины,сельское население,Южно-Казахстанская,19.23
2011,на 1000 родившихся,мужчины,сельское население,Павлодарская,15.73
2011,на 1000 родившихся,мужчины,сельское население,Северо-Казахстанская,18.01
2011,на 1000 родившихся,мужчины,сельское население,Восточно-Казахстанская,26.93
2011,на 1000 родившихся,женщины,,,15.82
2011,на 1000 родившихся,женщины,,Акмолинская,15.49
2011,на 1000 родившихся,женщины,,Актюбинская,11.58
2011,на 1000 родившихся,женщины,,Алматинская,12.76
2011,на 1000 родившихся,женщины,,Атырауская,16.83
2011,на 1000 родившихся,женщины,,Западно-Казахстанская,13.93
2011,на 1000 родившихся,женщины,,Жымбылская,17.36
2011,на 1000 родившихся,женщины,,Карагандинская,10.91
2011,на 1000 родившихся,женщины,,Костанайская,13.71
2011,на 1000 родившихся,женщины,,Кызылординская,20.24
2011,на 1000 родившихся,женщины,,Мангистауская,18.75
2011,на 1000 родившихся,женщины,,Южно-Казахстанская,18.67
2011,на 1000 родившихся,женщины,,Павлодарская,14.67
2011,на 1000 родившихся,женщины,,Северо-Казахстанская,11.5
2011,на 1000 родившихся,женщины,,Восточно-Казахстанская,17.73
2011,на 1000 родившихся,женщины,,г_Нур-Султан,12.51
2011,на 1000 родившихся,женщины,,г_Алматы,17.27
2011,на 1000 родившихся,женщины,Город,,15.41
2011,на 1000 родившихся,женщины,Город,Акмолинская,16.82
2011,на 1000 родившихся,женщины,Город,Актюбинская,9.95
2011,на 1000 родившихся,женщины,Город,Алматинская,13.15
2011,на 1000 родившихся,женщины,Город,Атырауская,14.26
2011,на 1000 родившихся,женщины,Город,Западно-Казахстанская,12.99
2011,на 1000 родившихся,женщины,Город,Жымбылская,18.19
2011,на 1000 родившихся,женщины,Город,Карагандинская,9.61
2011,на 1000 родившихся,женщины,Город,Костанайская,12.58
2011,на 1000 родившихся,женщины,Город,Кызылординская,20.36
2011,на 1000 родившихся,женщины,Город,Мангистауская,17.48
2011,на 1000 родившихся,женщины,Город,Южно-Казахстанская,21.35
2011,на 1000 родившихся,женщины,Город,Павлодарская,11.56
2011,на 1000 родившихся,женщины,Город,Северо-Казахстанская,9.39
2011,на 1000 родившихся,женщины,Город,Восточно-Казахстанская,16.68
2011,на 1000 родившихся,женщины,Город,г_Нур-Султан,12.51
2011,на 1000 родившихся,женщины,Город,г_Алматы,17.27
2011,на 1000 родившихся,женщины,сельское население,,16.28
2011,на 1000 родившихся,женщины,сельское население,Акмолинская,14.1
2011,на 1000 родившихся,женщины,сельское население,Актюбинская,14.33
2011,на 1000 родившихся,женщины,сельское население,Алматинская,12.63
2011,на 1000 родившихся,женщины,сельское население,Атырауская,19.51
2011,на 1000 родившихся,женщины,сельское население,Западно-Казахстанская,15.02
2011,на 1000 родившихся,женщины,сельское население,Жымбылская,16.84
2011,на 1000 родившихся,женщины,сельское население,Карагандинская,15.7
2011,на 1000 родившихся,женщины,сельское население,Костанайская,14.95
2011,на 1000 родившихся,женщины,сельское население,Кызылординская,20.13
2011,на 1000 родившихся,женщины,сельское население,Мангистауская,20.04
2011,на 1000 родившихся,женщины,сельское население,Южно-Казахстанская,16.94
2011,на 1000 родившихся,женщины,сельское население,Павлодарская,21.14
2011,на 1000 родившихся,женщины,сельское население,Северо-Казахстанская,13.12
2011,на 1000 родившихся,женщины,сельское население,Восточно-Казахстанская,19.19
2012,на 1000 родившихся,мальчики и девочки,,,16.36
2012,на 1000 родившихся,мальчики и девочки,,Акмолинская,13.84
2012,на 1000 родившихся,мальчики и девочки,,Актюбинская,16.3
2012,на 1000 родившихся,мальчики и девочки,,Алматинская,14.55
2012,на 1000 родившихся,мальчики и девочки,,Атырауская,19.12
2012,на 1000 родившихся,мальчики и девочки,,Западно-Казахстанская,11.99
2012,на 1000 родившихся,мальчики и девочки,,Жымбылская,17.06
2012,на 1000 родившихся,мальчики и девочки,,Карагандинская,14.53
2012,на 1000 родившихся,мальчики и девочки,,Костанайская,17.01
2012,на 1000 родившихся,мальчики и девочки,,Кызылординская,24.28
2012,на 1000 родившихся,мальчики и девочки,,Мангистауская,15.98
2012,на 1000 родившихся,мальчики и девочки,,Южно-Казахстанская,18.49
2012,на 1000 родившихся,мальчики и девочки,,Павлодарская,10.88
2012,на 1000 родившихся,мальчики и девочки,,Северо-Казахстанская,13.07
2012,на 1000 родившихся,мальчики и девочки,,Восточно-Казахстанская,18.3
2012,на 1000 родившихся,мальчики и девочки,,г_Нур-Султан,13.26
2012,на 1000 родившихся,мальчики и девочки,,г_Алматы,14.08
2012,на 1000 родившихся,мальчики и девочки,Город,,15.74
2012,на 1000 родившихся,мальчики и девочки,Город,Акмолинская,15.66
2012,на 1000 родившихся,мальчики и девочки,Город,Актюбинская,17.55
2012,на 1000 родившихся,мальчики и девочки,Город,Алматинская,13.93
2012,на 1000 родившихся,мальчики и девочки,Город,Атырауская,19.69
2012,на 1000 родившихся,мальчики и девочки,Город,Западно-Казахстанская,8.9
2012,на 1000 родившихся,мальчики и девочки,Город,Жымбылская,15.61
2012,на 1000 родившихся,мальчики и девочки,Город,Карагандинская,14.4
2012,на 1000 родившихся,мальчики и девочки,Город,Костанайская,15.36
2012,на 1000 родившихся,мальчики и девочки,Город,Кызылординская,21.36
2012,на 1000 родившихся,мальчики и девочки,Город,Мангистауская,14.89
2012,на 1000 родившихся,мальчики и девочки,Город,Южно-Казахстанская,19.46
2012,на 1000 родившихся,мальчики и девочки,Город,Павлодарская,10.1
2012,на 1000 родившихся,мальчики и девочки,Город,Северо-Казахстанская,13.02
2012,на 1000 родившихся,мальчики и девочки,Город,Восточно-Казахстанская,18.12
2012,на 1000 родившихся,мальчики и девочки,Город,г_Нур-Султан,13.26
2012,на 1000 родившихся,мальчики и девочки,Город,г_Алматы,14.08
2012,на 1000 родившихся,мальчики и девочки,сельское население,,17.1
2012,на 1000 родившихся,мальчики и девочки,сельское население,Акмолинская,11.89
2012,на 1000 родившихся,мальчики и девочки,сельское население,Актюбинская,14.03
2012,на 1000 родившихся,мальчики и девочки,сельское население,Алматинская,14.75
2012,на 1000 родившихся,мальчики и девочки,сельское население,Атырауская,18.51
2012,на 1000 родившихся,мальчики и девочки,сельское население,Западно-Казахстанская,15.8
2012,на 1000 родившихся,мальчики и девочки,сельское население,Жымбылская,18.05
2012,на 1000 родившихся,мальчики и девочки,сельское население,Карагандинская,14.98
2012,на 1000 родившихся,мальчики и девочки,сельское население,Костанайская,19.04
2012,на 1000 родившихся,мальчики и девочки,сельское население,Кызылординская,26.8
2012,на 1000 родившихся,мальчики и девочки,сельское население,Мангистауская,16.96
2012,на 1000 родившихся,мальчики и девочки,сельское население,Южно-Казахстанская,17.85
2012,на 1000 родившихся,мальчики и девочки,сельское население,Павлодарская,12.58
2012,на 1000 родившихся,мальчики и девочки,сельское население,Северо-Казахстанская,13.11
2012,на 1000 родившихся,мальчики и девочки,сельское население,Восточно-Казахстанская,18.59
2012,на 1000 родившихся,мужчины,,,18.2
2012,на 1000 родившихся,мужчины,,Акмолинская,15.0
2012,на 1000 родившихся,мужчины,,Актюбинская,16.81
2012,на 1000 родившихся,мужчины,,Алматинская,17.49
2012,на 1000 родившихся,мужчины,,Атырауская,19.82
2012,на 1000 родившихся,мужчины,,Западно-Казахстанская,15.23
2012,на 1000 родившихся,мужчины,,Жымбылская,19.62
2012,на 1000 родившихся,мужчины,,Карагандинская,16.17
2012,на 1000 родившихся,мужчины,,Костанайская,20.03
2012,на 1000 родившихся,мужчины,,Кызылординская,27.42
2012,на 1000 родившихся,мужчины,,Мангистауская,16.98
2012,на 1000 родившихся,мужчины,,Южно-Казахстанская,20.19
2012,на 1000 родившихся,мужчины,,Павлодарская,12.09
2012,на 1000 родившихся,мужчины,,Северо-Казахстанская,14.57
2012,на 1000 родившихся,мужчины,,Восточно-Казахстанская,19.99
2012,на 1000 родившихся,мужчины,,г_Нур-Султан,14.33
2012,на 1000 родившихся,мужчины,,г_Алматы,15.08
2012,на 1000 родившихся,мужчины,Город,,17.37
2012,на 1000 родившихся,мужчины,Город,Акмолинская,17.75
2012,на 1000 родившихся,мужчины,Город,Актюбинская,18.32
2012,на 1000 родившихся,мужчины,Город,Алматинская,15.99
2012,на 1000 родившихся,мужчины,Город,Атырауская,21.13
2012,на 1000 родившихся,мужчины,Город,Западно-Казахстанская,11.84
2012,на 1000 родившихся,мужчины,Город,Жымбылская,16.51
2012,на 1000 родившихся,мужчины,Город,Карагандинская,16.37
2012,на 1000 родившихся,мужчины,Город,Костанайская,18.16
2012,на 1000 родившихся,мужчины,Город,Кызылординская,24.73
2012,на 1000 родившихся,мужчины,Город,Мангистауская,14.81
2012,на 1000 родившихся,мужчины,Город,Южно-Казахстанская,21.88
2012,на 1000 родившихся,мужчины,Город,Павлодарская,11.7
2012,на 1000 родившихся,мужчины,Город,Северо-Казахстанская,12.65
2012,на 1000 родившихся,мужчины,Город,Восточно-Казахстанская,19.47
2012,на 1000 родившихся,мужчины,Город,г_Нур-Султан,14.33
2012,на 1000 родившихся,мужчины,Город,г_Алматы,15.08
2012,на 1000 родившихся,мужчины,сельское население,,19.18
2012,на 1000 родившихся,мужчины,сельское население,Акмолинская,12.1
2012,на 1000 родившихся,мужчины,сельское население,Актюбинская,14.06
2012,на 1000 родившихся,мужчины,сельское население,Алматинская,17.99
2012,на 1000 родившихся,мужчины,сельское население,Атырауская,18.42
2012,на 1000 родившихся,мужчины,сельское население,Западно-Казахстанская,19.38
2012,на 1000 родившихся,мужчины,сельское население,Жымбылская,21.7
2012,на 1000 родившихся,мужчины,сельское население,Карагандинская,15.46
2012,на 1000 родившихся,мужчины,сельское население,Костанайская,22.29
2012,на 1000 родившихся,мужчины,сельское население,Кызылординская,29.71
2012,на 1000 родившихся,мужчины,сельское население,Мангистауская,18.94
2012,на 1000 родившихся,мужчины,сельское население,Южно-Казахстанская,19.07
2012,на 1000 родившихся,мужчины,сельское население,Павлодарская,12.91
2012,на 1000 родившихся,мужчины,сельское население,Северо-Казахстанская,16.2
2012,на 1000 родившихся,мужчины,сельское население,Восточно-Казахстанская,20.82
2012,на 1000 родившихся,женщины,,,14.42
2012,на 1000 родившихся,женщины,,Акмолинская,12.65
2012,на 1000 родившихся,женщины,,Актюбинская,15.74
2012,на 1000 родившихся,женщины,,Алматинская,11.51
2012,на 1000 родившихся,женщины,,Атырауская,18.38
2012,на 1000 родившихся,женщины,,Западно-Казахстанская,8.51
2012,на 1000 родившихся,женщины,,Жымбылская,14.4
2012,на 1000 родившихся,женщины,,Карагандинская,12.78
2012,на 1000 родившихся,женщины,,Костанайская,13.91
2012,на 1000 родившихся,женщины,,Кызылординская,20.87
2012,на 1000 родившихся,женщины,,Мангистауская,14.94
2012,на 1000 родившихся,женщины,,Южно-Казахстанская,16.67
2012,на 1000 родившихся,женщины,,Павлодарская,9.6
2012,на 1000 родившихся,женщины,,Северо-Казахстанская,11.51
2012,на 1000 родившихся,женщины,,Восточно-Казахстанская,16.55
2012,на 1000 родившихся,женщины,,г_Нур-Султан,12.13
2012,на 1000 родившихся,женщины,,г_Алматы,13.03
2012,на 1000 родившихся,женщины,Город,,14.02
2012,на 1000 родившихся,женщины,Город,Акмолинская,13.55
2012,на 1000 родившихся,женщины,Город,Актюбинская,16.71
2012,на 1000 родившихся,женщины,Город,Алматинская,11.81
2012,на 1000 родившихся,женщины,Город,Атырауская,18.18
2012,на 1000 родившихся,женщины,Город,Западно-Казахстанская,5.74
