Year,UNIT_MEASURE,Пол,Местность,SERIES,Регионы,Value
2011,процент,,Город,"3,2 долларов США по ППС в  день",г_Нур-Султан,0.1
2011,процент,,Город,"3,2 долларов США по ППС в  день",г_Алматы,0.1
2011,процент,,Город,"5,5 долларов США по ППС в  день",Акмолинская,10.6
2011,процент,,Город,"5,5 долларов США по ППС в  день",Актюбинская,8.3
2011,процент,,Город,"5,5 долларов США по ППС в  день",Алматинская,5.3
2011,процент,,Город,"5,5 долларов США по ППС в  день",Атырауская,1.4
2011,процент,,Город,"5,5 долларов США по ППС в  день",Западно-Казахстанская,11.6
2011,процент,,Город,"5,5 долларов США по ППС в  день",Жымбылская,20.3
2011,процент,,Город,"5,5 долларов США по ППС в  день",Карагандинская,7.4
2011,процент,,Город,"5,5 долларов США по ППС в  день",Костанайская,9.8
2011,процент,,Город,"5,5 долларов США по ППС в  день",Кызылординская,7.8
2011,процент,,Город,"5,5 долларов США по ППС в  день",Мангистауская,2.0
2011,процент,,Город,"5,5 долларов США по ППС в  день",Южно-Казахстанская,20.9
2011,процент,,Город,"5,5 долларов США по ППС в  день",Павлодарская,12.7
2011,процент,,Город,"5,5 долларов США по ППС в  день",Северо-Казахстанская,13.9
2011,процент,,Город,"5,5 долларов США по ППС в  день",Восточно-Казахстанская,11.5
2011,процент,,Город,"5,5 долларов США по ППС в  день",г_Нур-Султан,1.7
2011,процент,,Город,"5,5 долларов США по ППС в  день",г_Алматы,2.0
2011,процент,,сельское население,"1,9 долларов США по ППС в  день",Акмолинская,0.3
2011,процент,,сельское население,"1,9 долларов США по ППС в  день",Карагандинская,0.2
2011,процент,,сельское население,"1,9 долларов США по ППС в  день",Костанайская,0.1
2011,процент,,сельское население,"1,9 долларов США по ППС в  день",Южно-Казахстанская,0.5
2011,процент,,сельское население,"1,9 долларов США по ППС в  день",Павлодарская,0.6
2011,процент,,сельское население,"1,9 долларов США по ППС в  день",Северо-Казахстанская,0.3
2011,процент,,сельское население,"1,9 долларов США по ППС в  день",Восточно-Казахстанская,0.4
2011,процент,,сельское население,"3,2 долларов США по ППС в  день",Акмолинская,3.4
2011,процент,,сельское население,"3,2 долларов США по ППС в  день",Актюбинская,2.0
2011,процент,,сельское население,"3,2 долларов США по ППС в  день",Алматинская,0.1
2011,процент,,сельское население,"3,2 долларов США по ППС в  день",Атырауская,0.2
2011,процент,,сельское население,"3,2 долларов США по ППС в  день",Западно-Казахстанская,1.5
2011,процент,,сельское население,"3,2 долларов США по ППС в  день",Жымбылская,0.4
2011,процент,,сельское население,"3,2 долларов США по ППС в  день",Карагандинская,3.1
2011,процент,,сельское население,"3,2 долларов США по ППС в  день",Костанайская,2.3
2011,процент,,сельское население,"3,2 долларов США по ППС в  день",Кызылординская,1.0
2011,процент,,сельское население,"3,2 долларов США по ППС в  день",Мангистауская,0.2
2011,процент,,сельское население,"3,2 долларов США по ППС в  день",Южно-Казахстанская,3.5
2011,процент,,сельское население,"3,2 долларов США по ППС в  день",Павлодарская,3.7
2011,процент,,сельское население,"3,2 долларов США по ППС в  день",Северо-Казахстанская,5.0
2011,процент,,сельское население,"3,2 долларов США по ППС в  день",Восточно-Казахстанская,4.2
2011,процент,,сельское население,"5,5 долларов США по ППС в  день",Акмолинская,16.2
2011,процент,,сельское население,"5,5 долларов США по ППС в  день",Актюбинская,20.9
2011,процент,,сельское население,"5,5 долларов США по ППС в  день",Алматинская,6.4
2011,процент,,сельское население,"5,5 долларов США по ППС в  день",Атырауская,10.7
2011,процент,,сельское население,"5,5 долларов США по ППС в  день",Западно-Казахстанская,28.8
2011,процент,,сельское население,"5,5 долларов США по ППС в  день",Жымбылская,27.1
2011,процент,,сельское население,"5,5 долларов США по ППС в  день",Карагандинская,22.9
2011,процент,,сельское население,"5,5 долларов США по ППС в  день",Костанайская,21.4
2011,процент,,сельское население,"5,5 долларов США по ППС в  день",Кызылординская,16.6
2011,процент,,сельское население,"5,5 долларов США по ППС в  день",Мангистауская,7.3
2011,процент,,сельское население,"5,5 долларов США по ППС в  день",Южно-Казахстанская,40.4
2011,процент,,сельское население,"5,5 долларов США по ППС в  день",Павлодарская,26.3
2011,процент,,сельское население,"5,5 долларов США по ППС в  день",Северо-Казахстанская,27.5
2011,процент,,сельское население,"5,5 долларов США по ППС в  день",Восточно-Казахстанская,26.5
2012,процент,,,"1,9 долларов США по ППС в  день",,0.0
2012,процент,,,"3,2 долларов США по ППС в  день",,1.0
2012,процент,,,"5,5 долларов США по ППС в  день",,17.7
2012,процент,мужчины,,"1,9 долларов США по ППС в  день",,0.0
2012,процент,мужчины,,"3,2 долларов США по ППС в  день",,1.1
2012,процент,мужчины,,"5,5 долларов США по ППС в  день",,18.4
2012,процент,женщины,,"1,9 долларов США по ППС в  день",,0.0
2012,процент,женщины,,"3,2 долларов США по ППС в  день",,1.0
2012,процент,женщины,,"5,5 долларов США по ППС в  день",,17.1
2012,процент,,Город,"1,9 долларов США по ППС в  день",,0.0
2012,процент,,Город,"3,2 долларов США по ППС в  день",,0.5
2012,процент,,Город,"5,5 долларов США по ППС в  день",,11.6
2012,процент,,сельское население,"1,9 долларов США по ППС в  день",,0.1
2012,процент,,сельское население,"3,2 долларов США по ППС в  день",,1.7
2012,процент,,сельское население,"5,5 долларов США по ППС в  день",,25.1
2012,процент,,,"1,9 долларов США по ППС в  день",Акмолинская,0.3
2012,процент,,,"1,9 долларов США по ППС в  день",Алматинская,0.1
2012,процент,,,"1,9 долларов США по ППС в  день",Жымбылская,0.1
2012,процент,,,"1,9 долларов США по ППС в  день",Костанайская,0.1
2012,процент,,,"1,9 долларов США по ППС в  день",Южно-Казахстанская,0.0
2012,процент,,,"1,9 долларов США по ППС в  день",Павлодарская,0.0
2012,процент,,,"1,9 долларов США по ППС в  день",Северо-Казахстанская,0.1
2012,процент,,,"1,9 долларов США по ППС в  день",Восточно-Казахстанская,0.0
2012,процент,,,"3,2 долларов США по ППС в  день",Акмолинская,1.5
2012,процент,,,"3,2 долларов США по ППС в  день",Актюбинская,0.7
2012,процент,,,"3,2 долларов США по ППС в  день",Алматинская,0.4
2012,процент,,,"3,2 долларов США по ППС в  день",Западно-Казахстанская,0.4
2012,процент,,,"3,2 долларов США по ППС в  день",Жымбылская,2.3
2012,процент,,,"3,2 долларов США по ППС в  день",Карагандинская,0.7
2012,процент,,,"3,2 долларов США по ППС в  день",Костанайская,0.9
2012,процент,,,"3,2 долларов США по ППС в  день",Кызылординская,0.5
2012,процент,,,"3,2 долларов США по ППС в  день",Мангистауская,0.0
2012,процент,,,"3,2 долларов США по ППС в  день",Южно-Казахстанская,2.2
2012,процент,,,"3,2 долларов США по ППС в  день",Павлодарская,1.3
2012,процент,,,"3,2 долларов США по ППС в  день",Северо-Казахстанская,2.9
2012,процент,,,"3,2 долларов США по ППС в  день",Восточно-Казахстанская,1.0
2012,процент,,,"3,2 долларов США по ППС в  день",г_Нур-Султан,0.1
2012,процент,,,"3,2 долларов США по ППС в  день",г_Алматы,0.1
2012,процент,,,"5,5 долларов США по ППС в  день",Акмолинская,17.0
2012,процент,,,"5,5 долларов США по ППС в  день",Актюбинская,15.2
2012,процент,,,"5,5 долларов США по ППС в  день",Алматинская,8.8
2012,процент,,,"5,5 долларов США по ППС в  день",Атырауская,6.3
2012,процент,,,"5,5 долларов США по ППС в  день",Западно-Казахстанская,27.4
2012,процент,,,"5,5 долларов США по ППС в  день",Жымбылская,36.4
2012,процент,,,"5,5 долларов США по ППС в  день",Карагандинская,11.6
2012,процент,,,"5,5 долларов США по ППС в  день",Костанайская,17.0
2012,процент,,,"5,5 долларов США по ППС в  день",Кызылординская,12.2
2012,процент,,,"5,5 долларов США по ППС в  день",Мангистауская,4.0
2012,процент,,,"5,5 долларов США по ППС в  день",Южно-Казахстанская,40.9
2012,процент,,,"5,5 долларов США по ППС в  день",Павлодарская,15.4
2012,процент,,,"5,5 долларов США по ППС в  день",Северо-Казахстанская,20.1
2012,процент,,,"5,5 долларов США по ППС в  день",Восточно-Казахстанская,15.0
2012,процент,,,"5,5 долларов США по ППС в  день",г_Нур-Султан,1.3
2012,процент,,,"5,5 долларов США по ППС в  день",г_Алматы,1.1
2012,процент,,Город,"1,9 долларов США по ППС в  день",Акмолинская,0.3
2012,процент,,Город,"1,9 долларов США по ППС в  день",Костанайская,0.1
2012,процент,,Город,"1,9 долларов США по ППС в  день",Южно-Казахстанская,0.1
2012,процент,,Город,"3,2 долларов США по ППС в  день",Акмолинская,1.4
2012,процент,,Город,"3,2 долларов США по ППС в  день",Актюбинская,0.3
2012,процент,,Город,"3,2 долларов США по ППС в  день",Жымбылская,2.6
2012,процент,,Город,"3,2 долларов США по ППС в  день",Карагандинская,0.2
2012,процент,,Город,"3,2 долларов США по ППС в  день",Костанайская,0.3
2012,процент,,Город,"3,2 долларов США по ППС в  день",Кызылординская,0.3
2012,процент,,Город,"3,2 долларов США по ППС в  день",Мангистауская,0.1
2012,процент,,Город,"3,2 долларов США по ППС в  день",Южно-Казахстанская,1.2
2012,процент,,Город,"3,2 долларов США по ППС в  день",Павлодарская,0.4
2012,процент,,Город,"3,2 долларов США по ППС в  день",Северо-Казахстанская,1.4
2012,процент,,Город,"3,2 долларов США по ППС в  день",Восточно-Казахстанская,0.7
2012,процент,,Город,"3,2 долларов США по ППС в  день",г_Нур-Султан,0.1
2012,процент,,Город,"3,2 долларов США по ППС в  день",г_Алматы,0.1
2012,процент,,Город,"5,5 долларов США по ППС в  день",Акмолинская,16.7
2012,процент,,Город,"5,5 долларов США по ППС в  день",Актюбинская,15.0
2012,процент,,Город,"5,5 долларов США по ППС в  день",Алматинская,10.1
2012,процент,,Город,"5,5 долларов США по ППС в  день",Атырауская,3.9
2012,процент,,Город,"5,5 долларов США по ППС в  день",Западно-Казахстанская,19.7
2012,процент,,Город,"5,5 долларов США по ППС в  день",Жымбылская,28.7
2012,процент,,Город,"5,5 долларов США по ППС в  день",Карагандинская,7.7
2012,процент,,Город,"5,5 долларов США по ППС в  день",Костанайская,15.1
2012,процент,,Город,"5,5 долларов США по ППС в  день",Кызылординская,11.2
2012,процент,,Город,"5,5 долларов США по ППС в  день",Мангистауская,1.3
2012,процент,,Город,"5,5 долларов США по ППС в  день",Южно-Казахстанская,28.2
2012,процент,,Город,"5,5 долларов США по ППС в  день",Павлодарская,11.7
2012,процент,,Город,"5,5 долларов США по ППС в  день",Северо-Казахстанская,15.4
2012,процент,,Город,"5,5 долларов США по ППС в  день",Восточно-Казахстанская,12.2
2012,процент,,Город,"5,5 долларов США по ППС в  день",г_Нур-Султан,1.3
2012,процент,,Город,"5,5 долларов США по ППС в  день",г_Алматы,1.1
2012,процент,,сельское население,"1,9 долларов США по ППС в  день",Акмолинская,0.3
2012,процент,,сельское население,"1,9 долларов США по ППС в  день",Алматинская,0.1
2012,процент,,сельское население,"1,9 долларов США по ППС в  день",Жымбылская,0.2
2012,процент,,сельское население,"1,9 долларов США по ППС в  день",Костанайская,0.2
2012,процент,,сельское население,"1,9 долларов США по ППС в  день",Павлодарская,0.1
2012,процент,,сельское население,"1,9 долларов США по ППС в  день",Северо-Казахстанская,0.1
2012,процент,,сельское население,"1,9 долларов США по ППС в  день",Восточно-Казахстанская,0.1
2012,процент,,сельское население,"3,2 долларов США по ППС в  день",Акмолинская,1.7
2012,процент,,сельское население,"3,2 долларов США по ППС в  день",Актюбинская,1.4
2012,процент,,сельское население,"3,2 долларов США по ППС в  день",Алматинская,0.6
2012,процент,,сельское население,"3,2 долларов США по ППС в  день",Западно-Казахстанская,0.8
2012,процент,,сельское население,"3,2 долларов США по ППС в  день",Жымбылская,2.1
2012,процент,,сельское население,"3,2 долларов США по ППС в  день",Карагандинская,2.8
2012,процент,,сельское население,"3,2 долларов США по ППС в  день",Костанайская,1.4
2012,процент,,сельское население,"3,2 долларов США по ППС в  день",Кызылординская,0.5
2012,процент,,сельское население,"3,2 долларов США по ППС в  день",Южно-Казахстанская,2.9
2012,процент,,сельское население,"3,2 долларов США по ППС в  день",Павлодарская,3.2
2012,процент,,сельское население,"3,2 долларов США по ППС в  день",Северо-Казахстанская,3.9
2012,процент,,сельское население,"3,2 долларов США по ППС в  день",Восточно-Казахстанская,1.4
2012,процент,,сельское население,"5,5 долларов США по ППС в  день",Акмолинская,17.3
2012,процент,,сельское население,"5,5 долларов США по ППС в  день",Актюбинская,15.6
2012,процент,,сельское население,"5,5 долларов США по ППС в  день",Алматинская,8.4
2012,процент,,сельское население,"5,5 долларов США по ППС в  день",Атырауская,8.6
2012,процент,,сельское население,"5,5 долларов США по ППС в  день",Западно-Казахстанская,34.8
2012,процент,,сельское население,"5,5 долларов США по ППС в  день",Жымбылская,41.3
2012,процент,,сельское население,"5,5 долларов США по ППС в  день",Карагандинская,25.6
2012,процент,,сельское население,"5,5 долларов США по ППС в  день",Костанайская,19.0
2012,процент,,сельское население,"5,5 долларов США по ППС в  день",Кызылординская,13.0
2012,процент,,сельское население,"5,5 долларов США по ППС в  день",Мангистауская,6.7
2012,процент,,сельское население,"5,5 долларов США по ППС в  день",Южно-Казахстанская,49.0
2012,процент,,сельское население,"5,5 долларов США по ППС в  день",Павлодарская,23.7
2012,процент,,сельское население,"5,5 долларов США по ППС в  день",Северо-Казахстанская,23.4
2012,процент,,сельское население,"5,5 долларов США по ППС в  день",Восточно-Казахстанская,18.9
2013,процент,,,"1,9 долларов США по ППС в  день",,0.0
2013,процент,,,"3,2 долларов США по ППС в  день",,0.7
2013,процент,,,"5,5 долларов США по ППС в  день",,13.6
2013,процент,мужчины,,"1,9 долларов США по ППС в  день",,0.0
2013,процент,мужчины,,"3,2 долларов США по ППС в  день",,0.7
2013,процент,мужчины,,"5,5 долларов США по ППС в  день",,14.2
2013,процент,женщины,,"1,9 долларов США по ППС в  день",,0.0
2013,процент,женщины,,"3,2 долларов США по ППС в  день",,0.6
2013,процент,женщины,,"5,5 долларов США по ППС в  день",,13.1
2013,процент,,Город,"1,9 долларов США по ППС в  день",,0.0
2013,процент,,Город,"3,2 долларов США по ППС в  день",,0.3
2013,процент,,Город,"5,5 долларов США по ППС в  день",,8.4
2013,процент,,сельское население,"1,9 долларов США по ППС в  день",,0.0
2013,процент,,сельское население,"3,2 долларов США по ППС в  день",,1.1
2013,процент,,сельское население,"5,5 долларов США по ППС в  день",,20.0
2013,процент,,,"1,9 долларов США по ППС в  день",Акмолинская,0.1
2013,процент,,,"1,9 долларов США по ППС в  день",Карагандинская,0.2
2013,процент,,,"1,9 долларов США по ППС в  день",Северо-Казахстанская,0.4
2013,процент,,,"3,2 долларов США по ППС в  день",Акмолинская,1.5
2013,процент,,,"3,2 долларов США по ППС в  день",Актюбинская,0.5
2013,процент,,,"3,2 долларов США по ППС в  день",Алматинская,0.6
2013,процент,,,"3,2 долларов США по ППС в  день",Западно-Казахстанская,0.4
2013,процент,,,"3,2 долларов США по ППС в  день",Жымбылская,0.4
2013,процент,,,"3,2 долларов США по ППС в  день",Карагандинская,0.9
2013,процент,,,"3,2 долларов США по ППС в  день",Костанайская,1.3
2013,процент,,,"3,2 долларов США по ППС в  день",Кызылординская,0.3
2013,процент,,,"3,2 долларов США по ППС в  день",Павлодарская,0.3
2013,процент,,,"3,2 долларов США по ППС в  день",Северо-Казахстанская,2.2
2013,процент,,,"3,2 долларов США по ППС в  день",Туркестанская,1.6
2013,процент,,,"3,2 долларов США по ППС в  день",Восточно-Казахстанская,0.1
2013,процент,,,"3,2 долларов США по ППС в  день",г_Нур-Султан,0.0
2013,процент,,,"3,2 долларов США по ППС в  день",г_Алматы,0.0
2013,процент,,,"3,2 долларов США по ППС в  день",г_Шымкент,0.6
2013,процент,,,"5,5 долларов США по ППС в  день",Акмолинская,16.3
2013,процент,,,"5,5 долларов США по ППС в  день",Актюбинская,12.8
2013,процент,,,"5,5 долларов США по ППС в  день",Алматинская,4.3
2013,процент,,,"5,5 долларов США по ППС в  день",Атырауская,6.8
2013,процент,,,"5,5 долларов США по ППС в  день",Западно-Казахстанская,23.2
2013,процент,,,"5,5 долларов США по ППС в  день",Жымбылская,15.1
2013,процент,,,"5,5 долларов США по ППС в  день",Карагандинская,11.2
2013,процент,,,"5,5 долларов США по ППС в  день",Костанайская,15.0
2013,процент,,,"5,5 долларов США по ППС в  день",Кызылординская,11.3
2013,процент,,,"5,5 долларов США по ППС в  день",Мангистауская,3.1
2013,процент,,,"5,5 долларов США по ППС в  день",Павлодарская,7.8
2013,процент,,,"5,5 долларов США по ППС в  день",Северо-Казахстанская,20.0
2013,процент,,,"5,5 долларов США по ППС в  день",Туркестанская,38.4
2013,процент,,,"5,5 долларов США по ППС в  день",Восточно-Казахстанская,11.9
2013,процент,,,"5,5 долларов США по ППС в  день",г_Нур-Султан,0.9
2013,процент,,,"5,5 долларов США по ППС в  день",г_Алматы,1.2
2013,процент,,,"5,5 долларов США по ППС в  день",г_Шымкент,17.3
2013,процент,,Город,"1,9 долларов США по ППС в  день",Северо-Казахстанская,1.0
2013,процент,,Город,"3,2 долларов США по ППС в  день",Акмолинская,1.3
2013,процент,,Город,"3,2 долларов США по ППС в  день",Актюбинская,0.4
2013,процент,,Город,"3,2 долларов США по ППС в  день",Алматинская,0.1
2013,процент,,Город,"3,2 долларов США по ППС в  день",Жымбылская,0.2
2013,процент,,Город,"3,2 долларов США по ППС в  день",Карагандинская,0.2
2013,процент,,Город,"3,2 долларов США по ППС в  день",Костанайская,1.4
2013,процент,,Город,"3,2 долларов США по ППС в  день",Кызылординская,0.8
2013,процент,,Город,"3,2 долларов США по ППС в  день",Северо-Казахстанская,1.9
2013,процент,,Город,"3,2 долларов США по ППС в  день",Восточно-Казахстанская,0.2
2013,процент,,Город,"3,2 долларов США по ППС в  день",г_Нур-Султан,0.0
2013,процент,,Город,"3,2 долларов США по ППС в  день",г_Алматы,0.0
2013,процент,,Город,"3,2 долларов США по ППС в  день",г_Шымкент,0.6
2013,процент,,Город,"5,5 долларов США по ППС в  день",Акмолинская,16.5
2013,процент,,Город,"5,5 долларов США по ППС в  день",Актюбинская,9.3
2013,процент,,Город,"5,5 долларов США по ППС в  день",Алматинская,5.8
2013,процент,,Город,"5,5 долларов США по ППС в  день",Атырауская,2.8
2013,процент,,Город,"5,5 долларов США по ППС в  день",Западно-Казахстанская,13.9
2013,процент,,Город,"5,5 долларов США по ППС в  день",Жымбылская,10.3
2013,процент,,Город,"5,5 долларов США по ППС в  день",Карагандинская,7.8
2013,процент,,Город,"5,5 долларов США по ППС в  день",Костанайская,14.2
2013,процент,,Город,"5,5 долларов США по ППС в  день",Кызылординская,10.9
2013,процент,,Город,"5,5 долларов США по ППС в  день",Мангистауская,1.1
2013,процент,,Город,"5,5 долларов США по ППС в  день",Павлодарская,5.5
2013,процент,,Город,"5,5 долларов США по ППС в  день",Северо-Казахстанская,15.5
2013,процент,,Город,"5,5 долларов США по ППС в  день",Туркестанская,23.8
2013,процент,,Город,"5,5 долларов США по ППС в  день",Восточно-Казахстанская,9.0
2013,процент,,Город,"5,5 долларов США по ППС в  день",г_Нур-Султан,0.9
2013,процент,,Город,"5,5 долларов США по ППС в  день",г_Алматы,1.2
2013,процент,,Город,"5,5 долларов США по ППС в  день",г_Шымкент,17.3
2013,процент,,сельское население,"1,9 долларов США по ППС в  день",Акмолинская,0.2
2013,процент,,сельское население,"1,9 долларов США по ППС в  день",Карагандинская,0.7
2013,процент,,сельское население,"1,9 долларов США по ППС в  день",Северо-Казахстанская,0.1
2013,процент,,сельское население,"3,2 долларов США по ППС в  день",Акмолинская,1.6
2013,процент,,сельское население,"3,2 долларов США по ППС в  день",Актюбинская,0.7
2013,процент,,сельское население,"3,2 долларов США по ППС в  день",Алматинская,0.7
2013,процент,,сельское население,"3,2 долларов США по ППС в  день",Западно-Казахстанская,0.8
2013,процент,,сельское население,"3,2 долларов США по ППС в  день",Жымбылская,0.6
2013,процент,,сельское население,"3,2 долларов США по ППС в  день",Карагандинская,3.5
2013,процент,,сельское население,"3,2 долларов США по ППС в  день",Костанайская,1.3
2013,процент,,сельское население,"3,2 долларов США по ППС в  день",Павлодарская,0.9
2013,процент,,сельское население,"3,2 долларов США по ППС в  день",Северо-Казахстанская,2.5
2013,процент,,сельское население,"3,2 долларов США по ППС в  день",Туркестанская,2.1
2013,процент,,сельское население,"3,2 долларов США по ППС в  день",Восточно-Казахстанская,0.1
2013,процент,,сельское население,"5,5 долларов США по ППС в  день",Акмолинская,16.1
2013,процент,,сельское население,"5,5 долларов США по ППС в  день",Актюбинская,18.3
2013,процент,,сельское население,"5,5 долларов США по ППС в  день",Алматинская,3.8
2013,процент,,сельское население,"5,5 долларов США по ППС в  день",Атырауская,10.7
2013,процент,,сельское население,"5,5 долларов США по ППС в  день",Западно-Казахстанская,32.2
2013,процент,,сельское население,"5,5 долларов США по ППС в  день",Жымбылская,18.3
2013,процент,,сельское население,"5,5 долларов США по ППС в  день",Карагандинская,23.5
2013,процент,,сельское население,"5,5 долларов США по ППС в  день",Костанайская,16.0
2013,процент,,сельское население,"5,5 долларов США по ППС в  день",Кызылординская,11.6
2013,процент,,сельское население,"5,5 долларов США по ППС в  день",Мангистауская,5.1
2013,процент,,сельское население,"5,5 долларов США по ППС в  день",Павлодарская,13.1
2013,процент,,сельское население,"5,5 долларов США по ППС в  день",Северо-Казахстанская,23.2
2013,процент,,сельское население,"5,5 долларов США по ППС в  день",Туркестанская,42.7
2013,процент,,сельское население,"5,5 долларов США по ППС в  день",Восточно-Казахстанская,16.1
2014,процент,,,"1,9 долларов США по ППС в  день",,0.0
2014,процент,,,"3,2 долларов США по ППС в  день",,0.7
2014,процент,,,"5,5 долларов США по ППС в  день",,15.0
2014,процент,мужчины,,"1,9 долларов США по ППС в  день",,0.0
2014,процент,мужчины,,"3,2 долларов США по ППС в  день",,0.7
2014,процент,мужчины,,"5,5 долларов США по ППС в  день",,15.7
2014,процент,женщины,,"1,9 долларов США по ППС в  день",,0.0
2014,процент,женщины,,"3,2 долларов США по ППС в  день",,0.6
2014,процент,женщины,,"5,5 долларов США по ППС в  день",,14.5
2014,процент,,Город,"1,9 долларов США по ППС в  день",,0.0
2014,процент,,Город,"3,2 долларов США по ППС в  день",,0.3
2014,процент,,Город,"5,5 долларов США по ППС в  день",,9.3
2014,процент,,сельское население,"1,9 долларов США по ППС в  день",,0.0
2014,процент,,сельское население,"3,2 долларов США по ППС в  день",,1.1
2014,процент,,сельское население,"5,5 долларов США по ППС в  день",,22.1
2014,процент,,,"1,9 долларов США по ППС в  день",Акмолинская,0.1
2014,процент,,,"1,9 долларов США по ППС в  день",Карагандинская,0.0
2014,процент,,,"1,9 долларов США по ППС в  день",Туркестанская,0.1
