Year,UNIT_MEASURE,SERIES,Возраст,Местность,Пол,Регионы,Value
2015,процент,умеренная и сильная степень отклонения от нормы,,,мужчины,,7.7
2015,процент,умеренная и сильная степень отклонения от нормы,,,женщины,,8.3
2015,процент,умеренная и сильная степень отклонения от нормы,,Город,,,7.2
2015,процент,умеренная и сильная степень отклонения от нормы,,сельское население,,,8.9
2015,процент,умеренная и сильная степень отклонения от нормы,,,,Акмолинская,2.9
2015,процент,умеренная и сильная степень отклонения от нормы,,,,Актюбинская,6.6
2015,процент,умеренная и сильная степень отклонения от нормы,,,,Алматинская,8.1
2015,процент,умеренная и сильная степень отклонения от нормы,,,,Атырауская,11.8
2015,процент,умеренная и сильная степень отклонения от нормы,,,,Западно-Казахстанская,7.4
2015,процент,умеренная и сильная степень отклонения от нормы,,,,Жымбылская,6.9
2015,процент,умеренная и сильная степень отклонения от нормы,,,,Карагандинская,5.4
2015,процент,умеренная и сильная степень отклонения от нормы,,,,Костанайская,11.4
2015,процент,умеренная и сильная степень отклонения от нормы,,,,Кызылординская,10.0
2015,процент,умеренная и сильная степень отклонения от нормы,,,,Мангистауская,4.5
2015,процент,умеренная и сильная степень отклонения от нормы,,,,Южно-Казахстанская,11.4
2015,процент,умеренная и сильная степень отклонения от нормы,,,,Павлодарская,5.5
2015,процент,умеренная и сильная степень отклонения от нормы,,,,Северо-Казахстанская,2.3
2015,процент,умеренная и сильная степень отклонения от нормы,,,,Восточно-Казахстанская,7.2
2015,процент,умеренная и сильная степень отклонения от нормы,,,,г_Нур-Султан,7.1
2015,процент,умеренная и сильная степень отклонения от нормы,,,,г_Алматы,6.3
2015,процент,умеренная и сильная степень отклонения от нормы,0-5 месяцев,,,,5.0
2015,процент,умеренная и сильная степень отклонения от нормы,6-11 месяцев,,,,5.8
2015,процент,умеренная и сильная степень отклонения от нормы,12-17 месяцев,,,,6.8
2015,процент,умеренная и сильная степень отклонения от нормы,18-23 месяцев,,,,11.0
2015,процент,умеренная и сильная степень отклонения от нормы,24-35 месяцев,,,,11.5
2015,процент,умеренная и сильная степень отклонения от нормы,36-47 месяцев,,,,8.4
2015,процент,умеренная и сильная степень отклонения от нормы,48-59 месяцев,,,,6.0
2015,процент,сильная степень отклонения от нормы,,,,,2.4
2015,процент,сильная степень отклонения от нормы,,,мужчины,,2.3
2015,процент,сильная степень отклонения от нормы,,,женщины,,2.6
2015,процент,сильная степень отклонения от нормы,,Город,,,2.3
2015,процент,сильная степень отклонения от нормы,,сельское население,,,2.5
2015,процент,сильная степень отклонения от нормы,,,,Акмолинская,0.1
2015,процент,сильная степень отклонения от нормы,,,,Актюбинская,4.1
2015,процент,сильная степень отклонения от нормы,,,,Алматинская,2.3
2015,процент,сильная степень отклонения от нормы,,,,Атырауская,4.2
2015,процент,сильная степень отклонения от нормы,,,,Западно-Казахстанская,2.5
2015,процент,сильная степень отклонения от нормы,,,,Жымбылская,2.5
2015,процент,сильная степень отклонения от нормы,,,,Карагандинская,0.0
2015,процент,сильная степень отклонения от нормы,,,,Костанайская,3.3
2015,процент,сильная степень отклонения от нормы,,,,Кызылординская,3.3
2015,процент,сильная степень отклонения от нормы,,,,Мангистауская,2.0
2015,процент,сильная степень отклонения от нормы,,,,Южно-Казахстанская,2.4
2015,процент,сильная степень отклонения от нормы,,,,Павлодарская,1.6
2015,процент,сильная степень отклонения от нормы,,,,Северо-Казахстанская,0.0
2015,процент,сильная степень отклонения от нормы,,,,Восточно-Казахстанская,2.2
2015,процент,сильная степень отклонения от нормы,,,,г_Нур-Султан,3.5
2015,процент,сильная степень отклонения от нормы,,,,г_Алматы,2.7
2015,процент,сильная степень отклонения от нормы,0-5 месяцев,,,,1.9
2015,процент,сильная степень отклонения от нормы,6-11 месяцев,,,,1.6
2015,процент,сильная степень отклонения от нормы,12-17 месяцев,,,,3.2
2015,процент,сильная степень отклонения от нормы,18-23 месяцев,,,,5.0
2015,процент,сильная степень отклонения от нормы,24-35 месяцев,,,,3.0
2015,процент,сильная степень отклонения от нормы,36-47 месяцев,,,,2.0
2015,процент,сильная степень отклонения от нормы,48-59 месяцев,,,,1.4
