Year,UNIT_MEASURE,SERIES,Возраст,Местность,Пол,Регионы,Value
2015,процент,сильная степень отклонения от нормы,6-11 месяцев,,,,1.0
2015,процент,сильная степень отклонения от нормы,12-17 месяцев,,,,0.8
2015,процент,сильная степень отклонения от нормы,18-23 месяцев,,,,0.9
2015,процент,сильная степень отклонения от нормы,24-35 месяцев,,,,0.9
2015,процент,сильная степень отклонения от нормы,36-47 месяцев,,,,0.2
2015,процент,сильная степень отклонения от нормы,48-59 месяцев,,,,0.7
2015,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,,9.3
2015,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,мужчины,,8.7
2015,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,женщины,,10.0
2015,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,Город,,,11.2
2015,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,сельское население,,,7.6
2015,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Акмолинская,4.9
2015,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Актюбинская,10.3
2015,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Алматинская,6.3
2015,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Атырауская,14.7
2015,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Западно-Казахстанская,8.0
2015,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Жымбылская,6.1
2015,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Карагандинская,6.4
2015,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Костанайская,12.5
2015,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Кызылординская,8.6
2015,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Мангистауская,4.9
2015,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Южно-Казахстанская,7.6
2015,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Павлодарская,9.7
2015,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Северо-Казахстанская,5.6
2015,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Восточно-Казахстанская,9.2
2015,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,г_Нур-Султан,16.2
2015,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,г_Алматы,21.6
2015,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,0-5 месяцев,,,,5.8
2015,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,6-11 месяцев,,,,12.5
2015,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,12-17 месяцев,,,,15.1
2015,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,18-23 месяцев,,,,10.1
2015,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,24-35 месяцев,,,,10.5
2015,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,36-47 месяцев,,,,8.0
2015,процент,Избыточный вес: Умеренная и сильная степень отклонения от нормы,48-59 месяцев,,,,6.5
