Year,UNIT_MEASURE,Пол,Регионы,Value
2017,процент,женщины,Акмолинская,100.0
2017,процент,мужчины,Актюбинская,100.0
2017,процент,женщины,Актюбинская,100.0
2017,процент,мужчины,Алматинская,100.0
2017,процент,женщины,Алматинская,100.0
2017,процент,мужчины,Атырауская,100.0
2017,процент,женщины,Атырауская,100.0
2017,процент,мужчины,Западно-Казахстанская,100.0
2017,процент,женщины,Западно-Казахстанская,100.0
2017,процент,мужчины,Жымбылская,100.0
2017,процент,женщины,Жымбылская,100.0
2017,процент,мужчины,Карагандинская,100.0
2017,процент,женщины,Карагандинская,100.0
2017,процент,мужчины,Костанайская,100.0
2017,процент,женщины,Костанайская,100.0
2017,процент,мужчины,Кызылординская,100.0
2017,процент,женщины,Кызылординская,100.0
2017,процент,мужчины,Мангистауская,100.0
2017,процент,женщины,Мангистауская,100.0
2017,процент,мужчины,Южно-Казахстанская,100.0
2017,процент,женщины,Южно-Казахстанская,100.0
2017,процент,мужчины,Павлодарская,100.0
2017,процент,женщины,Павлодарская,100.0
2017,процент,мужчины,Северо-Казахстанская,93.96976090014064
2017,процент,женщины,Северо-Казахстанская,98.47939175670268
2017,процент,мужчины,Восточно-Казахстанская,100.0
2017,процент,женщины,Восточно-Казахстанская,100.0
2017,процент,мужчины,г_Нур-Султан,88.93717182690567
2017,процент,женщины,г_Нур-Султан,89.72860538827258
2017,процент,мужчины,г_Алматы,100.0
2017,процент,женщины,г_Алматы,86.6578415662231
2018,процент,,,93.83096929119436
2018,процент,мужчины,,91.65236639043032
2018,процент,женщины,,96.26536706438978
2018,процент,,Акмолинская,100.0
2018,процент,,Актюбинская,100.0
2018,процент,,Алматинская,100.0
2018,процент,,Атырауская,100.0
2018,процент,,Западно-Казахстанская,100.0
2018,процент,,Жымбылская,91.3
2018,процент,,Карагандинская,100.0
2018,процент,,Костанайская,100.0
2018,процент,,Кызылординская,100.0
2018,процент,,Мангистауская,100.0
2018,процент,,Павлодарская,100.0
2018,процент,,Северо-Казахстанская,100.0
2018,процент,,Туркестанская,90.2
2018,процент,,Восточно-Казахстанская,100.0
2018,процент,,г_Нур-Султан,66.7
2018,процент,,г_Алматы,80.2
2018,процент,,г_Шымкент,89.4
2018,процент,мужчины,Акмолинская,100.0
2018,процент,женщины,Акмолинская,100.0
2018,процент,мужчины,Актюбинская,100.0
2018,процент,женщины,Актюбинская,100.0
2018,процент,мужчины,Алматинская,100.0
2018,процент,женщины,Алматинская,100.0
2018,процент,мужчины,Атырауская,100.0
2018,процент,женщины,Атырауская,100.0
2018,процент,мужчины,Западно-Казахстанская,100.0
2018,процент,женщины,Западно-Казахстанская,100.0
2018,процент,мужчины,Жымбылская,100.0
2018,процент,женщины,Жымбылская,82.15533623490468
2018,процент,мужчины,Карагандинская,100.0
2018,процент,женщины,Карагандинская,100.0
2018,процент,мужчины,Костанайская,100.0
2018,процент,женщины,Костанайская,100.0
2018,процент,мужчины,Кызылординская,100.0
2018,процент,женщины,Кызылординская,100.0
2018,процент,мужчины,Мангистауская,100.0
2018,процент,женщины,Мангистауская,100.0
2018,процент,мужчины,Туркестанская,88.08910636106103
2018,процент,женщины,Туркестанская,92.53446387960804
2018,процент,мужчины,Павлодарская,100.0
2018,процент,женщины,Павлодарская,100.0
2018,процент,мужчины,Северо-Казахстанская,100.0
2018,процент,женщины,Северо-Казахстанская,100.0
2018,процент,мужчины,Восточно-Казахстанская,100.0
2018,процент,женщины,Восточно-Казахстанская,100.0
2018,процент,мужчины,г_Нур-Султан,67.87322480083131
2018,процент,женщины,г_Нур-Султан,65.53822521564457
2018,процент,мужчины,г_Алматы,78.37239759743485
2018,процент,женщины,г_Алматы,82.22153273347813
2018,процент,мужчины,г_Шымкент,88.21177032350484
2018,процент,женщины,г_Шымкент,90.7781358942314
2019,процент,,,98.3
2019,процент,мужчины,,98.3
2019,процент,женщины,,98.7
2019,процент,,Акмолинская,100.0
2019,процент,,Актюбинская,100.0
2019,процент,,Алматинская,100.0
2019,процент,,Атырауская,100.0
2019,процент,,Западно-Казахстанская,100.0
2019,процент,,Жымбылская,100.0
2019,процент,,Карагандинская,100.0
2019,процент,,Костанайская,100.0
2019,процент,,Кызылординская,100.0
2019,процент,,Мангистауская,100.0
2019,процент,,Павлодарская,100.0
2019,процент,,Северо-Казахстанская,100.0
2019,процент,,Туркестанская,100.0
2019,процент,,Восточно-Казахстанская,100.0
2019,процент,,г_Нур-Султан,98.6
2019,процент,,г_Алматы,81.4
2019,процент,,г_Шымкент,100.0
2019,процент,мужчины,Акмолинская,100.0
2019,процент,женщины,Акмолинская,100.0
2019,процент,мужчины,Актюбинская,100.0
2019,процент,женщины,Актюбинская,100.0
2019,процент,мужчины,Алматинская,100.0
2019,процент,женщины,Алматинская,100.0
2019,процент,мужчины,Атырауская,100.0
2019,процент,женщины,Атырауская,100.0
2019,процент,мужчины,Западно-Казахстанская,100.0
2019,процент,женщины,Западно-Казахстанская,100.0
2019,процент,мужчины,Жымбылская,100.0
2019,процент,женщины,Жымбылская,100.0
2019,процент,мужчины,Карагандинская,100.0
2019,процент,женщины,Карагандинская,100.0
2019,процент,мужчины,Костанайская,100.0
2019,процент,женщины,Костанайская,100.0
2019,процент,мужчины,Кызылординская,100.0
2019,процент,женщины,Кызылординская,100.0
2019,процент,мужчины,Мангистауская,100.0
2019,процент,женщины,Мангистауская,100.0
2019,процент,мужчины,Туркестанская,100.0
2019,процент,женщины,Туркестанская,100.0
2019,процент,мужчины,Павлодарская,100.0
2019,процент,женщины,Павлодарская,100.0
2019,процент,мужчины,Северо-Казахстанская,100.0
2019,процент,женщины,Северо-Казахстанская,100.0
2019,процент,мужчины,Восточно-Казахстанская,100.0
2019,процент,женщины,Восточно-Казахстанская,100.0
2019,процент,мужчины,г_Нур-Султан,97.3
2019,процент,женщины,г_Нур-Султан,98.5
2019,процент,мужчины,г_Алматы,79.4
2019,процент,женщины,г_Алматы,83.6
2019,процент,мужчины,г_Шымкент,100.0
2019,процент,женщины,г_Шымкент,100.0
