Value,ru,kk,en,Disaggregation combinations using this value,Number of indicators
_L_TRST_AVG,средняя,_L_TRST_AVG,_L_TRST_AVG,5,1
_L_TRST_HIGH,высокая,_L_TRST_HIGH,_L_TRST_HIGH,5,1
_L_TRST_LOW,низкая,_L_TRST_LOW,_L_TRST_LOW,5,1
_L_TRST_NEV,никогда не сталкивались с данной структурой,_L_TRST_NEV,_L_TRST_NEV,9,1
_L_TRST_NO,не доверяют,_L_TRST_NO,_L_TRST_NO,5,1
_L_TRST_PARTAGG,частично согласен/согласна,_L_TRST_PARTAGG,_L_TRST_PARTAGG,4,1
_L_TRST_PARTDIS,частично не согласен/согласна,_L_TRST_PARTDIS,_L_TRST_PARTDIS,4,1
_L_TRST_STRAGG,полностью согласен/согласна,_L_TRST_STRAGG,_L_TRST_STRAGG,4,1
_L_TRST_STRDIS,полностью не согласен/согласна,_L_TRST_STRDIS,_L_TRST_STRDIS,4,1
_L_TVL_ANYT_SEXVL,любое сексуальное насилие,кез келген сексуалдық зорлық-зомбылық,any type of sexual violence,1,1
_L_TVL_PHSVL,физическое насилие,физикалық қатыгездік,Physical violence,5,2
_L_TVL_PHSVL_SEXHARSS,физическое насилие и/или сексуальное насилие,физикалық зорлық-зомбылық және / немесе сексуалдық зомбылық,Physical violence/sexual harassment,4,1
_L_TVL_RP_NONPARTN,"изнасилование, совершенное лицом, не являющимся партнером",жыныс серігі емес тұлғадан жасалған зорлық-зомбылық,Rape (crime committed by non-partner),1,1
_L_TVL_RPATT_OTHSEXVL,попытка изнасилования или иное сексуальное насилие,зорлау немесе басқа сексуалдық әрекет жасау,Rape attempt or other type of sexual violence,1,1
_L_TVL_SEX_HARSS,сексуальное насилие,сексуалдық зорлық,Sexual harassment,4,1
SKILL_ICTATCH,"Отправка элекронной почты с вложенными файлами (документ, фотография, видео)",SKILL_ICTATCH,Skill: ICT Skill: Sending e-mails with attached files,36,1
SKILL_ICTCDV,"Подключение и установка новых устройств (принтер, модем и другие)","Жаңа құрылғыларды қосу және орнату (принтер, модем және басқалар)","Connecting and installing new devices (printer, modem, and others)",36,1
SKILL_ICTCMFL,Копирование или перенос файла или папки,Файлды немесе папканы көшіру немесе жіберу,Copying or transferring a file or folder,36,1
SKILL_ICTCPT,Использование инструментов копирования и вставки информации или части информации для получения копий или перемещения информации в документе,Құжаттың көшірмесін алу немесе құжаттағы ақпараттың орнын ауыстыру үшін ақпаратты көшіру және кірістіру құралдарын немесе ақпараттың бір бөлігін пайдалану,Using the copy and paste tools for information or part of information to get copies or move information in a document,36,1
SKILL_ICTPRGM,Разработка компьютерных программ с использованием специального программного языка,Арнайы бағдарламалық тілді пайдалану арқылы компьютерлік бағдарламаларды әзірлеу,Development of computer programs using a special software language,36,1
SKILL_ICTPST,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",SKILL_ICTPST,Skill: ICT Skill: Creating electronic presentations with presentation software,36,1
SKILL_ICTSFWR,"Поиск, загрузка и установка  программного обеспечения","Іздеу, бағдарламалық қамтамасыз етуді жүктеу және орнату","Skill: ICT Skill: Finding, downloading, installing and configuring software",36,1
SKILL_ICTSSHT,Работа в редакторе электронных таблиц Excel (использование базовых арифметических формул в таблицах),SKILL_ICTSSHT,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,36,1
SKILL_ICTTRFF,Передача файлов между компьютерами и другими устройствами,Компьютерлер мен басқа құрылғылар арасында файлдарды жіберу,Transferring files between computers and other devices,36,1
SKILL_LTRCY,функциональная,SKILL_LTRCY,Skill: Functional literacy,2,1
SKILL_MATH,математическая,SKILL_MATH,Skill: Mathematics,2,1
Данные по Казахстану как обязательства,Данные по Казахстану как обязательства,Данные по Казахстану как обязательства,Данные по Казахстану как обязательства,1,1
